Speaker,Russian (RU)
Ushiromiya Maria,"""......Я не понимаю, чего ты сердишься, Баттлер."""
Ushiromiya Battler,"""Чего я сержусь?! Все они мертвы! Из‐за этого грёбаного старикана! Нёсшего какую‐то чушь о ритуале воскрешения {f:5:Беатриче} и всякую другую хрень!"""
Ushiromiya Maria,"""Но 13 человек уже принесены в жертву, и {f:5:Беатриче} самое время воскреснуть, так?"""
Ushiromiya Battler,"""Конечно, замечательно! Тогда я ещё и {f:5:Беатриче} вместе с ним убью!"""
Ushiromiya Maria,""".........Мы пережили ритуал. И мы получим приглашение в Золотую Землю от {f:5:Беатриче}, ты понимаешь?"""
Ushiromiya Maria,"""Там все наши желания будут исполнены. Если тебе больно от того, что убили твою семью, просто пожелай воскресить их. ......Мария как раз собирается это сделать. Мария воскресит по‐настоящему хорошую маму, которая не одержима чёрной ведьмой."""
Ushiromiya Maria,"""......И мама всегда будет с Марией. ......Она не будет задерживаться на работе или работать на выходных. ...Она всегда будет только с Марией, и думать будет только о Марии, ки‐хи‐хи‐хи, она всегда будет сражаться со страшными врагами ради Марии. Ки‐хи‐хи‐хи‐хи‐хи‐хи!"""
Ushiromiya Battler,"""......С тобой явно что‐то не так. ......Зачем ты сейчас несёшь какой‐то вздор?!"""
Ushiromiya Maria,"""............Разве Кирие не сказала тебе, Баттлер? ......Разве она не попросила тебя поверить в ведьму?"""
Ushiromiya Battler,"""...............Чёрт возьми. Сейчас не время пререкаться на эту тему! Всё, теперь никаких заложников не осталось... Никто из них не выжил! Эта идиотская, грёбаная игра‐ритуал завершилась!"""
Ushiromiya Battler,"""Теперь позволь мне делать то, что {i:я} хочу. Кто‐то ещё может быть жив. Или кто‐то может скрываться! Я обыщу всё вокруг, найду их и выбью из них дерьмо до последней капли!"""
,Баттлер в ярости схватил своё копье из вешалки для шляп и вылетел из комнаты.
,Мария скучающе поглядела ему вслед...
Ushiromiya Maria,""".........{f:5:Беатриче} скоро так или иначе исполнит наши желания. ......Баттлер, какой же ты дурак. ......Ки‐хи‐хи‐хи."""
,И тут вновь зазвонил телефон...
,Мария встала и сняла трубку.
Ushiromiya Maria,"""У‐у. Алло. ......У‐у? У‐у!!!"""
,"Звук звонка, разумеется, достиг и ушей Баттлера, когда он уже готов был выскочить из дома."
,"Яростно развернувшись, он бросился обратно в комнату для кузенов и кузин..."
Ushiromiya Battler,"""М‐Мария! Кто... от кого звонок?!"""
,"Со страшным выражением лица заорал Баттлер на Марию, всё ещё разговаривающую по телефону."
,"Его вряд ли можно было винить... На данный момент в живых на острове остались лишь он сам, Мария, Года и Кумасава."
,"Последние двое не имели возможности позвать на помощь, будучи заперты в садовом складе."
,"Это означало, что оставался только один человек.{n}Им должен был быть Кинзо."
,"Некоторое время приятно побеседовав с другим человеком на конце провода, Мария медленно повернулась к Баттлеру."
,"А затем, с нервирвующим выражением лица, она засмеялась своим ""ки‐хи‐хи‐хи‐хи‐хи‐хи"".{n}Складывалось впечатление, будто человек на другом конце провода сплетничал о Баттлере."
Ushiromiya Battler,"""Мария... с кем ты говоришь? ......С дедом?!"""
,"Врочем, Баттлер даже и предположить не мог, что так оно и было."
,"...В конце концов, не будет же Мария мило по душам беседовать с Кинзо, и болтать о Баттлере все с той же жуткой улыбкой."
,Так кто же ещё мог говорить по телефону? Кто был способен заставить Марию улыбнуться вот так?
,И тут в голове у него всплыли недавно сказанные Кирие слова.
,"Даже если ведьма явится, не надо сомневаться.{n}......Просто... поверь, что она существует..."
Ushiromiya Maria,"""Ага. Баттлер только что вернулся. Он такой торопыга. Ки‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи‐хи..."""
Ushiromiya Battler,"""Мария! Кто у телефона?! Кто?!?!"""
Ushiromiya Maria,"""......Передать ему? Конечно. ............На, Баттлер."""
,"После того, как кто‐то на другом конце провода согласился, она подозвала Баттлера..."
Ushiromiya Battler,"""...............Э‐э."""
Ushiromiya Maria,"""Ну же."""
,"Мария протянула ему трубку так, словно ничего особенного не случилось."
,"Баттлер чуть‐чуть поколебался, прежде чем взять её."
,"Потому что... приняв существование особы на другом конце провода, у него не останется выбора, кроме как признать их."
,Как и сказала Кирие...
,Нет больше необходимости сомневаться в их существовании.
,Баттлер взял трубку.
,"Как только он это сделал, Мария энергично покинула комнату."
,"Баттлер, слегка робеющий узнать, кто же находится на другом конце провода, окликнул Марию, перед тем как заговорить в трубку."
Ushiromiya Battler,"""Э‐эй! Ты куда?!"""
Ushiromiya Maria,"""Марию сейчас будут испытывать. ......Интересно, кто станет главой семьи: Баттлер или Мария. Ки‐хи‐хи‐хи‐хи‐хи‐хи."""
Ushiromiya Battler,""".........Н‐не ходи никуда! Тебя же убьют!"""
Ushiromiya Maria,"""Не убьют. Ритуал уже позади. ...А даже если и убьют, то я тут же воскресну. ......Независимо от того, кто станет главой семьи, нас уже пригласили в Золотую Землю. Увидимся."""
