Speaker,Italian (Majotachi no Sub) (New) (IT)
Ushiromiya Kinzo,"""...Capisco. Pare che abbia avuto inizio."""
Ronoue Genji,"""...Sì."""
Shannon,"""..."""
,"Nonostante Kinzo avesse saputo delle sei morti, le sue emozioni non vacillarono minimamente."
,"La faccia che aveva mentre guardava fuori dalla finestra... era simile a quella ghignante di un giocatore di scacchi, in risposta ad una mossa superlativa del suo avversario..."
,Era alquanto impensabile che un padre che aveva perso così tanti figli in una volta sola potesse sfoggiare una simile espressione.
Ronoue Genji,"""...Gouda e Kanon sono andati a telefonare alla polizia, seguendo gli ordini della signora Rosa. E in seguito, ci è stato ordinato di chiedere ulteriori istruzioni a lei, padrone... Cosa dovremmo fare?"""
Ushiromiya Kinzo,"""...Quest'isola è già stata tranciata fuori dal mondo reale. Telefoni e apparecchi simili non si riveleranno di alcun aiuto."""
Ronoue Genji,"""Devo fermarli?"""
Ushiromiya Kinzo,"""...Finché la roulette non terminerà il suo corso, quello che faranno per passare il tempo sarà affar loro. Lasciali fare ciò che più li aggrada."""
Ronoue Genji,"""...Sissignore."""
Shannon,"""...Ehm... Cosa dovrei riferire alla signora Rosa?"""
Ushiromiya Kinzo,"""Non ho forse detto che quello che fanno per passare il tempo è affar loro?!! Possono pure mettersi a cantare o ballare! Sono liberi persino di impiccarsi o di gettarsi in un calderone bollente!! Finché non moriranno 13 persone, potranno trascorrere il loro tempo come vorranno. Se sono annoiati, allora possono riflettere sul perché sei per nove fa quarantadue!! È la risposta ai misteri dell'uomo e dell'universo!!"""
Shannon,"""S-Sì...! S-Sono mortificata...!"""
,La sua indignazione improvvisa terrorizzò Shannon... Genji le fece un gesto per dirle di non parlare oltre.
,A Shannon non rimase che pentirsi di aver preso parola in modo inopportuno...
Ushiromiya Kinzo,"""Tuttavia... Anche voi potete fare come meglio credete... Genji. E anche tu, Shannon. Fino ad oggi mi avete sempre servito bene."""
Shannon,"""N-Non siamo degni di tale elogio... Però, ecco..."""
Ronoue Genji,"""...Noi siamo dei mobili che hanno giurato di prestare servizio al loro padrone. Noi saremo costantemente al suo fianco... fino a quando non giungerà la fine."""
Ushiromiya Kinzo,"""...Voglio raccontarvi... ogni cosa... Shannon. Sto scrivendo un testamento. Trascrivi il mio dettato, per favore... Tu, Genji, fammi la mia solita bevanda, per piacere."""
Shannon,"""Eh...? S-Sissignore...!"""
,"A causa delle condizioni di salute di Kinzo, Nanjo lo aveva spesso incoraggiato a scrivere un testamento, ma ogni volta lui andava su tutte le furie..."
,"Da lì in poi, si sarebbe potuto dire che il termine ‘testamento’ fosse il vocabolario più detestato da Kinzo."
,"E dato che quella parola era uscita proprio dalla sua bocca, Shannon non potè fare a meno di dubitare per un istante delle proprie orecchie."
,"Shannon allestì rapidamente un tavolino e dei fogli per scrivere. E insieme a lei, Genji iniziò a preparare la tipica bevanda mefitica verde di Kinzo, proprio come gli era stato ordinato..."
Shannon,"""Sono pronta per cominciare."""
Ushiromiya Kinzo,"""...Mmh... Da dove dovrei iniziare...? Forse potrei anche parlare della mia vita... Sarà piacevole lasciare una testimonianza delle mie partite più memorabili..."""
Ushiromiya Kinzo,"""È davvero avvincente leggere fonti riguardanti partite vecchie oltre un secolo... Un viaggio mentale in cui si esaminano i pensieri dei giocatori... In tal caso, i registri delle partite che ho sostenuto nella mia vita potrebbero, a loro volta, invitare le generazioni future a intraprendere un viaggio attraverso i miei pensieri... Hmph."""
,"Con le mani dietro la schiena, Kinzo girò per un po' in cerchio intorno alla stanza, ponderando da dove iniziare a discorrere..."
Ronoue Genji,"""Padrone... Ecco a lei."""
Ushiromiya Kinzo,"""Bene. Grazie, amico mio... Dunque. Per narrare la mia vita, occorre che io cominci la mia storia dall'incontro con la strega..."""
Ushiromiya Kinzo,"""Appunta tutto, Shannon... Il mio primo incontro con {f:5:Beatrice} ebbe luogo molto tempo fa. In quale anno dell'era Showa avvenne...? Se ricordo bene, era alla fine della guerra..."""
,Ci prendemmo il tempo necessario per recuperare la calma... e giurammo ai nostri genitori che avremmo acciuffato il colpevole a qualunque costo.
,Sarebbe stata una falsità affermare che avevamo smesso di mortificarci...
,"Anche allora, se avessimo minimamente ceduto, saremmo stati posseduti dalla rabbia, ricorrendo alla violenza come aveva fatto Jessica."
,"Dopo essere tornato, Gouda aveva riferito che Kanon-kun si stava prendendo cura di Jessica..."
,"A quanto pareva, era ancora molto turbata emotivamente."
Ushiromiya Rosa,"""...Capisco. Grazie... Forse una persona giovane saprà comprendere meglio i sentimenti di una sua coetanea... Credo che sia meglio lasciarli soli, per ora."""
Nanjo Terumasa,"""Rosa‐san... Continuare a rimanere qui non ci porterà a nulla... I telefoni non funzionano, ma domani arriverà il battello, e potremo contattare la polizia. Dovremmo lasciare tutto così com'è per le indagini delle forze dell'ordine."""
Gohda Toshiro,"""...Concordo con il dottor Nanjo... Permanere in un posto del genere nuocerà alla nostra salute... Torniamo alla villa e prepariamo del tè nero..."""
Ushiromiya Rosa,"""...Giusto. Anch'io sono a favore... Battler-kun, George-kun, vi sentite pronti...? Chiudiamo le porte di questo luogo. Dovremmo lasciare tutto così com'è per l'arrivo della polizia."""
Ushiromiya George,"""È vero... Battler-kun... stai bene...?"""
Ushiromiya Battler,"""...Sì... Ho pianto tutte le lacrime che potevo versare... Sto bene ora."""
,L'indagine meticolosa della polizia avrebbe sicuramente rinvenuto qualche prova... Ma non eravamo abbastanza maturi da attenderla...
,"Avevo investigato nella cappella per conto mio, cercando di mettere le mani sul colpevole prima che la polizia arrivasse..."
,E tutto ciò che ne ricavai... fu un avvilente zero assoluto...{n}Non trovai neanche un indizio.
Ushiromiya Rosa,"""Forza... usciamo... Maria, noi ce ne stiamo andando... Non stare lì a fissare...!"""
Ushiromiya Maria,"""...Uuh."""
Gohda Toshiro,"""Su, su, signorina Maria... Andiamocene... Qui prenderà freddo."""
Ushiromiya George,"""...Papà, mamma... Grazie di tutto. State certi che diventerò un uomo che non deluderà le vostre aspettative..."""
,George rivolse ai suoi genitori le sue ultime parole di addio...
,"Dopo averlo visto, Battler fece lo stesso."
Ushiromiya Battler,"""...Papà, Kirie-san."""
,"Osservando le loro facce... sembravano dormire, ma... ciò rese la faccenda ancor più frustrante..."
Ushiromiya Battler,"""...Perdonatemi per lasciarvi in un posto così glaciale... Vi prometto che catturerò il responsabile... Ve lo prometto..."""
Ushiromiya George,"""...Cos'è... questo? Che graffito disgustoso... L'ha disegnato il colpevole?"""
Nanjo Terumasa,"""Decisamente di cattivo gusto... È orripilante..."""
,"Quando la porta della cappella venne chiusa, vedemmo per la prima volta quello spaventoso murale."
Gohda Toshiro,"""Quando l'avevamo trovato era già così... Sicuramente è stato il colpevole a disegnarlo..."""
Ushiromiya Battler,"""...Il colpevole è la strega, perciò sarà una sorta di cerchio magico per invocare un demone, no...?"""
Ushiromiya Maria,"""Kihihihihihihihihihih... Questo è il settimo pentacolo del Sole. Neanche questo conosci... Kihihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihih. Ahia."""
Ushiromiya Rosa,"""Ehi!! Non ti dico sempre di smetterla con quella risata raccapricciante?!!"""
Ushiromiya Battler,"""Continua, Maria... Qual è il suo significato?"""
Ushiromiya Maria,"""È un pentacolo per svincolarsi dalle catene, che siano fisiche o spirituali... E la scritta in ebraico attorno alla circonferenza recita: ‘Signore, tu hai spezzato le mie catene. A te offrirò un sacrificio di ringraziamento, e invocherò il nome del Signore’."""
Ushiromiya George,"""...Un sacrificio di ringraziamento...? Stai dicendo che papà e gli altri sono stati uccisi per essere sacrificati a questo pentacolo...?!"""
Ushiromiya Rosa,"""Calmati, George-kun...! Questo è il colpevole che ci sta provocando... Non ha alcun significato. Pensarci sopra servirà solo ad avvelenarti."""
Ushiromiya Battler,"""...Inoltre, c'è anche scritto qualcosa in inglese... ‘{i:Happy Halloween for}’... ‘{i:Maria}’... Capisco. E di conseguenza, Maria ricevette la chiave per aprire questo posto... Dico bene?"""
Ushiromiya George,"""Però qui siamo alla cappella... Forse con ‘Maria’ non ci si riferisce a Maria-chan, ma alla Vergine Madonna... In tal caso, si potrebbe leggerla come una blasfemia contro Dio nel nome di Halloween."""
Ushiromiya George,"""Si dice che le streghe che contrattano con i demoni giurano di profanare il nome di Dio in eterno... Se la si vede in questo senso, è un crimine davvero stregonesco."""
Ushiromiya Rosa,"""Ne sei molto informato. Stai ripetendo quello che dice Maria?"""
Ushiromiya George,"""...Qualcosa del genere, sì."""
Ushiromiya Battler,"""La cappella, eh...? Li ha chiamati qui nella cappella apposta per ucciderli...{n}Zia Rosa. Per caso la cappella ha un'importanza particolare...?"""
Ushiromiya Rosa,"""Cosa intendi per... importanza particolare?"""
Ushiromiya Battler,"""Beh, ecco... Ha portato fin qui i cadaveri di sei individui, e ha allestito delle decorazioni piuttosto ricercate..."""
Ushiromiya Battler,"""Non possiamo asserire se queste sei persone siano state chiamate qui prima di venire uccise, o se siano state uccise prima di venire portate qui... Ma in ogni caso, richiederebbe uno sforzo considerevole... Quale motivo aveva il colpevole... {i:per volere qui sei persone morte}...?"""
Nanjo Terumasa,"""...Giusto. Avendo svolto qualcosa di così elaborato, le probabilità di rinvenire prove sconvenienti all'arrivo della polizia saranno estremamente alte..."""
Nanjo Terumasa,"""Non può essere che il colpevole non l'avesse previsto... Se è così, ne consegue chiedersi perché impegnarsi fino a questi livelli... per compiere qualcosa di simile..."""
Ushiromiya Battler,"""In tal caso, c'è una domanda che sorge spontanea... Qual'è il significato di questo luogo in cui sono stati scoperti i sei cadaveri?"""
Ushiromiya Rosa,"""...Questa cappella... era importante per nostro padre. Mi è stato severamente proibito di metterci piede, sin da quando ero una bambina."""
Ushiromiya Maria,"""Uuh... Anche Maria una volta è venuta qui, e venne sgridata tantissimo... Uuh..."""
Ushiromiya George,"""Un'importante cappella...? Ha qualche collegamento con la famiglia Ushiromiya...?"""
Ushiromiya Rosa,"""Non lo so... Nostro padre considerava la cappella un luogo molto sacro, e ne attribuiva un valore così grande da averla ristrutturata per diverse volte."""
Ushiromiya Rosa,"""Ma, come tutti noi ne siamo a conoscenza, lui non è un devoto credente, data la sua grande passione per la magia nera... Non ho mai sentito che venisse qui per pregare a Dio."""
Gohda Toshiro,"""...Per quanto io ne sappia, il padrone non si è mai recato qui. Noi chiamiamo questo luogo ‘la cappella proibita’ e... ehm... L'abbiamo sempre trattata come un'inquietante casa infestata."""
Ushiromiya Rosa,"""Nostro padre non si è mai avvicinato qui di persona, ma per qualche ragione, per varie volte all'anno la faceva pulire ai domestici... Sembrava che la tenesse sempre pulita per poterla usare una volta giunto il momento appropriato."""
Ushiromiya Battler,"""E ciononostante, viene chiamata ‘la cappella proibita’... Ihihih! Sarà inopportuno da dire, ma suona bene come nome, no? Dottor Nanjo, lei è un vecchio amico di nostro nonno, giusto? Ha mai chiesto dettagli a riguardo?"""
Nanjo Terumasa,"""...Glielo chiesi parecchio tempo fa, ma non ricordo cosa mi disse per evitare l'argomento... Già, forse mi rispose così..."""
Nanjo Terumasa,"""Che un giorno, forse anche lui avrebbe potuto ricevere una benedizione in tale luogo. Ma finché non sarebbe avvenuto un miracolo, quel giorno non sarebbe mai arrivato."""
Ushiromiya Battler,"""Cosa vuol dire...? Cosa si può fare in una cappella? Non intenderà mica il suo funerale?"""
Nanjo Terumasa,"""Non credo che Kinzo-san si riferisse a ciò... Lui si è sempre focalizzato sul vivere nel presente, invece di pensare a cosa accade dopo la morte... Tuttavia, pare che ciò sia stata la radice dei problemi rigurdanti l'eredità."""
Ushiromiya Battler,"""Allora che cosa dovrebbe fare nella cappella...? Pregare? Nella cappella si fanno anche le confessioni, vero...? Ad ogni modo, la cosa puzza."""
Ushiromiya George,"""...Io non saprei dire il perché... ma come ha detto il Dottor Nanjo, agli occhi di nostro nonno... sembra che fosse predestinato sin dalla costruzione di questa cappella che, finché non fosse avvenuto un miracolo, non avrebbe ricevuto una benedizione."""
Ushiromiya Rosa,"""Come fai a saperlo...?"""
Ushiromiya George,"""Guardate... È scritto lì in maniera esplicita... Sì, proprio lì."""
,"Il fratellone George indicò un rilievo con delle lettere dorate arrugginite, posto sulla porzione dell'arco al di sopra della porta."
,Sembrava esserci scritto un messaggio in inglese... Lo stato della ruggine rivelava che il messaggio era stato affissato sin da quando l'edificio venne costruito.
Ushiromiya Battler,"""...Faccio pena con l'inglese... Che c'è scritto...? ‘Dis doar iz...{0}opend...{0}onli att...{0}purobabiliti off’?? Scusate, sono proprio negato."""
,"Mi arresi alla prima delle due righe, non essendo riuscito a leggerla...{n}Il resto del gruppo sembrava riuscire a farlo correttamente."
Ushiromiya George,"""...Vediamo, se non erro, dato che viene la m, poi la b, la t e la q... Dunque, dunque... quanto dovrebbe essere grande... Credo sia, ecco..."""
Ushiromiya George,"""In ogni caso è incredibile. Non si può neanche contarlo con le dita di entrambe le mani. A meno che non avvenga un miracolo, è davvero impossibile."""
Nanjo Terumasa,"""...Vero. Era il modo con cui Kinzo un tempo si esprimeva, usando concetti del gioco d'azzardo per parlare di qualsiasi cosa."""
Ushiromiya Battler,"""Un momento, riuscite tutti a leggerlo? Qualcuno dica anche a me cosa significa."""
Ushiromiya Maria,"""Kihihihihihih... Studia almeno l'inglese. Come hai fatto ad entrare al liceo senza riuscire a leggere frasi così semplici? Kihihi{0}hi{0}hi{0}hi{0}hi{0}hihih, ahia. Ahia, ahia, ahia."""
Ushiromiya Battler,"""Fatti i cavoli tuoi. Che c'è scritto, quindi?"""
Ushiromiya Maria,"""...Su per giù dice: ‘Finché non avverrà un miracolo, questa porta non si aprirà. Finché non avverrà un miracolo, tu non sarai benedetto’..."""
Ushiromiya Maria,"""La stregoneria di nostro nonno si basa su probabilità astronomicamente basse... In altre parole, il miracolo che potrà aprire questa porta... probabilmente richiederà un potere magico incredibilmente ampio... Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihih. Ahia."""
Ushiromiya Battler,"""Bene, grazie per l'aiuto, ora stai zitta. Rosa-san, hai portato Maria a un corso di inglese? Allora è vero che bisogna imparare l'inglese mentre si è giovani."""
Ushiromiya George,"""...‘La cappella proibita’, eh...? A prescindere che la strega {f:5:Beatrice} sia veramente una strega o meno, si mormora che sia una donna esistita decine di anni fa... e che fosse l'amante di nostro nonno."""
Gohda Toshiro,"""Questa è, ehm, solo una mia supposizione personale, ma... io sono convinto che il padrone amasse profondamente {f:5:Beatrice}‐sama. Tuttavia, non poterono congiungersi, essendo lui già sposato."""
Ushiromiya Battler,"""...Capisco... Se {f:5:Beatrice}, ormai morta, venisse resuscitata tramite la magia di un miracolo, potrebbe sposarla senza alcuna vergogna, ora che la nonna è deceduta. E se si unissero in questa cappella... Non trovate che questa storia sembra uscita da una fiaba?"""
Ushiromiya Rosa,"""...Non penso che sia una storia così insensata. È un fatto risaputo che nostro padre ami ancora intensamente {f:5:Beatrice}..."""
Ushiromiya Rosa,"""Inoltre, anche se l'ho definita inquietante, trovo che l'interno della cappella sia decisamente magnifico... Immaginare nostro padre costruire questa cappella nella speranza di convolare a nozze con la sua amante morta, non mi sembra un'ipotesi così fuori luogo."""
Ushiromiya George,"""...Nostro nonno probabilmente sapeva che, dal momento in cui edificò la cappella, non l'avrebbe mai usata come chiesa nel corso della sua vita..."""
Ushiromiya George,""" Ma lui pregò che la strega ritornasse in vita grazie a qualche miracolo. E se tale miracolo fosse avvenuto, aveva avuto in mente di sposarsi qui..."""
Gohda Toshiro,"""...Capisco... A rifletterci su, questo luogo sarebbe incredibilmente importante anche per {f:5:Beatrice}‐sama... Nonostante lui sapesse che la cappella non sarebbe mai stata aperta... Che storia d'amore infelice."""
,"Gouda-san parlava in tono sommesso, sebbene fosse ben più piazzato di me."
,"Tutti rimasero in silenzio, ma sembravano d'accordo con la sua opinione."
Nanjo Terumasa,"""Nonostante lui sapesse che era una cappella che non sarebbe mai stata aperta... probabilmente sognava ancora il giorno in cui sarebbe avvenuto un miracolo... Kinzo-san in gioventù era un grande romantico. Penso di capire cosa provava."""
Ushiromiya Battler,"""Ihihih. Chissà... Ma tutti voi entrate quattro volte all'anno per pulirla, giusto?"""
Ushiromiya Battler,"""Ma quale proibita. Noi siamo appena entrati e usciti. Non c'è stato alcun miracolo. Avevamo con noi la chiave, e dopo un ‘clunk’ eravamo dentro. Tutto qui, non spariamo assurdità."""
Ushiromiya Rosa,"""...Eh...? Eh?! Allora... questo che vuol dire?"""
Ushiromiya Battler,"""I-In che senso ‘questo che vuol dire’...?"""
,Volevo solamente scherzare sull'atmosfera stucchevole che non mi andava a genio... Eppure zia Rosa mi aveva improvvisamente aggredito con una faccia molto seria.
,"Il viso di zia Rosa si fece sempre più pallido... E per diverse volte, alternò il suo sguardo avanti e indietro tra il cerchio magico sulla porta e ciò che teneva in mano."
Gohda Toshiro,"""C-Che cosa le prende, signora Rosa...?"""
Ushiromiya Rosa,"""Rispondi, Gouda-san! La chiave di questa cappella! Genji-san non aveva forse detto qualcosa a riguardo? {i:Aveva detto che ce n'era una sola}!"""
Ushiromiya George,"""...Eh? ..."""
Ushiromiya Maria,"""...Kihihihihihihihihihihihihihihihihihih... Ce ne avete messo di tempo per accorgervene. Kihihi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hi{0}hihih..."""
,"...A volte gli scherzi dei bambini non vengono notati dagli adulti, e il bambino che ne tende uno finisce per scoraggiarsi."
,"Se in un momento successivo qualcuno cadesse vittima di uno di quegli scherzi, ciò renderebbe il ragazzino enormemente felice..."
,Il giubilio espresso da Maria in quel momento lo ricordava moltissimo...
Gohda Toshiro,"""...E-Ehm, sì. Questa chiave ha solo un esemplare. La cappella è importante per il padrone, per cui esiste un solo esemplare della chiave, senza duplicati... Di solito è custodita al sicuro nella cassetta delle chiavi nella stanza per i domestici, ma..."""
Ushiromiya Rosa,"""Esatto. E Genji-san aveva detto che non c'era... Qualcuno l'ha rubata... e l'ha messa in una busta da consegnare a Maria!! E questo è successo ieri!"""
Ushiromiya Battler,"""...Ma che...? Il che significa... che qualcosa non quadra, no?"""
Ushiromiya George,"""...È assurdo... Questa storia sta prendendo una brutta piega."""
Gohda Toshiro,"""C-Che cosa intendete...? Non ho la minima idea di cosa stiate parlando..."""
Nanjo Terumasa,"""Neanch'io... Potreste spiegare la situazione...?"""
,...Non era la stupidità ad impedire a Gouda e Nanjo di capire.
, Era la mancanza di conoscenza... Non sapevano per quanto tempo l'unica chiave per la cappella fosse rimasta nelle mani di Maria.
Ushiromiya Rosa,"""Non c'è dubbio! Era chiusa a chiave!! L'ho aperta io!! Non c'è alcun dubbio!!"""
,"Zia Rosa chiuse la porta della cappella, per poi serrarla a chiave, tirare per controllare se la serratura funzionasse, e aprirla di nuovo, ripetendo più volte il processo."
,Il suo colorito si fece ancor più pallido...
Ushiromiya Rosa,"""Fino a quando non avevo preso la chiave dalla busta di Maria e aperto questa porta, sono sicura che fosse chiusa a chiave!! Ma la chiave era stata messa nella busta e affidata a Maria, no?! E questo successe ieri, prima di mezzogiorno!!!"""
Nanjo Terumasa,"""...Che cosa hai detto...?"""
Gohda Toshiro,"""Ma questo... non può essere...!"""
Ushiromiya Battler,"""Invece sì... Ieri, a mezzogiorno, Maria ha ricevuto l'unica chiave da una donna che proclamava di essere una strega. In altre parole, la cappella era una camera chiusa da mezzogiorno di ieri fino a stamattina, quando Rosa-san ha sbloccato la serratura..."""
Ushiromiya Battler,"""Come è riuscito a portare lì dentro sei persone per poi ucciderle?!"""
,"La morte delle sei persone ci aveva turbato. Eravamo convinti che, dopo aver sentito parlare dello strano cerchio magico e della storia della cappella, avremmo capito qualcosa..."
,Invece erano questioni prive di alcuna importanza!
,"Da mezzogiorno della giornata precedente fino a quella mattina, la cappella era una camera chiusa.{n}Ma i nostri genitori erano stati con noi fino alla notte scorsa."
,Come aveva fatto il colpevole ad aprirla?!{n}E come aveva fatto a chiuderla?!
Ushiromiya Battler,"""...Odio come continui a ripeterti... Di nuovo? Un'altra camera chiusa?! Vuoi dirmi che hai sbloccato la porta con il potere della magia?!! Guarda che non sono stupido!!"""
{f:5:Beatrice},"""Se mi stai chiedendo di mostrarti come uso il mio potere per aprire le serrature, posso farlo volentieri... Ma questo non ti farà cedere."""
{f:5:Beatrice},"""Tu parli di {i:spiegare tutto con gli umani}! Nell'esatto momento in cui non avrai più alcun margine di argomentazione, la vittoria sarà mia!! Su, forza, come pensi di demolirmi? Se è stato un umano, qual è il tipo di trucco che ha usato, mmh~?"""
