Speaker,Italian (Majotachi no Sub) (New) (IT)
,"...Apparentemente, c'era del vero nell'affermazione di Hideyoshi, secondo cui una presentazione, se fatta nel modo giusto, raddoppierebbe il sapore del cibo."
,"Nanjo e i ragazzi, che erano stati cacciati via verso la dépendance, si erano riuniti nella stanza dei cugini, e stavano mangiando la torta che Kumasawa aveva portato come dessert."
,"Era eccezionale e di alta classe, squisitamente decorata con della frutta e con un generoso ammontare di crema, ma per quanto avesse un buon sapore, per qualche ragione il suo gusto aveva perso mordente..."
Ushiromiya Jessica,"""Ahah, il sapore cala decisamente di qualità, senza le presentazioni esaltanti di Gouda-san."""
Ushiromiya Battler,"""Anche a volerle, se le avessimo chieste alla vecchia Kumasawa ci avrebbe detto che era una torta fatta con dello sgombro."""
Ushiromiya Maria,"""Uuh?! Davvero?! Con lo sgombro si possono fare le torte?!"""
Kumasawa Chiyo,"""Ohohohoh. Certo, certo, anche questa torta verrebbe fuori bella soffice, se infornata insieme a del succo di sgombro mischiato con farina e uova. Ohohohoh."""
Ushiromiya George,"""Sarebbe incredibile se fosse vero. Forse la torta allo sgombro potrebbe diventare una nuova voce nei menù dei locali di mio padre."""
Ushiromiya Battler,"""Wahahahah! E poi lo sgombro è pieno di nutrienti, ed è noto per essere salutare. Diventerebbe popolare fra le donne e gli anziani! Ma col cavolo che lo mangerei!"""
Ushiromiya Jessica,"""Le ragazze non mangerebbero mai qualcosa di così strano."""
Nanjo Terumasa,"""Anche gli anziani declinerebbero."""
Kumasawa Chiyo,"""Ohohohoh! Ma non è squisito?"""
,"Grazie alle battute sullo sgombro, che erano la sua specialità, Kumasawa stava risollevando di molto l'umore della stanza... Tuttavia, il rumore della pioggia incessante inevitabilmente volgeva i loro pensieri alla visitratrice misteriosa."
,"Alla fine, finirono per tempestare nuovamente di domande Maria, l'unica lì in mezzo ad aver incontrato {f:5:Beatrice}."
Ushiromiya George,"""...Non posso crederci... Quella storia era vera."""
Ushiromiya Battler,"""Da come parli, sembra che non sia la prima volta che senti di Maria che incontra una strega, anche se non ci hai mai creduto."""
Ushiromiya Jessica,"""...Già. Pensavo fosse una storiella tipica di bambini di quell'età pieni di fantasia."""
Ushiromiya Maria,"""Esisteee!! {f:5:Beatrice} {i:esisteee}! Ogni anno che vengo alla riunione di famiglia ci incontriamo e giochiamo insieme!"""
Kumasawa Chiyo,"""Esatto. Sebbene di solito {f:5:Beatrice}‐sama non si palesa agli altri, ho sentito che a volte appare all'improvviso davanti a persone oneste dal cuore puro, e che gioca degli scherzetti su di loro. Ohohoh."""
,{f:5:Beatrice} era un nome usato per riferirsi alla creatura delle favole sulla strega di Rokkenjima.
,"Per ingraziarsi il favore di Kinzo, i familiari e i domestici contribuivano a diffondere la storia della strega, su cui lui fantasticava continuamente, dando così forma alla favola di Rokkenjima, o forse, al suo racconto dell'orrore..."
,"Per i membri della famiglia che conoscevano questi dettagli, la storia della Strega Dorata non era che una semplice fiabetta... Ma non potevano dirlo davanti a Kinzo."
,"Perciò, per una come la piccola Maria, che non era al corrente di questi particolari... la leggenda della strega non era affatto una fiabetta... ma qualcosa da prendere sul serio."
,"Pertanto, Maria credeva nella leggenda della strega. Se l'era bevuta totalmente..."
,"Per una ragazzina piena di fantasia che credeva nelle streghe, era un risultato scontato."
,"Perciò, nessuno disse nulla che potesse infrangere i suoi sogni...{n}Al contrario, si accordarono sulla stessa storia per fomentarli ulteriormente."
Ushiromiya George,"""...Per cui, anche quando Maria-chan ci aveva mostrato quel dolcetto che diceva di aver ricevuto da {f:5:Beatrice}... io ho pensato che qualcuno potrebbe averne infilato uno di nascosto nella sua borsa, fingendo che fosse opera sua."""
