Speaker,Italian (Majotachi no Sub) (New) (IT)
,All'improvviso il battello ebbe un gran scossone.
,"Sembrava che stessimo per attraccare. Un addetto del battello uscì fuori e saltò sul molo, mentre teneva la corda per l'ormeggio con sé."
,"Ad accoglierci vi era un uomo in smoking dalla grossa corporatura, che sfoggiava un sorriso cordiale..."
,"Non lo riconoscevo, ma dai suoi vestiti avevo presunto che fosse uno dei domestici della famiglia Ushiromiya."
Gohda Toshiro,"""Bentornata a casa, signorina. Ero in pensiero per lei, visto il vostro notevole ritardo."""
Ushiromiya Jessica,"""Ah, grazie per il pensiero! Questo scemone quaggiù ha avuto un attacco di fifa,{n}quindi abbiamo dovuto rallentare. Seriamente, che rottura!"""
Ushiromiya Battler,"""S-Sta' zitta... quando sarai in una situazione simile me lo ricorderò... pff."""
,"Di questo passo la voce si sarebbe sparsa tra tutti i parenti, e sarei diventato l'argomento principale della cena di stasera."
,"Già il solo fatto che non venivo da sei anni mi rendeva facilmente oggetto di discussione, ma ora gli avevo dato una questione ancor più succosa...!"
,"Dannazione, perché mai la famiglia Ushiromiya doveva vivere su quest'isola remota?!"
,"Nel frattempo, il battello aveva finito di attraccare. Venne abbassata una piccola planca per permetterci di scendere dalla barca."
,"I nostri genitori uscirono fuori, uno dopo l'altro."
Gohda Toshiro,"""Sarete molto stanchi per il vostro lungo viaggio. Signora, la prego, mi permetta di aiutarla."""
Ushiromiya Eva,"""Grazie. Ne è passato di tempo, Gouda-san, come stai?"""
Gohda Toshiro,"""La ringrazio per l'interesse. Mi ritengo fortunato che mi venga concesso di offrire i miei servigi con gioia."""
Ushiromiya Kyrie,"""Battler-kun, è la prima volta che incontri Gouda-san? Se non sbaglio, tu sei anni fa non lavoravi ancora qui, giusto?"""
Gohda Toshiro,"""Ha ragione. Mi permetta perciò di presentarmi a lui. È un piacere fare la sua conoscenza, signorino Battler."""
Ushiromiya Battler,"""...Sapevo di essere abbastanza alto, ma tu sei un bestione... Questo è senza dubbio il nostro primo incontro. Mi ricorderei senz'altro di aver conosciuto un omone come te...!"""
Ushiromiya Battler,"""Piacere mio. Sono Battler."""
Gohda Toshiro,"""Chiedo umilmente perdono per l'attesa. Mi chiamo Gouda ({p:0:郷田}), e sono un domestico che serve la famiglia Ushiromiya da due anni a questa parte."""
Gohda Toshiro,"""È un vero piacere fare la vostra conoscenza. Se avete qualche richiesta, non esitate a rivolgerla al sottoscritto."""
Ushiromiya George,"""Non ci si vede da tempo, Gouda-san."""
