Speaker,Italian (Majotachi no Sub) (New) (IT)
Ushiromiya Battler,"""Ehilà, bella gente, complimenti per aver terminato ‘Umineko no Naku Koro ni - Quando i Gabbiani Piangeranno’! Cavolo, la storia è finita prima che iniziassi a capirci qualcosa!"""
Ushiromiya Jessica,"""Quindi che è successo? Alla fine ci è capitato un bad ending dove il tempo è scaduto prima che venisse svelato il colpevole?"""
Ushiromiya Maria,"""Uuh. Decisamente un bad ending. Uuh."""
Ushiromiya George,"""Eh, già. La lettera di {f:5:Beatrice}, che Maria-chan ci ha letto il primo giorno, ci aveva avvisato di risolvere l'enigma dell'epigrafe. Eravamo tutti così occupati a difenderci e a cercare il colpevole, che non abbiamo nemmeno provato a risolverlo."""
Shannon,"""...Esatto. Forse, se avessimo seriamente cercato di risolverlo, le cose sarebbero andate diversamente."""
Ushiromiya Battler,"""Chi può dirlo. Anche tu hai fatto un ottimo lavoro, Shannon-chan!"""
Ushiromiya Battler,"""Non devi farci da cameriera e servirci del tè. Dopotutto, stiamo celebrando i nostri sforzi. In quanto compagni di sventure, dovremmo essere buoni amici e leccarci le ferite a vicenda! Lecca lecca lecca!!"""
Ushiromiya Jessica,"""Shannon ci batte ad occhi chiusi in quanto a sventure, vero? Ero certa che un personaggio dall'aria così posata sarebbe sopravvissuto fino alla fine, ma è stata uccisa fin da subito, e poi in che modo? Sbaglio o è stato distrutto metà del suo volto? Che fine orrenda!"""
Shannon,"""...Era il mio dovere, perciò... ecco, non c'era nulla da fare..."""
Kanon,"""...Sorella, non c'è niente di cui preoccuparsi. A giudicare dall'epilogo, anche la signorina e gli altri hanno incontrato una fine altrettanto tragica."""
Ushiromiya George,"""Ahahahah... così pare. Ricordo che fosse una scena orribile, in cui il mio corpo veniva fatto a pezzi e poi smembrato."""
Ushiromiya Battler,"""A proposito, non pensate che gli ultimi momenti di Kanon-kun siano stati i migliori? Anche se la tua vendetta non si è compiuta, hai avuto un faccia a faccia col colpevole, no? Decisamente meglio dei nostri ultimi istanti in cui non capivamo una mazza, giusto?"""
Kanon,"""...Anche se alla fine, non sono riuscito a scalfirlo."""
Shannon,"""Però... penso che la morte di Kanon-kun sia stata un grosso indizio.{n}Dopotutto, grazie ad essa, è stato reso evidente che esistesse una 19ª persona."""
Ushiromiya George,"""Giusto. In quel frangente, la posizione di tutti era chiara. Perciò, uccidere Kanon-kun era impossibile per ciascuno di noi, tranne una 19ª persona ignota."""
