Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
,"Without even being allowed to wait for dessert, we were chased out of the room. ","Without even being allowed to wait for dessert, we were chased out of the room.",[=UP],俺たちはデザートを待つことも許されず、食堂を追い出された。,[=JP],"Нас выставили из комнаты, даже не дав дождаться десерта.","Sem sequer termos tido permissão para esperar pela sobremesa, nós fomos mandados embora.",我們連坐等甜點的權力都沒有，被趕出了餐廳。,我们连坐等甜点的权力都没有，被赶出了餐厅。,"Senza neanche poter aspettare il dessert, fummo cacciati dalla stanza.",Tatlıyı beklememize bile izin verilmeden odadan kovulduk.
,"I heard that, in the end, our parents were unable to get Grandfather to respond. ","I heard that, in the end, our parents were unable to get Grandfather to respond."," I heard that, in the end, our parents were unable to get Grandfather to respond.",結局、祖父さまは親たちに取り合ってくれなかったという。,[=JP],"Я узнал, что, в конце концов, наши родители так и не смогли добиться от дедушки ответа.","Eu ouvi que no fim, nossos pais foram incapazes de conseguir uma resposta do vovô.",結果，爺爺沒有搭理老爸他們幾個。,结果，爷爷没有搭理老爸他们几个。,"Avevo sentito che, alla fine, i nostri genitori non sono riusciti a far rispondere il Nonno.","Duyduğuma göre, ailelerimiz Büyükbabamızdan bir türlü cevap alamamışlar."
,"...Well, I hate to say it, but I feel like giving Grandfather a high five right now. ","...Well, I'm not sure I should be saying this, but I feel like Grandfather deserves a pat on the back.","...Well, it sounds like Grandfather's feeling pretty good about himself.",…まぁ、こう言っちゃ何だが、祖父さまグッジョブという気分だ。,[=JP],"...Что ж, похоже, дедушка вполне доволен собой.","...Bem, eu não tenho certeza se deveria dizer isso, mas acredito que ele fez um bom trabalho assim.",…雖說這麼說是有點那個，但我覺得爺爺幹得漂亮。,…虽说这么说是有点那个，但我觉得爷爷干得漂亮。,"... Beh, sembra che il Nonno si senta bene.",...Bunu söylemeli miyim emin değilim ama Büyükbabamın bir övgüyü hak ettiğini düşünüyorum.
,"He was probably pretty satisfied with how his strange letter had given his children a good shock, since they'd all been so infatuated with the inheritance problem while Grandfather was still alive. ","He had to be feeling pretty satisfied with the shock his strange letter had given to his children, who had all been so infatuated with distributing the inheritance while he was still alive."," He was probably pretty satisfied with how his strange letter had given his children a good shock, since they had all been so infatuated with the distribution of the inheritance while Grandfather was still alive.",祖父さまは、自分の存命中から遺産問題に執心している息子兄弟に、怪しげな手紙でひと泡吹かせて、さぞや満足しているだろう。,[=JP],"Он наверняка весьма доволен тем, как его странное письмо взбудоражило его детей, когда все они были увлечены распределением наследства при его ещё живом владельце.","Ele deve ter se sentido bem satisfeito com o choque que a sua estranha carta causou em seus filhos, que foram completamente enfeitiçados com a distribuição da herança dele ainda em vida.",通過怪信，將那些自己還在世時就在貪圖遺產的兒女們嚇了個半死的爺爺，此刻想必是十分滿意吧。,通过怪信，将那些自己还在世时就在贪图遗产的儿女们吓了个半死的爷爷，此刻想必是十分满意吧。,"Probabilmente era soddisfatto di come quella strana lettera abbia dato ai suoi figli uno shock, poiché erano tutti esaltati dalla distribuzione dell'eredità mentre il Nonno era ancora vivo.","Tuhaf mektubunun, kendisi hâlâ hayattayken mirası bölüşmek için yanıp tutuşan çocuklarında yarattığı şoktan oldukça memnun olmalıydı."
,I also felt like our despicable parents had gotten what they deserved in all of this confusion. ,I too felt like our despicable parents had gotten what they deserved in all of this confusion., I also felt like our despicable parents had gotten what they deserved in all of this confusion.,俺も、浅ましい親父たちが右往左往しているのは、ざまぁ見ろという気分だった。,[=JP],"Я тоже разделял мнение, что наши недостойные родители получили по заслугам во всей этой неразберихе.",Eu também sinto que nossos desprezíveis pais tiveram o que mereceram em meio à toda essa confusão.,看著膚淺的老爸他們幾個人急得團團轉的樣子，我心中就一個字，“該”。,看着肤浅的老爸他们几个人急得团团转的样子，我心中就一个字，“该”。,Anche io ebbi la sensazione che i nostri genitori ebbero ciò che si meritavano in tutta questa confusione.,Ben de tüm bu karmaşa içinde aşağılık ailelerimizin hak ettiklerini bulduklarını düşündüm.
,...But I couldn't really say that I was feeling great. I felt all sulky. ,......But I couldn't really say that I was feeling great.{n}I felt all sulky.,......But I couldn't really say that I was feeling great. I felt all sulky.,……もっとも爽快な気分とはとても言い難い。不貞腐れたい気分だった。,……もっとも爽快な気分とはとても言い難い。{n}不貞腐れたい気分だった。,"......Но не могу сказать, что это грело мне душу.{n}Я чувствовал себя совсем угнетённым.",......Mas não posso dizer que eu estou me sentindo bem.{n}Eu estou bem aborrecido.,……不過，這也難以稱為心情爽快。{n}倒不如說是在慪氣。,……不过，这也难以称为心情爽快。{n}倒不如说是在怄气。,... Ma non potevo proprio dire di sentirmi bene. Ero imbronciato.,......Ama kendimi çok da iyi hissettiğimi söyleyemezdim.{n}Kendimi miskin hissediyordum.
,"Apparently, Grandfather hadn't seemed concerned with the whole thing, but he also hadn't denied anything about the letter either. ","Grandfather hadn't entertained them for a moment, but he also apparently hadn't denied anything about the letter."," Apparently, Grandfather hadn't seemed concerned with the whole thing, but he also hadn't denied anything about the letter either.",祖父さまは構ってくれなかったわけだが、手紙のことを否定することもしなかったらしい。,[=JP],"Казалось, что дедушку не заботила сложившаяся ситуация, но он также ничего не отрицал насчёт письма.","O vovô não parece preocupado com isso, mas aparentemente ele também não negou nada a respeito da carta.",爺爺雖然沒理會這事，但似乎也沒有否定，那封信上所講的內容。,爷爷虽然没理会这事，但似乎也没有否定，那封信上所讲的内容。,"Apparentemente, il Nonno non era sembrato preoccupato della cosa, ma non negò nemmeno nulla sulla lettera.",Büyükbabam tüm bu olup bitenlerle pek de ilgilenmemişti ama görünüşe göre mektupla ilgili hiçbir şeyi inkâr da etmemişti.
,"When talking about the witch's letter, Grandfather's name kept popping up. ",Grandfather's name pops up several times in the witch's letter.," When talking about the witch's letter, Grandfather's name kept popping up.",魔女の手紙には、祖父さまの名が何度も出てくる。,[=JP],"Как только речь заходила о письме ведьмы, тут же всплывало имя дедушки.",O nome dele apareceu diversas vezes durante a carta.,魔女的信上出現了好幾次爺爺的名字。,魔女的信上出现了好几次爷爷的名字。,"Parlando della lettera della strega, era sempre saltato fuori il nome del Nonno.",Büyükbabamın adı cadının mektubunda birkaç kez geçiyor.
,"If Grandfather knew that someone was stealing his name, then considering his character, he'd probably be mad with rage. ","If Grandfather knew that someone was stealing his name, then considering his character, he would probably be mad with rage."," If Grandfather knew that someone was stealing his name, then considering his character, he would probably be mad with rage.",もし祖父さまが自分の名を騙られたと知ったなら、キャラクター的に考えて怒り狂うところだろう。,もし祖父さまが自分の名を騙られたと知ったなら、キャラクター的に考えて怒りくるうところだろう。,"Если дедушка знал, что кто‐то присвоил его имя и злоупотребляет им, то, учитывая его характер, он наверняка бы с ума сошёл от ярости.","Se ele sabe que alguém está usando seu nome, então, considerando sua personalidade, ele provavelmente ficaria enlouquecido.",如果爺爺知道有人在冒用自己的名字，按他的脾氣，肯定會大發雷霆。,如果爷爷知道有人在冒用自己的名字，按他的脾气，肯定会大发雷霆。,"Se il capofamiglia avesse saputo che qualcuno stava rubando il suo nome, considerando il suo carattere, sarebbe andato in collera, furibondo.","Büyükbabam kendi isminin biri tarafından çalındığını bilseydi, kişiliğini göz önünde bulundurduğumuzda öfkeden deliye dönmesi kuvvetle muhtemeldi."
,"But even though Grandfather now knew the contents of that letter, he coldly ignored it. ","But even though Grandfather now knew the contents of that letter, he had coolly ignored it."," But even though Grandfather now knew the contents of that letter, he coldly ignored it.",しかし祖父さまは、手紙の内容を知ってもなお、涼しげに無視していたという。,[=JP],"Но хоть дедушка теперь и знал про содержание этого письма, он холодно проигнорировал его.","Mas mesmo agora que ele ficou sabendo do conteúdo da carta, ele ignorou isso de forma fria.",然而，爺爺明知信上的內容，卻平心靜氣地不予理睬。,然而，爷爷明知信上的内容，却平心静气地不予理睬。,"Ma il Nonno conosceva i contenuti della lettera, e li aveva freddamente ignorati.","Ancak Büyükbabam mektubun içeriğini bilmesine rağmen, soğukkanlılıkla görmezden gelmişti."
