Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"The biggest fall event for the Ushiromiya family was the family conference in October, but to Jessica, there was another major event that came before that: the school cultural festival. ","The biggest event for the Ushiromiya family in fall was the family conference in October, but for Jessica, there was another one before that: the school cultural festival.","The biggest event for the Ushiromiya family in fall was the family conference in October, but to Jessica, there was another one before that: the school cultural festival.",右代宮家にとって秋にある最大の行事は、１０月にある親族会議ただひとつだったが、朱志香にとってはその前にもうひとつ、学校の文化祭があった。,[=JP],"Крупнейшим событием для семьи Уширомия осенью было семейное собрание в октябре. Но у Джессики было ещё одно событие, по важности перевешивающее общий слёт семьи, а именно: культурный фестиваль школы.","O maior evento para a família Ushiromiya no outono era a conferência familiar em outubro, mas, para Jessica, havia outro antes desse: o festival cultural da escola.",對右代宮家來說秋天最重要的活動，就只有在十月召開的親族會議那麼一個，但對朱志香而言，在這之前還有一個，那就是學校的文化祭。,对右代宫家来说秋天最重要的活动，就只有在十月召开的亲族会议那么一个，但对朱志香而言，在这之前还有一个，那就是学校的文化祭。,"Il più grande evento per la famiglia Ushiromiya in autunno era la riunione di famiglia di ottobre, ma per Jessica, ce n'era un altro prima di quello: il festival culturale della scuola.","Per la famiglia Ushiromiya, l'evento più importante dell'autunno era la riunione di famiglia ad ottobre, ma per Jessica ce n'era un altro che lo precedeva: il festival scolastico.","Ushiromiya ailesi için sonbahardaki en büyük etkinlik Ekim ayındaki aile konferansıydı, ama Jessica için bundan önce bir tane daha vardı: okul kültür festivali."
,"Jessica liked school. To her, it was a place where she could let out the stress she'd built up from the rigid lifestyle she was forced to lead at home. ","Jessica liked school; to her, it was a place where she could let out the stress she'd built up during the rigid lifestyle she was forced to lead at home."," Jessica liked school. To her, it was a place where she could let out the stress she'd built up during the rigid lifestyle she was forced to lead at home.",朱志香にとって学校生活は、堅苦しい生活を強いられる日々のストレスを発散できるお気に入りの場所だった。,[=JP],"Джессика любила школу, где она могла сбросить стресс после дней, в течение которых она вынуждена была жить, соблюдая формальности.","Jessica gostava da escola; para ela, era um lugar onde ela podia liberar o estresse que havia acumulado durante o rígido estilo de vida que era forçada a levar em casa.",在朱志香看來，學校是個讓她非常中意的地方。平日裡被逼著嚴于律己的她，能在校園生活中釋放積壓已久的壓力。,在朱志香看来，学校是个让她非常中意的地方。平日里被逼着严于律己的她，能在校园生活中释放积压已久的压力。,"A Jessica piaceva la scuola. Per lei, era un posto dove poteva scaricare lo stress accumulato per il rigido stile di vita che era costretta tenere a casa.","La scuola era il luogo preferito di Jessica, dove poteva rilasciare lo stress dei giorni in cui era costretta a seguire uno stile di vita formale.","Jessica okulu seviyordu; ona göre okul, evde sürdürmek zorunda kaldığı katı yaşam tarzı boyunca biriktirdiği stresi atabileceği bir yerdi."
,"For today's cultural festival, she'd formed a group with her friends... and had announced that they'd perform some light music on a temporary stage. ","For the cultural festival today, she had formed a group with her friends, and would be performing casual pop‐rock on a temporary stage."," For the cultural festival today, she had formed a group with her friends, and had announced that they would perform light music on a temporary stage.",今日の文化祭でも、彼女は友人たちとグループを組み、仮設舞台で軽音楽の発表をすることになっていた。,[=JP],"Для сегодняшнего фестиваля она сформировала группу с друзьями, и объявила, что будет играть лёгкую музыку на временной сцене.","Para o festival cultural de hoje, ela havia formado um grupo com suas amigas, e estaria tocando pop‐rock casual em um palco temporário.",今天的文化祭，她也和朋友們組成了樂隊，要在臨時舞台上演奏輕音樂。,今天的文化祭，她也和朋友们组成了乐队，要在临时舞台上演奏轻音乐。,"Per il festival culturale di oggi, aveva formato un gruppo con i suoi amici, e aveva dichiarato che avrebbero suonato musica leggera su un palco provvisorio.","Per il festival di quel giorno, Jessica mise su una band con le sue amiche, e fu deciso che avrebbero presentato della musica pop su un palco provvisorio.","Bugünkü kültür festivali için arkadaşlarıyla bir grup oluşturmuştu, ve kurulan geçici sahnede sıradan bir pop-rock performansı sergileyeceklerdi."
,"She had prepared and practiced for this over and over until today, always anxiously awaiting this day's arrival, ......but there was one thing that worried her. ","She had kept on preparing and practicing for that, and was really looking forward to today, .........but there was one thing that had been worrying her."," She had kept on preparing and practicing for that, and had really looked forward to today, .........but there was one thing that had worried her.",そのために今日まで準備と練習を重ね、今日の当日を楽しみにしていたのだが、………ある一点だけが悩みだった。,[=JP],"Поэтому она готовилась и репетировала и с огромным нетерпением ожидала этого дня. .........Но имелось кое‐что, заставляющее её нервничать.","Ela havia continuamente se preparado e ensaiado para isso, e estava realmente ansiosa pelo dia de hoje, .........mas havia uma coisa que estava a preocupando.",雖然她為了這場表演做了種種練習和準備，也一直盼著這一天的到來，………但還是有一件事讓她頗感苦惱。,虽然她为了这场表演做了种种练习和准备，也一直盼着这一天的到来，………但还是有一件事让她颇感苦恼。,"Lei aveva continuato a prepararsi ed esercitarsi per quello, e aveva atteso con trepidazione... ma c'era una cosa che la preoccupava.","Per questo motivo, si era preparata ed esercitata senza sosta per quel momento, non vedendo l'ora che arrivasse il giorno in questione, ma... c'era solo una cosa che la preoccupava.","Bu güne kadar hazırlanmaya ve pratik yapmaya devam etmişti ve bugünü gerçekten dört gözle bekliyordu, .........ama onu endişelendiren bir şey vardı."
,"She looked at the clock. ...There was still a little time, ...but she felt uneasy. ","She looked at the clock. ...There was still a little time, ...but she was uneasy."," She looked at the clock....There was still a little time, ...but she was uneasy.",時計を見る。…まだ時間までは少しあるが、…不安だった。,[=JP],Она посмотрела на часы. Было ещё немного времени... Но на душе у неё скребли кошки.,"Ela olhou para o relógio. ...Ainda havia um tempinho, ...mas ela estava inquieta.",看了下鐘。…雖說還有些時間，…但還是按捺不住心中的不安。,看了下钟。…虽说还有些时间，…但还是按捺不住心中的不安。,Guardò l'orologio. ... C'era ancora un pò di tempo... ma si sentiva a disagio.,Guardò l'orologio... Rimaneva ancora un po' di tempo... ma era agitata.,Saate baktı. ...Hâlâ biraz zaman vardı. ...ama tedirgindi.
,Would that person really come? ,Would he really come?, Would that person really come? ,ちゃんと来てくれるだろうか。,[=JP],Придёт ли он?,Ele realmente viria?,真的會按時來嗎？,真的会按时来吗？,Quella persona verrà davvero?,Sarebbe riuscito ad arrivare in tempo?,O gerçekten gelecek miydi?
,"After taking a single deep breath, her heart jumped when all her friends suddenly started speaking in shrill voices. ","As she was about to breathe out a stress‐relieving sigh, her heart jumped as all her friends suddenly started speaking in shrill voices.","After taking a single deep breath, her heart jumped when all her friends suddenly started speaking in shrill voices.",ため息をつこうとしたら、友人たちが黄色い声を一斉に上げたので心臓が飛び上がった。,[=JP],"После глубокого вздоха, её сердце ёкнуло, когда вдруг все её подруги запищали пронзительными голосами.","Quando ela estava prestes a soltar um suspiro para aliviar o estresse, seu coração pulou enquanto todas as suas amigas começaram a falar em vozes agudas.",正打算作一次深呼吸時，周圍朋友們異口同聲地發出了尖叫，使她的心臟都快跳出來了。,正打算作一次深呼吸时，周围朋友们异口同声地发出了尖叫，使她的心脏都快跳出来了。,"Dopo aver preso un profondo respiro, il suo cuore sobbalzò quando tutti i suoi amici incominciarono improvvisamente a parlare con voci stridule.","Quando fece per tirare un sospiro, le voci striduli delle sue amiche che si levarono all'unisono le fecero venire un colpo al cuore.","Stres atıcı bir iç çekiş yapmak üzereyken, tüm arkadaşlarının aniden tiz seslerle konuşmaya başlamasıyla kalbi yerinden fırladı."
,"""No wa-y, Hina's boyfriend's so a-wesome!!"" ","""No wayyyy, Hina's boyfriend's a to~tal stud!!""","""No wa-y, Hina's boyfriend's so a~wesome!!"" ",「うっそー、ヒナの彼氏ィ超ォイケてんじゃん〜ッ！！」,[=JP],"""Ух‐ты‐ы, парень Хины тако‐о‐ой крутой!""","""Sem chaaaance, o namorado da Hina é um su~pergato!!""",「不是吧，比奈你的男朋友簡直超正點的嘛～！！」,「不是吧，比奈你的男朋友简直超正点的嘛～！！」,"""Non è possibi-le, il ragazzo di Hina è così figo!!""","""Non ci credooo, il ragazzo di Hina è così carino~!!""","""Yok artık, Hina'nın erkek arkadaşı gerçek bir erkek!!"""
,"""Isn't he?! Isn't he?!"" ","""He totally is, right?! He totally is, right?!""",[=ST],「マジすごくない？！マジすごくない？！」,「マジすごくない？！　マジすごくない？！」,"""Правда?! Правда?!""","""Ele não é incrível? Ele não é incrível?!""",「太厲害了吧？！太厲害了吧？！」,「太厉害了吧？！太厉害了吧？！」,"""Vero?! Vero?!""","""Assurdo, vero?! Assurdo, vero?!""","""Harika, değil mi?! Harika değil mi?!"""
,"""Rin's boyfriend looks re-ally smart! Is it true that guy's a glasses beast?!"" ","""Rin, your boyfriend looks hella smart! So the guy's a hard S with glasses?! Like, for real?!""","""I heard Rin's boyfriend's re-ally smart! Is it true that guy's a glasses beast?!"" ",「リンの彼氏すっごい頭良さそォ！あれで鬼畜眼鏡なの、マジ本当ォ？！」,「リンの彼氏すっごい頭良さそォ！　あれでドＳ眼鏡なの、マジ本当ォ？！」,"""Я слышала, парень у Рин тако‐о‐ой умный! Это правда, что он очкастый страшила?!""","""Rin, seu namorado parece su~perinteligente! Então é daqueles supersadistas de óculos?! Tipo, de verdade?!""",「鈴的男朋友看起來腦筋超好的哎！那樣子還是鬼畜四眼啊，真的假的啊？！」,「铃的男朋友看起来脑筋超好的哎！那样子还是鬼畜四眼啊，真的假的啊？！」,"""Ho sentito che il ragazzo di Rin è davve-ro un tipo alla moda! È vero che quel tipo ha una mania per gli occhiali?!""","""Il ragazzo di Rin è troooppo intelligente! Ma è vero che è un quattrocchi sadico a letto?!""","""Rin, erkek arkadaşın çok zeki görünüyor! Bu adamın gözlüklü bir canavar olduğu doğru mu?!"""
,"""No way, no way, my husband'll be a pretty bo-y!"" ","""No way, no way, my man's a gyaru‐o!""",[=ST],「ダメダメ、うちのダンナ、ギャル男だしー！」,[=JP],"""Ну нет, ну нет, у меня муж будет красавцем!""","""Sem chance, sem chance, meu homem é um gyaru‐o!""",「不行不行，我家的老公呀，是 gal 男啦！」,[=CHT],"""Non è possibile, non è possibile, mio marito sarà un bel ra-gazzo!""","""Niente da fare, mio marito sarà un bellocciooo!""","""Asla, asla, kocam hoş bir erkek olacak!"""
,"""""""*giggle*{p:0:♪} *giggle*{p:0:♪}"""""" ","""""""*giggle*{p:0:♪} *giggle*{p:0:♪}""""""","""""""Kyakkya♪ Kyakkya♪""""""",「「「きゃっきゃッ♪　きゃっきゃッ♪」」」,[=JP],"""""""Кья‐а {p:0:♪} кья‐а {p:0:♪}""""""","""""""*KyaaKyaa*{p:0:♪} *KyaaKyaa*{p:0:♪}""""""",「「「呀哈哈哈♪ 呀哈哈哈♪」」」,[=CHT],"""""""Kyakkya{p:0:♪} Kyakkya{p:0:♪}""""""","""""""Kyahahah{p:0:♪} Kyahahah{p:0:♪}""""""",[=UP]
