Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Jessica,"""Whaaaaaaat?! What do you mean, separate rooms?! So wait, you and George nii-san stayed in different rooms on purpose?!"" ","""Eeeeeeeeeh?! What do you mean ""separate rooms""?! Then, Shannon, you and George nii‐san stayed in different rooms on purpose?!""","""Eeeeeeeeeh?! What do you mean, separate rooms?! Then, Shannon, you and George nii-san stayed at different rooms on purpose?!""",「えええぇえぇえぇ？！べ、別部屋って何だよ？！じゃあ、わざわざ紗音と譲治兄さんは別の部屋に泊まったのかよ？！」,「えええぇえぇえぇ？！　べ、別部屋って何だよ？！　じゃあ、わざわざ紗音と譲治兄さんは別の部屋に泊まったのかよ？！」,"""Что‐о‐о‐о‐о‐о?! То есть как это в разных комнатах?! Тогда, Шаннон, вы с Джорджем нии‐саном специально остались в разных комнатах?!""","""Eeeeeeeeeh?! O‐O que você quer dizer com ""quartos separados""?! Então, Shannon, você e o George nii‐san ficaram em quartos diferentes de propósito?!""",「哎———————？！兩、兩個房間算什麼意思啊？！那，紗音你和讓治哥還特意分房睡的啊？！」,「哎———————？！两、两个房间算什么意思啊？！那，纱音你和让治哥还特意分房睡的啊？！」,"""Eeeeeeeeeh?! Cosa intendi con camere separate?! Allora, Shannon, tu e George nii-san stavate in camere separate di proposito?!""","""Eeeeeeeeeh?! Cosa intendi per stanze separate?! Allora, tu e il cugino George stavate in stanze diverse di proposito?!""","""Eeeeeeeeeh?! ""Ayrı odalar"" da ne demek?! O zaman Shannon, sen ve George nii-san bilerek farklı odalarda mı kaldınız?!"""
Shannon,"""...Y-Yes... Umm, ...is it really so strange...?"" ","""Ye‐......yes... umm, ......was it that strange a thing to do......?""","""Y-,...... Yes... I mean, ...... was it that strange......?""",「は、……はい…。ぁの、……そんなにもおかしかったでしょうか……？」,[=JP],"""Д‐да... Но разве... в этом есть что‐то странное?..""","""S‐Sim... Bem, ......foi uma coisa estranha a se fazer......?""",「是、……是的…。請問，……這有那麼奇怪嗎……？」,「是、……是的…。请问，……这有那么奇怪吗……？」,"""S... Sì... voglio dire... è strano...?""","""S-Sì... Ehm... è davvero così strano...?""","""E-......Evet... umm, ......bu o kadar garip bir şey mi......?"""
,"Jessica's cheeks had been stuffed with a chocolate-coated chinsukou biscuit that Shannon had brought as a present from Okinawa, and it all came flying out at Shannon when Jessica cried out... ","Since Jessica's cheeks had been stuffed with chocolate‐coated chinsukou biscuit that Shannon had brought as a souvenir from Okinawa, it all flew out at Shannon when Jessica cried out...","Since Jessica's cheeks had been stuffed with chocolate-coated chinsukou biscuit that Shannon had brought as a present from Okinawa, it all flew out at Shannon when Jessica cried out...",朱志香は、紗音の持ってきた沖縄土産の、チョココーティングのちんすこうを頬張りながら絶叫したため、それらは盛大に紗音に吹きかかるのだった…。,[=JP],"Поскольку щёки Джессики были забиты шоколадным печеньем, привезённым Шаннон в качестве подарка с Окинавы, то когда она крикнула, оно всё полетело в Шаннон...","As bochechas de Jessica estavam cheias de biscoitos chinsukou, cobertos com chocolate, que Shannon havia trazido como um souvenir de Okinawa, e tudo saiu voando em direção à Shannon quando Jessica berrou...",由於朱志香正狼吞虎咽著紗音買來的沖繩特產——巧克力脆皮金楚糕，因而這一驚叫，把滿嘴的餅沫都噴向了紗音…。,由于朱志香正狼吞虎咽着纱音买来的冲绳特产——巧克力脆皮金楚糕，因而这一惊叫，把满嘴的饼沫都喷向了纱音…。,"Siccome le guance di Jessica erano piene di chinsukou ricoperto di cioccolato che Shannon aveva portato come regalo da Okinawa, era schizzato tutto su Shannon quando Jessica urlò...","Dato che le guance di Jessica erano piene di biscotti chinsuko ricoperti di cioccolato, che Shannon aveva portato come regalo da Okinawa, nel gridare, li sputò tutti di getto su di lei...","Jessica'nın yanakları Shannon'un Okinawa'dan hatıra olarak getirdiği çikolata kaplı chinsukou bisküvisiyle dolu olduğundan, Jessica haykırdığında hepsi Shannon'a doğru savruldu..."
Ushiromiya Jessica,"""...Sh-Shannon, why did you even go on a trip to Okinawa...? You were even alone with George nii-san!"" ","""...Sha‐Shannon, why did you even go on a trip up to Okinawa then...? And even alone with George nii‐san!""","""...Sh, Shannon, why did you even go on a trip up to Okinawa...? And even alone with George nii-san!""",「…しゃ、紗音さ、何のために沖縄まで旅行に行ったんだよ…。それも譲治兄さんと二人っきりで！」,[=JP],"""...Ш‐Шаннон, для чего ты, скажи на милость, вообще решила поехать на Окинаву?.. И не с кем‐нибудь, а вместе с Джорджем нии‐саном!""","""...Sha‐Shannon, por que vocês foram para Okinawa então...? E sozinha com o George nii‐san!""",「…我、我說紗音呀，你到底是為了什麼去沖繩旅行的呀…。還是和讓治哥兩人單獨去的！」,「…我、我说纱音呀，你到底是为了什么去冲绳旅行的呀…。还是和让治哥两人单独去的！」,"""... Sh-Shannon, perché sei persino andata in un viaggio a Okinawa...? E persino da sola con George nii-san!""","""...S-Shannon, allora perché hai fatto un viaggio a Okinawa...? Eri anche da sola con il cugino George!""","""...Sha-Shannon, o zaman neden Okinawa'ya gittin ki...? Hem de George nii-san'la baş başa!"""
Shannon,"""Well, umm, ...he said there was a huge aquarium in Okinawa and invited me to go... And...I like fish and stuff..."" ","""That's because... I mean... Since there's a very big aquarium in Okinawa, I was invited to go and...I...like fish and stuff...""","""That is, I mean..., since there's a very big aquarium in Okinawa, I was invited to go and... I, ...like fish and stuff...""",「それはその…、とても大きな水族館が沖縄にあるからぜひ行こうって誘われて…。私、…お魚とか好きですし…。」,「それはその…、とても大きな水族館が沖縄にあるからぜひ行こうって誘われて…。私、…お魚とか好きですし…」,"""Ну, дело в том... поскольку там на Окинаве есть очень большой океанариум, я была приглашена и... я... люблю рыбу и всё такое...""","""Isso porque... quero dizer... Como tem um grande aquário em Okinawa e eu fui convidada a ir e...eu...gosto de peixes e coisas assim...""",「這個嘛…，是讓治少爺來邀我說沖繩有座很大的水族館，希望我一定要和他一起去…。而且我還，…蠻喜歡魚的…」,「这个嘛…，是让治少爷来邀我说冲绳有座很大的水族馆，希望我一定要和他一起去…。而且我还，…蛮喜欢鱼的…」,"""È che, ecco... siccome c'è un grande acquario a Okinawa, sono stata invitata e... mi... piacciono i pesci e cose del genere...""","""Beh, ecco... ad Okinawa c'era un acquario molto grande, perciò mi ha chiesto di andarci con lui... E... a me piacciono i pesci e animali del genere...""","""Şey, umm, ...Okinawa'da büyük bir akvaryum olduğunu söyleyip beni davet etti ve...ben...balıklar gibi şeyleri severim..."""
Ushiromiya Jessica,"""No, that's not the point!! We're talking about a healthy guy and girl going on an overnight trip, right?! And you're saying there weren't even any hugs and kisses?! And seriously, what's up with the guy and girl staying in different rooms?!!"" ","""No, I mean, like...!! This is a young couple going on an overnight trip, right?! And you're saying there weren't even any hugs and kisses?! To say nothing of the fact that the guy and girl were staying in different rooms!!""","""No, that's not it!!　This is a young couple going on an overnight trip, right?! And you're saying there weren't even any hugs and kisses?! To say nothing of the fact that the guy and girl were staying in different rooms!!""",「いや、だからさぁ？！健全な男女がお泊りありで旅行に行ったわけだろ？！それでチューもなければギューもないのかよ？！ましてや部屋は男女で別部屋って何だよ？！」,「いや、だからさぁ？！　健全な男女がお泊りありで旅行に行ったわけだろ？！　それでチューもなければギューもないのかよ？！　ましてや部屋は男女で別部屋って何だよ？！」,"""Нет! Да нет же! Речь ведь идёт о молодой паре, отправившейся в поездку с ночёвкой, правильно? И ты заявляешь, что не было даже никаких объятий и поцелуев?! А то, что парень и девушка остались в разных комнатах, я вообще молчу!""","""Não, quero dizer, é mais como...!! É como um jovem casal saindo em uma viagem noturna, certo?! E você está dizendo que nem se abraçaram ou se beijaram?! E não vou dizer nada sobre o fato de um cara e uma garota ficarem em quartos separados!!""",「不是啊，所以說啊？！你們兩位健全男女是住宿旅行去了對吧？！可你們卻連“親親”也沒有，“抱抱”也沒有啊？！更何況還男女分房睡，這算什麼呀？！」,「不是啊，所以说啊？！你们两位健全男女是住宿旅行去了对吧？！可你们却连“亲亲”也没有，“抱抱”也没有啊？！更何况还男女分房睡，这算什么呀？！」,"""No, non è questo!! Questa è una giovane coppia che fa un viaggio pernottando, no?! E stai dicendo che non ci sono stati abbracci e baci?! Senza parlare del fatto che il ragazzo e la ragazza erano in stanze diverse!!""","""No, non è questo il punto!! Stiamo parlando di un ragazzo e una ragazza in salute che vanno in una gita in cui dormono fuori, giusto?! E non ci sono stati né baci, né abbracci?! Per non parlare di un ragazzo e una ragazza in delle stanze separate!!""","""Hayır, demek istediğim şu...!! Genç bir çift gece yolculuğuna çıkıyor, değil mi?! Ve sen hiç sarılma ve öpüşme olmadığını mı söylüyorsun?! Kız ve erkeğin farklı odalarda kaldığı gerçeğinden bahsetmiyorum bile!!"""
Shannon,"""As for k-kisses, no comment. Ah, but we did hug... George-san's chest was warm..."" ","""As for ki‐kisses, no comment. ...ah, but we did hug, though...? George‐san's chest was warm...""","""As for k, kisses, no comment. Ah, but we did hug... George-san's chest was warm...""",「チュ、チューについてはノーコメントです。ぁ、でも、ギューはありましたよ…？譲治さんの胸、温かかったです…。」,「チュ、チューについてはノーコメントです。ぁ、でも、ギューはありましたよ…？　譲治さんの胸、温かかったです…」,"""Что касается п‐поцелуев, без комментариев. Ах, но мы действительно обнялись... Грудь Джорджа‐сама была такая тёплая...""","""Quanto aos be‐beijos, sem comentários. ...Ah, mas nós só nos abraçamos, mas... o peito do George‐san é quente...""",「關、關於“親親”我無可奉告。啊，但是，有抱過哦…？讓治少爺的胸膛，暖洋洋的…」,「关、关于“亲亲”我无可奉告。啊，但是，有抱过哦…？让治少爷的胸膛，暖洋洋的…」,"""Per i ba-baci, no comment. Ah, ma ci siamo abbracciati... il petto di George-san era caldo...""","""P-Per quanto riguarda i baci, non commenterò. Ah, però, ci siamo abbracciati... Il petto di George-san era caldo...""","""Ö-Öpücükler için, {ruby:no comment:yorum yok}. ...ah, ama sarıldık... George-san'ın göğsü sıcacıktı..."""
Ushiromiya Jessica,"""That's not the point!! Aah, geez! Why do couples like this exist?! Aaah, geez!! I can't take it anymore!"" ","""That's not the point!! Aah, geez! Why do couples like this exist?! Aaah, geez!! It's so damn irritating!""","""That's not the point!! Aah, geez! Why do couples like this exist?! Aaah, geez!! It's so irritating!""",「そーゆうことじゃねーぜ！！あーもぅ！何だってこんなカップルがいるんだよ？！あーもー！！じれってーぜ！」,「そーゆうことじゃねーぜ！！　あーもぅ！　何だってこんなカップルがいるんだよ？！　あーもー！！　じれってーぜ！」,"""Да не в этом дело! А‐ах, ну ёлки‐палки! Почему такие пары вообще существуют?! А‐а, блин! Как же это бесит!""","""Não é esse o ponto!! Aah, poxa! Por que casais como esse existem?! Aaah, poxa!! Isso é irritante demais!""",「才不是指這種意思嘞！！啊——真是的！怎麼會有這種情侶啊？！啊——真是的！！真讓我急死嘞！」,「才不是指这种意思嘞！！啊——真是的！怎么会有这种情侣啊？！啊——真是的！！真让我急死嘞！」,"""Non è questo il punto!! Aah, dai! Perché esistono coppie del genere?! Aaah, ti prego!! È così irritante!""","""Non era questo quello che intendevo!! Aah, uffa! Perché ci sono coppie così?! Aah, che cavolo!! Mi fate imbestialire!""","""Konu bu değil!! Aah, tanrım! Neden böyle çiftler var?! Aaah, tanrım!! Bu çok sinir bozucu!"""
,"From Shannon's point of view, it was an incredibly happy trip for various reasons, but it looked like Jessica found their pace to be pretty irritating. ","From Shannon's perspective, a lot of things had happened and it seemed to have been a very happy trip, but it looked like the missed opportunity had left Jessica feeling greatly unfulfilled.","A lot of things had happened to Shannon and it seemed to have been a very happy trip, but it looked like Jessica found it pretty irritating.",紗音的には色々あって、とても幸せな旅行だったらしいのだが、朱志香的にはあまりにももどかしいもののようだ。,[=JP],"Много чего произошло с Шаннон, и было видно, что она очень рада поездке, вот только Джессику, по‐видимому, это выводило из себя.","Pela perspectiva de Shannon, muitas coisas aconteceram e parece ter sido uma viagem muito feliz, mas também uma oportunidade perdida, que tinha deixado Jessica com um sentimento de insatisfação.",雖然這對紗音而言是一趟經歷了種種事情的，幸福非凡的旅行，但似乎在朱志香看來，卻是毫無進展盡讓她乾著急了。,虽然这对纱音而言是一趟经历了种种事情的，幸福非凡的旅行，但似乎在朱志香看来，却是毫无进展尽让她干着急了。,"Molte cose erano successe a Shannon e sembrava essere stato un viaggio molto felice, ma sembrava che Jessica lo trovasse molto irritante.","Dal punto di vista di Shannon, il viaggio era stato molto bello per diversi motivi, ma Jessica sembrava trovare la cosa piuttosto irritante.","Shannon'un bakış açısına göre, pek çok şey olmuştu ve çok mutlu bir yolculuk geçirmiş gibi görünüyordu, ama kaçırılan fırsat Jessica'yı büyük ölçüde hayal kırıklığına uğratmış gibi görünüyordu."
,"For a while, Jessica chewed her present, complaining about romance and pretending to faint in agony on her bed. ","For a while, Jessica chewed on her souvenir, writhing on her bed as she complained about their romance."," For a while, Jessica chewed on her present, complaining about romance and pretending to faint in agony on her bed.",朱志香はしばらくの間、もぐもぐとお土産を頬張りながら、ベッドの上で、人の恋路をあーだこーだとグチグチ言いながら悶絶しているのだった。,[=JP],"Некоторое время Джессика жевала свой подарок, жалуясь на романтику и имитируя бессильные обмороки на кровати.","Por um tempo, Jessica ficou comendo seu souvenir, se contorcendo na cama enquanto reclamava do romance deles.",朱志香氣得一邊把紗音送的糕點塞得滿嘴都是，一邊在床上，郁悶得喋喋不休了好一會兒別人談戀愛都是怎麼樣怎麼樣的。,朱志香气得一边把纱音送的糕点塞得满嘴都是，一边在床上，郁闷得喋喋不休了好一会儿别人谈恋爱都是怎么样怎么样的。,"Per un attimo, Jessica masticò il suo regalo, lamentandosi del romanticismo e fingendo di svenire in agonia sul letto.","Jessica per un po' ruminò con la bocca piena dei souvenir avuti per regalo, contorcendosi in agonia sul letto, mentre ne borbottava di cotte e di crude sul romanticismo.","Jessica bir süre hediyesini ağzında geveledi, ve yatağında kıvranarak aralarındaki ilişkiden şikayet etti."
