Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,We crossed the hall again on our way to the entrance. ,We crossed the hall again on our way to the entrance.,[=UP],玄関を出る前に再びホールを横切る。,[=JP],"Чтобы достичь выхода, нам вновь нужно было миновать холл.",Nós passamos pelo hall de entrada novamente em nosso caminho até a porta.,走向正門時又一次橫穿過門廳。,走向正门时又一次横穿过门厅。,Kami melewati aula lagi menuju pintu masuk.,Attraversammo di nuovo l'atrio mentre ci dirigevamo all'entrata.,Prima di uscire fuori attraversammo nuovamente il corridoio.,Girişe doğru ilerlerken koridordan tekrar geçtik.
,"As we did, we once again spotted that witch's portrait. ","As we did, we once again saw that witch's portrait."," As we did, we once again saw that witch's portrait.",すると再び、あの魔女の肖像画が目に入った。,[=JP],Поэтому по пути нам на глаза снова попался портрет ведьмы.,"E com isso, nos deparamos mais uma vez com o retrato da bruxa.",魔女的肖像畫，也又一次映入了眼簾。,魔女的肖像画，也又一次映入了眼帘。,"Di sana, kami kembali melihat potret penyihir itu.",E ancora una volta vedemmo il quadro della strega.,E il ritratto della strega attirò ancora una volta il nostro sguardo.,İlerlerken cadının portresini bir kez daha gördük.
,"However, ""spotted"" is probably not the best word to describe that experience. ......It was more like our eyes were inexorably drawn to it. ","However, the word ""saw"" is probably not the best word to describe that experience.{n}......It was more like our eyes were drawn to it."," However, the word 'saw' is probably not the best word to describe that experience.......It was more like our eyes were drawn to it.",だが、目に入ったという言葉は妥当ではないかもしれない。……むしろ、目が吸い込まれた、という方が相応しいだろう。,だが、目に入ったという言葉は妥当ではないかもしれない。{n}……むしろ、目が吸い込まれた、という方が相応しいだろう。,"Однако, слово ""попался"", наверное, не совсем подойдёт для описания того, как наши взгляды устремились на изображённую на нём фигуру.{n}......Казалось, будто наши глаза притягивало к ней.","No entanto, a palavra ""vimos"" provavelmente não é a melhor palavra para descrever essa experiência.{n}......Foi como se nossos olhos tivessem sido atraídos por ele.",只是，說映入眼簾可能有點不恰當。{n}……應該說是眼睛不由自主地被它吸引了過去才對吧。,只是，说映入眼帘可能有点不恰当。{n}……应该说是眼睛不由自主地被它吸引了过去才对吧。,"Tapi kata ""melihat"" mungkin kurang tepat.{n}......Lebih tepatnya mata kami tertarik padanya.",Anche se la parola ‘vedemmo’ probabilmente non era la miglior parola per descrivere la sensazione provata. ... Era come se i nostri occhi ne venissero attratti.,Anche se ‘attirare’ probabilmente non era la parola giusta... Sarebbe stato più corretto dire che avesse catturato la nostra attenzione.,"Ancak, ""görmek"" kelimesi muhtemelen bu durumu açıklamak için doğru kelime değildi.{n}......Daha çok gözlerimiz ona çekilmiş gibiydi."
,"That woman's eyes, with their sage-like glamor, definitely had the power to make those who viewed it stand rooted to the spot. ","That woman's eyes, with their sage‐like glamour, definitely had the power to make those who looked at her stand rooted to the spot."," That woman's eyes, with their sage-like glamor, definitely had the power to make those who viewed it stand rooted to the spot.",怜悧な魅力を持つその女性の瞳には、見る者を釘付けにする魔力が確かに宿っていた。,[=JP],"Глаза этой женщины, лучащиеся очарованием мудрости, определённо обладали некой силой, чтобы любой, посмотревший в них, застыл как вкопанный.","Os olhos daquela mulher, indiscretos e glamourosos, tinham o poder de fazer com que aqueles que a olhassem ficassem imóveis.",畫中女性那雙充滿智慧魅力的瞳孔，確實有著令看到的人駐足不前的魔力。,画中女性那双充满智慧魅力的瞳孔，确实有着令看到的人驻足不前的魔力。,"Sosok wanita itu, dengan pesona bijaknya, benar-benar bisa membuat siapapun yang memandangnya terpaku.","Gli occhi di quella donna con quello scintillio di saggezza, avevano definitivamente il potere di far rimanere paralizzato sul posto coloro che li guardavano.","Le pupille di quella donna, che avevano un fascino da intellettuale, avevano senz'altro il potere di paralizzare sul posto chiunque le osservasse.","O kadının gözleri, bilgeyi andıran büyüsüyle ona bakanları kesinlikle oldukları yere sabitleyebilecek bir güce sahipti."
Ushiromiya Battler,"""............So this is the witch, {f:5:Beatrice}. ......Wonder if that story's true."" ","""............So this is the witch, {f:5:Beatrice}. ......Wonder if it's true.""","""............So this is the witch, Beatrice. ......Is it true?""",「…………魔女、ベアトリーチェか。……本当かねぇ。」,「…………魔女、ベアトリーチェか。……本当かねぇ」,"""............Так значит это ведьма {f:5:Беатриче}. ......Верно?""","""............Então essa é a bruxa, {f:5:Beatrice}? ......Me pergunto se isso é mesmo verdade.""",「…………魔女，貝阿朵莉切嗎？……真的假的呀。」,「…………魔女，贝阿朵莉切吗？……真的假的呀。」,"""............Jadi inilah penyihir {f:5:Beatrice}. ......Apa benar ya?""","""... E così questa è la strega, Beatrice. ... Esiste davvero?""","""...Questa è la strega {f:5:Beatrice}...? Esiste davvero?""","""............Cadı...{f:5:Beatrice}...demek. ......Doğru olup olmadığını merak ediyorum."""
Ushiromiya Maria,"""Uu-? Battler doesn't believe...?"" ","""Uu? Battler doesn't believe...?""","""Uu-? Battler doesn't believe...?""",「うー？　戦人信じてない…？」,[=JP],"""У‐у? Баттлер не верит?..""","""Uu? O Battler não acredita nela...?""",「嗚——？戰人不信…？」,「呜——？战人不信…？」,"""Uu? Battler tidak percaya...?""","""Uu-? Battler non ci crede...?""","""Uuh? Battler non ci crede...?""","""Uu? Battler inanmıyor mu...?"""
,"Back when he had asked what this picture was, the first person to tell him had been Maria. ","Back when he had asked what this picture was, the first person to tell him it was {f:5:Beatrice} had been Maria.","Back when he had asked what this picture was, the first person to tell him it was Beatrice had been Maria.",さっき、この絵は何かと聞き、最初にベアトリーチェであると答えたのは真里亞だった。,[=JP],"В прошлый раз, когда он спросил, кто изображён на картине, первым человеком, ответившим ему, что это {f:5:Беатриче}, была Мария.","Quando ele havia perguntado quem era a pessoa no retrato, a primeira pessoa a dizer que era a {f:5:Beatrice} foi a Maria.",剛才問起這畫時，第一個回答貝阿朵莉切的人是真里亞。,刚才问起这画时，第一个回答贝阿朵莉切的人是真里亚。,"Saat pertama kali menanyakan tentang gambar ini, Maria-lah yang pertama bilang ini {f:5:Beatrice}.","Quando chiesi cosa fosse quel quadro, la prima persona che mi disse che era Beatrice fu Maria.","Quando lui chiese chi ci fosse in quel ritratto, Maria fu la prima a rispondergli che si trattava di {f:5:Beatrice}.","Battler bu resmin ne olduğunu sorduğunda, onun {f:5:Beatrice} olduğunu söyleyen ilk kişi Maria olmuştu."
,"Therefore, when Battler showed signs of doubt, Maria must have felt that Battler didn't have faith in her. ","Therefore, when Battler showed signs of doubt, Maria must have felt that Battler didn't have faith in her."," Therefore, when Battler showed signs of doubt, Maria must have felt that Battler didn't have faith in her.",だから、戦人がそれを疑うのは、真里亞にとって自分を信じてないように感じられたのだろう。,[=JP],"Поэтому, когда Баттлер проявил сомнения, Мария, должно быть, почувствовала, что Баттлер ей не верит.","Por causa disso, quando Battler apresentou sinais de dúvida, Maria deve ter sentido que Battler não acreditava nela.",所以戰人對此抱有疑問，對真里亞來說就等於是不相信自己一樣吧。,所以战人对此抱有疑问，对真里亚来说就等于是不相信自己一样吧。,"Jadi ketika Battler meragukannya, Maria pasti merasa Battler tidak percaya padanya.","Quindi, quando Battler mostrava segni di dubbio, Maria si sentiva come se Battler non le credesse.","Perciò, quando Battler mostrò segni di dubbio, Maria doveva essersi sentita come se Battler non le credesse...","Bu nedenle, Battler şüpheyle yaklaştığında, Maria Battler'ın kendisine inanmadığını kastetmiş olmalı."
,"...Of course, that wasn't what Battler meant. ","...Of course, that's not what Battler meant.",[=UP],…もちろん、戦人はそんな意味で言ったのではないのだが。,[=JP],"...Разумеется, это было не то, что Баттлер имел в виду.","...É claro, para Battler não era nada disso.",…當然了，戰人說這話並不是這個意思。,…当然了，战人说这话并不是这个意思。,...Padahal bukan itu maksud Battler.,"... Naturalmente, non era quello che Battler intendeva.",Naturalmente Battler non intendeva questo.,...Ama tabii ki Battler'ın demek istediği bu değildi.
,Maria ran up to the portrait and began banging on a plate hanging below it. ,Maria ran up to the portrait and began banging on a plate below it., Maria ran up to the portrait and began banging on a plate hanging below it.,真里亞は肖像画に駆け寄ると、その下にあるプレートをパシパシと叩く。,[=JP],"Мария подбежала к портрету и начала стучать по резной плите, установленной под ним.",Maria correu até o retrato e começou a apontar para uma placa abaixo dele.,真里亞跑到肖像畫前，對著畫下的金屬板啪啪地拍打起來。,真里亚跑到肖像画前，对着画下的金属板啪啪地拍打起来。,Maria berlari ke potret dan mulai mengetuk-ngetuk plat di bawahnya.,Maria corse verso il quadro e iniziò a colpire una lastra che si trovava al di sotto di esso.,"Maria corse verso il ritratto, e picchiettò una lastra sotto di esso.",Maria portreye doğru koştu ve altındaki bir levhaya vurmaya başladı.
,Maybe the title of the portrait was written there. ,Maybe the title of the portrait was written there., Maybe the title of the portrait was written there.,そこに肖像画のタイトルが記されているのだろう。,[=JP],"Возможно, там и было написано название портрета.",Talvez o título do retrato estivesse escrito lá.,那裡大概是刻著肖像畫的標題吧。,那里大概是刻着肖像画的标题吧。,Mungkin judul potret tertulis di sana.,Forse il titolo del quadro era scritto lì.,Lì avrebbe dovuto esserci scritto il titolo del ritratto.,Belki de portrenin başlığı orada yazıyordu.
,"Maria, trying to prove that she wasn't lying, obstinately continued to hit the plate. ","Maria, trying to prove that she wasn't lying, obstinately continued to hit the plate."," Maria, trying to prove that she wasn't lying, obstinately continued to hit the plate.",真里亞は自分は嘘をついていないということを証明したくて、意固地になってそこを叩き続けていた。,[=JP],"Мария, упрямо пытаясь доказать, что она не врёт, продолжала стучать по плите.","Maria, tentando provar que não estava mentindo, obstinadamente continuou a bater na placa.",真里亞為了證明自己沒說謊，奮力地拍個不停。,真里亚为了证明自己没说谎，奋力地拍个不停。,"Dengan keras kepala, Maria terus mengetuk plat itu untuk membuktikan dia tidak berbohong.","Maria, cercando di dimostrare che non stava mentendo, continuava ostinatamente a colpire la lastra.","Maria continuava ostinatamente a colpirla, volendo dimostrare che non stesse mentendo.","Yalan söylemediğini kanıtlamaya çalışan Maria, inatla levhaya vurmaya devam etti."
Ushiromiya Battler,"""Ah, sorry about that, it's not like I doubt anything you said, Maria."" ","""Ahh―sorry about that, it's not like I doubt anything you said, Maria.""","""Ah-, sorry about that, it's not like I doubt anything you said, Maria.""",「あー、悪ぃ悪ぃ、別に真里亞が言ったのを疑ったわけじゃないぜ。」,「あー、悪ぃ悪ぃ、別に真里亞が言ったのを疑ったわけじゃないぜ」,"""Ах, извини, не бери в голову. Я и не думал сомневаться в твоих словах, Мария.""","""Ahh ― me desculpe por isso, não é como se eu estivesse duvidando do que você disse, Maria.""",「啊，抱歉抱歉，我並不是在懷疑真里亞的話啦。」,「啊，抱歉抱歉，我并不是在怀疑真里亚的话啦。」,"""Ahh―maaf ya, aku tidak meragukanmu, Maria.""","""Ah, mi spiace, non ho dubitato su niente di quello che ha detto Maria.""","""Ah, scusa, scusa, non è che dubito di quello che hai detto, Maria.""","""Ahh―bunun için üzgünüm, Söylediğin hiçbir şeyden şüphe etmiyorum Maria."""
Ushiromiya Maria,"""Uu-! Battler believes! Uu-!"" ","""Uu! Battler believes! Uu!""","""Uu-! Battler believe it! Uu-!""",「うー！　戦人納得！　うー！」,[=JP],"""У‐у! Баттлер в это верит! У‐у!""","""Uu! O Battler acredita! Uu!""",「嗚——！戰人認可了！嗚——！」,「呜——！战人认可了！呜——！」,"""Uu! Battler percaya! Uu!""","""Uu-! Battler ci crede! Uu-!""","""Uuh! Ho convinto Battler! Uuh!""","""Uu! Battler inanıyor! Uu!"""
