Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"In the cathedral devoid of people, ...a figure could be seen still staring up at the heavens, its chest pierced with a long red sword that pinned it in place to the ground. That figure was...Battler. ","In the cathedral devoid of people, .........a figure could be seen still staring up at the heavens, its chest pierced with a long red sword which pinned it in place to the ground. ......It was the figure of Battler.","In the cathedral devoid of people, .........a figure could be seen still staring up at the heavens, its chest pierced with a long red sword which pinned it in place to the ground......the figure of Battler.",　誰もいない大聖堂に、………天を見上げた姿のまま、赤き太刀に胸を貫かれ、地面に縫い止められた戦人が、……立ち尽くしている。,誰もいない大聖堂に、………天を見上げた姿のまま、赤き太刀に胸を貫かれ、地面に縫い止められた戦人が、……立ち尽くしている。,"В безлюдном соборе......... виднелась фигура, по‐прежнему глядящая в небеса и пронзённая в грудь длинным красным мечом, приковавшим её к полу...... Фигура Баттлера.","Na catedral inabitada, .........podia ser vista uma silhueta que continuava a olhar para os céus, com seu peito perfurado por um montante vermelho que se fincava ao chão. ......Imóvel ele permanecera ali.",在無人的大聖堂中，………保持著仰望上天的姿勢，被紅色戰刀貫穿胸口，釘在地面上的戰人，……一動不動地站在那裡。,在无人的大圣堂中，………保持着仰望上天的姿势，被红色战刀贯穿胸口，钉在地面上的战人，……一动不动地站在那里。,"Nella cattedrale vuota... si poteva scorgere una figura ancora volta verso il cielo, il cui petto era attraversato da una lunga spada rossa che la inchiodava al pavimento... era la figura di Battler."
,"...Ironically, it looked just like what he'd done to Beato with blue wedges in the 4th game... ","......Ironically, it looked just like what he had done to Beato with blue wedges in the fourth game......","......Ironically, it looked just like what he had done to Beato with blue wedges in the 4th game......",……それは皮肉にも、第４のゲームにて、自らの青き楔でベアトをそうしたのと、同じように見えた……。,[=JP],"......Как ни странно, это выглядело точно так же, как то, что он сделал синими клиньями с Беато в четвёртой игре......","......Ironicamente, assemelhava‐se ao que ele havia feito com Beato, com suas cunhas azuis no quarto jogo......",……諷刺的是，這副樣子看起來跟他在第 4 盤遊戲中，以他自己的藍楔，所貫穿的貝阿朵一樣……。,……讽刺的是，这副样子看起来跟他在第 4 盘游戏中，以他自己的蓝楔，所贯穿的贝阿朵一样……。,"... Ironicamente, tutto era identico a quel che lui aveva fatto a Beato con le lance blu durante il quarto gioco..."
,Battler had died quite some time ago. ,Battler had died quite some time ago., Battler had died quite some time ago.,戦人はとうに、絶命している。,[=JP],Недавно Баттлер умер.,Battler havia sido aniquilado há pouco.,戰人，早就喪命了。,战人，早就丧命了。,Battler era morto già da diverso tempo.
,"No, ...in this place, the concept of death means nothing except that one has stopped thinking. ","No, .........in this place, the concept of death means nothing except that one has stopped thinking."," No, .........in this place, the concept of death means nothing except that one has stopped thinking.",いや、………ここでは死という概念は、思考の停止しか意味しない。,[=JP],"Нет......... в этом месте само понятие смерти означает только то, что человек перестал думать.","Não, .........neste lugar, o conceito da morte não significa nada além do cessamento do pensamento.",不，………在這裡，死這個概念，只意味著思考的停止。,不，………在这里，死这个概念，只意味着思考的停止。,"No... in questo luogo, il concetto di morte non significa altro che un individuo ha cessato di pensare."
,"Therefore, in a sense, Battler was not dead. ","Therefore, in a sense, Battler was not dead."," Therefore, in a sense, Battler was not dead.",だから戦人は、ある意味、死んではいない。,[=JP],Поэтому в некотором смысле Баттлер не был мёртв.,"Portanto, de certa forma, Battler não estava morto.",所以戰人，從某種意義上，並沒有死。,所以战人，从某种意义上，并没有死。,"Dunque, sotto un certo punto di vista, Battler non era morto."
,"...After being defeated in a fight over the truth and surrendering, he no longer had the strength to think of a way to resist. ","......After being defeated in a fight over the truth, he no longer had the strength to think of a way to resist.","......After being defeated in a fight over the truth and surrendering, he no longer had the strength to think of a way to resist.",……真実を巡る戦いに敗れ、屈服した彼にもはや、抗う思考の力はない。,[=JP],"......Когда он проиграл битву за правду и сдался, у него уже не было сил придумывать метод сопротивления.","......Após ser derrotado em uma luta contra a verdade, não lhe restou mais forças para pensar em uma forma de resistir.",……在圍繞真實的戰鬥中敗北，屈服了的他，已無繼續反抗的思考之力。,……在围绕真实的战斗中败北，屈服了的他，已无继续反抗的思考之力。,"... Dopo essere stato sconfitto in un combattimento sulla verità ed essersi arreso, non aveva più la forza di trovare un modo per resistere."
,That's...what made him dead. ,And so...he was dead., That's...what made him dead.,だから、…死んでいる。,[=JP],Вот что... убило его.,Por isso...ele morreu.,所以，…死了。,[=CHT],È per questo che... era morto.
,"Dlanor's massive longsword, which had been left in place of a tombstone, ...fastened Battler to the spot even after his death... ","Dlanor's massive longsword, which had been left in place of a tombstone, ......fastened Battler to the spot even after his death..."," Dlanor's massive longsword, which had been left in place of a tombstone, ......fastened Battler to the spot even after his death...",墓標の代わりに残されたドラノールの巨大な太刀は、……死してなお戦人を、この場に繋ぎ止めているのだ…。,[=JP],"Красный меч Дланор, оставленный вместо надгробия...... приковал Баттлера к месту даже после смерти...","O grande montante de Dlanor, que ali foi colocado como uma lápide, ......atou Battler àquele ponto mesmo após a morte...",替代墓標所留下的德拉諾爾的巨大戰刀，……把死去的戰人，牢牢釘在原地…。,替代墓标所留下的德拉诺尔的巨大战刀，……把死去的战人，牢牢钉在原地…。,"La possente spada lunga di Dlanor, lasciata lì a mo' di lapide... inchiodava Battler in quel punto anche dopo la sua morte..."
,This was all being lit by a faint light seeping out of an incredibly high skylight. ,"This was being lit by a faint light seeping out of a high, high skylight."," This was being lit by a faint light seeping out of a high, high skylight.",それは高い高い天窓から漏れる、わずかの光りに照らされていた。,[=JP],На него падал тусклый свет из просвета высоко над ним.,"Do fastígio óculo, vazava para dentro uma tênue luz que o iluminava.",他的這副樣子，被透過高高天窗的，一絲絲亮光所籠罩。,他的这副样子，被透过高高天窗的，一丝丝亮光所笼罩。,"La scena era illuminata da una luce fioca proveniente da un lucernario posto molto, molto in alto."
,Quiet footsteps rang out across this still cathedral... ,Quiet footsteps rang out across this still cathedral......, Quiet footsteps rang out across this still cathedral......,静かな足音が、そんな静寂の大聖堂に響き渡る……。,[=JP],По застывшему собору раздались тихие шаги......,Silenciosos passos ecoaram pelo interior da catedral......,靜靜的腳步聲，於靜寂的大聖堂中回蕩……。,静静的脚步声，于静寂的大圣堂中回荡……。,Passi ovattati riecheggiarono nella cattedrale in cui tutto era fermo...
