Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Leviathan,"""Hey!! That's miiine! Giiive iiit baaack!!"" ","""Heyyyy!! That's miiine! Give—it—back!!""",[=ST],「ちょっとー！！　それ、私のー！　かーえーしーてぇー！！」,[=JP],"""Эй! Он мо‐ой! Отда‐ай!""","""Eiiii!! Isso é meeeu! De—vol—ve!!""",「喂喂——！！那是我的——！還——給——我——！！」,「喂喂——！！那是我的——！还——给——我——！！」,"""Ehi!! Quello è miiiiooo! Ri-dam-me-looo!!"""
Beelzebub,"""No, no, I'll eat iiit! Asmo, Asmo, pass!"" ","""Nonono, I'm gonna eat i~t! Asmo, Asmo, pass!""",[=ST],「やだやだ、私が食べるの〜！　アスモ、アスモ、パース！」,[=JP],"""Нет, не‐е‐ет, я съем его‐о‐о! Асмо, Асмо, отстань!""","""Sem chance, eu vou come~r! Asmo, Asmo, pega!""",「不給不給，我要吃～！阿絲磨，阿絲磨，傳球！」,「不给不给，我要吃～！阿丝磨，阿丝磨，传球！」,"""No, no, lo mangio iooo-! Asmo, Asmo, passa!"""
Asmodeus,"""Kya-hahahaha! Over here, Levia onee-samaaa!"" ","""Kyaahahahaha! Levia onee‐sama, over here, over here~!""",[=ST],「きゃーはははは！　レヴィアお姉様、こっちこっちぃ〜！」,[=JP],"""Кья‐ха‐ха‐ха! Левия онее‐сама, здесь~!""","""Kyaahahahaha! Levia onee‐sama, aqui, aqui~!""",「呀——哈哈哈哈！雷維阿姐姐，這邊這邊～！」,「呀——哈哈哈哈！雷维阿姐姐，这边这边～！」,"""Kya-hahahaha! Quaggiù, Levia Onee-sama~!"""
,"I wonder where they swiped it from. They were fighting over a donut or something, playing around really loudly. ","I wonder where they swiped it from.{n}They were fighting over a donut or something, playing around really loudly.",[=ST],どこからくすねて来たのだろう。ドーナツか何かを争って、実に賑やかに戯れている。,どこからくすねて来たのだろう。{n}ドーナツか何かを争って、実に賑やかに戯れている。,"Где они его стащили, хотела бы я знать.{n}И теперь они с шумом и гамом дрались из‐за какого‐то пончика.","Me pergunto de onde ela pegou isso.{n}Elas estavam brigando por causa de um donut ou algo assim, se divertindo e fazendo muito barulho.",是從哪兒順手牽羊拿來的吧。{n}姐妹們爭搶著甜甜圈之類的玩意兒，鬧得實在很大聲。,是从哪儿顺手牵羊拿来的吧。{n}姐妹们争抢着甜甜圈之类的玩意儿，闹得实在很大声。,"Mi chiedo dove l'abbiano rubato. Si stavano contendendo una ciambella o qualcosa del genere, facendo un gran baccano."
Satan,"""HEY!!!!! Ange‐sama is reading, can't you be the slightest bit quiet?!"" ","""HEY!!!!! Ange‐sama is reading, can't you be the slightest bit quiet?!""",[=ST],「こらあああ！！　縁寿さまは読書をなさってるのよ、少しは静かに出来ないのッ？！」,[=JP],"""Э‐э‐э‐э‐эй! Энджи‐сама читает, так что не могли бы вы хоть немного угомониться?!""","""EI!!!!! A Ange‐sama está lendo, não podem fazer um pouco de silêncio?!""",「喂——！！緣壽小姐正在看書，你們就不能稍微安靜點嘛？！」,「喂——！！缘寿小姐正在看书，你们就不能稍微安静点嘛？！」,"""Eeeehi!! Ange-sama sta leggendo, non riuscite a fare un po' più di silenzio?!"""
Lucifer,"""Yelling stuff like that makes you the loudest one, Satan! Be silent!! You foolish little sister!"" ","""And yet you're the loudest one, Satan, silence yourself!! You cretinous sister!""",[=ST],「そう言ってるサタンが一番うるさいのよ、沈黙なさい！！　この愚妹が！」,[=JP],"""А сама‐то как громко кричишь, Сатана! Тише! Вот глупые сестры!""","""Mesmo você sendo a mais barulhenta, Satan, faça silêncio você!! Suas irmãs cretinas!""",「在這麼說的撒旦是最吵的喲，給我保持沉默！！你這愚妹！」,「在这么说的撒旦是最吵的哟，给我保持沉默！！你这愚妹！」,"""Sei tu a fare più rumore di tutte gridando, Satan! Fai silenzio!! Stupida sorella!"""
Satan,"""Y-You're the loud one, Lucifer onee-sama!! I-Is there something you'd like to say to me?!"" ","""Y‐you're louder than me, Lucifer onee‐sama!! I‐is there something you want to say to me?!""",[=ST],「ル、ルシファーお姉様の方がうるさいです！！　も、文句がおあり？！」,[=JP],"""Чего орёшь, Люцифер онее‐сама?! Т‐тебе что‐то не нравится?!""","""V‐Você está fazendo mais barulho que eu, Lucifer onee‐sama!! T‐Tem alguma coisa que você queira me dizer?!""",「路、路西法姐姐比我更吵！！有、有意見？！」,「路、路西法姐姐比我更吵！！有、有意见？！」,"""S-Sei tu a fare rumore, Lucifer Onee-sama!! D-Di che ti lamenti?!"""
,"I was already used to the oldest and the third oldest sister arguing with each other. Even though they're both so quick to anger, it's a bit funny how they're both having to hold back a little. ","By now, I was used to the fights between the eldest and the third‐eldest sister. It's a bit funny how they're both a little hesitant even though they're so quick to anger.",[=ST],長女と三女の口喧嘩ももうお馴染みだ。二人とも怒りんぼのくせに、少し腰が引けているっぽいところが何だか面白い。,[=JP],"Самая старшая и третья по старшинству сестры вовсю спорили друг с другом. Даже при присущей им раздражающей быстроте перемещения, было немного смешно наблюдать, когда они пытались сдерживаться.",Já estou acostumada com brigas entre a mais velha e a terceira irmã mais velha.{n}É um pouco engraçado em como ambas sempre hesitam um pouco mesmo que elas rapidamente fiquem furiosas.,我已經習慣長女與三女的吵嘴了。她倆那儘管都很易怒，卻又都有點腰板不硬之處，令人不由得感到好玩。,我已经习惯长女与三女的吵嘴了。她俩那尽管都很易怒，却又都有点腰板不硬之处，令人不由得感到好玩。,"La sorella maggiore e la terza sorella più grande erano abituate a litigare tra loro. Anche se entrambe si arrabbiano rapidamente, è piuttosto divertente vedere come cerchino di trattenersi un po'."
,They might be surprisingly like each other. ,They might be surprisingly similar.,[=ST],案外、似た者同士なのかもしれない。,[=JP],Они были наделены удивительной схожестью друг с другом.,Elas são surpreendentemente parecidas.,搞不好，她們說不定是一對頗為相似的人。,搞不好，她们说不定是一对颇为相似的人。,"Si somigliano moltissimo, incredibilmente."
Belphegor,"""*cackle*cackle* You were told to be noisy, but this is a bit too much. Should I make them lower the volume a little?"" ","""Heh heh. You ordered us to be noisy, but this is surely too much. Should I make them lower the volume a little?""",[=ST],「くっくくく。賑やかにしていろとの仰せでしたが、これではさすがに。少しボリュームを下げさせますか？」,[=JP],"""*смешок*смешок*. Вам позволено шуметь, но вы немного переборщили. Может быть, всё же можно потише?""","""Heh heh. Você nos ordenou para sermos barulhentas, mas isso certamente é demais. Eu deveria fazer elas baixarem um pouco o volume?""",「呵、呵呵呵。雖然您有說過“去搞熱鬧點”，但這樣實在是有點過了。請問，需不需要叫大家小聲點？」,「呵、呵呵呵。虽然您有说过“去搞热闹点”，但这样实在是有点过了。请问，需不需要叫大家小声点？」,"""*cackle*cackle*. Ti è stato detto di essere rumorosa, ma questo è un po' troppo. Non puoi abbassare un po' il tono?"""
