Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
{f:5:Beatrice},"""You idiot!! Isn't it obvious?!! It'll be fun to kill her and see your face twist in pain, why else?!! Gahyahahahahahahaha!!"" ","""You idiot!! Isn't it obvious?!! {i:It'll be fun to kill her and see the pained look on your face, why else}?!! Kuhyahahahahahahaha!!""","""You idiot!! Isn't it obvious?!! It'll be fun to kill her and see the pained look on your face, why else?!! Kuhyahahahahahahaha!!""",「この馬鹿がッ！！　決まっておろうがッ！！　殺したらそなたが歪めるだろうその表情が楽しいからの他に何の理由が必要なのかッ！！　くっひゃはははははははは！！」,[=JP],"""Идиот! Разве не очевидно?! Будет весело убить её и увидеть твою страдальческую физиономию, какая ещё может быть причина? Кья‐ха‐ха‐ха‐ха‐ха!""","""Seu idiota!! Não é óbvio?! {i:Será divertido matá‐la e ver a dor estampada no seu rosto, por que mais}?! Kuhyahahahahahahaha!!""",「你個笨蛋！！這不明擺著嗎！！除去殺了她之後，汝那扭曲的表情會很是賞心悅目之外，還需要什麼別的理由？！！咕、嚇哈哈哈哈哈哈哈哈！！」,「你个笨蛋！！这不明摆着吗！！除去杀了她之后，汝那扭曲的表情会很是赏心悦目之外，还需要什么别的理由？！！咕、吓哈哈哈哈哈哈哈哈！！」,"""Idiota!! Non è ovvio?!! Perché sarà divertente ucciderla e vedere il dolore sul tuo volto, per cos'altro?!! Kuhyahahahahahahaha!!"""
{f:5:Beatrice},"""Look, look, don't turn your eyes away, look at it. Look, look, look! It's magic, it's furniture, no matter how much you try to deny me and magic, look, look, look, look, look! Gyahhahhahahaha!!"" ","""Look, look, don't turn your eyes away, look at it. Look look, look look! It's magic, it's furniture, no matter how much you try to deny me and magic, look look, look look look look! Gyahhahhahahaha!!""",[=UP],「ほらほら、目を瞑らずにちゃんと見ろよォ。ほらほら、ほらほら！　魔法だよォ家具だよォ、そなたがどんなに妾や魔法の存在を否定しようとも、ほらほら、ほらほらほらほらァ！！ぎゃっはっはっはははァ！！」,「ほらほら、目を瞑らずにちゃんと見ろよォ。ほらほら、ほらほら！　魔法だよォ家具だよォ、そなたがどんなに妾や魔法の存在を否定しようとも、ほらほら、ほらほらほらほらァ！！　ぎゃっはっはっはははァ！！」,"""Смотри, смотри, не отворачивайся, наблюдай. Смотри, смотри, смотри, смотри! Вот магия, а вот вещь, как бы ты ни пытался опровергнуть меня и магию. Смотри, смотри. Смотри, смотри, смотри, смотри! Гья‐ха‐ха‐ха‐ха‐ха‐ха!""","""Veja, veja, não vire a cara, veja aquilo. Veja veja, veja veja! É magia, são mobíliaas, não importa o quanto você tente negar a mim e minha magia, veja veja, veja veja veja veja!! Gyahhahhahahaha!!""",「喏喏，別閉眼好好看呀～。喏喏，喏喏！是魔法喲～，是家具喲～，無論汝怎麼否定妾身與魔法的存在，喏喏，喏喏喏喏！！噶呀、哈、哈、哈哈哈——！！」,「喏喏，别闭眼好好看呀～。喏喏，喏喏！是魔法哟～，是家具哟～，无论汝怎么否定妾身与魔法的存在，喏喏，喏喏喏喏！！噶呀、哈、哈、哈哈哈——！！」,"""Guarda, guarda, non distogliere lo sguardo, guarda. Guarda, guarda, guarda, guarda! È magia, sono i miei mobili, non importa quanto provi a negare me e la mia magia, guarda, guarda, guarda, guarda, guarda, guarda! Gyahhahhahahaha!!"""
{f:5:Beatrice},"""Sorry, Battleer. It was pretty fun. Sure, I just did what Teacher told me, but look how great it turned out! Apparently, if you start out all hostile and needlessly brutal, then turn incompetent and soft at just the right moment, you can spark a huge bump on your affection meter, ri-ght? Kyahahahahahaah!!"" ","""......Sorry, Battleer. It was pretty interesting. ...Still, I was just trying to do what Master told me, but it really did work very well! I hear, after acting {ruby:tsuntsun:bad‐tempered} and exploring the depths of cruelty, if you act properly incompetent and {ruby:dere:soft}, you can get a massive rise on that goodwill meter thing, riiight? Kyahahahahahaah!!""","""......Sorry, Battleer. It was pretty interesting. ...Still, I was just trying to do what Teacher told me, but it really did work very well! No matter what, after acting bad-tempered and exploring the depths of cruelty, by acting properly incompetent and soft, you get a massive rise on that goodwill meter thing, ri-ght? Kyahahahahahaah!!""",「悪いなァ、戦人ァ。結構面白かったぜェ。しかしお師匠様の言う通りにしてみたんだが、本当に結構、いいとこまでイケたなぁ！何でも、ツンツンと残虐を尽くした後に程よくヘタれてデレて見せると、好感度ってヤツが大幅アップするんだろー？くっきゃはっはっはっはっはァ！！」,「悪いなァ、戦人ァ。結構面白かったぜェ。しかしお師匠様の言う通りにしてみたんだが、本当に結構、いいとこまでイケたなぁ！　何でも、ツンツンと残虐を尽くした後に程よくヘタれてデレて見せると、好感度ってヤツが大幅アップするんだろー？　くっきゃはっはっはっはっはァ！！」,"""......Извини, Баттле‐ер. Было интересно. ...Но всё‐таки, я просто делала то, что говорила мне наставница, а как сработало! Какой бы я ни была до этого {ruby:цунцун:злой} и какие бы глубины жестокости ни демонстрировала, стоило только мне стать более {ruby:дере:мягкой} и неумелой, как шкала твоего расположения ко мне взлетела, да‐а? Кья‐ха‐ха‐ха‐ха‐ха!""","""......Foi mal, Battleer. Foi bem interessante. ...Ainda assim, eu estava apenas tentando fazer o que minha professora me instruiu, mas isso funcionou muito bem. Eu ouvi que, depois de agir toda {i:tsuntsun} e explorar as profundidades da crueldade, se agir propriamente, de forma incompetente e toda {i:dere}, você ganha um maciço aumento naquela coisa que mede a boa vontade, sabiaaaa? Kyahahahahahaah!!""",「抱歉吶～，戰人～。挺好玩的哦。妾身只是照著師傅大人所講的試了試，但確實很管用！看起來，在“傲”慢蠻橫地極盡殘虐之能事後，恰到好處地顯露出“嬌”弱羞澀的模樣，就能大幅提升那個叫好感度的玩意吧——？咕噶呀哈哈哈哈哈——！！」,「抱歉呐～，战人～。挺好玩的哦。妾身只是照着师傅大人所讲的试了试，但确实很管用！看起来，在“傲”慢蛮横地极尽残虐之能事后，恰到好处地显露出“娇”弱羞涩的模样，就能大幅提升那个叫好感度的玩意吧——？咕噶呀哈哈哈哈哈——！！」,"""... Scusami, Battler. È stato piuttosto interessante. ... Comunque, stavo solo provando a fare ciò che aveva suggerito la Maestra, ma ha funzionato davvero bene! In ogni caso, dopo aver agito malvagiamente ed esplorato gli abissi della crudeltà, comportandosi sufficientemente da incompetenti e gentili, si ottiene un gigantesco incremento su quel metro per misurare la buona volontà, verooo? Kyahahahahahaah!!"""
,That lonely tone...was the desolate sound of the wind blowing by. The glittering rose petals on these bushes...were all golden. ,That lonely tone was the sound of the desolate wind blowing by.{n}The color of the glittering flower petals on the rose bushes was...that of gold.,That lonely tone was the sound of the desolate wind blowing by. The color of the glittering flower petals on the rose bushes was...that of gold.,その寂しげな音色は、吹き抜ける荒涼とした風の音。薔薇の茂みに輝く花びらの色は、黄金。,その寂しげな音色は、吹き抜ける荒涼とした風の音。{n}薔薇の茂みに輝く花びらの色は、黄金。,"Дул тоскливый, пустынный ветер.{n}Сверкающие лепестки на кустах роз были... золотого цвета.",Este solitário timbre era o som do desolado vento que soprava.{n}A tonalidade das reluzentes pétalas dos arbustos de rosas era...daquele ouro.,那孤寂的音色，是橫掃而過的荒涼的風聲。{n}閃耀在玫瑰叢中的花瓣們的顏色，是黃金色。,那孤寂的音色，是横扫而过的荒凉的风声。{n}闪耀在玫瑰丛中的花瓣们的颜色，是黄金色。,Quel tono solitario era il suono del vento desolato che soffiava. Il colore degli sfavillanti petali dei fiori sui cespugli di rose era... quello dell'oro.
,The cloud of gold butterflies that had once danced through this golden rose garden like fluttering rose petals... was no longer anywhere to be seen... ,The group of gold butterflies which had once danced through this golden rose garden like fluttering rose petals...could no longer be seen anywhere..., The group of gold butterflies which had once danced through this golden rose garden like fluttering rose petals... could no longer be seen anywhere...,その黄金の薔薇園に舞い散る花びらのように、にぎやかに舞っていた黄金の蝶たちの群は、どこにも見ることが出来ない…。,[=JP],"Золотых бабочек, некогда круживших по этому золотому розарию, словно развевающиеся лепестки роз... больше нигде не было видно...","O grupo de borboletas douradas que dançava pelo dourado jardim de rosas, como pétalas esvoaçantes...já não podia mais ser visto em lugar algum...",曾猶如黃金玫瑰園中四散飄舞的花瓣般，熱熱鬧鬧地飛舞著的黃金蝶群，已哪都不見其踪跡了…。,曾犹如黄金玫瑰园中四散飘舞的花瓣般，热热闹闹地飞舞着的黄金蝶群，已哪都不见其踪迹了…。,Il gruppo di farfalle dorate che una volta danzava in questo dorato giardino di rose come petali di rosa ondeggianti... non si vedeva più in nessun luogo...
,"The master of the Golden Land is the Golden Witch, {f:5:Beatrice}. She might be called inhumane and cruel. Arrogant and outrageous. Or perhaps...naive and simple. ","The master of the Golden Land is the Golden Witch, {f:5:Beatrice}.{n}She could be called inhumane and cruel. Arrogant and outrageous.{n} And also, naive and simple."," The master of the Golden Land is the Golden Witch, Beatrice. She could be called inhumane and cruel. Arrogant and outrageous. And also, naive and simple.",黄金郷の主は、黄金の魔女、ベアトリーチェ。彼女を例える言葉は、残虐非道。傍若無人。そして天真爛漫。,黄金郷の主は、黄金の魔女、ベアトリーチェ。{n}彼女を例える言葉は、残虐非道。傍若無人。{n}そして天真爛漫。,Хозяйка Золотой Земли — Золотая ведьма {f:5:Беатриче}.{n}Её можно назвать бесчеловечной и жестокой. Высокомерной и несправедливой.{n}А ещё — наивной и простой.,"O mestre da Terra Dourada é a Bruxa Dourada, {f:5:Beatrice}.{n}Ela deveria ser considerada inumana e cruel. Arrogante e ultrajante.{n}Bem como ingênua e simplória.",黃金鄉的主人是，黃金的魔女、貝阿朵莉切。{n}用來形容她的詞語是，殘暴無道。旁若無人。{n}還有天真爛漫。,黄金乡的主人是，黄金的魔女、贝阿朵莉切。{n}用来形容她的词语是，残暴无道。旁若无人。{n}还有天真烂漫。,"La padrona della Terra Dorata è la Strega Dorata, Beatrice. Potrebbe essere chiamata disumana e crudele. Arrogante e oltraggiosa. Eppure, anche ingenua e semplice."
,"That laugh of hers, which lost its grace more and more the longer it continued, ......could no longer be heard. ","That laugh of hers, which lost its grace more and more the longer it continued, ......could no longer be heard."," That laugh of hers, which lost its grace more and more the longer it continued, ......could no longer be heard.",笑えば笑うほどに品を失う彼女のあの笑い声を、…もう聞くことは出来ない。,笑えば笑うほどに品を失う彼女のあの笑い声を、……もう聞くことは出来ない。,"Того её смеха, который по мере продолжения всё больше и больше терял свою изящность...... теперь уже не было слышно.","Sua risada, que ia perdendo sua graça cada vez mais conforme continuava, ......não podia mais ser ouvida.",越是笑就越發沒品的她的那種笑聲，……已再也沒法聽到了。,越是笑就越发没品的她的那种笑声，……已再也没法听到了。,"Quella sua risata, che perdeva più e più grazia man mano che continuava... non si sentiva più."
,"The Golden Witch {f:5:Beatrice}... sat like a doll, resting in a deck chair adorned as beautifully as the golden rose garden itself. ","The Golden Witch {f:5:Beatrice}...sat like a doll, resting in a deck chair adorned as beautifully as the golden rose garden."," The Golden Witch Beatrice... sat like a doll, resting in a deck chair adorned as beautifully as the golden rose garden.",黄金の魔女ベアトリーチェは、黄金の薔薇園に負けない美しき装飾のデッキチェアに、人形のように座っている。,[=JP],"Золотая ведьма {f:5:Беатриче}... сидела на стуле как кукла, украшенная столь же прекрасно, как сам золотой розарий.","A Bruxa Dourada, {f:5:Beatrice}...estava sentada como uma boneca, sentada em uma espreguiçadeira adornada tão belamente quanto o dourado jardim de rosas.",黃金的魔女貝阿朵莉切，在施有不輸黃金玫瑰園的美麗裝飾的躺椅上，如人偶般地坐著。,黄金的魔女贝阿朵莉切，在施有不输黄金玫瑰园的美丽装饰的躺椅上，如人偶般地坐着。,"La Strega Dorata Beatrice... sedeva come una bambola, riposando su una sedia adornata tanto splendidamente quanto il dorato giardino di rose."
,...She wasn't relaxing there. ,......She wasn't relaxing there.,[=UP],……くつろいでいるわけではない。,[=JP],......Она не отдыхала там.,"......Ela estava lá, relaxando.",……這並非是在愜意放鬆。,……这并非是在惬意放松。,... Non si stava rilassando.
,"Her eyes were empty. She didn't respond to any questions. Even so, she was not permitted to sleep. {f:5:Beatrice} sat like a doll... ","Empty‐eyed, never responding to any questions, and yet still not permitted to sleep, {f:5:Beatrice} was sitting there as if she was a doll......"," Her eyes were empty. She didn't respond to any questions. Even so, she was not permitted to sleep. Beatrice sat like a doll......",その瞳は虚ろ。問い掛けども応えることはなく。さりとて眠ることを許されたわけでもなく。ベアトリーチェは、人形のように座っている……。,その瞳は虚ろ。問い掛けども応えることはなく。{n}さりとて眠ることを許されたわけでもなく。{n}ベアトリーチェは、人形のように座っている……。,Её глаза были пусты. Она не отвечала ни на какие вопросы.{n}И всё же ей не было позволено спать.{n}{f:5:Беатриче} сидела как кукла......,"Um olhar vazio, sem nunca responder a nenhuma questão, também não possuía permissão para dormir, {f:5:Beatrice} estava sentada como se fosse uma boneca......",其瞳孔空無一物。雖說對詢問沒有反應，{n}但也並非已獲入眠。{n}貝阿朵莉切，如人偶般地坐著……。,其瞳孔空无一物。虽说对询问没有反应，{n}但也并非已获入眠。{n}贝阿朵莉切，如人偶般地坐着……。,"I suoi occhi erano vuoti. Non rispondeva a nessuna domanda. Nondimeno, non le era concesso di dormire. Beatrice sedeva come una bambola..."
