Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Natsuhi,"""...At any rate, we'll lock this room and leave everything as it is until the police come. ...No objections, I take it?"" ","""......At any rate, we'll lock this room and leave everything as it is until the police come. ......All agreed?""","""......At any rate, we'll lock this room and leave everything as it is until the police come. ......Any problems?""",「……とにかく、この部屋は警察が来るまでこのままにして施錠します。……いいですね？」,[=JP],"""......Так или иначе, мы запрём эту комнату и оставим всё как есть, пока не прибудет полиция. ......Есть возражения?""","""......De qualquer forma, vamos manter esse quarto fechado até que a polícia chegue. ......Todos concordam?""",「……總之，這房間在警察來之前就這麼保持原樣鎖上了。……沒有問題吧？」,「……总之，这房间在警察来之前就这么保持原样锁上了。……没有问题吧？」,"""... In ogni caso, finché non arriva la polizia, chiuderemo questa stanza e lasceremo tutto così com'è. ... Non ci sarà alcun problema così, giusto?""","""...Ad ogni modo, chiuderemo questa stanza fino all'arrivo della polizia, e lasceremo tutto così com'è... Chiaro?""","""......Her halükarda, bu odayı kilitleyeceğiz ve polis gelene kadar her şeyi olduğu gibi bırakacağız. ......Herkes kabul ediyor mu?"""
,Natsuhi announced it as though she didn't care whether they agreed or not. ,Natsuhi proclaimed it as though she didn't care whether they agreed or not.,Natsuhi proclaimed it as though she didn't care whether we agreed or not.,夏妃が全員に、有無を言わせない口調でそう宣言する。,[=JP],"Нацухи заявила это так, будто ей было всё равно, согласны мы или нет.","Natsuhi perguntou isso, mesmo sem mesmo se importar se os outros concordariam ou não.",夏妃以不容辯駁的語調說道。,夏妃以不容辩驳的语调说道。,Natsuhi lo affermò come se non le importasse se fossimo stati d'accordo o no.,"Affermò Natsuhi, con un tono che non ammetteva repliche...",Natsuhi sanki kabul edip etmemeleri umurunda değilmiş gibi bunu dile getirdi.
,"...If anyone had a right to object, it would've been George, ...but he looked as though he'd shed enough tears. ","...If anyone had a right to object, it would have been George, ...but he looked as though he had shed enough tears.",[=UP],…反論する者がもしもいるとすれば、それは譲治だったが、…譲治ももう充分に涙を流したのだろう。,[=JP],"...Если кто и имел право возразить, то это был Джордж. Но он выглядел так, словно пролил уже достаточно слёз.","...Se alguém tivesse o direito de se opor a ela, esse alguém teria sido George, ...mas ele parecia já ter derramado lágrimas o bastante por aquele dia.",…如果說還有誰可能會反對，那肯定是讓治了，…不過讓治的眼淚也已經流乾了吧。,…如果说还有谁可能会反对，那肯定是让治了，…不过让治的眼泪也已经流干了吧。,"... Se ci fosse stato qualcuno con un'obiezione, sarebbe stato George... ma sembrava che avesse pianto abbastanza lacrime.","Se ci fosse stato qualcuno in grado di obiettare, quello era George... ma anche lui sembrava aver pianto a sufficienza.","...İtiraz etmeye hakkı olan biri varsa o da George'du, ...ama yeterince gözyaşı dökmüş gibi görünüyordu."
,"George nodded slightly, still facing away from the others, and when he stood up, everyone else agreed too. ","Still facing away from them, George nodded slightly and rose to his feet, and everyone else agreed in response."," George nodded slightly, still facing away from us, and when he stood up, everyone else agreed too.",譲治が背中を向けたまま小さく頷き、立ち上がると、それで他の全員も同意した。,[=JP],"Не поворачиваясь к нам, Джордж слегка кивнул и поднялся на ноги. Все остальные согласились.","Ainda sem olhar diretamente para todos, George assentiu levemente e ficou de pé, e todos ali, em resposta, também concordaram.",他背對著大家輕輕點了點頭，站了起來，如此一來其他人也一致同意了。,他背对着大家轻轻点了点头，站了起来，如此一来其他人也一致同意了。,"George annuì debolmente, dandoci ancora le spalle, e quando si alzò in piedi, anche tutti gli altri acconsentirono.",[=ITA],Yüzü hâlâ onlara dönük olan George hafifçe başıyla onaylayıp ayağa kalktı ve diğer herkes de aynı şekilde karşılık verdi.
,"Natsuhi still hadn't opened that Western envelope of the Family Head that she'd picked up. ...But now that they'd decided to leave this room, she decided to unseal it in the parlor, where everyone could watch. ","Natsuhi still hadn't opened the head's Western‐style envelope she had picked up.{n}...But since they would all be leaving the room now, she decided that she would unseal it in the parlor, where everyone could watch."," The letter in the head's western-style envelope that Natsuhi had picked up still hadn't been opened....But now that we had decided to leave this room, she had decided to unseal it in the parlor, where everyone could watch.",夏妃は拾った当主の洋形封筒をまだ開けていなかった。…だが、話の流れから、この部屋を出ることになってしまったので、開封は客間でみんなの前で行うことにした。,夏妃は拾った当主の洋形封筒をまだ開けていなかった。{n}…だが、話の流れから、この部屋を出ることになってしまったので、開封は客間でみんなの前で行うことにした。,"Нацухи до сих пор не вскрыла поднятый ей конверт, который принадлежал главе семьи.{n}...Но раз уж мы все сейчас покинем эту комнату, она решила вскрыть его в гостиной на всеобщее обозрение.","Natsuhi ainda não havia aberto o envelope em estilo ocidental do chefe da família que ela havia pego.{n}...Mas já que todos estariam deixando o local agora, ela decidiu que ela própria desselaria o envelope quando chegassem na sala de visitas, onde todos pudessem ver.",夏妃還沒有打開撿到的那個當主所有的西式信封。{n}…但從談話中可以聽出，由於大家已經決定要離開房間，所以信也要回客廳當著大家的面打開。,夏妃还没有打开捡到的那个当主所有的西式信封。{n}…但从谈话中可以听出，由于大家已经决定要离开房间，所以信也要回客厅当着大家的面打开。,"La lettera nella busta in stile occidentale del capofamiglia che Natsuhi aveva raccolto non era stata ancora aperta. ... Ma dal momento che avevamo deciso di lasciare questa stanza, decise di aprirla nel salotto, dove tutti avrebbero potuto vedere.","La lettera nella busta in stile occidentale del capofamiglia, che Natsuhi aveva raccolto, non era stata ancora aperta... Ma dalla piega presa dalla conversazione, era stato deciso di lasciare quella stanza, per cui decise di aprirla in salotto davanti a tutti.","Natsuhi eline aldığı Batı tarzı zarfı hâlâ açmamıştı.{n}...Ama şimdi hepsi odadan çıkacağı için zarfı salonda, herkesin görebileceği bir yerde açmaya karar verdi."
,"As soon as they walked out into the hallway to head back to the parlor, ......some of them immediately felt something out of place, ...or maybe sensed something strange. ","As soon as they walked out into the hallway to head back to the parlor, .........some of them immediately felt something out of place, ...or maybe sensed something strange."," As soon as we walked out into the hallway to head back to the parlor, .........some of us immediately felt something out of place, ...or maybe sensed something strange.",そして客間へ戻ろうと廊下を歩き出すと、………すぐに違和感、…あるいは異常に気付く者が現れた。,[=JP],"Как только мы вышли в коридор, чтобы вернуться в гостиную... Некоторые из нас сразу почувствовали, что что‐то было не так. А, может быть, просто ощутили что‐то странное.","Assim que todos caminharam para o corredor para se dirigirem à sala de visitas, .........alguns imediatamente começaram a sentir como se algo estivesse diferente, ...ou talvez sentiram algo, de fato, estranho.",隨後，就在大家走在回客廳的走廊上時，………馬上就有人察覺到了不對勁，…或者說，異常。,随后，就在大家走在回客厅的走廊上时，………马上就有人察觉到了不对劲，…或者说，异常。,"Nel momento in cui mettemmo piede nel corridoio per dirigerci nuovamente nel salotto... alcuni di noi sentirono immediatamente che qualcosa era fuori luogo, o forse si accorsero di qualcosa di strano.","E nel momento in cui misimo piede nel corridoio, per tornare nel salotto... alcuni sentirono subito che qualcosa fosse fuori posto... o forse avevano percepito qualche anomalia.","Salona geri dönmek üzere koridora çıkar çıkmaz, .........bazıları hemen bir şeylerin yolunda olmadığını hissetti, ...ya da belki de garip bir şeyler sezdi."
Ushiromiya Maria,"""......Uu-. ...Stinks?"" ","""...............Uu. ......Stinky.""","""............Uu-. ......Stinks?""",「……………うー。……臭いよ？」,[=JP],"""............У‐у. ......Воняет.""","""...............Uu. ......Fedido.""",「……………嗚——。……好臭哦？」,「……………呜——。……好臭哦？」,"""... Uu-. ... Puzza?""","""...Uuh... Una puzza?""","""...............Uu. ......Pis koku."""
Ushiromiya Jessica,"""Ah, ...did you notice it too, Maria? ...Seriously, what's that smell? ...It's awful..."" ","""Ah, ...you notice it too, Maria? ...What is this stench... It smells awful...""","""Ah, ...did you notice it too, Maria? ...What is this stench, ...it smells awful...""",「あ、…真里亞もわかるか？…こりゃ何の臭いだよ、…酷ぇ臭いだぜ…。」,「あ、…真里亞もわかるか？　…こりゃ何の臭いだよ、…酷ぇ臭いだぜ…」,"""А... Ты тоже обратила внимание, Мария? ...Что это за вонь? Пахнет отвратительно...""","""Ah, ...você também sentiu, Maria? ...O que é esse fedor... Que cheiro horrível...""",「啊，…真里亞也聞到了嗎？…這到底是什麼味道啊？…好濃的臭味嘞…」,「啊，…真里亚也闻到了吗？…这到底是什么味道啊？…好浓的臭味嘞…」,"""Ah... l'ha notato anche Maria? ... Cos'è questo fetore... è terribile...""","""Ah... l'hai notata anche tu, Maria...? Cos'è questo fetore... Che odoraccio...""","""Ah, ...Maria, sen de mi fark ettin? ...Bu pis koku da ne...? Berbat kokuyor..."""
,"When everyone sniffed the air, ...they did notice a horrible burnt smell drifting through the hallway, one that none of them had smelled until then. ","As they all sniffed the air, ...they did notice a horribly foul burnt smell, unlike anything any of them had ever smelled before, drifting through the hallway.","When everyone sniffed the air, ...they did notice a horrible burnt smell drifting through the hallway, one that none of us had smelled until then.",皆、鼻をくんくん鳴らせると、…確かに、これまで嗅いだことのない、焦げたような酷い悪臭が廊下を漂ってくるのを感じた。,[=JP],"Принюхавшись, они заметили ужасный запах гари, не похожий ни на что из того, что им доводилось ощущать, который распространялся по коридору.","À medida que todos farejavam o ar, ...eles logo perceberam um horrível cheiro de queimado, diferente de qualquer coisa que eles já haviam sentido antes, empestando o corredor.",大家都用鼻子聞了起來，…確實，走廊上飄著一股濃烈的惡臭，像是什麼燒焦了似的，之前並沒有聞到過。,大家都用鼻子闻了起来，…确实，走廊上飘着一股浓烈的恶臭，像是什么烧焦了似的，之前并没有闻到过。,Quando tutti annusarono l'aria... c'era veramente un orribile odore di bruciato che aleggiava per il corridoio che nessuno di noi aveva notato prima.,Quando tutti fiutarono l'aria... effettivamente sentirono aleggiare lungo il corridoio il peggior tanfo di bruciato che avessero mai odorato.,"Hepsi havayı kokladığında, ...koridorda daha önce kimsenin kokusunu almadığı, korkunç derecede kötü bir yanık kokusunun yayıldığını fark ettiler."
Kumasawa Chiyo,"""...I will go quickly to check the kitchen... I'm sure I turned the flame off..."" ","""......I will go quickly to check the kitchen... I'm sure I turned the flame off......""",[=UP],「……私、ちょっと厨房を見てきます…。火はちゃんと消したはずなんですよ……。」,「……私、ちょっと厨房を見てきます…。火はちゃんと消したはずなんですよ……」,"""......Сейчас же пойду проверю кухню... Я же точно выключала огонь...""","""......Eu vou ir checar a cozinha... Tenho certeza que eu apaguei o fogão......""",「……我去廚房看看…。火應該關掉了呀……」,「……我去厨房看看…。火应该关掉了呀……」,"""... Vado a controllare subito la cucina... sono sicura di aver spento il fuoco...""","""...Vado a controllare un attimo in cucina... Sono abbastanza sicura di aver spento il fuoco...""","""......Çabucak gidip mutfağı kontrol edeceğim... Ateşi kapattığıma eminim......"""
