Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
Ushiromiya Ange,"""Amakusa, could you turn that off?""","""Amakusa, could you turn that off?"" ",[=UP],「天草、それ切ってくれる？」,[=JP],"""Амакуса, сделай одолжение, выключи, а?""","""Amakusa, poderia desligar isso?""",「天草，能把它关了吗？」,「天草，能把它關了嗎？」,"""Amakusa, puoi spegnerla?""","""¿Amakusa, podrías apagar eso?""","""ﻫﻼّ ﺃﻃﻔﺄﺗﻪ ﻳﺎ ﺃﻣﺎﻛﻮﺳﺎ؟"""
Amakusa Juuza,"""Whoops, my bad. You don't like {nobr:M. Zakky}?""","""Whoops, my bad. You don't like M. Zakky?"" ","""Whoops, my bad.  You don't like M. Zakky?""",「おっと、そりゃ失礼。Ｍ・ザッキーはお嫌いで？」,[=JP],"""Ой‐ой, пардон, виноват. Вам не нравится {nobr:М. Закки}?""","""Opa, eu peço desculpas. Não gosta do {nobr:M. Zakky}?""",「哦，抱歉。您讨厌 {c:86EF9C:M.Zakky}？{c:86EF9C:（详见魔导书同名条目）}」,「哦，抱歉。您討厭 {c:86EF9C:M.Zakky}？{c:86EF9C:（詳見魔導書同名條目）}」,"""Whoops, scusa. Non ti piace M. Zakky?""","""Uuups, perdón. ¿No te gusta {nobr:M. Zakky}?""","ﻋﺬﺭًﺍ، ﻫﺬﺍ ﺧﻄﺌﻲ.""ﺃﻻ ﺗﺤﺒُّﻴﻦ ﺇﻡ. ﺯﻛِّﻲ؟"
Ushiromiya Ange,"""I'm just not in the mood.""","""I'm just not in the mood."" ",[=UP],「今が気分じゃないだけ。」,「今が気分じゃないだけ」,"""Просто я не в настроении.""","""Só não estou no clima.""",「只是这会儿没心情罢了。」,「只是這會兒沒心情罷了。」,"""Non sono dell'umore adatto.""","""Es solo que no estoy de humor.""","""ﻟﺴﺖُ ﻓﻲ ﻣﺰﺍﺝٍ ﻟﺬﻟﻚ ﻓﺤﺴﺐ."""
,Amakusa turned the radio off.,Amakusa turned the radio off. ,[=UP],天草がラジオを切る。,[=JP],Амакуса выключил радио.,Amakusa desligou o rádio.,天草关掉了收音机。,天草關掉了收音機。,Amakusa spense la radio.,Amakusa apagó la radio.,ﺃﻃﻔﺄ ﺃﻣﺎﻛﻮﺳﺎ ﺍﻟﻤﺬﻳﺎﻉ.
,"The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......",The world of cheery sounds was immediately swallowed up by the roar of the sea... and blotted out by the ocean's gray... ,[=UP],陽気な音の世界はたちまち潮騒に飲み込まれ、海の灰色で塗り潰してしまった……。,[=JP],"Мир весёлых звуков тут же поглотил шум моря, а океан закрасил его своей серостью...","O mundo repleto de sons joviais imediatamente foi engolido pelo rugido do mar, tingido pelo cinza do oceano......",轻快之音的世界立即被波涛声吞没，被大海的灰色所掩盖……。,輕快之音的世界立即被波濤聲吞沒，被大海的灰色所掩蓋……。,"Il mondo di suoni allegri fu immediatamente inghiottito dal ruggito del mare, e cancellato dal grigio dell'oceano...","El mundo de los sonidos alegres fue absorbido inmediatamente por el rugido del mar, y fue manchado por el océano gris...", ﻓﺎﺑﺘﻠﻊ ﻫﺪﻳﺮ ﺍﻟﺒﺤﺮ ﻋﻠﻰ ﺍﻟﻔﻮﺭ ﻋﺎﻟَﻢ ﺍﻷﺻﻮﺍﺕ ﺍﻟﻤُﺒﺘﻬﺞ.......ﻭﻃﻤﺴﻪ ﺭﻣﺎﺩﻱُّ ﺍﻟﻤﺤﻴﻂ.
Captain Kawabata,""".........See it? Over there's where the harbor was at the time.""","""......Can you see it? Over there's where the harbor was at the time."" ",""".........Can you see it?  Over there's where the harbor was at the time.""",「………見えるかい。あの辺が当時の船着場だ。」,「………見えるかい。あの辺が当時の船着場だ」,""".........Ты видишь? Там, где тогда была гавань.""",""".........Consegue ver? Lá é onde ficava o porto.""",「………看得到不？那边就是当时的码头。」,「………看得到不？那邊就是當時的碼頭。」,"""... Riesce a vederlo? Lì è dove al tempo c'era il molo.""","""... ¿Pueden verlo? Por ahí estaba el puerto en esa época.""","ﺃﺗﺮﻳﻨﻪ.........؟ ﻫﻨﺎﻙ ﻛﺎﻥ ﺍﻟﻤﻴﻨﺎﺀ ﺁﻧﺬﺍﻙ."""
Ushiromiya Ange,"""..............................""","""............"" ","""........................""",「…………………………。」,「…………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=ITA],[=UP]
,"The boat captain pointed, but I couldn't really recall how it looked twelve years ago.","The boat captain pointed, but I couldn't really recall that scene of 12 years ago. ","The boat captain pointed, but I couldn't really recall that scene of 12 years ago.",船長が指差すが、１２年も前の光景は、なかなか蘇らない。,[=JP],"Капитан катера указал мне, но я никак не могла вспомнить сцену двенадцатилетней давности.","O capitão do barco apontou, mas eu não consegui lembrar muito bem como ele se parecia doze anos atrás.",虽然船长在指给我看，但十二年前的情景就是浮现不起来。,雖然船長在指給我看，但十二年前的情景就是浮現不起來。,"Il capitano della barca indicò, ma non riuscii davvero a ricordare quella scena di 12 anni fa.","El capitán del barco lo señaló, pero yo no recordaba realmente cómo era hace doce años.", ﺃﺷﺎﺭ ﺭﺑَّﺎﻥ ﺍﻟﻘﺎﺭﺏ، ﻭﻟﻜﻨِّﻲ ﻟﻢ ﺃﺳﺘﻄﻊ ﺣﻘًﺎ ﺗﺬﻛﺮ ﻣﻈﻬﺮﻩ ﻗﺒﻞ 21 ﻋﺎﻣًﺎ.
,"......I had believed that my memories of back then would come flooding back into my mind, ...but no memories were coming back to me at all.","...I thought I'd surely be able to immediately remember how things had been at the time, ...but no memories came back to me. ","......I had believed that I would surely be able to immediately remember how things had been at the time, ...but no memories came back to me.",……てっきり、こういうものは見る見る溢れるように当時のことを思い出せるに違いないと信じていたが、…一向に当時の記憶は戻らない。,[=JP],"......Я полагала, что, несомненно, смогу сразу вспомнить, как всё было тогда, но воспоминания пока так и не вернулись ко мне.","......Eu pensei que minhas memórias voltariam inundando minha mente, ...mas nenhuma memória está voltando para mim.",……我本以为，越是看这些东西，当时的事一定越能如潮水般涌入脑海，…但此刻，当时的记忆却一点都没回来。,……我本以為，越是看這些東西，當時的事一定越能如潮水般涌入腦海，…但此刻，當時的記憶卻一點都沒回來。,... Avevo creduto che sarei stata sicuramente capace di ricordare subito come le cose erano al tempo... ma non mi è tornato alcun ricordo.,... Creía que mis recuerdos de entonces volverían a mi mente... pero no me regresó ningún recuerdo., ﻛﻨﺖُ ﺃﻋﺘﻘﺪ ﺃﻥَّ ﺫﻛﺮﻳﺎﺗﻲ ﻋﻦ ﺫﻟﻚ ﺍﻟﻮﻗﺖ ﺳﺘﻨﻬﻤﺮ ﻋﻠﻰ ﺫﻫﻨﻲ ﺗﺪﻓُّﻘًﺎ...... ﻟﻜﻦ ﻟﻢ ﺗﻌﺪ ﺇﻟﻲَّ ﺃﻳَّﺔ ﺫﻛﺮﻯ ﻋﻠﻰ ﺍﻹﻃﻼﻕ...
,"After the incident, the island was sealed off and left to the wild.","After that incident, the island was sealed off and left to the wild. ","After that incident, the island was sealed off and left to the wild.",あの事件以来、島は封印され荒れるに任されている。,[=JP],После того инцидента остров оказался закрытой местностью и одичал.,"Depois do incidente, a ilha foi selada e deixada à ruína.",自那起事件以来，岛被封印、荒废了十多年。,自那起事件以來，島被封印、荒廢了十多年。,"Dopo quell'incidente, l'isola fu isolata e lasciata inselvatichire.","Después de ese incidente, la isla fue cerrada y se dejó por su cuenta.", ﺧُﺘﻤﺖ ﺍﻟﺠﺰﻳﺮﺓ ﻭﺗُﺮﻛﺖ ﻟﻠﺒﺮﺍﺭﻱ ﺇﺛﺮ ﺍﻟﺤﺎﺩﺛﺔ.
