Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,...Rosa and the rest returned from the chapel to the parlor in the mansion. So many things had happened since early in the morning. Of course they were high-strung... ,...Rosa and the rest returned from the chapel to the parlor in the mansion.{n}Such a horrific thing had happened so early in the morning.{n}Of course they were high‐strung...,...Rosa and the rest returned from the chapel to the parlor in the mansion. So many things had happened since early in the morning. Of course they were high-strung...,…楼座たちは礼拝堂から屋敷の客間に戻っていた。早朝からあれだけのことがあったのだ。神経が参らないわけもない…。,…楼座たちは礼拝堂から屋敷の客間に戻っていた。{n}早朝からあれだけのことがあったのだ。{n}神経が参らないわけもない…。,"...Роза и остальные вернулись из часовни в гостиную особняка.{n}Так много событий произошло с утра пораньше.{n}Естественно, они были напряжены...","...Rosa e os outros retornaram da capela para a sala de visitas da mansão.{n}Tal coisa horrível havia acabado de acontecer tão cedo essa manhã.{n}É claro, eles estavam muito nervosos...",…樓座一行人從禮拜堂回到了大屋的客廳。{n}一大早就發生了那樣的事情。{n}精神不可能承受得了…。,…楼座一行人从礼拜堂回到了大屋的客厅。{n}一大早就发生了那样的事情。{n}精神不可能承受得了…。,"... Rosa e gli altri tornarono dalla cappella al salone, nella villa. Erano accadute tantissime cose, sin dalle prime ore del mattino. Ovviamente erano tutti nervosi...","...Dalla cappella, Rosa e gli altri ritornarono al salotto della villa.{n}Si erano svolti così tanti eventi sin dalle prime ore del mattino.{n}Non c'era da stupirsi se fossero con i nervi tesi...",...Rosa ve diğerleri kiliseden dönüp salona geldiler.{n}Sabahın bu erken saatinde böylesine korkunç bir şey olmuştu.{n}Doğal olarak çok gergindiler...
,"Battler and George, who had cried, raged, and let their emotions explode after seeing their parents' tragic bodies, returned to the parlor and sat in the sofas, dazed, as though everything up until then had been a lie... ","Battler and George—who had cried, raged, and let their emotions explode after seeing their parents' tragic bodies—returned to the parlor, sat on the sofas, and let their minds go blank, as though everything up until then had been a lie..."," Battler and George, who had cried, raged, and let their emotions explode after seeing their parents' tragic bodies, returned to the parlor and sat in the sofas, dazed, as though everything up until then had been a lie...",両親たちの惨たらしい姿を見て、泣いたり激怒したりと感情を破裂させていた戦人と譲治は、客間に戻りソファーに腰掛けると、それまでが嘘だったように放心するのだった…。,[=JP],"Баттлер и Джордж, которые кричали, бушевали, и не сдерживали своих эмоций, после того как увидели мёртвые тела своих родителей, вернулись в гостиную и рухнули на диван, ошарашенные, как будто всё случившееся ранее, не могло быть правдой...","Battler e George — que choraram, se irritaram, e deixaram suas emoções explodirem ao ver o trágico estado dos corpos de seus pais — retornaram à sala de visitas, sentaram no sofá e deixaram suas mentes em branco, como se tudo até então fosse apenas uma mentira...",目睹了雙親的慘狀，又是嚎哭又是狂怒地任由情緒爆發過的戰人與讓治，一回到客廳坐倒在沙發上，就猶如之前的一切都是謊言一般，恍惚著發起了呆…。,目睹了双亲的惨状，又是嚎哭又是狂怒地任由情绪爆发过的战人与让治，一回到客厅坐倒在沙发上，就犹如之前的一切都是谎言一般，恍惚着发起了呆…。,"Battler e George, che avevano pianto, gridato, e lasciato esplodere le loro emozioni dopo aver visto i corpi dei loro genitori, tornarono nel salone e si sedettero sui divani, storditi, come se tutto ciò che era successo fosse stata solo una bugia...","Battler e George, che alla vista dello stato pietoso dei loro genitori erano esplosi in una tempesta di lacrime e rabbia, tornarono nel salotto e si sedettero con aria assente sul divano, come se quanto avvenuto finora non fosse mai successo...","Ailelerinin trajik bedenlerini gördüklerinde gözyaşlarına boğulan, öfkelenen ve içlerindeki duyguların patlamasına izin veren Battler ve George salona geri döndüler, koltuklara oturdular ve sanki o ana kadar her şey bir rüyadan ibaretmiş gibi zihinlerinin bulanıklaşmasına izin verdiler..."
,Only Maria was completely unchanged and looked just like normal. ,"Only Maria was completely unchanged, and looked just like normal."," Only Maria was completely unchanged, and looked just like normal.",真里亞だけはまったく変わらず普段通りに見えた。,[=JP],Лишь Мария не изменилась и выглядела абсолютно нормальной.,"Apenas Maria não estava transtornada, e parecia normal como sempre.",只有真里亞看起來還是和往常一模一樣。,只有真里亚看起来还是和往常一模一样。,"Solo Maria rimase la stessa, e sembrava normale.",Solo Maria era rimasta completamente immutata rispetto al solito...,Yalnızca Maria hiç değişmemişti ve tamamen normal görünüyordu.
,"...When she wasn't playing pranks, she was basically a kid who played wordlessly by herself, so even if she was dazed, she would probably look just as she did. ","......When she wasn't being mischievous, she was basically a kid who played wordlessly by herself, so even if her mind was blank, she would probably look as she did.","......When she wasn't playing pranks, she was basically a kid who played wordlessly by herself, so even if she was dazed, she would probably look as she did.",……悪ふざけをしていない時は、基本的に無口でひとりで遊んでいる子だから、仮に放心していたとしても、そう見えてしまうのかもしれない。,[=JP],"......Когда она не шалила, то была обычным ребёнком, игравшимся самим по себе, поэтому даже если она и была ошарашена, то, возможно, держала это в себе.","......Quando ela não está sendo perniciosa, ela fisicamente é uma criança que brinca sozinha sem palavras, por isso, mesmo que sua mente estivesse em branco, ela provavelmente pareceria da mesma forma.",……畢竟在不淘氣的時候，她基本上都是默不作聲地一個人自娛自樂的，所以沒准，即便她是在恍惚著發呆，看起來也會是這樣吧。,……毕竟在不淘气的时候，她基本上都是默不作声地一个人自娱自乐的，所以没准，即便她是在恍惚着发呆，看起来也会是这样吧。,"... Quando non faceva scherzi, non era altro che una bambina che giocava silenziosamente per conto suo, perciò anche se era stordita, probabilmente sembrava solo che stesse giocando.","Quando non combinava scherzi, era fondamentalmente una bambina che giocava in silenzio per conto suo, perciò anche se si fosse persa nei suoi pensieri, probabilmente avrebbe avuto lo stesso aspetto...","......Yaramazlık yapmadığı zamanlarda, aslında kendi kendine sessiz sakin oynayabilen bir çocuktu, bu yüzden zihni boş olsa bile muhtemelen normalde olduğu gibi görünürdü."
,"...But as she turned on the TV and flipped through the channels, it looked as though nothing about her had changed from normal. ","...But as she turned on the TV and flipped through the channels, it looked as though nothing about her had changed from normal.",[=UP],…でも、テレビをつけてチャンネルをいじるその様子は、普段と何も変わらないように見えた。,[=JP],"...Но даже когда она включила телевизор и начала переключать каналы, она по‐прежнему выглядела так, будто в ней совсем ничего не изменилось.","...Mas quando ela ligou a televisão e começou a passar pelos canais, pareceu como se nada tivesse mudado do normal.",…不過，她這副打開電視機換著頻道的樣子，看起來與平時沒有一絲一毫的區別。,…不过，她这副打开电视机换着频道的样子，看起来与平时没有一丝一毫的区别。,"... Ma non appena si voltò verso la TV e cambiò i canali, sembrò che niente fosse mutato in lei.","Ma guardandola accendere la TV e girare tra i vari canali, sembrava non aver subito alcun cambiamento.","...Ama televizyonu açıp kanallarda gezerken, onunla ilgili hiçbir şey normalden farklı değilmiş gibi görünüyordu."
,"Did Rosa think anything in particular about this attitude, which was clearly different from normal people? ","Perhaps Rosa had some opinions about this attitude, which was clearly different from normal people."," Did Rosa think anything in particular about this attitude, which was clearly different from normal people?",そんな、明らかに普通の人と違うセンスに、楼座は何か思うところがあるのだろうか。,[=JP],"Приходили ли в голову Розе какие‐либо мысли насчет подобного поведения, столь очевидно отличавшегося от поведения нормальных людей?","Apesar de Rosa ter algumas opiniões sobre essa atitude, que era claramente diferente de uma pessoa normal.",這完全異於普通人的感覺，是讓樓座想到了什麼嗎？,这完全异于普通人的感觉，是让楼座想到了什么吗？,"Rosa aveva pensato qualcosa in particolare riguardo quell'atteggiamento, che era chiaramente diverso da quello di una persona normale?","Rosa pareva avere qualcosa da ridire sulla sua condotta, chiaramente diversa da quella che una persona normalmente manterrebbe...",Normal insanlardan açıkça farklı olan bu tutum hakkında Rosa'nın muhtemelen bazı düşünceleri vardı.
,...She stared at Maria's back as though looking at something that wasn't quite heartwarming. ,......She stared at Maria's back with a gaze that wasn't quite pleasant.,[=UP],……微笑ましいのとは少し違う眼差しで、彼女はじっとその背中を見ているのだった。,[=JP],......Она уставилась на спину Марии довольно неприятным взглядом.,......Ela olhou para as costas de Maria com um olhar que não era nada agradável.,……她以一副稍稍不同於欣慰的眼神，凝視著真里亞的背影。,……她以一副稍稍不同于欣慰的眼神，凝视着真里亚的背影。,... Fissò la schiena di Maria con uno sguardo che non era certo piacevole.,Le stava fissando la schiena con uno sguardo non esattamente amorevole.,......Maria'nın sırtına pek de hoş olmayan bir bakışla baktı.
,"Eventually, Kumasawa came to say good morning. ...Her cheerful manner was clearly out of place, and she couldn't help but be bewildered by the strange atmosphere in the room. ","Eventually, Kumasawa came to say good morning. ...Her cheerful manner was clearly out of place, and she couldn't help but be bewildered at the strange atmosphere in the room."," Eventually, Kumasawa came to say good morning....Her cheerful manner was clearly out of place, and she couldn't help but be bewildered at the strange atmosphere in the room.",やがて、熊沢がやって来て朝の挨拶をした。…その朗らかな様子は明らかに場違いで、彼女は客間の異様な雰囲気に面食らわずにはいられなかった。,[=JP],"В конце концов, Кумасава пришла сказать доброе утро. ...Её бодрый нрав был абсолютно не к месту, и она неизбежно оказалась озадачена странной атмосферой в комнате.","Eventualmente, Kumasawa apareceu para dizer bom‐dia. ...Suas animadas maneiras claramente estavam fora de lugar, e ela não podia fazer nada além de ficar perplexa com a atmosfera que estava na sala.",過了一會兒，熊澤進來向大家道了早安。…這副開朗的樣子顯然是不合時宜，客廳異樣的氣氛不由得使她感到了不知失措。,过了一会儿，熊泽进来向大家道了早安。…这副开朗的样子显然是不合时宜，客厅异样的气氛不由得使她感到了不知失措。,"Improvvisamente, Kumasawa arrivò per darci il buongiorno. ... I suoi modi allegri erano decisamente fuori luogo, e non poté che essere sconcertata dalla strana atmosfera nella sala.","Ad un certo punto, Kumasawa giunse a dare il buongiorno... I suoi modi gioviali erano palesemente fuori luogo, e non potè fare a meno di essere colta alla sprovvista dalla strana atmosfera nel salotto...","Nihayet, Kumasawa günaydın demeye geldi. ...Neşeli tavrı açıkça yersizdi ve odadaki garip atmosfer karşısında şaşkınlığını gizleyemedi."
,"...Then, when she heard the details from Gohda, she reacted loudly with shock. ","......Then, she heard the details from Gohda, and expressed her shock in a truly noisy manner.","......Then, she heard the details from Gohda, and was really noisy and shocked.",……そして、郷田から経緯を聞き、実に騒がしく驚くのだった。,[=JP],"......Затем она услышала подробности от Годы, и стала по‐настоящему шумной от испытанного потрясения.","......Foi então que ela ouviu de Gohda os detalhes, e sua expressão de choque foi realmente barulhenta.",……而在聽鄉田講述了事情的原委後，她很是吵鬧地吃了一驚。,……而在听乡田讲述了事情的原委后，她很是吵闹地吃了一惊。,"... Poi, quando venne informata dei dettagli da Gohda, fu molto rumorosa e rimase scioccata.","E quando venne informata dei dettagli da Gouda, fece un gran clamore per via del suo shock.",......Daha sonrasında Gohda'dan ayrıntıları dinledi ve yaşadığı şoku gerçekten gürültülü bir şekilde dışa vurdu.
Kumasawa Chiyo,"""O-O-O-Of course you've contacted the police, right...?! What should we do in a time like this, oooh, what should we do...?!"" ","""O‐o‐o‐of course you've contacted the police, right...?! What should we do in a time like this, oooh, what should we do...?!""","""O o o, of course you've contacted the police, right...?! What should we do in a time like this, oooh, what should we do...?!""",「ももも、もちろん警察には連絡したんですよね…？！　こういう時はどうすればいいんでしょう、おぉ、どうすればいいんでしょう…！」,[=JP],"""К‐к‐к‐конечно вы же связались с полицией, ведь так?! Что нам делать в такой ситуации, о‐о‐ох, что же нам делать?!""","""V‐V‐V‐Vocês ligaram para a polícia, certo...?! O que devemos fazer em uma situação dessas, oooh, o que devemos fazer...?!""",「當當當、當然是已經去聯絡過警察了吧…？！這種時候該怎麼辦才好呀，哦哦，該怎麼辦才好呀…！」,「当当当、当然是已经去联络过警察了吧…？！这种时候该怎么办才好呀，哦哦，该怎么办才好呀…！」,"""O-O-Ovviamente avete contattato la polizia, giusto...?! Cosa dovremmo fare in una situazione simile, oooh, cosa dovremmo fare...?!""","""O-O-O-Ovviamente avete contattato la polizia, vero...?! Cosa dovremmo fare in una situazione del genere, oooh, cosa dovremmo fare...?!""","""P-P-P-Polisle temasa geçtiniz, değil mi...?! Böyle bir zamanda ne yapmalıyız, oooh, ne yapmalıyız...?!"""
