Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Shannon,"""Did you check the bathroom amenities?"" ","""Did you check the bathroom amenities?""",[=UP],「お風呂場のアメニティは確認してくれましたか？」,[=JP],"""Ты проверила ванные принадлежности?""","""Você conferiu as cortesias do banheiro?""",「有沒有幫我檢查過，浴室的一次性用品？」,「有没有帮我检查过，浴室的一次性用品？」,"""Hai controllato gli oggetti per il bagno?"""
,"""Yep, went down the whole list."" ","""Yep, went down the whole list.""",[=UP],「はい、リストに沿ってしっかりとっ。」,「はい、リストに沿ってしっかりとっ」,"""Да, прошлась по всему списку.""","""Sim, eu fiz um paralelo de toda a lista.""",「嗯，我照著表格好好檢查過了。」,「嗯，我照着表格好好检查过了。」,"""Sì, ho controllato tutta la lista."""
Shannon,"""Did you make sure they were facing the right way when you set them down?"" ","""Did you make sure they were facing the right way when you set them down?""",[=UP],「置く時の向きもきちんとしてますか？」,[=JP],"""Точно правильно их положила?""","""Conferiu para ter certeza que estavam viradas do lado certo quando as colocou?""",「擺放的方向，是否也都規範整齊？」,「摆放的方向，是否也都规范整齐？」,"""Hai fatto attenzione a porli nel verso giusto quando li hai sistemati?"""
,"""Yes, of course. Everything's as the list says."" ","""Yes, of course. Everything's as the list says.""",[=UP],「はい、もちろんっ。ちゃんとリストに従いましたっ。」,「はい、もちろんっ。ちゃんとリストに従いましたっ」,"""Да, конечно. Всё как в списке.""","""Sim, é claro. Tudo como dizia a lista.""",「嗯，當然。都有好好照表上所講地放著。」,「嗯，当然。都有好好照表上所讲地放着。」,"""Sì, certo. Tutto come è scritto nella lista."""
Shannon,"""*giggle* Thanks. Genji-sama, the guest rooms are ready now."" ","""*giggle*, thanks. Genji‐sama, the guest rooms are ready now.""","""*giggle*, thanks. Genji-sama, the guest rooms are ready now.""",「くす、ありがとう。源次さま、客室の準備も完了です。」,「くす、ありがとう。源次さま、客室の準備も完了です」,"""*хи‐хи*, спасибо. Господин Генджи, гостевые комнаты готовы.""","""*risos*, obrigada. Genji‐sama, os quartos de hóspedes estão prontos.""",「嘻，謝謝。源次先生，客房也已經準備好了。」,「嘻，谢谢。源次先生，客房也已经准备好了。」,"""*giggle*, ti ringrazio. Genji-sama, le camere per gli ospiti sono pronte."""
Ronoue Genji,"""Good work. Make sure you check over everything with your own eyes, Shannon. Also, Madam has ordered us to change the tablecloth in the dining hall again."" ","""Good work. Make sure you check over everything with your own eyes, Shannon. Also, Madam has ordered us to change the tablecloth in the dining hall again.""",[=UP],「ご苦労。最後に、紗音の目でも直接全て確認するように。それから、奥様が食堂のテーブルクロスをもう一度変えるようにと仰せだ。」,「ご苦労。最後に、紗音の目でも直接全て確認するように。それから、奥様が食堂のテーブルクロスをもう一度替えるようにと仰せだ」,"""Хорошая работа. Обязательно проверь всё своими глазами, Шаннон. И ещё, мадам снова приказала нам поменять скатерти в столовой.""","""Bom trabalho. Trate de verificar tudo com seus próprios olhos, Shannon.{n}E outra coisa, a madame ordenou que nós trocássemos a toalha de mesa da sala de jantar novamente.""",「辛苦了。紗音，你再最後親眼檢查一遍。還有，太太講了，再重新換下餐廳的桌布。」,「辛苦了。纱音，你再最后亲眼检查一遍。还有，太太讲了，再重新换下餐厅的桌布。」,"""Ottimo lavoro. Assicurati di controllare tutto con i tuoi occhi, Shannon. {n}Inoltre, Madame ci ha ordinato di cambiare di nuovo la tovaglia nella sala da pranzo."""
Kumasawa Chiyo,"""My, my. Why again, when we all worked so hard to change it earlier today...?"" ","""My, my. Why again, when we all worked so hard to change it earlier today...?""",[=UP],「あらあら、昼間に皆さんで苦労して変えたばかりだというのに、どうしてまた…。」,「あらあら、昼間に皆さんで苦労して替えたばかりだというのに、どうしてまた…」,"""О, зачем, когда мы ранее с таким трудом их меняли?..""","""Ora? Por que de novo, quando já trabalhamos tanto ontem para trocá‐la...?""",「哎呀哎呀，明明白天大家剛辛辛苦苦地換過，怎麼又要…？」,「哎呀哎呀，明明白天大家刚辛辛苦苦地换过，怎么又要…？」,"""Oh cielo. Perché di nuovo, quando abbiamo lavorato così tanto per cambiarla ieri...?"""
Ushiromiya Natsuhi,"""The color of that tablecloth simply does not fit. Once I saw it against the backdrop of the room, I could see that it matched terribly. We should use a different tablecloth."" ","""The color of that tablecloth simply does not fit. Once I saw it against the backdrop of the room, I could see that it matched terribly. We should use a different tablecloth.""",[=UP],「あのテーブルクロスでは、どうも色が違います。よくよく室内との調和を見てみたら、やはり合いませんでした。やはり別のテーブルクロスにします。」,「あのテーブルクロスでは、どうも色が違います。よくよく室内との調和を見てみたら、やはり合いませんでした。やはり別のテーブルクロスにします」,"""Цвет скатерти не вписывается. Увидев её на фоне комнаты, я поняла, что она ему совсем не соответствует. Нам нужно постелить другую скатерть.""","""A cor daquela toalha não combina. Assim que vi seu contraste com a cortina do fundo, pude notar que criava uma harmonia terrível. Devemos usar uma toalha diferente.""",「那桌布總覺得顏色不對。仔細一看與室內的協調，就覺得果然不合適了。還是得用別的桌布。」,「那桌布总觉得颜色不对。仔细一看与室内的协调，就觉得果然不合适了。还是得用别的桌布。」,"""Semplicemente il colore di quella tovaglia non va bene. Dopo averla vista abbinata alle pareti, mi sono accorta che non si intonava per nulla. Dovremmo usarne una diversa."""
Ushiromiya Natsuhi,"""Oh, and did you make sure to clean the chandelier in the parlor? I don't want Eva-san looking up and saying ""Oh, is that dust? And even a spiderweb?"" again...!"" ","""Oh, and you did make sure to clean the chandelier in the parlor, correct? Last time, Eva‐san looked up and said ""Oh, is that dust? And even a cobweb?"" That incident must never be repeated...!""","""Oh, and did you make sure to clean the chandelier in the parlor? I don't want Eva-san looking up and saying 'Oh, is that dust? And even a spiderweb?' again...!""",「あぁ、それから客間のシャンデリアの清掃はちゃんと確認しているでしょうね？絵羽さんが見上げて、あれは埃？　それともまさか蜘蛛の巣ぅ？　なんて言い出すことが二度とあってはなりませんよ…！」,「あぁ、それから客間のシャンデリアの清掃はちゃんと確認しているでしょうね？　絵羽さんが見上げて、あれは埃？　それともまさか蜘蛛の巣ぅ？　なんて言い出すことが二度とあってはなりませんよ…！」,"""Да, и вы точно почистили люстру в гостиной? Я не хочу, чтобы Ева смотрела вверх и говорила 'О, что, пыль? И даже паутина?' в который раз!""","""Ah, você limpou o candelabro da sala de visitas, certo? Da última vez, a Eva‐san olhou e disse ""Ora, isto é poeira? Vejam isto, tem até teia de aranha?"" Aquele ocorrido jamais deve se repetir...!""",「啊，還有，你們已經好好檢查過客廳的吊燈有沒有打掃乾淨了吧？可再也不能讓，繪羽往上一瞧，就說出“那是一層灰？又或者，難道是蜘蛛網？”什麼的了…！」,「啊，还有，你们已经好好检查过客厅的吊灯有没有打扫干净了吧？可再也不能让，绘羽往上一瞧，就说出“那是一层灰？又或者，难道是蜘蛛网？”什么的了…！」,"""Oh, e vi siete assicurati di pulire il lampadario nel soggiorno? Non voglio che Eva-san guardi in alto dicendo di nuovo ‘Oh, è polvere quella? E addirittura una ragnatela?’...!"""
Ronoue Genji,"""Do not worry. It has already been carefully cleaned and checked. I will now perform a final check on everything myself."" ","""Do not worry. It has already been carefully cleaned and checked. I will now perform a final check on everything myself.""",[=UP],「ご安心を。すでに入念に清掃と確認をしております。最後に、私も全てを確認いたします。」,「ご安心を。すでに入念に清掃と確認をしております。最後に、私も全てを確認いたします」,"""Не беспокойтесь. Она уже была как следует вычищена и проверена. Сейчас я самостоятельно проведу окончательную проверку.""","""Não se preocupe. Eu já tomei as precauções e limpei cuidadosamente. Performarei agora uma última inspeção em tudo.""",「請放心。已經仔細打掃，仔細檢查過了。我也會最後全部檢查一遍的。」,「请放心。已经仔细打扫，仔细检查过了。我也会最后全部检查一遍的。」,"""Non si preoccupi. È stato già attentamente pulito e controllato. {n}Ora ricontrollerò personalmente ogni cosa."""
