Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
Ushiromiya Maria,"""......I don't know why you're angry, Battler.""","""...I don't know why you're mad, Battler."" ","""......I don't know why you're mad, Battler.""",「……どうして戦人が怒ってるのか、わかんないよ。」,「……どうして戦人が怒ってるのか、わかんないよ」,"""......Я не понимаю, чего ты сердишься, Баттлер.""","""......Não consigo entender por que está bravo, Battler.""",「……战人干嘛发火呢，搞不懂哦。」,「……戰人幹嘛發火呢，搞不懂哦。」,"""... Non capisco perché ti sei arrabbiato, Battler.""",[=UP],"""... No sé por qué estás enojado, Battler.""","""......ﻻ ﺃﺩﺭﻱ ﻣﺎ ﺃﻏﻀﺒﻚ ﻳﺎ ﺑﺎﺗﻠﺮ."""
Ushiromiya Battler,"""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!""","""You don't?! Everyone was killed!! By that damn geezer! Who was saying something crazy about {f:5:Beatrice}'s resurrection ceremony or whatever!!"" ","""You don't?!  Everyone was killed!!  By that damn geezer!  Saying something incomprehensible about Beatrice's resurrection ceremony or something!!""",「わかるだろ？！　みんな殺されたんだぞ！！　あのクソジジイに！　ベアトリーチェ復活の儀式とかわけのわかんないことを言って！！」,[=JP],"""Чего я сержусь?! Все они мертвы! Из‐за этого грёбаного старикана! Нёсшего какую‐то чушь о ритуале воскрешения {f:5:Беатриче} и всякую другую хрень!""","""Pois {i:deveria}! Todos foram mortos!! Por aquele velho de merda! Dizendo algo incompreensível sobre um ritual de ressurreição da {f:5:Beatrice} ou algo assim!!""",「你明白的吧？！大家都被杀了啊！！被那个混帐老头！胡扯些贝阿朵莉切复活仪式什么的莫名其妙的疯话！！」,「你明白的吧？！大家都被殺了啊！！被那個混帳老頭！胡扯些貝阿朵莉切復活儀式什麼的莫名其妙的瘋話！！」,"""Non capisci?! Sono stati uccisi tutti!! Da quel dannato vecchiaccio! Mentre se ne andava dicendo cose incomprensibili su una cerimonia per la resurrezione di Beatrice o roba simile!!""",[=UP],"""¡¿No?! ¡¡Todos fueron asesinados!! ¡Por ese maldito viejo! ¡¡Diciendo algo incomprensible sobre la ceremonia de resurrección de {f:5:Beatrice} o algo así!!""","""{i:ﻛﻴﻒ ﻻ..} ﻭﻛﻞٌ ﻣﻘﺘﻮﻝ!! ﻗﺘﻠﻬﻢ ﺫﺍﻙ ﺍﻟﺸﺎﻳﺐ ﺍﻟﺰﻓﺖ!! ﻭﻋﺬﺭﻩ ﻃﻘﻮﺱ ﺑﻌﺚ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﻫﺮﻃﻘﺔٌ ﺗُﺠﻬﻞ!!"""
Ushiromiya Maria,"""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?""","""So, by now, 13 people have been offered as sacrifices, ...and it's already time for {f:5:Beatrice} to revive, right?"" ","""Then by now, 13 people have been offered as sacrifices, ......and it's already time for Beatrice to revive, right?""",「なら、これで１３人が生贄に捧げられて、……もうベアトリーチェは蘇った頃だよ？」,[=JP],"""Но 13 человек уже принесены в жертву, и {f:5:Беатриче} самое время воскреснуть, так?""","""Então, isso significa que treze pessoas foram oferecidas como sacrifício, ......e a {f:5:Beatrice} já foi revivida, sabia?""",「那么，这下就献上了十三名活祭，……贝阿朵莉切现在已经复活了？」,「那麼，這下就獻上了十三名活祭，……貝阿朵莉切現在已經復活了？」,"""Così a questo punto, sono state offerte tredici persone come sacrifici... ed è già ora che Beatrice torni in vita, giusto?""",[=UP],"""Entonces, eso significa que 13 personas han sido ofrecidas como sacrificios... y que {f:5:Beatrice} ya ha sido revivida, ¿sabes?""","""ﻓﻴﻌﻨﻲ ﺃﻥّ ﺛﻼﺛﺔَ ﻋﺸﺮَ ﻧُﺤﺮﻭﺍ ﻗﺮﺍﺑﻴﻦ، ......ﻭﻭﻗﻊ ﻣﺒﻌﺚ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}!"""
Ushiromiya Battler,"""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!""","""Sure, that sounds great!! I'll find {f:5:Beatrice} too and kill them both!!"" ","""Sure, that sounds great!!  I'll take Beatrice too and kill them both!!""",「あぁ、なら上等だ！！　ベアトリーチェもまとめて一緒に、ブチ殺してやるッ！！」,[=JP],"""Конечно, замечательно! Тогда я ещё и {f:5:Беатриче} вместе с ним убью!""","""Sim, perfeito!! Eu vou pegar essa {f:5:Beatrice} também e matar os dois!!""",「啊啊，好极了啊！！把那贝阿朵莉切也带上，一锅端统统杀掉！！」,「啊啊，好極了啊！！把那貝阿朵莉切也帶上，一鍋端統統殺掉！！」,"""E certo, suona fantastico!! Prenderò anche Beatrice e li ucciderò tutti e due!!""",[=UP],"""¡¡Sí, perfecto!! ¡¡Los mataré a ambos!!""","""ﻃﻴﺐ، ﻫﺎﺗﻬﺎ!! ﻷﺫﺑﺤﻨّﻪ ﻣﻊ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}!!"""
Ushiromiya Maria,"""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?""","""......We've survived the ceremony. So, we'll receive an invitation to the Golden Land from {f:5:Beatrice}. ",""".........We have survived the ceremony.  So we will receive an invitation to the Golden Land from Beatrice, you see......?  ",「…………真里亞たちは儀式を生き残った。だからベアトリーチェに、黄金郷に招待してもらえるんだよ……？,「…………真里亞たちは儀式を生き残った。だからベアトリーチェに、黄金郷に招待してもらえるんだよ……？」,""".........Мы пережили ритуал. И мы получим приглашение в Золотую Землю от {f:5:Беатриче}, ты понимаешь?""","""............Nós sobrevivemos ao ritual. Então vamos receber um convite da {f:5:Beatrice} para a Terra Dourada, sabia......?""",「…………我们在仪式中活了下来。所以，贝阿朵莉切会招待我们去黄金乡的哟……？」,「…………我們在儀式中活了下來。所以，貝阿朵莉切會招待我們去黃金鄉的喲……？」,"""... Siamo sopravvissuti alla cerimonia. Per cui riceveremo un invito per la Terra Dorata da Beatrice, capisci...?",[=UP],"""... Hemos sobrevivido a la ceremonia. Así que recibiremos una invitación a la Tierra Dorada de parte de {f:5:Beatrice}...""","""............ﻟﻘﺪ ﻧَﺠَﻮْﻧﺎ ﻣﻦ ﺍﻟﻄﻘﺲ. ﻓﺮَ، ﻧﺪﺍﺀُ ﺍﻷﺭﺽ ﺍﻟﺬﻫﺒﻴﺔ ﻣﻦ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﻭﺍﺻِﻠُﻨﺎ......"""
Ushiromiya Maria,"""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch.""","Over there, all wishes will be granted. If having your family killed is painful, then you just have to resurrect them. ...That's what I plan to do. I'll revive the really nice real Mama, the one that isn't possessed by the black witch."" ","Over there, all wishes will be granted.  If having your family killed is painful, then you just have to resurrect them.  ......That's what Maria plans to do.  Maria will revive the really nice real Mama, the one that isn't possessed by the black witch.",そこでは願いは何でも叶う。家族を殺されたのが辛いなら、生き返らせてもらえばいいのに。……真里亞はそうするつもりだよ。黒い魔女に取り憑かれていない、本当にやさしい本当のママを蘇らせてもらうの。,「そこでは願いは何でも叶う。家族を殺されたのが辛いなら、生き返らせてもらえばいいのに。……真里亞はそうするつもりだよ。黒い魔女に取り憑かれていない、本当にやさしい本当のママを蘇らせてもらうの」,"""Там все наши желания будут исполнены. Если тебе больно от того, что убили твою семью, просто пожелай воскресить их. ......Мария как раз собирается это сделать. Мария воскресит по‐настоящему хорошую маму, которая не одержима чёрной ведьмой.""","""Todos os desejos serão garantidos. Se você está sofrendo porque sua família foi morta, então só precisa trazer eles de volta à vida. ......A Maria pretende fazer isso. Vou reviver a verdadeira e gentil mamãe, aquela que não foi possuída pela bruxa da escuridão.""",「在那里，可以实现任何愿望。若是因家人被杀感到难过的话，那就去许愿将他们复活好了哦。……真里亚就是打算这么做的哟。去复活没有黑魔女附身的，真正温柔的真正的妈妈。」,「在那裡，可以實現任何願望。若是因家人被殺感到難過的話，那就去許願將他們復活好了哦。……真里亞就是打算這麼做的喲。去復活沒有黑魔女附身的，真正溫柔的真正的媽媽。」,"Laggiù, tutti i desideri saranno esauditi. Se vedere la tua famiglia uccisa è doloroso, allora non devi fare altro che resuscitarli. ... È questo che Maria ha intenzione di fare. Maria riporterà in vita la vera Mamma che è tanto gentile, quella che non è posseduta dalla strega nera.",[=UP],"""En ese lugar, todos los deseos serán concedidos. Si es doloroso que maten a tu familia, entonces solo tienes que revivirlos... Eso es lo que María piensa hacer. María revivirá a la verdadera y amable mamá, esa que no está poseída por la bruja negra.""","""ﺛﻢّ ﻛﻞ ﺃﻣﻨﻴﺔ ﻣﺠﺎﺑﺔ. ﻓﺈﻥ ﺁﻟﻤﺘﻚ ﺇﺑﺎﺩﺓ ﺃﺳﺮﺗﻚ، ﻓﻤﺎ ﻋﻠﻴﻚ ﺇﻻ ﺃﻥ ﺗﺒﻌﺜﻬﻢ ﺃﺣﻴﺎﺀ. ......ﻭﻫﺬﺍ ﻣﺎ ﺃﻧﻮﻱ ﺃﻥ ﺃﻓﻌﻠَﻪ. ﺳﺄﺑﻌﺚ ﻣﺎﻣﺎ ﺍﻟﺤﻨﻮﻧﺔ ﺍﻟﺤﻘﻴﻘﻴﺔ، ﺗﻠﻚ ﺍﻟﺘﻲ ﻟﻢ ﺗﺘﻠﺒﺴﻬﺎ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﺴﻮﺩﺍﺀ."""
Ushiromiya Maria,"""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!""","""...So Mama will always be with me. ...There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll always fight against fearsome enemies for my sake. Kihhihihihihihi...!"" ","......So Mama will always be with Maria.  ......There won't be any more overtime or working on days off.  ...She will always be with Maria, and think only of Maria, kihhihihi, she'll always fight against fearsome enemies for Maria's sake.  Kihhihihihihihi...!""",……だからママは、もうずっと真里亞と一緒。………お仕事とかで残業も休日出勤も何もないの。…ずっと真里亞と一緒にいてくれて、真里亞のことだけを考えてくれて、きっひひひ、真里亞のために恐ろしい敵といつも戦ってくれるの。きっひひひひひひ…！」,「……だからママは、もうずっと真里亞と一緒。………お仕事とかで残業も休日出勤も何もないの。…ずっと真里亞と一緒にいてくれて、真里亞のことだけを考えてくれて、きっひひひ、真里亞のために恐ろしい敵といつも戦ってくれるの。きっひひひひひひ…！」,"""......И мама всегда будет с Марией. ......Она не будет задерживаться на работе или работать на выходных. ...Она всегда будет только с Марией, и думать будет только о Марии, ки‐хи‐хи‐хи, она всегда будет сражаться со страшными врагами ради Марии. Ки‐хи‐хи‐хи‐хи‐хи‐хи!""","""......Assim a mamãe vai ficar com a Maria para sempre. .........Não terão mais horas extras de trabalho nos dias de folga. ...Ela vai sempre estar comigo, pensar só em mim, kihhihihi, e vai lutar o tempo todo contra os inimigos assustadores por mim. Kihhihi{0}hi{0}hihihi...!""",「……所以，妈妈会一直都与真里亚在一起了哦。………不会有因为工作加班与休息日上班。…一直都陪着真里亚，只想着真里亚，唧嘻嘻嘻，不论何时都会为了真里亚去与可怕的敌人战斗。唧、嘻嘻嘻嘻嘻嘻…！」,「……所以，媽媽會一直都與真里亞在一起了哦。………不會有因為工作加班與休息日上班。…一直都陪著真里亞，只想著真里亞，唧嘻嘻嘻，不論何時都會為了真里亞去與可怕的敵人戰鬥。唧、嘻嘻嘻嘻嘻嘻…！」,"... Così Mamma sarà sempre con Maria. ... Non ci saranno più straordinari o lavoro nei giorni liberi. ... Lei sarà sempre con Maria, e penserà solo a Maria, kihhihihi, lotterà sempre contro nemici spaventosi per il bene di Maria. Kihhihihihihihi...!""",[=UP],"""... Así mamá siempre estará con María... Ya no se quedará hasta tarde trabajando ni hará horas extra en los días libres... Ella siempre estará con María, y solo pensará en María, kijjijiji, y luchará todo el tiempo contra temibles enemigos por el bien de María. ¡Kijjiijijijiji!...""","""......ﻓﺴﺘﺒﻘﻰ ﺃﻣّﻲ ﻣﻌﻲ ﻣﻦ ﺍﻵﻥ ﻓﺼﺎﻋﺪًﺍ. .........ﻟﻦ ﻳﻜﻮﻥ ﺛﻤّﺔ ﻋﻤﻞٌ ﺇﺿﺎﻓﻲّ ﻭﻻ ﺩﻭﺍﻡٌ ﻓﻲ ﺍﻟﻌُﻄَﻞ. ...ﺳﺘﻜﻮﻥ ﻣﻌﻲ ﻋﻠﻰ ﺍﻟﺪﻭﺍﻡ، ﻭﻻ ﺗﻔﻜّﺮ ﺇﻻ ﺑﻲ، ﻛﻬِﻬِﻬِﻬﻴﻬﻲ، ﻭﺳﺘُﻘﺎﺗﻞ ﻋﻨّﻲ ﺃﻋﺪﺍﺀً ﻣﻬﻮﻟﻴﻦ. ﻛﻬِﻬِﻬﻴﻬﻴﻬﻴﻬﻲ...!"""
Ushiromiya Battler,"""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!""","""...There's something wrong with you. ...Why are you saying something so incomprehensible in a situation like this...?!"" ","""......There's something wrong with you.  ......Why are you saying something so incomprehensible in a situation like this...?!""",「……お前、どうかしてるぜ。……何でこの状況で、そんなワケわかんねえことを言ってられるんだ…！」,[=JP],"""......С тобой явно что‐то не так. ......Зачем ты сейчас несёшь какой‐то вздор?!""","""......Tem algo muito errado com você. ......Como consegue ficar sentada aqui, dizendo essas merdas incompreensíveis, em uma situação como essa...?!""",「……你丫有病。……为什么在这种状况下，还能说出这样莫名其妙的话啊…？！」,「……你丫有病。……為什麼在這種狀況下，還能說出這樣莫名其妙的話啊…？！」,"""... Tu hai qualche rotella fuori posto. ... Perché ti metti a parlare di cose così incomprensibili in una situazione come questa...?!""",[=UP],"""... Hay algo mal contigo... ¡¿Cómo es que puedes decir esas tonterías incomprensibles en una situación como esta?!...""","""......ﺑﻚ ﻋِﻠّﺔٌ ﻣﺎ. ......ﻛﻴﻒ ﺗﻠﻮﻙ ﻫﺬﺍ ﺍﻟﻬﺬﻳﺎﻥ ﻓﻲ ﻇﺮﻑٍ ﻛﻬﺬﺍ...؟!"""
Ushiromiya Maria,"""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?""","""......Didn't Kyrie just tell you, Battler...? ......Didn't she tell you... to believe... in the witch?"" ","""............Didn't Kyrie just tell you, Battler...?  ......Didn't she tell you...to believe......in the witch?""",「…………戦人は今、霧江に言われたはずだよ…？　……魔女を、信じろと、……言われたはずなのに。」,「…………戦人は今、霧江伯母さんに言われたはずだよ…？　……魔女を、信じろと、……言われたはずなのに」,"""............Разве Кирие не сказала тебе, Баттлер? ......Разве она не попросила тебя поверить в ведьму?""","""............A tia Kyrie não disse a você, Battler...? ......Ela não disse a você...para acreditar......na bruxa?""",「…………战人，你应该刚听雾江说过哦…？……明明，都跟你说了，……去相信魔女。」,「…………戰人，你應該剛聽霧江說過哦…？……明明，都跟你說了，……去相信魔女。」,"""... Non te l'ha appena detto Kyrie, Battler...? Non ti ha detto... di credere ... nella strega?""",[=UP],"""... ¿No te lo acaba de decir la tía Kyrie, Battler?... ¿Acaso ella no te dijo... que creyeras... en la bruja?""","""............ﺃﻟﻢ ﺗُﺨﺒﺮﻙ ﺧﺎﻟﺘﻲ ﻛﻴﺮﻳﻲ ﻳﺎ ﺑﺎﺗﻠﺮ...؟ ......ﺃﻟﻢ ﺗﻘﻞ ﻟﻚ... ﺃﻥ ﺗﺆﻣﻦ... ...ﺑﺎﻟﺴﺎﺣﺮﺓ؟"""
Ushiromiya Battler,""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!""",""".........F-Fuck. This is no time to get in an argument with you over something like this...!! Now, there are no hostages or anything...anyone left alive! This weird, shitty ceremony game is already over...!!"" ","""...............F, fuck.  This isn't the time to get in an argument with you over something like this...!!  Now, there are no hostages or anything...anyone left alive!  This weird, shitty ceremony game is already over...!!",「…………………く、くそ。こんなとこで真里亞と口喧嘩してる場合じゃねぇぜ…！！もう人質も何も誰も生き残っちゃいねぇんだ！　もうクソ下らねぇ、おかしな儀式もゲームもおしまいだぜ…！！,「…………………く、くそ。こんなとこで真里亞と口喧嘩してる場合じゃねぇぜ…！！　もう人質も何も誰も生き残っちゃいねぇんだ！　もうクソ下らねぇ、おかしな儀式もゲームもおしまいだぜ…！！」,"""...............Чёрт возьми. Сейчас не время пререкаться на эту тему! Всё, теперь никаких заложников не осталось... Никто из них не выжил! Эта идиотская, грёбаная игра‐ритуал завершилась!""",""".....................M‐Merda. Não é hora de ficar discutindo com você...!! Esqueça os ""reféns"", a essa hora não deve ter sobrado nenhum! Esse estranho jogo que é essa cerimônia de merda já acabou...!!""",「…………………可、可恶。才没工夫在这与你真里亚打嘴仗…！！已经是人质不人质的，一个活的都不剩了！无聊透顶滑稽可笑的仪式与游戏，已经玩完了…！！」,「…………………可、可惡。才沒工夫在這與你真里亞打嘴仗…！！已經是人質不人質的，一個活的都不剩了！無聊透頂滑稽可笑的儀式與遊戲，已經玩完了…！！」,"""... D-Dannazione. Non è questo il momento di mettersi a bisticciare con te per qualcosa del genere...!! Ora, non ci sono ostaggi né... nessun altro che sia ancora in vita! Questa schifosa cerimonia bizzarra è già finita...!!",[=UP],"""... M-Mierda. ¡¡Este no es el momento de meterme en una discusión contigo sobre algo así!!... ¡Ya no hay rehenes... ya no queda nadie con vida! ¡¡Esta rara y estúpida ceremonia ya ha acabado!!...""",""".....................ﺑﺌﺴًﺎ. ﻟﻴﺲ ﻫﺬﺍ ﺃﻭﺍﻥُ ﺍﻟﺠﺪﺍﻝ ﻣﻌﻚ...!! ﻣﺎ ﺑﻘﻲ ﺃﺣﺪ ﺣﻴًﺎ، ﻻ ﺍﻟﺮﻫﺎﺋﻦ ﻭﻻ ﻏﻴﺮﻫﻢ! ﻟﻘﺪ ﺍﻧﺘﻬﺖ ﻫﺬﻩ ﺍﻟﻠﻌﺒﺔُ ﺍﻟﺴﺨﻴﻔﺔ ﺍﻟﻤﻠﻌﻮﻧﺔ ﺑﻄﻘﻮﺳﻬﺎ ﺍﻵﻥ...!!"""
