Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Lion,"""I've brought Willard-san."" ","""I've brought Willard‐san.""","""I've brought Willard-san.""",「ウィラードさんをお連れしました。」,「ウィラードさんをお連れしました」,"""Уиллард пришёл.""","""Eu trouxe o Willard‐san.""",「威拉德先生，帶到。」,「威拉德先生，带到。」,"""Ho portato Willard-san."""
Willard H. Wright,"""........."" ","""........................""","""............""",「……………………。」,「……………………」,[=OG],[=UP],[=JPC],[=JPC],"""..."""
,Kinzo and Genji could be seen in the VIP room. ,Kinzo and Genji could be seen in the VIP room.,[=UP],貴賓室には、金蔵と源次の姿があった。,[=JP],Кинзо и Генджи были в почётной комнате.,Kinzo e Genji podiam ser vistos na sala VIP.,貴賓室中，有著金藏與源次的身影。,贵宾室中，有着金藏与源次的身影。,Kinzo e Genji potevano essere visti nella stanza per gli ospiti di riguardo.
,"Kinzo was sitting back in a chair, his eyes closed as though in a troubled sleep. ","Kinzo was sitting back in a chair, his eyes closed as though in a troubled sleep."," Kinzo was sitting back in a chair, his eyes closed as though in a troubled sleep.",金蔵は深々と椅子に腰掛け、不機嫌に眠っているかのように目を瞑っている。,[=JP],"Кинзо сидел в кресле с закрытыми глазами, словно в беспокойном сне.","Kinzo estava sentado em uma cadeira, com seus olhos fechados, como se estivesse dormindo.",金藏把腰深深靠在椅子上，如同心情不快地睡著般地閉著眼。,金藏把腰深深靠在椅子上，如同心情不快地睡着般地闭着眼。,"Kinzo era seduto su una sedia, con gli occhi chiusi, come se stesse facendo un sogno inquieto."
Ronoue Genji,"""...Master, the guest has come to see you."" ","""......My lord. The guest has come to see you.""","""......Master. The guest has come to see you.""",「……お館様。お客様がお見えになりました。」,「……お館様。お客様がお見えになりました」,"""......Господин. К вам пришёл гость.""","""......Mestre. O convidado veio vê‐lo.""",「……老爺。客人來見您了。」,「……老爷。客人来见您了。」,"""... Padrone. L'ospite è venuto a vederla."""
Ushiromiya Kinzo,"""............Nn."" ","""..............................nn.""","""............Nn.""",「…………………………ん。」,「…………………………ん」,"""............Н‐н.""",[=UP],「…………………………嗯。」,[=CHT],"""... Nn."""
,Kinzo slowly opened his eyes....Those eyes were red from crying. ,Kinzo slowly opened his eyes.{n}......Those eyes were red from crying.,Kinzo slowly opened his eyes.......Those eyes were red from crying.,金蔵はゆっくり目を開ける。……その目は、泣き腫らして赤くなっていた。,金蔵はゆっくり目を開ける。{n}……その目は、泣き腫らして赤くなっていた。,Кинзо медленно открыл глаза.{n}......Его глаза были красными от слёз.,Kinzo lentamente abriu seus olhos.{n}......Seus olhos estavam vermelhos de tanto chorar.,金藏慢慢睜開眼睛。{n}……他的雙目，哭得又紅又腫。,金藏慢慢睁开眼睛。{n}……他的双目，哭得又红又肿。,Kinzo aprì lentamente gli occhi. ... Quegli occhi erano rossi dal pianto.
,They regained their focus and slowly fell on Will. ,They regained their focus and slowly fell on Will., They regained their focus and slowly fell on Will.,その目に焦点が戻り、ゆっくりとウィルを捉える。,[=JP],Они медленно обратились на Уилла.,"Após recuperar seu foco, seu olhar lentamente recaiu sobre Will.",瞳孔重新聚焦，焦點慢慢鎖定了威爾的身影。,瞳孔重新聚焦，焦点慢慢锁定了威尔的身影。,La sua vista si focalizzò e il suo sguardo ricadde lentamente su Will.
Ushiromiya Kinzo,"""...I am...Ushiromiya Kinzo."" ","""......I am...Ushiromiya Kinzo.""",[=UP],「……私が、右代宮金蔵である。」,「……私が、右代宮金蔵である」,"""......Я... Уширомия Кинзо.""","""......Eu sou...Ushiromiya Kinzo.""",「……我乃，右代宮金藏。」,「……我乃，右代宫金藏。」,"""... Io sono... Ushiromiya Kinzo."""
Ushiromiya Lion,"""...Will."" ","""......Will.""",[=UP],「……ウィル。」,「……ウィル」,"""......Уилл.""",[=UP],「……威爾。」,「……威尔。」,"""... Will."""
