Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Jessica,"""...Maria still hasn't come back. ...I wonder if she's getting scolded by Aunt Rosa again."" ","""...Maria hasn't come back. ......I wonder if she's being scolded by Auntie Rosa again.""","""...Maria hasn't come back. ......I wonder if she's been scolded by Rosa oba-san again.""",「…真里亞、戻ってこねぇな。……また楼座叔母さんに叱られてるのかな。」,「…真里亞、戻ってこねぇな。……また楼座叔母さんに叱られてるのかな」,"""...Мария до сих пор не вернулась. ......Тётя Роза опять её ругает, что ли?""","""...A Maria ainda não voltou. ......Será que a tia Rosa está repreendendo ela de novo?""",「…真里亞都不回來呢。……是不是又在挨樓座姑母的罵啊。」,「…真里亚都不回来呢。……是不是又在挨楼座姑母的骂啊。」,"""... Maria non è ancora tornata. ... Mi chiedo se sia stata rimproverata un'altra volta da Rosa oba-san.""","""...Maria non è tornata... Mi chiedo se sia stata rimproverata un'altra volta da zia Rosa.""","""...Maria hâlâ dönmedi. ......Yine Rosa Teyze tarafından azarlanıp azarlanmadığını merak ediyorum."""
,"Ever since they'd met Maria at the airport, she'd been romping around, chatting about Halloween the whole time. ","Ever since they had met Maria in the airport, she had constantly been making a huge fuss about Halloween.","Since they had met Maria in the airport, she had been romping around about Halloween the whole time.",今日の真里亞は、飛行場で出会った時から、ずっとハロウィンハロウィンと大はしゃぎしていた。,[=JP],"С того времени, как они встретили Марию в аэропорту, она всё время продолжала шуметь про Хэллоуин.","Desde que encontraram Maria no aeroporto, ela passou o tempo todo fazendo um alvoroço enorme sobre o Halloween.",今天的真里亞，打剛到機場的時候起，就一直滿口“萬聖夜萬聖夜”地鬧得很歡。,今天的真里亚，打刚到机场的时候起，就一直满口“万圣夜万圣夜”地闹得很欢。,"Fin da quando avevano incontrato Maria all'aeroporto, lei aveva strepitato tutto il tempo per Halloween.","Maria era costantemente esagitata per Halloween, sin da quando l'avevano incontrata all'aeroporto...","Maria ile havaalanında karşılaştığımızdan beri, Maria sürekli olarak Cadılar Bayramı hakkında yaygara koparıp duruyordu."
,"...But maybe she'd cut loose a little too much, acting a little too boisterous on the plane, on the boat, and during lunch, ...because Rosa had cautioned her several times. ","...But it seemed she had cut loose a little too much, and acted a little too boisterous on the plane, on the boat, and during lunch, because Rosa had warned her several times.","...But maybe she had cut loose a little too much, and acted a little too boisterous on the plane, on the boat, and during lunch, because Rosa had warned her several times.",…ただ、少々ハメを外しすぎたようで、飛行機の中や船の中、昼食の席でも騒がしくし過ぎ、楼座から何度も注意を受けていた。,[=JP],"...Но возможно, она позволила себе слишком много вольностей, и вела себя слишком шумно на самолёте, и на катере, и во время завтрака, поскольку Роза сделала ей несколько замечаний.","...Parecia que ela tinha se soltado um pouco demais, e agiu de forma meio barulhenta no avião, no barco e durante o almoço, ...só porque Rosa avisou ela várias vezes para ficar em silêncio.",…只不過，她好像有點太興奮了，在飛機上、船上，甚至在午餐的席上都吵鬧過頭了，被樓座提醒了好幾次。,…只不过，她好像有点太兴奋了，在飞机上、船上，甚至在午餐的席上都吵闹过头了，被楼座提醒了好几次。,"... Ma forse aveva esagerato un po' troppo facendo baccano sull'aereo, sulla barca, e durante il pranzo, per questo Rosa l'aveva richiamata più volte.","Ma forse aveva esagerato un po' troppo, e il gran baccano che fece sull'aereo, sulla barca e anche durante il pranzo, la portò a venire richiamata diverse volte da Rosa.","...Ama görünüşe göre biraz ipin ucunu kaçırmış, uçakta, gemide ve öğle yemeğinde gereğinden fazla şımarık davranmıştı, çünkü Rosa onu birkaç kez uyarmıştı."
,"At times like that, Aunt Rosa tended not to scold her much in front of people. ...More often, she would take Maria aside and scold her alone. ","In times like that, Auntie Rosa would rarely scold her in front of people.{n}...More commonly, she would call Maria into the shadows, and scold her when they were alone."," In times like that, Rosa oba-san would rarely scold her in front of people....More commonly, she would call Maria into the shadows, and scold her when they were alone.",そういう時、楼座叔母さんは人前ではあまり叱らない。…大抵、物陰に呼び、二人きりで叱ることが多い。,そういう時、楼座叔母さんは人前ではあまり叱らない。{n}…大抵、物陰に呼び、二人きりで叱ることが多い。,"В такие моменты тётя Роза редко ругала её на людях.{n}...Скорее всего, она позвала бы Марию в укромное место, и отругала бы её, когда они остались одни.","Em momentos assim, a tia Rosa raramente repreende ela na frente de outras pessoas. ...É mais comum ela chamar a Maria para um local mais vazio e repreender ela quando estão sozinhas.",像這種時候，樓座姑母一般不會在眾人面前斥責她。{n}…基本上都是把她叫到四下無人之處，兩人獨處時教訓她。,像这种时候，楼座姑母一般不会在众人面前斥责她。{n}…基本上都是把她叫到四下无人之处，两人独处时教训她。,"In momenti come quelli, Rosa oba-san raramente la rimprovera di fronte alle persone. ... Più normalmente, la chiama da una parte, e la rimprovera quando sono sole.","In momenti come quelli, zia Rosa raramente la rimproverava in pubblico...{n}Il più del volte la chiamava verso una parte isolata, e la rimproverava quando erano sole.",Böyle zamanlarda Rosa Teyze onu insanların önünde nadiren azarlardı.{n}...Genellikle Maria'yı gizlice çağırır ve yalnız kaldıklarında onu azarlardı.
,"So, since Maria had been called off somewhere, they figured she must be getting scolded. ","So since Maria had been called off somewhere, they thought she must be getting scolded."," So since Maria had been called off somewhere, they thought she must be getting scolded.",だから、こうして真里亞が呼び出されたなら、どこかで叱られているに違いないと彼らは考えるのだった。,[=JP],"А раз Марию куда‐то позвали, они подумали, что она получает нагоняй.","Por isso, como a Maria tinha sido chamada para algum lugar, eles pensaram que ela devia estar sendo repreendida.",所以既然真里亞像這樣被叫走了，他們也就覺得，她肯定是被帶到某處挨罵去了。,所以既然真里亚像这样被叫走了，他们也就觉得，她肯定是被带到某处挨骂去了。,"Quindi dato che Maria era stata chiamata da una parte, loro pensarono che la Madre la stesse sgridando.","Quindi pensarono che, se Maria era stata chiamata altrove in quel modo, sicuramente stava venendo sgridata.","Bu yüzden, Maria bir yere çağrıldığına göre, şu anda azarlanıyor olmalı diye düşündüler."
,"When they looked at the clock, they realized it was almost 6:00. Of course, they couldn't imagine she'd been getting scolded all this time. ","When they looked at the clock, they realized that it was almost six.{n}They couldn't really imagine that Maria had been being scolded this whole time."," When they looked at the clock, they realized that it was almost 6:00. They couldn't really imagine that Maria had been scolded this whole time.",時計を見ればもう６時だった。さすがにずっと叱られているとは思わない。,時計を見ればもう６時だった。{n}さすがにずっと叱られているとは思わない。,"Взглянув на часы, они увидели, что те показывают шесть вечера.{n}Трудно было себе представить, что Марию отчитывали всё это время.","Quando olharam para o relógio, perceberam que já era quase seis.{n}Eles realmente não conseguiam imaginar que Maria estivesse sendo repreendida esse tempo todo.",看了下時鐘，已經六點了。{n}總不會是一直罵到了現在。,看了下时钟，已经六点了。{n}总不会是一直骂到了现在。,"Quando guardarono l'orologio, realizzarono che erano quasi le 6:00. {n}Non riuscivano davvero a immaginare che Maria fosse stata rimproverata per tutto questo tempo.","Quando guardarono l'orologio, si erano già le fatte le sei di pomeriggio.{n}Naturalmente, non credevano che Maria stesse venendo rimproverata per tutto questo tempo.",Saate baktıklarında saatin neredeyse altı olduğunu fark ettiler.{n}Maria'nın bunca zamandır azarlandığını düşünmek pek de mantıklı gelmiyordu.
,Maybe it was time for some anime she watched every week to start. She probably hadn't left the mansion's parlor. ,"Perhaps it had come time for some anime she watched every week to start, or something. She had probably just decided to stay in the mansion's parlor.", Maybe it was time for some anime she watched every week to start. She had probably stayed in the mansion's parlor the whole time.,多分、毎週見ているアニメでも始まる時間ではないだろうか。そのまま屋敷の客間に居付いてしまったのだろう。,[=JP],"Может быть, началось какое‐нибудь аниме, которое Мария смотрела каждую неделю. Должно быть она всё это время находилась в гостиной особняка.","Talvez tivesse chegado a hora de algum anime que ela assistia toda semana começar, ou algo assim. Provavelmente ela havia decidido ficar na sala de visitas da mansão.",大概是到了她每周都在看的動畫片開播的時間了吧。估計她應該是就這麼待在大屋的客廳裡了。,大概是到了她每周都在看的动画片开播的时间了吧。估计她应该是就这么待在大屋的客厅里了。,Forse era l'ora in cui iniziava qualche anime che lei guardava ogni settimana. Probabilmente era stata nel salotto della villa tutto il tempo.,Forse era l'ora in cui iniziava qualche anime che lei guardava ogni settimana. Probabilmente era rimasta ancora nel salotto della villa.,Belki de her hafta izlediği bir animenin başlama saati falan gelmişti. Muhtemelen malikanenin salonunda kalmaya karar vermişti.
Shannon,"""Maybe Battler-sama woke up, and they've been playing together."" ","""It could be that Battler‐sama has woken up and they are playing together.""","""Possibly, Battler-sama has woken up and they are playing together.""",「ひょっとすると、戦人さまがお目覚めになって、一緒に遊ばれているのかもしれませんね。」,「ひょっとすると、戦人さまがお目覚めになって、一緒に遊ばれているのかもしれませんね」,"""Наверно, Баттлер‐сама уже проснулся, и они играют вместе.""","""É possível que o Battler‐sama tenha acordado e estejam brincando juntos.""",「也沒准是戰人少爺醒了過來，在陪她一起玩呢。」,「也没准是战人少爷醒了过来，在陪她一起玩呢。」,"""Forse, Battler-sama si è svegliato e stanno giocando insieme.""","""Può essere che il signorino Battler si sia svegliato, e che stiano giocando assieme.""","""Belki Battler-sama uyanmıştır ve birlikte oyun oynuyorlardır."""
Ushiromiya George,"""After all, Maria-chan thinks of Battler-kun as a new friend. ...She must've had a lot of fun when she played Halloween with Battler-kun at the airport."" ","""Well, Maria‐chan must have thought of Battler‐kun as sort of a new friend. ...I'm sure she had tons of fun when she played Halloween with Battler‐kun at the airport.""","""That's because Maria-chan thinks of Battler-kun as a new friend. ...I'm sure it was tons of fun when she played Halloween with Battler-kun at the airport.""",「真里亞ちゃんにとって、戦人くんは新しい友達のような感じだったろうからね。…その戦人くんと飛行場で、ハロウィンごっこをするのがきっととても楽しかったんだよ。」,「真里亞ちゃんにとって、戦人くんは新しい友達のような感じだったろうからね。…その戦人くんと飛行場で、ハロウィンごっこをするのがきっととても楽しかったんだよ」,"""Это потому, что Мария‐чан думает о Баттлере‐куне, как о новом друге. ...Я уверен, она получила массу удовольствия, когда играла в Хэллоуин с Баттлер‐куном в аэропорту.""","""Afinal, a Maria‐chan pensa no Battler‐kun como o novo amigo dela. ...Tenho certeza que ela se divertiu muito brincando de Halloween com o Battler‐kun no aeroporto.""",「畢竟對小真里亞來說，戰人君應該就像是新交的朋友那種感覺嘛。…她和戰人君在機場玩萬聖夜過家家的時候，肯定很是開心呢。」,「毕竟对小真里亚来说，战人君应该就像是新交的朋友那种感觉嘛。…她和战人君在机场玩万圣夜过家家的时候，肯定很是开心呢。」,"""Questo è perché Maria-chan pensa a Battler-kun come a un nuovo amico. ... Sono sicuro che si sia divertita un sacco quando ha giocato a Halloween con lui all'aeroporto.""","""Maria-chan pensa che Battler-kun sia come un nuovo amico... Sono sicuro che si sia divertita molto quando ha giocato a fare Halloween con lui all'aeroporto.""","""Maria-chan, Battler-kun'u yeni bir arkadaş olarak görüyor olmalı. ...Havaalanında Battler-kun ile Cadılar Bayramı oynarken çok eğlendiğine eminim."""
Ushiromiya Jessica,"""Battler looked like he was having a lot of fun himself. Maybe he's gotten big, but he hasn't changed a bit."" ","""Battler was messing around a lot himself. That dude's gotten big, but he hasn't changed a bit on the inside from how he used to be.""","""Battler was messing around a lot himself. Even though that guy's gotten big, he hasn't changed a bit since long ago.""",「戦人もずいぶんはしゃいでたな。あいつ、図体はデカくなったってのに、中身は昔っから全然変わらねぇぜ。」,「戦人もずいぶんはしゃいでたな。あいつ、図体はデカくなったってのに、中身は昔っから全然変わらねぇぜ」,"""Баттлер и сам здорово дурачился. Даже несмотря на то, в какую каланчу он вымахал, с тех давних пор он ничуть не изменился.""","""O Battler também parecia bem animado. Ele pode ter ficado enorme, mas por dentro não mudou nada do que costumava ser.""",「戰人也鬧得夠痛快啊。那傢伙，明明身體都長得那麼大了，內在還是和從前一樣完全沒變嘞。」,「战人也闹得够痛快啊。那家伙，明明身体都长得那么大了，内在还是和从前一样完全没变嘞。」,"""Anche Battler stava facendo un sacco di confusione. Nonostante quel ragazzo sia cresciuto, non è cambiato di una virgola.""","""Anche Battler se la stava spassando un sacco. Sarà pure cresciuto di fisico, ma non è cambiato di una virgola rispetto al passato.""","""Battler da çok eğleniyormuş gibi duruyordu. Adam kocaman olmuş, ama eski halinin tıpatıp aynısı, içten içe hiç değişmemiş."""
