Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Krauss,"""......Tr-True, it isn't unthinkable... The servants are the most suspicious..."" ",""".........Tr‐...true, it isn't unthinkable... The servants are the most suspicious...""",""".........Tr, ...true, it isn't unthinkable... The servants are the most suspicious...""",「………た、…確かに考えられん話ではない…。使用人が、一番怪しい…。」,「………た、…確かに考えられん話ではない…。使用人が、一番怪しい…」,""".........Д‐да, не исключено... Слуги наиболее подозрительны...""",""".........Re‐...Realmente, não é inimaginável... Os serviçais são os mais suspeitos...""",「………的、…的確並不是不可想像…。傭人最可疑…」,「………的、…的确并不是不可想象…。佣人最可疑…」,"""... V... Vero, non è impensabile... i domestici sono i più sospetti..."""
Furudo Erika,"""It isn't as though we have any physical evidence, so we can't tie them up and throw them in a closet. So, we need to make sure that they're always within sight of those with guns, and that we keep an eye on them all the time."" ","""It isn't as though we have any physical evidence, so we can't tie them up and throw them in a closet. So, we need to make sure that they are always within sight of those with guns, and that we keep an eye on them all the time.""",[=UP],「物的証拠があるわけではありませんから、縛ってクローゼットに放り込むわけにも行きません。ですから、銃を持った皆さんの常に目に届くところにおいて、よく見張る必要があります。」,「物的証拠があるわけではありませんから、縛ってクローゼットに放り込むわけにも行きません。ですから、銃を持った皆さんの常に目に届くところにおいて、よく見張る必要があります」,"""У нас нет никаких вещественных доказательств, так что связать их и бросить в шкаф мы не можем. Поэтому нужно сделать так, чтобы они постоянно были в поле зрения людей с ружьями, и всё время наблюдать за ними.""","""Não é como se tivéssemos alguma evidência física, por isso não podemos amarrá‐los e jogá‐los dentro de um armário. Então, nós queremos ter certeza que eles estejam constantemente à vista daqueles com armas, e precisamos ficar de olho neles o tempo todo.""",「由於並不是有了物證，所以不能去把他們綁起來扔壁櫥裡。因此，我們有必要，命令他們待在拿槍的各位時刻看得到的地方，好好監視。」,「由于并不是有了物证，所以不能去把他们绑起来扔壁橱里。因此，我们有必要，命令他们待在拿枪的各位时刻看得到的地方，好好监视。」,"""Non abbiamo nessuna prova concreta, quindi non possiamo legarli e chiuderli in un armadio. Quindi dobbiamo assicurarci che vengano sempre tenuti d'occhio da chi ha i fucili e di controllarli sempre."""
Ushiromiya Rudolf,"""Aniki, we should also gather the master keys. ...Only the servants could've created those closed rooms. They must've done something with the chain locks using some tool or arrangement that only the servants know about."" ","""Aniki, we should also gather the master keys. ......Only the servants could have created those locked rooms. They must have done something with the chain locks using some tool or setup that only the servants know about.""","""Aniki, we should also gather the master keys. ......Only the servants could have created those closed rooms. They must have done something with the chain locks using some tool or setup that only the servants know about.""",「兄貴、マスターキーも回収した方がいい。……あの密室も、使用人たち以外には作れるわけがないんだ。使用人たちしか知らない構造や、道具などで、きっとチェーンロックをどうにか出来たに違いない。」,「兄貴、マスターキーも回収した方がいい。……あの密室も、使用人たち以外には作れるわけがないんだ。使用人たちしか知らない構造や、道具などで、きっとチェーンロックをどうにか出来たに違いない」,"""Брат, ещё нужно собрать универсальные ключи. ......Только слуги могли создать те закрытые комнаты. Они наверняка что‐то сделали с цепочками с помощью инструмента или механизма, о котором знают только слуги.""","""Aniki, nós também deveríamos reunir as chaves mestras. ......Os serviçais são os únicos que poderiam criar aqueles quartos fechados. Eles devem ter lidado com as correntes usando algum tipo de ferramenta ou aparato que só os serviçais têm conhecimento.""",「大哥，最好把總鑰匙也沒收了。……那些密室，也是除去傭人沒人能做到的。以只有傭人知道的構造或工具什麼的，肯定能搞定鏈條鎖。」,「大哥，最好把总钥匙也没收了。……那些密室，也是除去佣人没人能做到的。以只有佣人知道的构造或工具什么的，肯定能搞定链条锁。」,"""Aniki, dovremmo anche prendere i passepartout. ... Solo i domestici potrebbero aver creato quelle stanze chiuse. Devono aver fatto qualcosa con le catene usando qualche attrezzo o metodo conosciuto solo da loro."""
Ushiromiya Krauss,"""...They have all served us for a long time. I can hardly imagine that they would commit murder..."" ","""......They have all served us for a long time. I can hardly imagine that they would commit murder...""",[=UP],「……皆、長く勤めてくれている者ばかりだ。私には到底、彼らが殺人を犯すとは思えんのだが…。」,「……皆、長く勤めてくれている者ばかりだ。私には到底、彼らが殺人を犯すとは思えんのだが…」,"""......Все они так долго служили нам. Трудно представить, что убийства совершил кто‐то из них...""","""......Todos vêm trabalhando para nós há muito tempo. É muito difícil de imaginar que eles cometeram um assassinato...""",「……他們全在我府工作已久。我無論如何都不認為，他們會犯下殺人罪…」,「……他们全在我府工作已久。我无论如何都不认为，他们会犯下杀人罪…」,"""... Ci hanno servito per tutto questo tempo. Non riesco a credere che possano commettere un omicidio..."""
Furudo Erika,"""Kinzo-san's life is nearly over, and I hear that the inheritance problem is still very shaky. ...Add on that story about 10 tons of gold being hidden somewhere. A possible payoff like that might be enough to convince certain people to commit a crime..."" ","""I hear that Kinzo‐san is not long for this world, and the inheritance problem is still very shaky. ......In addition, there's that story about ten tons of gold being hidden somewhere. A possible payoff like that might be enough to convince certain people to commit a crime...""","""Kinzo-san's life is nearly over, and I hear that the inheritance problem is still very shaky. ......Add on that story about ten tons of gold being hidden somewhere. A possible payoff like that might be enough to convince certain people to commit a crime...""",「金蔵さんの寿命もわずかで、遺産問題で大きく揺れているそうですね。……それに加え、１０ｔの黄金がどこかに隠されている、なんて話もあるそうじゃないですか。それらの分け前にありつけるなら、人は罪を犯せるかもしれません…。」,「金蔵さんの寿命もわずかで、遺産問題で大きく揺れているそうですね。……それに加え、１０ｔの黄金がどこかに隠されている、なんて話もあるそうじゃないですか。それらの分け前にありつけるなら、人は罪を犯せるかもしれません…」,"""Дни Кинзо почти сочтены, и я слышала, что проблема наследства по‐прежнему нестабильна. ......Да ещё и история о спрятанных десяти тоннах золота. Возможности такой выгоды может быть достаточно, чтобы убедить некоторых пойти на убийство...""","""Eu ouvi que a vida do Kinzo‐san já está no final, e a questão da herança está dando o que falar. ......E mais, tem aquela história sobre as dez toneladas de ouro que estão escondidas por aí. A possível divisão que isso vai demandar poderia ser o suficiente para convencer certas pessoas a cometerem um crime...""",「金藏先生的壽命所剩無幾，貴府似乎也正因遺產問題而大為人心不穩。……再加上，不是還傳說某處藏著 10 吨黃金什麼的嘛？如果能從中分一杯羹，人是有可能犯罪的…」,「金藏先生的寿命所剩无几，贵府似乎也正因遗产问题而大为人心不稳。……再加上，不是还传说某处藏着 10 吨黄金什么的嘛？如果能从中分一杯羹，人是有可能犯罪的…」,"""La vita di Kinzo-san è quasi finita, e ho sentito dire che il problema dell'eredità è piuttosto spinoso. ... Aggiungete la storia sulle dieci tonnellate d'oro nascoste da qualche parte. C'è tutto quello che serve per convincere delle persone a commettere un omicidio..."""
Ushiromiya Rudolf,"""I don't want to think about it, ...but there's also a chance that the old bastard is running some bizarre occult ceremony. The servants of the One Wing are his pawns, and they might've been the ones to carry out the murders. ...How about Dad, anyway? Have we been able to contact him yet?"" ","""I don't want to think about it, .........but there's also a chance that the old bastard is running some bizarre occult ritual. The servants of the One Wing are his pawns, and they might have been the ones to carry out the murders. ......How about Dad, anyway? Have you been able to contact him yet?""","""I don't want to think about it, ......but there's also a chance that the old bastard is running some bizarre occult ceremony. The servants of the One Wing are his pawns, and they might have been the ones to carry out the murders. ......How about Dad, anyway? Have we been able to contact him yet?""",「考えたくはないが、………クソ親父のおかしなオカルト儀式って可能性もある。片翼の使用人たちは親父の手先で、殺人の実行者かもな。……親父はどうなんだ。まだ連絡は取れないのか。」,「考えたくはないが、………クソ親父のおかしなオカルト儀式って可能性もある。片翼の使用人たちは親父の手先で、殺人の実行者かもな。……親父はどうなんだ。まだ連絡は取れないのか」,"""Не хочется об этом думать...... но ещё есть вероятность, что старик проводит какой‐то оккультный ритуал. Слуги однокрылого орла — его пешки, и совершить убийства могли они. ......Кстати, что насчёт отца? Мы так и не связались с ним?""","""Eu não quero pensar sobre isso, .........mas também é possível que aquele velho desgraçado esteja conduzindo algum tipo de ritual oculto maluco. Os serviçais de Uma Asa são seus peões, e pode ser que sejam eles quem estão cometendo os crimes. ......Falando nisso, como anda o pai? Ainda não conseguiu falar com ele?""",「雖然不願這麼想，………但還有可能是混蛋老爸搞的莫名其妙的神秘學儀式。擁有片翼的傭人們，也許就是爸的手下、殺人的實行者。……爸他怎麼了？還沒跟他取得聯繫嗎？」,「虽然不愿这么想，………但还有可能是混蛋老爸搞的莫名其妙的神秘学仪式。拥有片翼的佣人们，也许就是爸的手下、杀人的实行者。……爸他怎么了？还没跟他取得联系吗？」,"""Non voglio pensarci... ma c'è anche la possibilità che il vecchio bastardo stia svolgendo un qualche rito bizzarro. I domestici sono le sue pedine, e potrebbero essere stati loro a commettere gli omicidi. ... A proposito, cosa mi dite di Papà? Non siamo ancora riusciti a contattarlo?"""
Ushiromiya Krauss,"""N-No... The extension line isn't working either... The culprits may have broken it. ...And Father does sometimes leave the receiver off the hook when he's in a bad mood... When I knocked, umm, ...I only received a grumpy reply... ...We can't contact him, but that study is well protected. It's probably safer there, so it might be best to have him stay there..."" ","""N‐no... We aren't getting through on the extension line either... The culprits might have broken it. ......And Father does often leave the receiver off the hook when he's in a bad mood... When I knocked, umm......I only received a grumpy reply... ......We can't contact him, but that study is well protected. It's probably safer there, so it might be best to have him stay there...""","""N, no... The extension line isn't working either... The culprits might have broken it. ......And Father does sometimes leave the receiver off the hook when he's in a bad mood... When I knocked, umm......I only received a grumpy reply... ......We can't contact him, but that study is well protected. It's probably safer there, so it might be best to have him stay there...""",「う、うむ…。内線電話も通じないのだ…。犯人に壊されたのかもしれない。……それに親父殿は不機嫌になると、電話の受話器を外していることがよくある…。ノックをしても、その、……不機嫌な返事があるだけ、…だった。……連絡は取れんが、あの書斎はシェルターも同然だ。むしろ安全だから、閉じ篭ってくれた方がいいだろう…。」,「う、うむ…。内線電話も通じないのだ…。犯人に壊されたのかもしれない。……それに親父殿は不機嫌になると、電話の受話器を外していることがよくある…。ノックをしても、その、……不機嫌な返事があるだけ、…だった。……連絡は取れんが、あの書斎はシェルターも同然だ。むしろ安全だから、閉じ篭ってくれた方がいいだろう…」,"""Не... нет... Добавочная линия тоже не работает... Видимо, преступник оборвал её. ......И время от времени, когда отец в плохом настроении, он снимает трубку с телефона... Постучав, э‐э...... я получил только сердитый ответ......... Мы не можем с ним связаться, но кабинет хорошо защищён. В кабинете даже безопаснее, поэтому, может, лучше оставить его там...""","""N‐Não... Não estamos conseguindo entrar em contato através do telefone... Os culpados podem ter danificado a linha. ......E o pai costuma deixar o telefone fora do gancho quando está de mau humor... Quando tentei bater na porta, bem......eu só recebi uma resposta desagradável... ......Não temos como contactar ele, mas o estúdio está bem protegido. Provavelmente é mais seguro que aqui, então deve ser melhor se ele continuar lá...""",「嗯、嗯…。內線電話也不通…。大概是遭到了犯人的破壞。……再者，父親大人是一旦不高興了，就常常會把電話話筒取下來擱一邊的…。儘管敲了門，但他老人家只是那個，……不高興地，…應了一聲。……雖未取得聯繫，但那間書房等於避難所。莫如說，因為很安全，所以還是讓父親大人待裡面別出來比較好吧…」,「嗯、嗯…。内线电话也不通…。大概是遭到了犯人的破坏。……再者，父亲大人是一旦不高兴了，就常常会把电话话筒取下来搁一边的…。尽管敲了门，但他老人家只是那个，……不高兴地，…应了一声。……虽未取得联系，但那间书房等于避难所。莫如说，因为很安全，所以还是让父亲大人待里面别出来比较好吧…」,"""N-No... nemmeno la linea interna funziona... i colpevoli potrebbero averla danneggiata. ... E nostro Padre talvolta lascia il telefono fuori posto quando è di cattivo umore... quando ho bussato, umm... ho ricevuto soltanto una risposta sgarbata... non possiamo contattarlo, ma lo studio è ben protetto. Probabilmente è più al sicuro lì, quindi sarebbe meglio non farlo uscire..."""
,"Flustered, Krauss tried to explain away Kinzo's silence. ","Flustered, Krauss tried to explain away Kinzo's silence.",[=UP],蔵臼はしどろもどろに、金蔵のことを誤魔化そうと試みている。,[=JP],"Волнуясь, Краусс пытался объяснить молчание Кинзо.","Afobado, Krauss tentou explicar o silêncio de Kinzo.",藏臼滿嘴跑火車，試圖把金藏的事給蒙混過關。,藏臼满嘴跑火车，试图把金藏的事给蒙混过关。,"Imbarazzato, Krauss cercò di spiegare il silenzio di Kinzo."
,"Battler, the Game Master, hadn't made ""Kinzo's death"" a major theme for this game, so the conversation didn't progress any further at this point. ","Battler, the Game Master, hadn't made ""Kinzo's death"" a major theme for this game, so the conversation didn't go any further."," Battler, the Game Master, hadn't made 'Kinzo's death' a major theme for this game, so the conversation didn't progress any further at this point.",ゲームマスターの戦人は、今回のゲームでは「金蔵の死」を特にキーワードとはしていないようなので、話はそれ以上続かない。,[=JP],"Баттлер — Владелец игры — не сделал 'смерть Кинзо' главной темой, поэтому в дальнейшем разговор не касался этой темы.","Battler, o Game Master, não havia feito da ""morte de Kinzo"" um tema de maior importância neste jogo, por isso a conversa não se prolongou mais do que isso.",由於 GM 戰人在本局遊戲中，似乎沒有將「金藏的死」定為關鍵詞，所以這事不會被繼續深究。,由于 GM 战人在本局游戏中，似乎没有将「金藏的死」定为关键词，所以这事不会被继续深究。,"Battler, il Game Master, non aveva reso ‘la morte di Kinzo’ un tema centrale per questo gioco, quindi la conversazione non proseguì oltre."
,They stopped talking about Kinzo without Rudolf thinking anything was particularly suspicious. ,They stopped talking about Kinzo without Rudolf thinking anything was particularly suspicious., They stopped talking about Kinzo without Rudolf thinking anything was particularly suspicious.,留弗夫は特に不審には思わず、それで金蔵の話を終えた。,[=JP],"Они перестали говорить о Кинзо, и Рудольф не заметил ничего подозрительного.",Eles pararam de pensar sobre Kinzo sem que Rudolf cogitasse qualquer coisa particularmente suspeita.,留弗夫並未感到特別可疑，故金藏的事到此為止。,留弗夫并未感到特别可疑，故金藏的事到此为止。,Smisero di parlare di Kinzo senza che Rudolf diventasse particolarmente sospettoso.
