Speaker,Steam (ST),Umineko Project (UP),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT)
,"""Yes, I will never forget that. It happened in April of 1987. I received a certain strange request from a friend. ","""Yes, I will never forget it. It happened in April of 1987. I received a certain strange request from a friend.""",「えぇ、あれは忘れもしない。１９８７年４月のことです。私は友人から、ある奇妙な依頼を受けました。,「えぇ、あれは忘れもしない。１９８７年４月のことです。私は友人から、ある奇妙な依頼を受けました」,"""Да, я никогда в жизни этого не забуду. Это произошло в апреле 1987 года. Друг попросил меня о чём‐то определённо странном.""","""Sim, eu nunca esqueceria aquilo. Aconteceu em abril de 1987. Eu recebi um certo pedido estranho de um amigo.""",「當然，這可忘不了。那是 1987 年 4 月的事兒。我從朋友那接到了一個奇妙的委託。」,「当然，这可忘不了。那是 1987 年 4 月的事儿。我从朋友那接到了一个奇妙的委托。」,"""Sì, non lo scorderò mai. È accaduto nell'aprile del 1987. Ho ricevuto una richiesta alquanto strana da un amico.",[=UP]
,"...There was a large collection of books, the former possessions of a very rich man, that were being sold at auction, and it was thought that some of them might've been extremely valuable to the study of archeology and folklore, as well as in an occult sense, so this friend wanted to witness their worth confidentially."" ","""......A large collection of books, the former possessions of a very rich man, were being sold at auction, and it was thought that some of them might have been extremely valuable from an archaeological and folkloristic perspective, as well as in an occult sense, so this friend wanted me to take a private look at their value.""",……とある大富豪の遺品である蔵書が大量に競売に掛けられていて、その一部に、民俗学的にも考古学的にも、あるいはオカルト的な意味でも極めて価値の高いものが含まれていると思われる、その価値を内密に見て欲しいというのです。」,「……とある大富豪の遺品である蔵書が大量に競売に掛けられていて、その一部に、民俗学的にも考古学的にも、あるいはオカルト的な意味でも極めて価値の高いものが含まれていると思われる、その価値を内密に見て欲しいというのです」,"""......Некоему богачу когда‐то принадлежала огромная коллекция книг, которые теперь продавались с аукциона, и предполагалось, что некоторые из них имели огромную ценность как предметы для археологических и фольклорных исследований, включая также оккультные, поэтому мой друг хотел конфиденциально убедиться в их ценности.""","""......Uma vasta coleção de livros, na qual pertenciam anteriormente a um homem muito rico, foi vendida em um leilão, e parece que alguns deles eram extremamente valiosos, de uma perspectiva arqueológica e folclórica, bem como em um sentido oculto, por isso, esse amigo queria que eu os olhasse, em particular, o valor deles.""",「……說是某大富豪遺產的藏書被大批投入拍賣，其中一部分貌似，在民俗學也好、在考古學也罷，又或許在神秘學的意義上亦是，具有著極高的價值，希望我能對外保密地去看看，估估價。」,「……说是某大富豪遗产的藏书被大批投入拍卖，其中一部分貌似，在民俗学也好、在考古学也罢，又或许在神秘学的意义上亦是，具有着极高的价值，希望我能对外保密地去看看，估估价。」,"... C'era una vasta collezione di libri, che appartenevano a un uomo molto ricco e che sono stati venduti all'asta, e si pensava che qualcuno di quelli fosse molto prezioso per gli studi di archeologia e del folklore, così come per l'occulto, così questo amico voleva controllare se fossero meritevoli d'attenzione.""","""......A large collection of books, the former possessions of a very rich man, were being sold at auction, and it was thought that some of them might have been extremely valuable from an archeological and folkloristic perspective, as well as in an occult sense, so this friend wanted me to take a private look at their value."""
Ushiromiya Ange,"""......That was '87. Half a year after the crime on Rokkenjima."" ","""..................'87. Half a year after the crime on Rokkenjima.""",「………………８７年。六軒島での事件の半年後。」,「………………８７年。六軒島での事件の半年後」,"""............87 год. Полгода спустя после преступления на Роккенджиме.""","""..................1987? Meio ano após o incidente em Rokkenjima?""",「………………87 年。是六軒島事件的半年後麼？」,「………………87 年。是六轩岛事件的半年后么？」,"""...'87. Metà anno dopo l'incidente di Rokkenjima.""",[=UP]
,"""Correct. It was explained that those books had escaped the disaster at Rokkenjima. The owner of the island, Ms. Ushiromiya Eva, had put them up for auction."" ","""Correct. Those books were explained to have escaped the disaster on Rokkenjima. I was told that the owner of the island, {nobr:Mrs. Ushiromiya} Eva, had put them up for auction.""",「左様です。それらの蔵書は、六軒島での難を逃れたものと説明されていました。それを、島の所有者である右代宮絵羽氏が競売に出したというのです。」,「左様です。それらの蔵書は、六軒島での難を逃れたものと説明されていました。それを、島の所有者である右代宮絵羽氏が競売に出したというのです」,"""Совершенно верно. По его словам, эти книги избежали катастрофы на Роккенджиме. Владелица острова, Уширомия Ева, отправила их на аукцион.""","""Correto. Foi dito que aqueles livros escaparam do desastre de Rokkenjima.{n}A dona daquela ilha, {nobr:Sra. Ushiromiya} Eva, os colocou em leilão.""",「是的。據解釋，這批藏書乃是逃過六軒島一劫之物。是島的所有者，右代宮繪羽氏拿出來拍賣的。」,「是的。据解释，这批藏书乃是逃过六轩岛一劫之物。是岛的所有者，右代宫绘羽氏拿出来拍卖的。」,"""Corretto. Avevano spiegato che quei libri erano sfuggiti al disastro su Rokkenjima. La proprietaria dell'isola, Ms. Ushiromiya Eva, li aveva messi all'asta.""",[=UP]
,This was apparently a high-class restaurant. A middle-aged man was sitting across from Ange in a secluded and quiet seat. ,They appeared to be at a high‐class restaurant. Ange and a middle‐aged man were sitting across from one another in a pair of secluded and quiet seats.,そこは高級なレストランのようだった。奥まって離れた静かな席に、初老の男と縁寿は向かい合って座っていた。,[=JP],"Разговор происходил в ресторане очевидно высшего класса. Напротив Энджи, в укромном и не вызывающем какого‐либо шума сидении, сидел мужчина средних лет.",Aparentemente isto ocorreu em um restaurante de alta classe. Ange e um homem de meia idade estavam de frente um para o outro em assentos mais reservados.,此處看似是一個高級西餐廳。在餐廳深處僻靜的位子上，面對面地坐著緣壽與一位剛步入老年的男子。,此处看似是一个高级西餐厅。在餐厅深处僻静的位子上，面对面地坐着缘寿与一位刚步入老年的男子。,"Questo era all'apparenza un ristorante di alta classe. In un posto appartato e tranquillo, un uomo di mezz'età sedeva di fronte ad Ange.",[=UP]
,Amakusa could be seen by the entrance. He was probably keeping a lookout for pursuers from the Sumadera family. ,Amakusa could be seen by the restaurant's entrance.{n}He was probably keeping a lookout for pursuers from the Sumadera family.,天草の姿はレストランの入り口にある。須磨寺家の追っ手が来ないか見張っているのだろう。,天草の姿はレストランの入り口にある。{n}須磨寺家の追っ手が来ないか見張っているのだろう。,"У входа в ресторан виднелся Амакуса.{n}Он, похоже, стоял на стрёме на случай, если объявится кто‐нибудь из преследователей из семьи Сумадера.",Amakusa podia ser visto na entrada do restaurante.{n}Ele provavelmente estava de guarda para o caso de perseguidores da família Sumadera aparecerem.,天草的身影則是在西餐廳的入口處。{n}他是在把風，提防須磨寺家的追兵吧。,天草的身影则是在西餐厅的入口处。{n}他是在把风，提防须磨寺家的追兵吧。,Si poteva scorgere Amakusa all'entrata del ristorante. Probabilmente stava in guardia contro gli inseguitori della famiglia Sumadera.,[=UP]
,"The scholarly man across from Ange spoke politely, but with enthusiasm. ","The scholarly seeming man across from Ange spoke politely, but with enthusiasm.",縁寿の向かいの、学識ありそうな男は、丁寧な口調ながら熱っぽく語っていた。,[=JP],"Человек учёного вида напротив Энджи говорил вежливо, но с энтузиазмом.","O homem de aparência erudita em frente à Ange falou de forma polida, mas com entusiasmo.",坐在緣壽對面的，看起來頗具學識的男子，以禮貌的語調起勁地講述著。,坐在缘寿对面的，看起来颇具学识的男子，以礼貌的语调起劲地讲述着。,"Lo studioso di fronte ad Ange parlava educatamente, ma con entusiasmo.",[=UP]
,"He didn't lay a finger on the food in front of him, so you could tell how excited he was as he spoke fervently. ","He hadn't so much as touched the food in front of him, which communicated effectively the passion with which he was speaking.",手元の料理には一切手をつけておらず、どれほどの熱弁を奮っているか想像できる。,[=JP],"Он не притронулся к еде перед ним, что говорило о том, насколько он был взволнован, пока с жаром вёл повествование.","Ela não havia tocado muito na comida à sua frente, o que demonstrava como ele estava empolgado em falar sobre aquilo.",放在他面前的料理一點都沒有被動過，可見他是在多麼投入地熱情講解。,放在他面前的料理一点都没有被动过，可见他是在多么投入地热情讲解。,"Non aveva toccato il cibo che aveva davanti nemmeno con un dito, quindi si poteva capire quanto fosse eccitato mentre parlava con fervore.",[=UP]
,"He was a professor at a certain college, and particularly well-known as an authority on Western folklore. ","He was a professor at a certain university, known in particular as an authority on Western folklore.",彼は某大学の教授で、特に西洋の民俗学の権威として知られていた。,[=JP],Он являлся профессором в каком‐то колледже и был в особенности хорошо известен как знаток западного фольклора.,"Ele era professor de uma certa universidade, muito conhecido por ser uma autoridade do folclore no ocidente.",他是某大學的教授，特別在西洋民俗學上是以權威而聞名。,他是某大学的教授，特别在西洋民俗学上是以权威而闻名。,"Era un professore di qualche college, ed era particolarmente conosciuto come un esperto del folklore occidentale.",[=UP]
,"However, among his life works, that was only a convenient exterior. ","However, among his life works, that was only the one with the most acceptable public face.",しかし、それは彼のライフワークの中で、もっとも外面の良いものに過ぎない。,[=JP],Однако среди работ его жизни данная специализация являлась лишь удобной ширмой.,"Entretanto, entre os trabalhos de sua vida, era apenas um que era mais aceito como um fato público.",不過，這只不過是他的研究中，最表面化、最放得上台面的學科。,不过，这只不过是他的研究中，最表面化、最放得上台面的学科。,"Tuttavia, nella sua vita lavorativa, quella era solo una conveniente facciata.",[=UP]
