Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"""Seriously! Why do guys turn into total morons when they get together?!"" ","""Totally! Why do guys turn into total morons when they get together?!""",[=UP],「ですよねー！　男って、どうして群れると馬鹿ばっかになるんでしょうねー！」,[=JP],"""Не то слово! И почему парни превращаются в придурков, когда собираются вместе?!""","""Pois é! Por que homens viram completos imbecis quando se juntam?!""",「沒錯啊！男人呀，不知道為什麼，一聚在一起，就全會變成笨蛋呢——！」,「没错啊！男人呀，不知道为什么，一聚在一起，就全会变成笨蛋呢——！」,"""Davvero! Perché i ragazzi diventano dei perfetti idioti quando sono in gruppo?!"""
,Jessica's room was filled with laughter. ,Jessica's room was filled with laughter.,[=UP],朱志香の部屋に、彼女たちの笑い声が溢れた。,[=JP],Комната Джессики наполнилась смехом.,O quarto de Jessica estava repleto de risadas.,從朱志香的房間中，滿溢出了她們的笑聲。,从朱志香的房间中，满溢出了她们的笑声。,La stanza di Jessica si riempì di risate.
Ushiromiya Jessica,"""It was one hell of a reality check...! I thought this guy was a bit cool, a bit adult-like. And then I see him with some of the other guys in our class, talking about dirty stuff with this creepy laugh!"" ","""It was one hell of a reality check...! I thought this guy was a bit cool, a bit mature. And then I see him with some of the other guys in our class, talking about dirty stuff with this creepy laugh!""","""It was one hell of a reality check...! I thought this guy was a bit cool, a bit adult-like. And then I see him with some of the other guys in our class, talking about dirty stuff with this creepy laugh!""",「なんつーかさ、幻滅するわけだぜ…！　ちょっと大人びてて、カッコイイかなー…、って思った人がさ。クラスの男どもで群れてる時に、下卑た話で下品な声で笑ってるの見ちゃうとさぁ！」,[=JP],"""Это была та ещё проверка в реальных условиях!.. Я считала того парня классным и взрослым. А потом увидела, как он вместе с другими ребятами из нашего класса сквозь жуткий смех говорит о всяких пошлостях!""","""Foi tipo um completo choque de realidade...! Eu pensei que ele fosse um pouco mais adulto e maneiro. Aí eu vi ele com outro cara da nossa turma falando coisas nojentas, rindo daquele jeito estranho!""",「咋說好呢，形象全毀嘞…！看到本以為“有點成熟，感覺挺帥”的人…，跟班上男同學扎堆在一起時，邊講下流話邊以很猥瑣的聲音笑！」,「咋说好呢，形象全毁嘞…！看到本以为“有点成熟，感觉挺帅”的人…，跟班上男同学扎堆在一起时，边讲下流话边以很猥琐的声音笑！」,"""Diavolo, è stata davvero una gran presa di coscienza...! Pensavo che questo ragazzo fosse un po' figo, un po' maturo. E poi l'ho visto con altri ragazzi della sua classe, parlando di cose sconce con una risata spaventosa!"""
Shannon,"""It's true that boys always act like little kids when they're together."" ","""It's true that boys always act like little kids when they're together.""",[=UP],「確かに男同士で居る時の男の方って、すごい子供っぽいですものね。」,「確かに男同士で居る時の男の方って、すごい子供っぽいですものね」,"""Да, все вместе мальчишки всегда ведут себя как маленькие дети.""","""É realmente verdade quando dizem que os garotos sempre agem como criança quando se juntam.""",「的確，男人扎堆在一起時，是會非常孩子氣的呢。」,「的确，男人扎堆在一起时，是会非常孩子气的呢。」,"""È vero che i ragazzi si comportano sempre da bambini quando sono assieme."""
,"""Well, it's not like girls are any different!"" ","""Well, it's not like girls are any better!""",[=UP],「まー、それを言ったら女も同じようなもんですけどー！」,[=JP],"""Хотя не скажешь, что девушки лучше!""","""Bem, não é como se garotas fossem muito diferentes!""",「不過，要說這個的話，女人也一樣！」,「不过，要说这个的话，女人也一样！」,"""Beh, non che le ragazze siano molto meglio!"""
,"""""Ahhahahahahahaha!!"""" ","""""Ahhahahahahahaha!!""""",[=UP],「「あっはっはっはっはっは！！」」,[=JP],"""""Аха‐ха‐ха‐ха‐ха‐ха!""""",[=UP],「「啊哈哈哈哈哈！！」」,[=CHT],"""""Ahahahahahahahaha!!"""""
,The fun chat between girls continued without end. ,The fun chat between girls continued without end.,[=UP],女の子同士の楽しいおしゃべりは、いつ果てるともなく続いていた。,[=JP],Весёлая девчачья беседа продолжалась без конца.,A alegre conversa entre garotas continuou sem hora para acabar.,女孩之間的開心談笑，沒完沒了地繼續著。,女孩之间的开心谈笑，没完没了地继续着。,La divertente chiacchierata tra ragazze continuò senza fine.
,"Tonight, Krauss and Natsuhi were out late at a meeting on Niijima. ","Tonight, Krauss and Natsuhi were out late at a meeting on Niijima."," Tonight, Krauss and Natsuhi were out late at a meeting on Niijima.",今夜は、蔵臼夫妻が新島での会合で帰りがかなり遅くなる。,[=JP],Тем вечером Нацухи и Краусс допоздна были на встрече на Нииджиме.,"Esta noite, Krauss e Natsuhi saíram tarde para um encontro em Niijima.",今晚，藏臼夫婦因在新島的聚會將要很晚回家。,今晚，藏臼夫妇因在新岛的聚会将要很晚回家。,"Quella notte, Krauss e Natsuhi erano fuori fino a tardi per una riunione su Niijima."
,"Most of the time, Natsuhi was always watching, so Jessica would always make sure to be curt with the young servants, but when Natsuhi wasn't around, Jessica never did that. ","Normally, Natsuhi was always watching, so Jessica would make sure to be curt with the young servants, but when Natsuhi wasn't around, Jessica never did that."," Normally, Natsuhi was always watching, so Jessica would always make sure to be curt with the young servants, but when Natsuhi wasn't around, Jessica never did that.",普段は夏妃の目があるので、若い使用人たちとも素っ気無く付き合う素振りを見せている朱志香だが、夏妃の姿がなければ、そんなことはしない。,[=JP],"Обычно Нацухи всегда следила, чтобы Джессика была кратка с молодыми служащими, но без неё рядом Джессика так никогда не поступала.","Normalmente, Natsuhi estava sempre de olho, por isso Jessica era sempre breve com os serviçais mais jovens, mas, quando Natsuhi não estava por perto, Jessica nunca se comportava assim.",雖然朱志香平常因有夏妃盯著，而對那幫年輕傭人們裝出了一副冷面待人的樣子，但一旦沒了夏妃的身影，她就不這樣了。,虽然朱志香平常因有夏妃盯着，而对那帮年轻佣人们装出了一副冷面待人的样子，但一旦没了夏妃的身影，她就不这样了。,"Normalmente, Natsuhi controllava sempre, quindi Jessica si assicurava sempre di essere rigida con le domestiche giovani, ma quando Natsuhi non era attorno, Jessica non lo faceva mai."
,"She had invited the servants of similar age to her room, and they were chatting away noisily... ","She had invited the servants of similar age to her room, and they were chatting away noisily..."," She had invited the servants of similar age to her room, and they were chatting away noisily...",歳の近い使用人を自室に招いて、賑やかにおしゃべりに花を咲かせていた…。,[=JP],"Она пригласила слуг того же возраста к себе в комнату, и они шумно болтали...",Ela convidou serviçais que regulavam com sua idade e estavam conversando e fazendo bastante barulho...,她把跟自己年齡相近的傭人請進了自己房間，熱鬧地開心暢談…。,她把跟自己年龄相近的佣人请进了自己房间，热闹地开心畅谈…。,Aveva invitato le domestiche coetanee nella sua stanza e stavano chiacchierando rumorosamente...
