Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"""Step it up!! What are you doing, slacking off when the fighting's so close?!"" ","""Step it up!! What are you doing, slacking off when the fighting's so close?!""",[=UP],「貴様、弛んでいるぞッ！！　決戦は間近というのにそのへっぴり腰は何かッ！！」,[=JP],"""Пошевеливайся! Как ты можешь отлынивать, когда бой так близко?!""","""Ei, levanta a bunda!! O que acha que está fazendo, vadiando quando a batalha está tão próxima?!""",「你這傢伙，太鬆鬆垮垮了！！明明決戰就近在眼前了，瞧你那站立不穩的樣子算什麼？！！」,「你这家伙，太松松垮垮了！！明明决战就近在眼前了，瞧你那站立不稳的样子算什么？！！」,"""In piedi!! Cosa stai facendo, oziando quando la battaglia è così vicina?!"""
,Stars seemed to spin around inside my head. ,Stars seemed to spin around inside my head.,[=UP],頭の中に細やかな星がいっぱいに広がる。,[=JP],В моей голове словно вращались звезды.,Parecem ter estrelas girando dentro da minha cabeça.,腦中冒出了一大片小星星。,脑中冒出了一大片小星星。,Sembrava che le stelle mi girassero attorno alla testa.
,"I could just lie down on the floor, but that'd only make him more angry. ","I could just lie down on the floor, but that'd only make him more angry."," I could just lie down on the floor, but that'd only make him more angry.",もっさり寝転がっていれば、買わなくてよい怒りを、さらに買い込むことになる。,[=JP],"Я мог бы просто лечь на землю, но это только ещё больше разозлит его.","Eu poderia simplesmente deitar no chão, mas isso só o deixaria mais zangado.",我踉蹌著倒地，這給沒必要招惹的火氣又澆了一勺油。,我踉跄着倒地，这给没必要招惹的火气又浇了一勺油。,"Potevo giusto sdraiarmi per terra, ma questo lo faceva solo infuriare ancora di più."
,I've got no intention of being obedient. ,I've no intention of being obedient., I've no intention of being obedient.,従順なつもりなどない。,[=JP],У меня не было намерений подчиняться.,Não tenho a intenção de ser obediente.,倒不是想乖乖聽話。,倒不是想乖乖听话。,Non ho intenzione di essere ubbidiente.
,"...Still, it'd be stupid to get myself punched for no reason, so I got up and stood at attention... ","......Still, it'd be stupid to get myself punched for no reason, so I got up and stood at attention...",[=UP],……しかし殴られ損なのは馬鹿馬鹿しいので、さっさと起き上がり、直立不動の姿勢を取る…。,[=JP],"......И всё же, глупо получать удар без причины, поэтому я поднялся и встал по стойке смирно...","......Ainda assim, seria estúpido levar um soco sem motivo, por isso me levantei e bati continência...",……不過，這拳白挨就太傻了，所以我迅速站起身來，挺身擺出了立正不動的姿勢…。,……不过，这拳白挨就太傻了，所以我迅速站起身来，挺身摆出了立正不动的姿势…。,"... Tuttavia, sarebbe stupido venire preso a pugni senza ragione, quindi mi alzai e rimasi sull'attenti..."
Ushiromiya Kinzo,"""............"" ",""".................................""","""............""",「……………………………。」,「……………………………」,[=OG],[=UP],[=JPC],[=JPC],"""..."""
,"The fighting's close, is it? You really think the American troops are likely to show up on this forgotten island? ","The fighting's close, is it? You really think the American troops are likely to show up on this forgotten island?",[=ST],決戦は間近？米兵がこの忘れられた無人島に来て下さるってのか？,決戦は間近？　米兵がこの忘れられた無人島に来て下さるってのか？,"Когда бой так близко? Ты всерьёз думаешь, что на этом забытом острове появятся американские войска?",A guerra está se aproximando? Você acha mesmo que as tropas estadunidenses vão dar as caras nesta ilha esquecida?,決戰近在眼前了？美國兵將會大駕光臨，這個被遺忘的無人島？,决战近在眼前了？美国兵将会大驾光临，这个被遗忘的无人岛？,"La battaglia è vicina, eh? Pensate davvero che le truppe Americane si mostrino su quest'isola dimenticata?"
,Then let them come right now. That's what I've been waiting for all this time. ,Then let them come right now.{n}That's what I've been waiting for all this time.,Then let them come right now. That's what I've been waiting for all this time.,なら早く来てくれ。俺はその日をずっと待ってるってのに。,なら早く来てくれ。{n}俺はその日をずっと待ってるってのに。,Тогда пусть приходят.{n}Я жду этого дня уже вечность.,Então é bom que venham logo.{n}É por eles que eu tenho esperado todo esse tempo.,那麼，就快來吧。{n}我一直都在等著這一天呢。,那么，就快来吧。{n}我一直都在等着这一天呢。,"Allora lasciateli venire, ora. È quello che volevo per tutto questo tempo."
,"""What's this cowardly look you're wearing?! Is this how afraid you are of death?! Are you so scared of those Americans?! You won't be killin' any of them with an attitude like that!!"" ","""What's this cowardly look you're wearing?! Is this how afraid you are of death?! Are you so scared of those Americans?! You won't be killin' any of them with an attitude like that!!""",[=UP],「その腐った目つきは何か！　貴様、そんなに死にたくないか？！　そんなに米兵が恐ろしいか？！　そんな気合では、討ち取れんぞ！！」,[=JP],"""Что за трусливый взгляд?! Страх смерти?! Так боишься этих американцев?! С таким отношением ты никого не убьёшь!""","""Qual é a desse olhar amedrontado?! É o quanto você teme a morte?! Está com medo dos estadunidenses?! Não vai matar nenhum deles com uma atitude dessas!!""",「你那糜爛的眼神算什麼？！你這傢伙，就那麼怕死嗎？！就那麼怕美國兵嗎？！就這氣魄，可是殺不了敵的！！」,「你那糜烂的眼神算什么？！你这家伙，就那么怕死吗？！就那么怕美国兵吗？！就这气魄，可是杀不了敌的！！」,"""Cos'è quello sguardo da codardo che hai?! È così che hai paura della morte?! Sei così spaventato da quegli Americani?! Non ne ucciderai neanche uno con un atteggiamento del genere!!"""
Ushiromiya Kinzo,"""............"" ","""..............................""","""............""",「…………………………。」,「…………………………」,[=OG],[=UP],[=JPC],[=JPC],"""..."""
