Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Battler,""".........Should've taken the boat... ......the boat......"" ",""".........Should've taken the boat.........the boat......""",[=UP],「………やっぱ船だよな…、……船……。」,「………やっぱ船だよな…、……船……」,""".........Надо было брать судно......... судно......""",""".........Nós deveríamos ter ido de barco.........de barco......""",""".........Biết thế mình đã đi thuyền rồi.........thuyền......""",「………果然還是坐船………船……」,「………果然还是坐船………船……」,""".........Seharusnya naik kapal.........kapal......""","""... Avrei dovuto prendere la barca... la barca...""","""...Avrei dovuto prendere la barca... la barca...""",""".........Tekneyi seçmeliydim.........tekneyi......"""
Ushiromiya Maria,"""Faaalll! Faaalll! Uu-uu-uu-uu-!!"" ","""Gonna faaalll! Gonna faaalll! Uu‐uu‐uu‐uu!!""","""Faaalll! Faaalll! Uu-uu-uu-uu-!!""",「墜ちるー！　墜ちるー！　うーうーうーうー！！」,[=JP],"""Па‐адаем! Па‐а‐адаем! У‐у‐у, у‐у‐у!!!""","""Vai caiiiirr!! Vai caiiiiirrrr! Uu‐uu‐uu‐uu!!""","""Rơi mất thuiii! Rơi mất thuiii! Uu‐uu‐uu‐uu!!""",「要掉下去了！要掉下去了！嗚——嗚——嗚——嗚——！！」,「要掉下去了！要掉下去了！呜——呜——呜——呜——！！」,"""Aku jatuh! Aku jatuh! Uu‐uu‐uu‐uu!!""","""Caaadeee, Caaadeee! Uu-uu-uu-uu-!!""","""Cadooo! Cadooo! Uuh, uuh, uuh, uuh!!""","""Düşeceeeeeek! Düşeceeeeeek! Uu-uu-uu-uu!!"""
Ushiromiya Rosa,"""Maria, that's enough! ","""Maria, that's enough!""",[=ST],「真里亞、もういい加減になさい！,「真里亞、もういい加減になさい！」,"""Мария, хватит!""","""Maria, pare já com isso!""","""Maria, đủ rồi đấy!""",「真里亞，不准再胡鬧了！」,「真里亚，不准再胡闹了！」,"""Maria, cukup!""","""Maria, basta!","""Maria, adesso basta...!""","""Maria, bu kadar yeter!"""
Ushiromiya Rosa,"......But what a surprise. I thought there was nothing that could scare Battler-kun."" ","""......But what a surprise. I thought there was nothing that could scare Battler‐kun.""","......But what a surprise. I thought there was nothing that could scare Battler-kun.""",……でも意外ねぇ。戦人くん、てっきり怖い物なしだと思ってたら。」,「……でも意外ねぇ。戦人くん、てっきり怖い物なしだと思ってたから」,"""......Но какой, однако, сюрприз. Я уж думала, что ничто на свете не способно напугать Баттлера‐куна.""","""......Mas isso foi inesperado. Eu pensei que não tivesse nada que assustasse o Battler‐kun.""","""......Nhưng mà cô cũng thấy bất ngờ quá. Cô tưởng không có gì làm Battler sợ nổi chứ.""",「……不過還真意外。我還以為戰人君什麼都不怕的。」,「……不过还真意外。我还以为战人君什么都不怕的。」,"""......Tapi sungguh mengejutkan. Kukira tidak ada yang bisa menakuti Battler‐kun.""","... Ma comunque, che sorpresa. E io che pensavo che niente potesse spaventare Battler-kun.""","""Però non me l'aspettavo. E io che ero certa che nulla potesse spaventare Battler-kun.""","""......Ama ne sürpriz. Battler-kun'u korkutabilecek hiçbir şey yok sanıyordum."""
Ushiromiya Rudolf,"""This guy can't handle vehicles for some reason. Always yells about falling and sinking and stuff. You're a disgrace of a man, you are."" ","""This guy can't handle vehicles for some reason. Always yells about falling and sinking and stuff. You're a disgrace of a man, you are.""",[=UP],「こいつ、昔から乗り物がなぜかダメでさぁ。二言目には、墜ちるだの沈むだの。なっさけない男だなぁ、お前ぇは。」,「こいつ、昔から乗り物がなぜかダメでさぁ。二言目には、墜ちるだの沈むだの。なっさけない男だなぁ、お前ぇは」,"""Парень почему‐то на дух не переносит транспортные средства. Вечно орёт о том, как разобьётся или утонет, или ещё чего. Ты позоришь мужской род, это факт.""","""Por algum motivo, esse cara não consegue lidar bem com veículos. Sempre falando sobre cair e afundar, entre outras coisas. Você é um homem patético.""","""Thằng này cứ đụng đến phương tiện giao thông là chịu không nổi, chẳng hiểu sao. Toàn la hét về rơi với chìm các kiểu. Mày đúng là không đáng mặt đàn ông, con ạ.""",「這小子從前就很怕坐交通工具。一上來就要問會不會墜機，會不會沉船。你小子啊，可真夠沒出息的。」,「这小子从前就很怕坐交通工具。一上来就要问会不会坠机，会不会沉船。你小子啊，可真够没出息的。」,"""Dia tidak tahan dengan kendaraan apapun. Selalu teriak jatuh atau tenggelam dan sebagainya. Memalukan sekali sebagai pria.""","""Questo qui, non so perché, odia ogni veicolo. Farfuglia sempre che sta per schiantarsi o per affondare. Sei una disgrazia di uomo.""","""Non so perché, ma questo qua odia ogni veicolo. Non fa altro che dire che sta per cadere o per affogare. Come uomo è una disgrazia.""","""Bu adam nedense araçları kaldıramıyor. Sürekli düşeceğim ya da batacak falan diye bağırıp durur. Sen rezil bir adamsın."""
Ushiromiya Battler,"""......Ah, shut up. That thing was seriously shaking way too much... I just got a little stressed, since it was my first time on a small plane like that..."" ","""......Urgh, shut up. That thing was seriously shaking way too much... I just got a little stressed, since it was my first time on a small plane like that...""","""......Ah, shut up. That thing was seriously shaking way too much... I just got a little stressed, since it was my first time on a small plane like that...""",「……うるへー。ありゃぁさすがに揺れすぎだろ…。小型機乗るのは初めてだったからちょいと堪えちまっただけだぜ…。」,「……うるへー。ありゃぁさすがに揺れすぎだろ…。小型機乗るのは初めてだったからちょいと堪えちまっただけだぜ…」,"""......Замолчи. Эту штуковину слишком уж трясло, ну правда... Я лишь слегка занервничал, ведь это был мой первый полёт на таком маленьком самолёте...""","""......Urgh, cala a boca. Aquela coisa sacudiu muito... Eu só estou um pouco estressado, afinal, é a minha primeira vez em um avião tão pequeno...""","""......Hừ, bố thôi đi. Cái máy bay đó rung lắc quá còn gì... Con chỉ hơi căng thẳng tí thôi, vì đây là lần đầu con đi máy bay nhỏ như vậy mà...""",「……少囉嗦——。那個實在是搖得太厲害了吧…。我只是因為第一次坐小飛機，所以稍微有點不習慣而已…」,「……少啰嗦——。那个实在是摇得太厉害了吧…。我只是因为第一次坐小飞机，所以稍微有点不习惯而已…」,"""......Urgh, diamlah. Pesawat itu benar-benar goyang terlalu keras... Aku hanya sedikit stres, karena ini pertama kalinya naik pesawat kecil seperti itu...""","""... Ah, sta' zitto. È normale, con tutti quegli scossoni... è la mia prima volta su un piccolo aereo come questo, quindi mi sono fatto prendere un po' dall'agitazione, tutto qui...""","""...Ah, sta' zitto. È più che normale, con tutti quegli scossoni... Era la mia prima volta su un aereo così piccolo, quindi è stata un'esperienza un po' dura da reggere, tutto qui...""","""......Urgh, kapa çeneni. O şey cidden çok fazla sallanıyordu... Böyle küçük bir uçağa ilk kez bindiğim için biraz stresliydim..."""
Ushiromiya Eva,"""You call that ""a little stressed""? Heheheh, sounds like it'd be fun to take an overseas vacation with you, Battler-kun. Would you like to go to Egypt with your aunt? You'd get to ride a plane for a full 14 hours."" ","""You call that ""a little stressed""? Heheheh, sounds like it'd be fun to take an overseas vacation with you, Battler‐kun. Would you like to go to Egypt with your aunt? You'd get to ride a plane for a full 14 hours!""","""You call that 'a little stressed'? Heheheh, sounds like it'd be fun to take an overseas vacation with you, Battler-kun. Would you like to go to Egypt with your aunt? You'd get to ride a plane for a full 14 hours?""",「あの大騒ぎでちょいとなのぉ？　うふふふ、戦人くんとは海外旅行を一緒に行くと賑やかそうねぇ。伯母さんとエジプトとか行かない？　１４時間も飛行機に乗れるわよぅ？」,[=JP],"""Ты называешь это 'слегка занервничал'? Ху‐ху‐ху, сдаётся мне, что с тобой будет очень весело слетать на отдых за океан, Баттлер‐кун. Не хочешь ли в Египет со своей тётушкой? Тебе предоставится возможность провести на самолёте целых 14 часов.""","""Você chama aquilo de ""um pouco estressado""? Heheheh, parece que seria bem divertido tirar férias com você no exterior, Battler‐kun. Gostaria de ir para o Egito com a sua tia? Você iria andar de avião por 14 horas seguidas!""","""Cháu gọi đấy là ""căng thẳng một tí"" hả? Heheheh, chắc sẽ vui lắm nếu được đi du lịch nước ngoài với cháu đó, Battler à. Cháu có muốn đi Ai Cập với bác không? Được ngồi máy bay tận 14 tiếng lận đó!""",「吵得那麼大聲還只是稍微有點啊？哦呵呵呵呵，看來和戰人君一起去出國旅遊的話，一定會很熱鬧呢。要不要和阿姨一起去趟埃及？要坐十四小時飛機哦？」,「吵得那么大声还只是稍微有点啊？哦呵呵呵呵，看来和战人君一起去出国旅游的话，一定会很热闹呢。要不要和阿姨一起去趟埃及？要坐十四小时飞机哦？」,"""Kau menyebutnya 'sedikit stres'? Heheheh, sepertinya akan menyenangkan untuk liburan ke luar negeri bersamamu, Battler‐kun. Mau pergi ke Mesir dengan bibimu? Kau akan naik pesawat selama 14 jam penuh!""","""Tu chiami tutto quel chiasso ‘farsi prendere un po' dall'agitazione’? Heheheh, se mai viaggerò oltreoceano con te, le cose si farebbero sicuramente più vivaci. Ti piacerebbe andare in Egitto con tua zia? Sono sicura che tu possa stare 14 ore su un aereo, giusto?""","""E tu chiami ‘un po'’ tutto quel chiasso? Eheheh, se mai andassi oltreoceano con te, il viaggio sarebbe molto più animato. Ti piacerebbe andare in Egitto con tua zia? Sapresti stare su un aereo per 14 ore?""","""Sen buna ""biraz stresli"" mi diyorsun? Heheheh, Battler-kun, seninle denizaşırı bir tatile çıkmak eğlenceli olur gibi geliyor. Teyzenle Mısır'a gitmek ister misin? Tam 14 saat uçak yolculuğu yapabiliriz!"""
Ushiromiya Kyrie,"""Ahhahaha! There's a good plan. Battler-kun, you should go let Eva nee-san toughen you up some. Still, it's so hilarious! Ahhahahaha!"" ","""Ahhahaha! There's a good plan. Battler‐kun, you should go let Eva nee‐san toughen you up some. But boy were you hilarious! Ahhahahaha!""","""Ahhahaha! There's a good plan. Battler-kun, you should go let Eva nee-san toughen you up some. Still, it's so hilarious! Ahhahahaha!""",「あっははは！　いい提案ね。戦人くん、絵羽姉さんに少し鍛えてもらいなさいよ。それにしてもおっかしい！　あっはははは！」,[=JP],"""Аха‐ха‐ха! Хорошая идея. Баттлер‐кун, тебе стоит позволить Еве нээ‐сан сделать тебя мужественнее. Но мой бог, как же ты был потешен! А‐ха‐ха‐ха!""","""Ahhahaha! Essa é uma boa ideia. Battler‐kun, você deveria deixar a Eva nee‐san te ensinar algumas coisas. Mas você é hilário! Ahhahahaha!""","""Ahhahaha! Ý hay đó. Battler, cháu nên đi với bác Eva để được ""rèn luyện"" thêm đi. Nhưng mà đúng là buồn cười thật đấy! Ahhahahaha!""",「啊哈哈哈！這主意好。戰人君，讓繪羽姐姐稍微鍛鍊鍛鍊你。不過這還真好笑！啊哈哈哈哈！」,「啊哈哈哈！这主意好。战人君，让绘羽姐姐稍微锻炼锻炼你。不过这还真好笑！啊哈哈哈哈！」,"""Ahhahaha! Itu rencana yang bagus. Battler‐kun, kau harus biarkan Eva nee‐san melatihmu. Tapi kau tadi sangat lucu! Ahhahahaha!""","""Ahhahaha! È un buon piano. Battler-kun, vai a fare un po' di allenamento con Eva Nee-san. Comunque, è strano, no? Ahhahahaha!""","""Ahhahahah! È una bella proposta. Battler-kun, fai un po' di pratica con Eva-san. Che cosa buffa, comunque! Ahahahah!""","""Ahhahaha! İşte iyi bir plan. Battler-kun, Eva nee-san'ın seni biraz güçlendirmesine izin vermelisin. Ama çok komiktin! Ahhahahaha!"""
Ushiromiya Hideyoshi,"""Wahhahaha, now, now. Everyone's got their own strong and weak points. It's bad to laugh at 'em. Wahhahaha...!"" ","""Wahhahaha, now, now. Everyone's got their own strong and weak points. It's bad to laugh at 'em. Wahhahaha...!""",[=UP],「わっははは、こらこら、人間誰しも得手不得手はあるもんや。そない笑ぅたら悪いで。わっはははは…！」,[=JP],"""А‐ха‐ха‐ха, ну же, ну же. У всех есть свои сильные и слабые стороны. Нехорошо смеяться над ними. Вах‐ха‐ха‐ха!..""","""Wahhahaha, bem. Todos têm seus pontos fortes e fracos. Não é certo rir dele. Wahhahaha...!""","""Wahhahaha, nào, nào. Ai cũng có điểm mạnh điểm yếu riêng. Cười người ta là không tốt đâu. Wahhahaha...!""",「哇哈哈哈，好了好了，人吶誰都有點拿手與不拿手的事情嘛。這樣笑他不太好吶。哇哈哈哈哈…！」,「哇哈哈哈，好了好了，人呐谁都有点拿手与不拿手的事情嘛。这样笑他不太好呐。哇哈哈哈哈…！」,"""Wahhahaha, sudahlah. Setiap orang punya kelebihan dan kekurangannya masing-masing. Tidak baik menertawakannya. Wahhahaha...!""","""Wahhahaha, via, via. Ognuno di noi ha i suoi punti forti e punti deboli. {n}Non va bene riderne. Wahhahaha...!""","""Wahahahah, suvvia, suvvia. Ognuno di noi ha i suoi punti deboli e i suoi punti forti. Non è giusto riderci così tanto sopra. Wahhahahahah...!""","""Wahhahaha, şimdi, şimdi. Herkesin kendine göre güçlü ve zayıf noktaları vardır. Bunlara gülmek kötüdür. Wahhahaha...!"""
Ushiromiya George,"""D-Dad, you're laughing too. Hey, Maria-chan, you shouldn't laugh anymore."" ","""D‐Dad, you're laughing too. Hey, Maria‐chan, you shouldn't laugh anymore.""","""D, Dad, you're laughing too. Hey, Maria-chan, you shouldn't laugh anymore.""",「と、父さんも笑うのは悪いよ。ほら、真里亞ちゃんももう笑っちゃダメ。」,「と、父さんも笑うのは悪いよ。ほら、真里亞ちゃんももう笑っちゃダメ」,"""П‐папа, ты же сам смеёшься. Эй, Мария‐чан, не надо больше смеяться.""","""P‐Pai, você também está rindo. Ei, Maria‐chan, você não deveria mais rir.""","""B‐Bố, bố cũng cười nữa kìa. Này, Maria ơi, em cũng không nên cười nữa nhé.""",「爸、爸你也別笑了。好啦，小真里亞也不許笑哦。」,「爸、爸你也别笑了。好啦，小真里亚也不许笑哦。」,"""P‐Pap, kau juga tertawa. Hei, Maria‐chan, jangan tertawa lagi.""","""P-Papà, non va bene che anche tu stia ridendo. Ehi, Maria-chan, smettila subito di ridere.""","""P-Papà, non è giusto neanche che ci ridi sopra anche tu. Ehi, anche tu, Maria-chan, non ridere.""","""B-Baba, sen de gülüyorsun. Hey, Maria-chan, artık gülmemelisin."""
Ushiromiya Maria,"""Shouldn't laugh anymore? Uu-!"" ","""Shouldn't laugh anymore? Uu!""","""Shouldn't laugh anymore? Uu-!""",「もう笑っちゃダメ？　うー！」,[=JP],"""Не надо смеяться? У‐у!""","""Não deveria mais rir? Uu!""","""Không nên cười nữa? Uu!""",「不准笑了？嗚——！」,「不准笑了？呜——！」,"""Jangan tertawa lagi? Uu!""","""Smettere di ridere? Uu-!""","""Non ridere? Uuh!""","""Artık gülmemeli miyim? Uu!"""
