Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,The strange letter that the witch had entrusted to Maria wiped all memories of dinner from our minds. ,The strange letter that the witch had entrusted Maria with had wiped all memories of dinner from our minds.,[=UP],魔女が真里亞に託した不思議な手紙は、俺たち全員の頭から、どんな晩飯が並んだのかという記憶さえ吹き飛ばしてしまった。,[=JP],"Странное письмо, вручённое Марии ведьмой, начисто стёрло все воспоминания об ужине из нашей головы.",A estranha carta que a bruxa havia confiado à Maria removeu todas as memórias do jantar de nossas mentes.,魔女交給真里亞的那封奇妙的信，吹跑了所有人關於晚餐的記憶，甚至讓人想不起上了些什麼菜。,魔女交给真里亚的那封奇妙的信，吹跑了所有人关于晚餐的记忆，甚至让人想不起上了些什么菜。,Surat aneh yang telah dipercayakan sang penyihir kepada Maria menghapus semua kenangan tentang makan malam dari benak kami. ,La strana lettera che la strega aveva affidato a Maria aveva cancellato dalla nostra mente ogni ricordo della cena.,La strana lettera che la strega aveva affidato a Maria aveva spazzato via dalla nostra mente ogni ricordo legato alla cena.,"Cadının Maria'ya verdiği tuhaf mektup, akşam yemeğine ilişkin tüm anıları zihnimizden silmişti."
,Maria was repeatedly barraged with questions by Aunt Rosa and the other parents... and became increasingly ill-tempered when they refused to believe her. ,"Maria had been repeatedly barraged with questions by Auntie Rosa and the other parents, and was now in the worst of tempers because no one would believe her.", Maria was repeatedly barraged with questions by Rosa oba-san and the other parents and became increasingly ill-tempered when they refused to believe her.,真里亞は、楼座叔母さんや他の親族たちにさんざん質問責めにされ、いくら話しても信じてくれないと完全に機嫌を悪くしてしまった。,[=JP],"Тётя Роза и другие взрослые осыпали Марию нескончаемыми вопросами, и она пришла в ещё большее раздражение, когда они отказались поверить ей.","Maria já havia sido interrogada repetidas vezes com perguntas feitas pela tia Rosa e os outros parentes, e agora estava com um temperamento ainda pior, porque ninguém acreditava nela.",真里亞被樓座姑母和其他親戚們狠狠逼問了半天，不管她怎麼說都沒人信，氣得徹底鬧起了別扭。,真里亚被楼座姑母和其他亲戚们狠狠逼问了半天，不管她怎么说都没人信，气得彻底闹起了别扭。,Maria terus-menerus dibombardir pertanyaan oleh Bibi Rosa dan para orang tua lainnya... dan makin kesal karena mereka tidak mau mempercayainya. ,Maria fu ripetutamente coperta da una raffica di domande da Rosa oba-san e dagli altri parenti e divenne sempre più di malumore quando si rifiutarono di crederle.,"Maria fu tempestata da una raffica di domande poste da zia Rosa e dagli altri parenti, e divenne sempre più di malumore quando si rifiutarono di crederle, a prescindere da quante volte glielo dicesse.","Maria, Rosa Teyze ve diğer ebeveynler tarafından defalarca soru yağmuruna tutulmuştu, ve şimdi de kimse ona inanmadığı için çok sinirliydi."
,"If we kids tried to butt in, they'd probably ignore us. "," Even when we kids tried to talk to her, she would just ignore us."," If I tried to raise my voice in this kind of situation, I would just be ignored.",俺たちが声を掛けても無視する有様だった。,[=JP],"Если я попытаюсь подать голос в такой ситуации, то меня просто проигнорируют."," Mesmo quando nós, crianças, tentávamos falar com ela, ela apenas nos ignorava.",連我們去搭話也不理不睬。,连我们去搭话也不理不睬。,"Kalau kami anak-anak mencoba ikut campur, mereka mungkin akan mengabaikan kami. ","Se avessi provato ad alzare la voce in una situazione del genere, sarei soltanto stato ignorato.","Venivamo ignorati, anche quando provavamo a dire qualcosa.", Biz çocuklar onunla konuşmaya çalıştığımızda bile bizi görmezden geliyordu.
,"Our parents were all stirred up, firing back and forth about the gold and the distribution of the assets and completely forgetting that we were even there. ","Our parents were all stirred up over the gold, firing back and forth about the distribution of the assets, and completely forgetting that we children were even there."," Our parents were all stirred up, firing back and forth about the distribution of the assets, and completely forgetting that we children were even there.",親たちは、黄金の話に色めきあったり、財産分与がどうのこうのと、俺たち子どもがいることも忘れて盛んな議論をしていた。,親たちは、黄金の話に色めき立ったり、財産分与がどうのこうのと、俺たち子どもがいることも忘れて盛んな議論をしていた。,"Наши родители пришли в крайнее возбуждение и принялись пререкаться о дележе активов, совершенно позабыв, что занимаются этим на глазах у нас — их детей.","Nossos pais estavam tão agitados sobre o ouro, disparando acusações para todos os lados, que esqueceram completamente que nós, crianças, estávamos lá.",我爸他們為黃金的事炸開了鍋，熱烈地討論起了財產該如何分配的話題，都忘了我們這些小孩還在身邊。,我爸他们为黄金的事炸开了锅，热烈地讨论起了财产该如何分配的话题，都忘了我们这些小孩还在身边。,"Orang tua kami semua tampak sangat bergejolak, saling menembakkan argumen soal emas dan pembagian aset sampai benar-benar lupa kalau kami ada di sana. ","I nostri genitori erano tutti concitati, sparando frecciate avanti e indietro riguardo la distribuzione dei beni, dimenticandosi completamente che anche noi ragazzi fossimo lì.","I nostri genitori discutevano concitatamente, parlando senza sosta dell'oro, passando poi alla distribuzione dei beni, e poi su tanto altro ancora, dimenticandosi che anche noi ragazzi eravamo lì...","Anne ve babamız altınlar konusunda çok heyecanlıydı, malların paylaşımı konusunda ileri geri konuşuyorlardı ve biz çocukların orada olduğunu bile tamamen unutmuşlardı."
,"...I'd already guessed they'd been talking like this in the shadows, but I hadn't thought they'd be so blunt. It gave all of us kids a considerable shock. ","...Even though I'd already figured that they had been talking about this in the shadows, I never thought they'd be this blunt about it, and at least to us kids it was a considerable shock.","...Even though I'd already figured that they had been talking like this in the shadows, I hadn't thought they would be so blunt. It gave all of us kids a considerable shock.",…そういう話を影でしてるんだろうなぁとは思っていても、こんなに露骨だとは思わず、少なからず俺たち子どもにショックを与えるのだった。,…そういう話を陰でしてるんだろうなぁとは思っていても、こんなに露骨だとは思わず、少なからず俺たち子どもにショックを与えるのだった。,"...Пусть я и догадывался, какие переговоры ведутся за занавесом, но я даже представить себе не мог, что они настолько обнажат свою подковёрную грызню. Стоит ли говорить, какой шок у нас, детей, вызвало это зрелище.","...Mesmo que eu já tivesse percebido que eles estavam falando sobre isso nas sombras, eu nunca pensei que eles falariam sobre isso de forma tão aberta, e para nós, foi um choque considerável.",…雖然早料到他們在暗中說過這些話，但沒想到竟會說得如此露骨，這多多少少讓我們這些小孩子受了點打擊。,…虽然早料到他们在暗中说过这些话，但没想到竟会说得如此露骨，这多多少少让我们这些小孩子受了点打击。,"...Aku sudah menduga mereka sering bicara seperti ini di balik layar, tapi aku tidak mengira mereka akan seblak-blakan itu. Itu benar-benar mengejutkan kami para anak-anak. ","... Anche se avevo già capito che parlavano così nell'ombra, non pensavo potessero essere così diretti. Diede a tutti noi uno shock considerevole.","Anche se immaginavamo che nel privato parlassero in questo modo, fummo considerevolmente scioccati, non pensando che potessero essere così sfrontati...","...Her ne kadar bu konuyu gizli gizli konuştuklarını tahmin etmiş olsam da, bu kadar açık konuşacaklarını hiç düşünmemiştim ve en azından biz çocuklar için bu büyük bir şoktu."
,"...From what we could overhear, all the parents wanted more money as soon as possible. ","...From what we could overhear, all of our parents wanted as much money as possible, as soon as possible.","...From what we could overhear, all of the parents wanted more money as soon as possible.",…漏れ聞く限り、親たちは全員、とにかくカネが少しでも多く、少しでも早くほしいらしい。,[=JP],"...Исходя из того, что мы услышали, все наши родители хотели получить побольше денег в самые кратчайшие сроки.","...Pelo que nós podíamos ouvir, nossos pais queriam o máximo de dinheiro possível, e o mais rápido possível.",…根據偶爾聽到的那幾句，我爸他們每一個人，似乎都想盡可能多一點早一點地把錢拿到手。,…根据偶尔听到的那几句，我爸他们每一个人，似乎都想尽可能多一点早一点地把钱拿到手。,"...Dari apa yang berhasil kami curi dengar, semua orang tua ingin uang lebih banyak secepat mungkin. ","... Da ciò che potevamo cogliere, tutti i parenti volevano più denaro il più presto possibile.","Da quello che potevamo cogliere, tutti i parenti sembravano volere quanto più denaro potessero avere, nel minor tempo possibile.","...Kulak misafiri olduğumuz kadarıyla, tüm ebeveynlerimiz mümkün olan en kısa sürede mümkün olduğunca çok para istiyordu."
,Back and forth about Grandfather's inheritance. Back and forth about the distribution of the gold if it was found. About advance payments and cash. ,Back and forth about Grandfather's inheritance.{n}Back and forth about the distribution of the gold if it was found.{n}About advance payments and cash., Back and forth about Grandfather's inheritance. Back and forth about the distribution of the gold if it was found. About advance payments and cash.,祖父さまの遺産がどうのこうの。黄金を見つけた場合の配分はどうのこうの。前払いだの現金だの。,祖父さまの遺産がどうのこうの。{n}黄金を見つけた場合の配分はどうのこうの。{n}前払いだの現金だの。,Снова и снова о дедушкином наследстве.{n}Снова и снова о распределении золота в случае его обнаружения.{n}Об авансовых платежах и наличных.,Acusando uns aos outros sobre a herança do vovô.{n}Disparando acusações sobre se o ouro fosse encontrado.{n}E sobre como seriam os pagamentos antecipados e o dinheiro.,爺爺的遺產怎麼怎麼了啊。{n}要是黃金找到了該怎麼分配啊。{n}預付啊現金啊。,爷爷的遗产怎么怎么了啊。{n}要是黄金找到了该怎么分配啊。{n}预付啊现金啊。,Bolak-balik tentang warisan Kakek. Bolak-balik tentang bagaimana emas akan dibagi kalau ditemukan. Tentang uang muka dan uang tunai. ,Avanti e indietro sull'eredità del Nonno. Avanti e indietro riguardo la distribuzione dell'oro se fosse stato trovato. A proposito dei pagamenti anticipati e i contanti.,"Prima discussero sull'eredità del nonno. Dopodiché discussero sulla distribuzione dell'oro, nel caso fosse stato trovato. E poi sui pagamenti anticipati e sul denaro contante...",Büyükbabanın mirası hakkında ileri geri konuşuyorlardı.{n}Altın bulunursa nasıl dağıtılacağı hakkında.{n}Peşin ödemeler ve nakit hakkında.
,"......It was so despicable, I could hardly bear to watch, even though one of them was my father. ","......It was so despicable, I couldn't bear to watch, even though one of them was my dad.","......It was so despicable, I couldn't bear to watch, even though one of them was my father.",……その浅ましさには、実の息子であっても眼を背けたくなってしまう。,[=JP],"......Это было настолько презренно и подло, что я не мог на это смотреть, пусть даже одним из ""спорщиков"" являлся мой отец.","......Foi tão desprezível que eu não aguentava mais ver aquilo, mesmo um deles sendo o meu pai.",……膚淺骯髒到，連我這個親生兒子都看不下去。,……肤浅肮脏到，连我这个亲生儿子都看不下去。,"......Itu sangat menjijikkan, sampai-sampai aku hampir tidak sanggup melihatnya, meskipun salah satunya adalah ayahku. ","... Era così disdicevole che non potevo sopportare di guardare, anche se uno di loro era mio Padre.","Tutto ciò era talmente squallido che avrei voluto distogliere lo sguardo, anche se ero il figlio di uno di loro...","......O kadar alçakçaydı ki, içlerinden biri babam olmasına rağmen izlemeye dayanamadım."
,...It looked like Jessica felt the same way. ,...It looked like Jessica felt the same way.,[=UP],…それはどうやら朱志香も同じらしかった。,[=JP],"...Похоже, что Джессика разделяла мои чувства.",...Parece que a Jessica se sentiu do mesmo jeito.,…對此朱志香好像也和我持同一看法。,…对此朱志香好像也和我持同一看法。,...Sepertinya Jessica juga merasakan hal yang sama. ,... Sembrava che Jessica si sentisse allo stesso modo.,"Apparentemente, anche Jessica si sentiva allo stesso modo.",...Görünüşe göre Jessica da aynı şekilde hissediyordu.
,We left our seats without being asked to and went to hang out somewhere well away from our parents... ,"We left our seats, although no one had asked us to leave, and went to hang out somewhere apart from the parents..."," Since no one particularly needed us, we left our seats and went to hang out somewhere apart from the parents...",俺たちは誰に頼まれずとも席を外し、大人たちのいないところでたむろしているのだった…。,[=JP],"Поскольку мы были им особо не нужны, то мы покинули свои места и пошли поболтать куда‐нибудь подальше от родителей...","Nós deixamos nossos assentos, apesar de ninguém ter pedido para sairmos, e fomos para o mais longe possível dos nossos pais...",儘管沒有被任何人要求，但我們還是自覺地起身離了席，跑到了大人們不在的地方聚了起來…。,尽管没有被任何人要求，但我们还是自觉地起身离了席，跑到了大人们不在的地方聚了起来…。,Kami bangkit dari tempat duduk tanpa diminta dan pergi ke tempat yang jauh dari orang tua kami... ,"Dal momento che nessuno aveva particolarmente bisogno di noi, lasciammo i nostri posti e gironzolammo da qualche parte lontano dai genitori...","Lasciammo i nostri posti senza che ce lo venne chiesto, e ci radunammo in un punto in cui gli adulti non c'erano...",Kimse bizden ayrılmamızı istemediği halde yerimizden kalktık ve ailelerimizden ayrı bir yerde takılmaya gittik...
