Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"...What is that sound that always fills my ears? Is it the sound of the rain, the sound of a waterfall, or could it be radio static? ","......What was the sound that always filled the ears?{n}The sound of the rain, the sound of a waterfall, or was it radio static?","......What was the sound that always filled the ears? The sound of the rain, the sound of a waterfall, or was it radio static? ",……いつも耳を満たすのは何の音か。雨の音か、滝の音か、それとも無線の砂嵐なのか。,……いつも耳を満たすのは何の音か。{n}雨の音か、滝の音か、それとも無線の砂嵐なのか。,"......Что это за звук, непрерывно отдающийся в ушах?{n}Звук ли это дождя, водопада, или статических помех радио?","......O que era o som que sempre preenchia meus ouvidos?{n}O som da chuva, o som de uma cachoeira, ou talvez fosse a estática do rádio?",……一刻不停灌滿耳朵的是什麼聲音呢？{n}是雨聲，是瀑布的聲音，還是無線電的噪音呢？,……一刻不停灌满耳朵的是什么声音呢？{n}是雨声，是瀑布的声音，还是无线电的噪音呢？,"... Qual era il suono che mi riempiva sempre le orecchie? Il suono della pioggia, il suono di una cascata, oppure erano le interferenze della radio?","...Qual è il suono che si sente sempre nelle proprie orecchie?{n}Il rumore della pioggia, quello di una cascata, oppure le interferenze della radio?","......Kulaklarımı dolduran bu ses de ne?{n}Yağmur mu, şelale mi, yoksa radyo cızırtısı mı?"
,"If not, I want it to be the sound of blood flowing through my body. ...I want it to be the sound of the blood circulating throughout me, telling me that I am still alive... ","In that case, I want it to be the sound of blood flowing through the body. ......I want it to be the sound of the blood circulating throughout my body, telling me that I am still alive...","In that case, I want it to be the sound of blood flowing through the body.......I want it to be the sound of the blood circulating throughout my body, telling me that I am still alive...",ならば血潮の音であってほしい。……まだこの体に血が巡り、私が生き永らえていることを教えてくれる音であってほしい…。,[=JP],"В любом случае, я бы хотел, чтобы это стало звуком крови, текущей в теле. ......Я хочу, чтобы это был звук крови, циркулирующей по всему моему телу, напоминая мне, что я всё ещё жив...","Nesse caso, eu quero que seja o som do sangue fluindo pelo corpo. ......Quero que seja o som do sangue circulando pelo meu corpo, me dizendo que ainda estou vivo...",若是如此，那我希望它是鮮血澎湃的聲音。……希望它是將血液還在這副軀體裡循環，將我還活著的事實告訴我的聲音…。,若是如此，那我希望它是鲜血澎湃的声音。……希望它是将血液还在这副躯体里循环，将我还活着的事实告诉我的声音…。,"In quel caso, voglio che sia il suono del sangue che scorre nel corpo. ... Voglio che sia il suono del sangue che circola attraverso il mio corpo, avvertendomi che sono ancora vivo...","Se avessi potuto scegliere, avrei voluto udire il suono del sangue che pulsava in me... Volevo udire il sangue scorrere dentro al mio corpo, così da comunicarmi che avrei continuato a vivere...","Eğer değilse, vücudumda akan kanın sesi olmasını isterim. ......Bana hâlâ hayatta olduğumu söyleyen, vücudumda dolaşan kanın sesi olmasını istiyorum..."
Ushiromiya Kinzo,""".........Nnn... ...Is it...morning...?"" ",""".....................Hmm... ......Is it...morning...?""",""".....................Hmm.........Is it, morning...?""",「…………………む…。……朝、なのか…。」,「…………………む…。……朝、なのか…」,""".....................Хм‐м... Так уже, утро?..""",""".....................Hmm... ......Já é...de manhã...?""",「…………………嗯…。……這是，到早上了麼…」,「…………………嗯…。……这是，到早上了么…」,"""... Hmm... è mattino...?""","""...Mmmh... È... mattina...?""",""".....................Hmm... ......Sabah...oldu mu...?"""
,"The light entering through a crack in the curtain was faint, but it at least told him that dawn had broken. ","The light entering through a crack in the curtain was faint, but it at least told him that dawn had broken.",[=UP],カーテンの隙間から入る光は弱々しいが、夜が明けたことだけは教えてくれた。,[=JP],"Свет, проникающий через щель в занавесе, был слабым, но по крайней мере это говорило ему, что рассвет наступил.","A luz que entrava por uma fresta na cortina era fraca, mas ao menos indicava a ele que já havia amanhecido.",從窗簾縫隙間射入的陽光雖弱，但至少是讓人知道了已到清晨。,从窗帘缝隙间射入的阳光虽弱，但至少是让人知道了已到清晨。,"La luce che entrava da un'apertura nella tenda era fievole, ma gli rivelò almeno che la notte era finita.","La luce che entrava dallo spiraglio delle tende era flebile, ma lo avvisò della venuta dell'alba.",Perdedeki aralıktan içeriye vuran ışık zayıftı ama hiç değilse ona güneşin doğduğunu söylüyordu.
,"Kinzo, still in the position he'd been when he woke up, ...still sitting in a chair and looking up at the ceiling, ...felt the blood slowly travel throughout his body... ","Kinzo, still in the same pose he had when he awoke, ...still sitting in his chair and looking up at the ceiling, ...felt the blood slowly travel throughout his body..."," Kinzo, still acting like one who has just woken up, ...still sitting in a chair and looking up at the ceiling..., felt the blood slowly travel throughout his body...",金蔵は、目覚めた時の姿勢のまま、…椅子に座り天上を見上げた姿勢のまま…、全身に血をゆっくりと巡らせて行く…。,金蔵は、目覚めた時の姿勢のまま、…椅子に座り天井を見上げた姿勢のまま…、全身に血をゆっくりと巡らせて行く…。,"Кинзо, по‐прежнему вёл себя как только что проснувшийся человек ...всё ещё сидя на кресле и глядя в потолок... ощущал, как медленно кровь движется в его теле...","Kinzo, ainda na mesma pose em que estava quando acordou, ...ainda sentado em sua cadeira e olhando para o teto, ...sentiu o sangue lentamente viajar pelo seu corpo...",金藏保持著剛醒來時的姿勢，…保持著躺在椅子上望著天花板的姿勢…，讓血液慢慢地循環到全身…。,金藏保持着刚醒来时的姿势，…保持着躺在椅子上望着天花板的姿势…，让血液慢慢地循环到全身…。,"Kinzo, ancora agendo come uno se si fosse appena svegliato... stando ancora seduto su una sedia e guardando il soffitto... sentì il sangue scorrere lentamente attraverso il suo corpo...","Mentre Kinzo era ancora nella stessa posizione in cui si era svegliato... rimasto seduto su una sedia, con lo sguardo rivolto in alto... a mano a mano, il suo sangue fluì lentamente in tutto il suo corpo...","Kinzo, hâlâ uyandığı andaki pozisyonunda, ...koltuğunda oturmuş tavana bakarken, ...kanının vücudunda yavaşça dolaştığını hissediyordu..."
,"...Judging by the clock, it was early morning, 6:00 on the dot. ...No matter how tired he was, no matter how deeply he slept, he always woke up at exactly this time, as though he had measured it with an hourglass. ","...Judging by the clock, it was early morning, six on the dot. ......No matter how tired he was, no matter how deeply he slept, he woke up at exactly this time, as though he had measured it with an hourglass.","...Judging by the clock, it was early morning, 6:00 on the dot.......No matter how tired he was, no matter how deeply he slept, he woke up at exactly this time, as though he had measured it with an hourglass.",…時計を見ると早朝、６時ぴったり。……どれだけ疲れていようとも、どれだけ深く眠っていようとも、まるで砂時計で計ったかのようにぴたりとこの時間に目覚める。,[=JP],"...Судя по часам, было раннее утро, шесть часов ровно. ......Несмотря на то, насколько усталым он был, несмотря на то, как глубоко он спал, он просыпался ровно в это время, словно измерял его песочными часами.","...Julgando pelo relógio, era de manhã cedo, seis em ponto. ......Não importava o quão cansado ele estivesse, não importava o quão profundamente ele dormisse, ele sempre acordava nessa mesma hora, como se ele a tivesse medido com uma ampulheta.",…看了下時鐘，正好是早上六點。……無論有多累，無論睡得有多深，他都會恰好在仿彿是被沙漏計算好的此時醒來。,…看了下时钟，正好是早上六点。……无论有多累，无论睡得有多深，他都会恰好在仿佛是被沙漏计算好的此时醒来。,"... A giudicare dall'orologio, era mattino presto, le 6:00 in punto. ... Per quanto fosse stanco, per quanto avesse dormito profondamente, si svegliava sempre a quest'ora precisa, come se l'avesse misurata con una clessidra.","Guardando l'orologio, era un orario mattutino: le sei, ad essere precisi... Non importava quanto fosse stanco o quanto avesse dormito profondamente, si svegliava sempre a quest'ora esatta, come se l'avesse determinata con una clessidra.","...Saate bakılırsa daha sabahın erken saatleriydi, 6:00. ......Ne kadar yorgun olursa olsun, ne kadar derin uyursa uyusun, sanki bir kum saatine bağlıymış gibi tam bu saatte uyanırdı."
,"He didn't think of this as something to boast about, but he told himself that, as long as he could still manage this, his health couldn't be that bad. ","He didn't think that something like this was worthy of boasting of, but he told himself that while he could still do something like this, he was still in robust health."," He didn't think that something like this would lead him to boast, but he instructed himself that while he could still do something like this, he was still in robust health.",こんなことが自慢になるとは思っていないが、その程度のことができる内は、自分はまだまだ強健なのだと自分に言い聞かせていた。,[=JP],"Он не думал, что ему стоит гордиться чем‐то подобным, но настроил себя, что если его хватает на подобное, значит он ещё достаточно здоров.","Ele não pensava nisso como algo para se gabar, mas disse a si mesmo que enquanto ainda conseguisse fazer algo assim, ainda teria uma saúde robusta.",雖然並不覺得這值得驕傲，但他告訴自己，在身體還能做到這種程度時，自己還是很硬朗的。,虽然并不觉得这值得骄傲，但他告诉自己，在身体还能做到这种程度时，自己还是很硬朗的。,"Non pensava che qualcosa del genere l'avrebbe portato a vantarsi, ma confidò a se stesso che finché riusciva a fare cose di questo tipo, aveva ancora una salute di ferro.","Non pensava che fosse qualcosa di cui vantarsi, ma ripeteva a se stesso che, finché sarebbe stato così preciso, aveva ancora una salute di ferro.",Böyle bir şeyin övünülecek bir şey olmadığını düşünüyordu ama kendi kendine hâlâ böyle bir şey yapabiliyorsa sağlığının yerinde olduğunu söylüyordu.
Ushiromiya Kinzo,"""......Morning has come, which means... ......hmmm. ...It would appear I've avoided becoming one of the first sacrifices. ...Was I merely lucky when the roulette was spun, ...or is this the fruit of my efforts? How irritating that I cannot tell the difference, but I mustn't be bothered by such trivialities."" ",""".........Morning has come, which means... ...............Hmmm. ......It seems that I've escaped being one of the first sacrifices. ......Was the result of the roulette fortunate, ...or is this the fruit of my efforts? It is irritating that I cannot tell the difference, but I will not say that.""",""".........Morning has come, which means...............hmmm. ......In any event, it seems that I've escaped being one of the first sacrifices. ......Was the result of the roulette fortunate, ...or is this the fruit of my efforts? It is irritating that I cannot tell the difference, but I will not say that.""",「………朝を迎えた、ということは…。……………ふむ。……どうやら、最初の生贄は逃れたということらしい。……ルーレットの目が幸運だったのか、…我が努力の賜物なのか、区別の付かぬところが何とももどかしいが、それは言うまい。」,「………朝を迎えた、ということは…。……………ふむ。……どうやら、最初の生贄は逃れたということらしい。……ルーレットの目が幸運だったのか、…我が努力の賜物なのか、区別の付かぬところが何とももどかしいが、それは言うまい」,""".........Утро наступило, а это значит... Хм‐м. ......В любом случае похоже, что я не оказался в числе первых жертв. ......Это результат удачи в рулетке... Или же это плод моих усилий? Так досадно, что я не могу определить разницу, но я не собираюсь рассуждать об этом.""",""".........A manhã chegou, o que significa... ...............Hmmm. ......Parece que escapei de ser um dos primeiros sacrifícios. ......Tive sorte no resultado da roleta, ...ou este é o fruto dos meus esforços? É irritante que eu não consiga perceber a diferença, mas não ficarei comentando sobre isso.""",「………迎來了早晨，那就代表著…。……………哼嗯。……看來，我似乎是逃過了最初的活祭。……是輪盤賭的結果足夠幸運呢，…還是拜我的努力所賜呢，雖然辨不出這原因實在令人煩心，但不提也罷。」,「………迎来了早晨，那就代表着…。……………哼嗯。……看来，我似乎是逃过了最初的活祭。……是轮盘赌的结果足够幸运呢，…还是拜我的努力所赐呢，虽然辨不出这原因实在令人烦心，但不提也罢。」,"""... È arrivato il mattino, ciò significa che... hmmm. ... In ogni caso, sembra che sia riuscito a non diventare uno dei primi sacrifici. ... L'esito della roulette è stato fortunato... o è il frutto dei miei sforzi? È irritante che non riesca a comprendere la differenza, ma non lo rivelerò.""","""...Si è fatta mattina, il che significa... Mmmh... Ad ogni modo, sembra che io sia scampato dal diventare uno dei primi sacrifici. L'esito della roulette è dovuto alla fortuna... o è il risultato dei miei sforzi? Non lo ammetterò mai, ma è alquanto frustrante non riuscire a discernere la differenza.""",""".........Sabah oldu, bu demek oluyor ki... ...............Hmmm. ......Görünüşe göre ilk kurbanlardan biri olmaktan kurtuldum. ......Ruletin şanslı bir sonucu muydu, ...yoksa çabalarımın meyvesi mi? Aradaki farkı anlayamamak rahatsız edici, ama böyle önemsiz şeyleri düşünmemeliyim."""
,Kinzo was struck by a faint desire to see beyond the study door. ,Kinzo was very slightly driven by a temptation to look at the other side of the study door.,Kinzo was very slightly driven by a temptation to see the outside of the study door.,金蔵は、書斎の扉の外側を見てみたい誘惑に少しだけ駆られた。,[=JP],Кинзо поборол лёгкое искушение выглянуть за пределы двери кабинета.,Kinzo foi ligeiramente tomado pela tentação de olhar do outro lado da porta de seu estúdio.,金藏被想看看書房門外側的誘惑惹得有點心動。,金藏被想看看书房门外侧的诱惑惹得有点心动。,Kinzo era leggermente tentato di vedere l'esterno del suo studio.,Kinzo fu leggermente tentato di guardare fuori dalla porta del suo studio.,"Kinzo, çalışma odasının kapısının diğer tarafına bakma isteğiyle yanıp tutuşuyordu."
,"After all, he might find the traces of someone's vain struggle to break through the door, a sign that someone had tried to select him as one of the first six sacrifices. ","Because he thought that maybe he might find the traces of a vain struggle to break the door, made by something trying to select him as one of the first six sacrifices."," Because he thought that maybe, he might find the traces of a vain struggle to break the door, made by something trying to select him as one of the first six sacrifices.",ひょっとすると、最初の６人の生贄に自分を選ぼうとして、この扉を破ろうと悪足掻きした痕跡が見つけられるかもしれないと思ったからだ。,[=JP],"Поскольку он думал, что вероятно обнаружит следы тщетных усилий выломать дверь — что нечто намеревалось выбрать его одной из шести жертв.","Afinal, ele pensou que talvez pudesse se deparar com o traços de uma luta vã para quebrar a porta, feita por algo tentando selecioná‐lo como um dos seis primeiros sacrifícios.",這是因為他心想，搞不好在門上會發現，為把自己選為最初的六名活祭之一，而留下的嘗試破門的痕跡。,这是因为他心想，搞不好在门上会发现，为把自己选为最初的六名活祭之一，而留下的尝试破门的痕迹。,"Perché pensava che forse, avrebbe potuto trovare le tracce un vano tentativo di rompere la porta, fatto da qualcosa che provava a sceglierlo come uno pei primi sei sacrifici.","Questo perché credeva che avrebbe potuto rinvenire le tracce di un vano tentativo di sfondare la porta, compiuto in modo da sceglierlo come uno dei primi sei sacrifici.","Çünkü belki de kendisini ilk altı kurbandan biri olarak seçmeye gelen bir varlığın, kapıdan geçebilmek için verdiği beyhude mücadelenin izlerini bulabileceğini düşündü."
