Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Battler,"""This rose garden really is a masterpiece. It's gotten even more awesome than it was six years ago. You're so lucky to have this as your yard!"" ","""This rose garden really is a masterpiece. It's gotten even more awesome than it was six years ago. You're so lucky to have this as your yard!""",[=UP],「やっぱりこの薔薇庭園は圧巻だぜ。６年前より、さらにすごくなってやがる。こんなのが庭なんて、うらやましいぜ！」,[=JP],"""Этот розарий настоящий шедевр. Он стал даже лучше, чем был шесть лет назад. Тебе так повезло, что у тебя такой двор!""","""Esse jardim de rosas é mesmo deslumbrante. Está ainda mais incrível do que há seis anos atrás. Você tem sorte de ter isso como seu jardim!""",「果然，這個玫瑰庭園是最最經典的啊。比 6 年前都要強好多。有這麼美的地方當院子，真令人羨慕啊！」,「果然，这个玫瑰庭园是最最经典的啊。比 6 年前都要强好多。有这么美的地方当院子，真令人羡慕啊！」,"""Questo giardino di rose è davvero un capolavoro. È diventato ancora più bello di quant'era sei anni fa. Sei così fortunata ad averlo come cortile!"""
Ushiromiya Jessica,"""Are you kidding? For me, it just makes it a longer walk to the harbor, and that's a real pain."" ","""Are you kidding? For me, it just makes it a longer walk to the harbor, which is a real pain.""",[=UP],「んなことはねーぜ。私にとっちゃ、船着場まで遠くて邪魔なだけなんだけどな。」,「んなことはねーぜ。私にとっちゃ、船着場まで遠くて邪魔なだけなんだけどな」,"""Ты что, шутишь? Мне он только удлиняет дорогу до гавани.""","""Tá brincando? Pra mim, ele só serve pra deixar o caminho até o píer mais longo, o que é um saco.""",「才不是嘞。要我說的話，去碼頭要多走不少路，只是在礙事罷了。」,「才不是嘞。要我说的话，去码头要多走不少路，只是在碍事罢了。」,"""Stai scherzando? Mi rende soltanto più lungo l'arrivare al porto, il che è una bella seccatura."""
Ushiromiya George,"""Hahaha. That's a pretty luxurious worry."" ","""Hahaha. That's a pretty luxurious worry.""",[=UP],「はっはっは。それは贅沢な悩みだねぇ。」,「はっはっは。それは贅沢な悩みだねぇ」,"""Ха‐ха‐ха. Какое роскошное беспокойство.""","""Hahaha. Essa é uma preocupação bem luxuosa.""",「哈哈哈。這倒是個奢侈的煩惱呢。」,「哈哈哈。这倒是个奢侈的烦恼呢。」,"""Hahaha. È una preoccupazione piuttosto lussuosa."""
Ushiromiya Maria,"""Uu-! Getting to say hi to the roses every morning must be awesome! You must get late after saying hi to so many roses...!"" ","""Uu! Getting to say hi to the roses every morning before school, so awesome! You must get late after saying hi to so many roses...!""","""Uu-! Getting to say hi to the roses every morning, so awesome! You must get late after saying hi to so many roses...!""",「うー！　毎朝、薔薇と挨拶してから登校、素敵素敵！　こんなにいっぱいの薔薇、みんなと挨拶してたら、遅刻しちゃうね…！」,[=JP],"""У‐у! Так здорово каждый день говорить розам 'привет'! Если здороваться со столькими розами, можно и опоздать!..""","""Uu! Poder dar ""oi"" para as rosas todas as manhãs antes da aula, incrível! Deve chegar sempre atrasada com tanta rosa pra cumprimentar...!""",「嗚——！每天早上，先向玫瑰問好，然後再去學校，好棒好棒！有著這麼多的玫瑰，向每位都問好的話，就會遲到呢…！」,「呜——！每天早上，先向玫瑰问好，然后再去学校，好棒好棒！有着这么多的玫瑰，向每位都问好的话，就会迟到呢…！」,"""Uu-! Poter dire ciao alle rose ogni mattina, che bello! Dovrai far tardi dopo aver detto ciao a così tante rose...!"""
Ushiromiya Jessica,"""Shame about Ange though. I hear her stomach gets upset easily, right?"" ","""Shame about Ange though. I hear her stomach gets upset easily?""",[=UP],「縁寿は残念だな。お腹、壊しやすいんだって？」,[=JP],"""И всё же, жаль Энджи. Я слышала, у неё живот стал легко расстраиваться?""","""É uma pena a Ange não ter vindo. Eu ouvi que ela fica com dor de barriga facilmente?""",「緣壽，可惜了啊。她是不是容易鬧肚子來著？」,「缘寿，可惜了啊。她是不是容易闹肚子来着？」,"""Peccato per Ange però. Ho saputo che il suo stomaco è spesso sottosopra?"""
Ushiromiya Battler,"""Apparently. It's probably her intestines that are weak. She's almost always got the runs."" ","""Apparently. It's probably her intestines that are weak. She's always getting diarrhea.""","""Apparently. It's probably her intestines that are weak. She's got diarrhea all over the place.""",「らしいな。腸が弱いんだろうよ。しょっちゅう、下痢してるぜ。」,「らしいな。腸が弱いんだろうよ。しょっちゅう、下痢してるぜ」,"""По‐видимому. Должно быть, слабый кишечник. Повсюду признаки диареи.""","""É o que parece. Provavelmente o intestino dela é fraco. Por isso está sempre com diarreia.""",「好像是啊。大概是腸道不太好吧。老是拉稀。」,「好像是啊。大概是肠道不太好吧。老是拉稀。」,"""Così pare. Probabilmente ha l'intestino debole. Continua ad avere la diarrea."""
Ushiromiya Maria,"""Uu-. You shouldn't say something like that about a lady..."" ","""Uu. You shouldn't say something like that about a lady......""","""Uu-. You shouldn't say something like that about a lady......""",「うー。レディーにそーゆうの言うのいけない……。」,「うー。レディーにそーゆうの言うのいけない……」,"""У‐у. Не говори такое про леди......""","""Uu. Não deveria dizer isso sobre uma dama......""",「嗚——。不可以用這種話講淑女……」,「呜——。不可以用这种话讲淑女……」,"""Uu-. Non dovresti dire queste cose di una ragazza..."""
Ushiromiya Battler,"""Ihihihihi, sorry about that. Yeah, I forgot, nothing comes out a girl's butt but marshmallows, right? So, Ange got sick, and the marshmallows turned into syrup."" ","""Ihihihihi, sorry about that. Yeah, I forgot, marshmallows are what comes out of a girl's butt, ri~ght? So, Ange got sick, and the marshmallows turned into syrup.""",[=UP],「いっひひひひ、それはすまねぇ。そうだよな、女の子のお尻からはマシュマロが出るんだもんな〜。縁寿は体調が悪くて、マシュマロが水飴になっちまったわけだ。」,「いっひひひひ、それはすまねぇ。そうだよな、女の子のお尻からはマシュマロが出るんだもんな〜。縁寿は体調が悪くて、マシュマロが水飴になっちまったわけだ」,"""Ихи‐хи‐хи‐хи, извини. Да, я забыл, зефир — вот что выходит из задниц девочек~ Так вот, Энджи заболела, и зефир превратился в сироп.""","""Ihihihihi, foi mal. Sim, eu já tava esquecendo, mas o que sai do bumbum das garotas é marshmallows, né~? Então, como a Ange ficou doente, os marshmallows viraram xarope.""",「咿、嘿嘿嘿嘿，抱歉。說的是啊，從女孩子屁屁裡出來的可是棉花軟糖吶～。也就緣壽體況不佳，棉花軟糖化成糖稀了。」,「咿、嘿嘿嘿嘿，抱歉。说的是啊，从女孩子屁屁里出来的可是棉花软糖呐～。也就缘寿体况不佳，棉花软糖化成糖稀了。」,"""Ihihihihi, scusami tanto. Già, l'avevo dimenticato, dal didietro di una ragazza escono i marshmallow, ve{p:0:～}ro? Quindi, Ange si è ammalata, e i marshmallow si sono trasformati in sciroppo."""
Ushiromiya Jessica,"""Okay, that's really-"" ","""Yeah, that's just—""","""Yeah, that's really-""",「それはさすがに、」,[=JP],"""Да, это и впрямь...""","""Isso já é um pouco—""",「這話就實在，」,「这话就实在，」,"""Come pensavo, questo è davvero-"""
Ushiromiya George,"""-way over the line."" ","""Too disgusting.""","""-way too gross.""",「下品が過ぎるね。」,「下品が過ぎるね」,"""Слишком вульгарно.""","""Que nojo!""",「太下流了啊。」,[=CHT],"""-troppo disgustoso."""
,George and Jessica slammed a knee and a fist right into either side of Battler's gut. ,George and Jessica slammed a knee and a fist right into either side of Battler's gut.,[=UP],譲治と朱志香が、戦人の左右の下腹部に、それぞれ、膝と拳を叩き込む。,[=JP],Джордж и Джессика ударили коленом и кулаком Баттлеру в живот.,George e Jessica bateram no abdômen dele com o joelho e o punho.,讓治與朱志香分別以膝蓋與拳頭，一左一右打入了戰人的下腹部。,让治与朱志香分别以膝盖与拳头，一左一右打入了战人的下腹部。,George e Jessica piantarono un ginocchio e un pugno dritti in entrambi i lati dell'intestino di Battler.
,"*whack*, *smack*thud*. ","Whack, smackthud.","*whack*, *smack*thud*.",　めりり、ぐしゃどさ。,めりり、ぐしゃどさ。,"*удар*, *хлоп*бух*.","*Tum*, *plaft*bam*.",砰，啪，撲通。,砰，啪，扑通。,[=OG]
,......The *smack*thud* was probably the sound made when his knees hit the ground as he fell over. ,......The smackthud was probably the sound of his knees hitting the ground and him falling over.,......The *smack*thud* was probably the sound made when his knees hit the ground and he fell over.,……ぐしゃどさは、膝をつく音と倒れる音だろう。,[=JP],"......Звуки *хлоп*бух*, вероятно, раздались, когда он ударился коленями о землю и упал.","......O ""*plaft*bam*"" provavelmente foi o som de seus joelhos batendo contra o chão, seguido de sua queda.",……那“啪，撲通”聲，肯定是膝蓋著地與身體倒地的聲音吧。,……那“啪，扑通”声，肯定是膝盖着地与身体倒地的声音吧。,... Lo *smack*thud* era probabilmente il suono emesso quando le sue ginocchia colpirono il suolo mentre cadeva.
,"Normally, Battler possessed the good sense you'd expect of an 18 year-old man. ","Normally, Battler possessed the good sense you'd expect of an 18‐year‐old man."," Normally, Battler possessed the good sense you'd expect of an 18 year-old man.",戦人も、本来は１８歳なりの分別のある男だ。,[=JP],"Обычно Баттлер обладал здравым смыслом, какого ожидаешь от 18‐летнего человека.","Normalmente, Battler possui o bom senso que você espera de alguém de 18 anos de idade.",戰人本也是個具有與 18 歲相稱的分寸的男人。,战人本也是个具有与 18 岁相称的分寸的男人。,"Normalmente, Battler aveva il buonsenso che ci si aspetterebbe da un ragazzo di diciott'anni."
,"However, it seemed that this reunion had brought him back to the mental age he'd been six years ago. ","However, it seemed that this reunion had brought him back to the mental age he had been six years ago."," However, it seemed that this reunion had brought him back to the mental age he had been six years ago.",しかし、６年ぶりの再会に、精神年齢が当時のものに戻ってしまっているようだった。,[=JP],"Но, видимо, это воссоединение вернуло его к умственному возрасту шестилетней давности.","Porém, parece que esta reunião fez com que seu estado mental retornasse ao da época que ele tinha seis anos atrás.",然而，時隔 6 年的重逢，好像使他的精神年齡回到了當年。,然而，时隔 6 年的重逢，好像使他的精神年龄回到了当年。,"Tuttavia, sembrava che questa riunione lo avesse riportato all'età mentale che aveva sei anni prima."
,"And bit by bit, Jessica and George realized they were also returning to the way they'd been back then... ","And bit by bit, Jessica and George realized that they were also returning to the way they'd been six years ago..."," And bit by bit, Jessica and George realized that they were also returning to the way they'd been six years ago...",そして譲治や朱志香たちもまた、６年前の自分たちに戻っていることを、次第に気がつくのだった…。,[=JP],"Понемногу Джессика и Джордж поняли, что и они тоже словно вернулись в то время...","E pouco a pouco, Jessica e George perceberam que também estavam voltando para como eram há seis anos atrás...",並且，讓治與朱志香也是，漸漸發覺，自己慢慢變回了 6 年前的自己…。,并且，让治与朱志香也是，渐渐发觉，自己慢慢变回了 6 年前的自己…。,"E poco alla volta, Jessica e George capirono che anche loro stavano tornando a com'erano sei anni prima..."
,Natsuhi gazed at this (charming?) chat through an open window in the hall. ,"This ""charming"" chat...was being observed by Natsuhi, gazing through an open window in the hall.", Natsuhi gazed at this (charming?) chat through an open window in the hall.,そんな微笑ましそうな？　やり取りを夏妃は廊下の開け放たれた窓から眺めていた。,[=JP],"Нацухи через открытое окно в коридоре наблюдала за их ""прелестным"" разговором.","Esta ""charmosa"" conversa...estava sendo observada por Natsuhi, que olhava através de uma janela aberta no corredor.",這令人“欣慰”的一幕，正被夏妃透過走廊上開著的窗子看在眼中。,这令人“欣慰”的一幕，正被夏妃透过走廊上开着的窗子看在眼中。,Natsuhi guardò questa (amabile?)... conversazione da una finestra aperta nel salone.
Ronoue Genji,"""......Madam, Krauss-sama is searching for you."" ",""".........Madam. Krauss‐sama is searching for you.""",""".........Madam. Krauss-sama is searching for you.""",「………奥様。旦那様がお探しです。」,「………奥様。旦那様がお探しです」,""".........Мадам. Господин Краусс ищет вас.""",""".........Madame. O patrão está procurando por você.""",「………太太。主人在找您呢。」,[=CHT],"""... Madame. Krauss-sama la sta cercando."""
