Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Furudo Erika,"""Battler-san returned to the guesthouse at 3:00 AM. Then, the rest of you split up about 30 minutes later, right?"" ","""Battler‐san returned to the guesthouse at {nobr:3 a.m.} Then, the rest of you split up about thirty minutes later, is that correct?""","""Battler-san returned to the guesthouse at 3:00 AM. Then, the rest of you split up about 30 minutes later, right?""",「午前３時に戦人さんがゲストハウスに戻られて。その後、３０分くらいで皆さんも解散されたんですね？」,[=JP],"""Баттлер вернулся в домик для гостей в {nobr:три часа ночи}. А потом, спустя полчаса, разошлись и вы, так?""","""O Battler‐san retornou para casa de hóspedes às {nobr:3 a.m.} Então, os que sobraram se dividiram cerca de trinta minutos depois, correto?""",「午夜 3 點，戰人回了賓館。然後，在 30 分左右，諸位也解散了？」,「午夜 3 点，战人回了宾馆。然后，在 30 分左右，诸位也解散了？」,"""Battler-san è ritornato alla casa degli ospiti alle 3:00. Quindi, il resto di voi si è diviso circa 30 minuti dopo, giusto?"""
Ushiromiya Eva,"""Yes, that's right. Drowsiness was finally starting to catch up to us. We decided to take a short rest and then start up again."" ","""Yes, that's right. We were getting pretty tired by that point. We decided to take a short rest before starting up again.""","""Yes, that's right. We did get fairly tired. We decided to take a short rest and then start up again.""",「えぇ、そうよ。いい加減、眠くなってきて。一眠りしてから仕切り直そうってことになったのよ。」,「えぇ、そうよ。いい加減、眠くなってきて。一眠りしてから仕切り直そうってことになったのよ」,"""Да, верно. Мы совсем вымотались. Решили сделать короткий перерыв, а затем начать снова.""","""Sim, isso mesmo. Nós já estávamos bem cansados naquela hora. Decidimos fazer uma pausa para descansarmos antes de recomeçar.""",「是啊，沒錯。因為實在熬不住睡意了。所以我們決定了，睡一覺後再重新來過喲。」,「是啊，没错。因为实在熬不住睡意了。所以我们决定了，睡一觉后再重新来过哟。」,"""Sì, è vero. Ci eravamo stancati abbastanza. Avevamo deciso di fare una piccola pausa e dopo ricominciare."""
,"To smoke out the murderer of the first twilight, Erika closely questioned everyone involved to check their alibis and evidence. ","To smoke out the murderer of the first twilight, Erika closely questioned everyone involved to check their alibis and evidence.",[=UP],ヱリカは、第一の晩の殺人犯を炙り出すため、関係者全員に細かく聞き込んでは、そのアリバイや証拠が存在しないか、確かめていた。,[=JP],"Чтобы выкурить убийцу первых сумерек, Эрика допрашивала всех, проверяя их алиби и доказательства.","Para expor o assassino do primeiro crepúsculo, Erika questionou todos os envolvidos para verificar se tinham álibis e buscar por evidências.",繪梨花為了查出第一晚的殺人犯，向所有有關人員細致地聽取了口供，查證著他們的不在場證明及證據。,绘梨花为了查出第一晚的杀人犯，向所有有关人员细致地听取了口供，查证着他们的不在场证明及证据。,"Per scoprire l'omicidio del primo crepuscolo, Erika interrogò attentamente tutti i coinvolti per controllare i loro alibi e le loro prove."
,"To confirm these, she went around the mansion with them, and when needed, took several trips out to the guesthouse through all the rain. ","To confirm these, she went around the mansion with them, and when needed, took several trips out to the guesthouse through all the rain."," To confirm these, she went around the mansion with them, and when needed, took several trips out to the guesthouse through all the rain.",それを確認するために、屋敷中に同行させ、必要ならこの雨の中を、何度もゲストハウスに往復するのだった。,[=JP],Для их подтверждения она обошла с ними особняк и при необходимости несколько раз шла под дождём в гостевой домик.,"Para confirmar, ela saiu pela mansão com eles, e quando necessário, fazendo diversas viagens à casa de hóspedes, debaixo da chuva.",為查證這個不在場證明，她會帶人在宅邸裡試演，有必要的話，還會在這大雨中，在大屋與賓館間往返個好幾次。,为查证这个不在场证明，她会带人在宅邸里试演，有必要的话，还会在这大雨中，在大屋与宾馆间往返个好几次。,"Per confermarli, andò in giro per la villa con loro, e quando necessario, fece varie gite fuori alla casa degli ospiti attraverso tutta la pioggia."
,...Her vitality was impressive. ,......Her vitality was admirable.,[=UP],……そのバイタリティには感服する。,[=JP],......Её выносливость поражала.,......Sua vitalidade era admirável.,……這份旺盛活力，令人佩服。,……这份旺盛活力，令人佩服。,... La sua vitalità era ammirevole.
,"...Though she was an uninvited guest, everyone had long since stopped feeling anything strange about the way she played the detective... ","......Though she was an uninvited guest, everyone had long since stopped feeling anything strange about the way she imitated a detective...",[=UP],……招かざる客人のはずの彼女が、探偵の真似事をすることに、とっくに一同は違和感を覚えなくなっていた…。,[=JP],"......Хотя она незваная гостья, никому уже давно не казалось странным её подражание детективу...","......Embora fosse uma convidada indesejada, logo todos deixaram de sentir qualquer coisa de estranho na forma em como ela imitava um detetive...",……而對於明明是不速之客，卻又在學偵探樣地折騰人一事，眾人早就不感到別扭了…。,……而对于明明是不速之客，却又在学侦探样地折腾人一事，众人早就不感到别扭了…。,"... Anche se era un ospite non invitato, tutti avevano smesso da lungo tempo di sentire qualcosa di strano sul modo in cui imitava un detective..."
Ronove,"""...It seems Erika is also steadily building her foundation."" ","""......It seems Erika is also steadily building her foundation.""",[=UP],「……ヱリカも、着実に、基礎を固めているようですな。」,「……ヱリカも、着実に、基礎を固めているようですな」,"""......Эрика тоже неуклонно строит свою опору.""","""......Parece que Erika foi construindo sua base de forma sólida.""",「……繪梨花倒也是在扎扎實實地穩固基盤呢。」,「……绘梨花倒也是在扎扎实实地稳固基盘呢。」,"""... Sembra che anche Erika stia costantemente costruendo le sue fondamenta."""
{f:5:Beatrice},"""It's useless. Whether alibis exist or not, she can't deny our existence. ...Kinzo escaped through the window and is now one with the mists of Rokkenjima. She most certainly won't be able to capture or deny him."" ","""It's useless. Whether alibis exist or not, she can't deny our existence. ......Kinzo escaped through the window and is now one with the mists of Rokkenjima. She can never capture or deny him.""","""It's useless. Whether alibis exist or not, she can't deny our existence. ......Kinzo escaped through the window and is now one with the mists of Rokkenjima. She most certainly won't be able to capture or deny him.""",「無駄なことよ。アリバイがあろうとなかろうと、妾たちの存在を否定することなど出来ぬわ。……金蔵は窓より逃れ、今や六軒島の霞よ。決して捕らえることも、否定することも出来ぬ。」,「無駄なことよ。アリバイがあろうとなかろうと、妾たちの存在を否定することなど出来ぬわ。……金蔵は窓より逃れ、今や六軒島の霞よ。決して捕らえることも、否定することも出来ぬ」,"""Только зря время тратит. Алиби не помогут ей опровергнуть наше существование. ......Кинзо ушёл через окно и слился с туманом Роккенджимы. Едва ли она сможет найти или стереть его.""","""É inútil. Tendo álibis ou não, ela não pode negar nossa existência. ......O Kinzo escapou pela janela e agora está envolto pela névoa de Rokkenjima. Ela nunca vai capturá‐lo ou negá‐lo.""",「她是在白費工夫。不管有沒有不在場證明，都無法否定掉我們的存在。……金藏從窗戶逃走，現已是六軒島的霧霞。絕對抓不到，絕對否定不了。」,「她是在白费工夫。不管有没有不在场证明，都无法否定掉我们的存在。……金藏从窗户逃走，现已是六轩岛的雾霞。绝对抓不到，绝对否定不了。」,"""È inutile. Che gli alibi esistano o meno, lei non può negare la nostra esistenza. ... Kinzo è scappato dalla finestra e ora è tutt'uno con la nebbia di Rokkenjima. Certamente non riuscirà a catturarlo o negarlo."""
Gaap,"""When all's said and done, perhaps you could say he's escaped to the underside of the chessboard."" ","""When all's said and done, perhaps you could say he's escaped to the underside of the chessboard.""",[=UP],「差し詰め、チェス盤の裏側にでも逃げ込んだ、とでも言えばいいのかしら。」,「差し詰め、チェス盤の裏側にでも逃げ込んだ、とでも言えばいいのかしら」,"""Когда всё уже сказано и сделано, можно заявить, что он ушёл под шахматную доску.""","""Com tudo dito e feito, você até poderia dizer que ele escapou para a parte debaixo do tabuleiro.""",「歸根結底，可以說成是逃到了棋盤的另一側吧。」,「归根结底，可以说成是逃到了棋盘的另一侧吧。」,"""Alla fine di tutto, forse si potrebbe dire che sia scappato nella parte inferiore della scacchiera."""
Ronove,"""In that case, maybe it would be appropriate to say he's been stowed away."" ","""In that case, maybe it would be appropriate to say he's been stored away.""","""In that case, maybe it would be appropriate to say he's been stowed away.""",「その場合は仕舞い込んだ、というのが適当でしょうな。」,「その場合は仕舞い込んだ、というのが適当でしょうな」,"""Тогда было бы уместнее сказать, что его скрыли.""","""Nesse caso, seria mais apropriado dizer que ele foi guardado.""",「這種情況，還是說成“收好了”，會比較恰當吧？」,「这种情况，还是说成“收好了”，会比较恰当吧？」,"""In quel caso, forse sarebbe appropriato dire che è stato messo via."""
