Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
{f:5:Beatrice},"""......Who is it?"" ",""".........Who is it?""",[=UP],「………誰か。」,「………誰か」,""".........Кто это?""",""".........Quem é?""",「………是誰。」,「………是谁。」,"""... Chi è?""","""...Chi è?""",""".........Kim o?"""
Kanon,"""Excuse me... I have brought lunch."" ","""Excuse me... I have brought lunch.""",[=UP],「失礼いたします…。昼食をお持ちいたしました。」,「失礼いたします…。昼食をお持ちいたしました」,"""Прошу меня извинить... Я принёс ланч.""","""Com licença... Eu trouxe o almoço.""",「打擾了…。我把午飯帶來了。」,「打扰了…。我把午饭带来了。」,"""Scusatemi... ho portato il pranzo.""","""Chiedo venia... Le ho portato il pranzo.""","""İzninizle... Öğle yemeğinizi getirdim."""
{f:5:Beatrice},"""Enter."" ","""Enter.""",[=UP],「入れ。」,「入れ」,"""Входи.""","""Entre.""",「進來。」,「进来。」,"""Entra.""",[=ITA],"""Gir."""
Kanon,"""...Excuse me."" ","""......Excuse me.""",[=UP],「……失礼いたします。」,「……失礼いたします」,"""......Прошу прощения.""","""......Com licença.""",「……失禮了。」,「……失礼了。」,"""... Scusatemi.""","""...Mi scusi per il disturbo.""","""......İzninizle."""
,"After receiving approval, Kanon entered the VIP room, pushing the serving cart that carried lunch. ","After receiving approval, Kanon entered the VIP room, pushing the lunch serving cart.",[=UP],了解を得て、嘉音が昼食の配膳台車を押しながら貴賓室に入る。,[=JP],"Получив разрешение, Канон вошёл в почётный гостевой номер, катя перед собой сервировочную тележку.","Após receber aprovação, Kanon entrou no quarto VIP, empurrando um carrinho de serviço que trazia o almoço.",得到准許後，嘉音把裝著午飯的餐車推進了貴賓室。,得到准许后，嘉音把装着午饭的餐车推进了贵宾室。,"Dopo aver ricevuto il consenso, Kanon entrò nella stanza per gli ospiti d'onore, spingendo il carrello del pranzo.","Una volta ottenuto il permesso, Kanon entrò nella sala VIP, spingendo il portavivande...","İzin aldıktan sonra, Kanon öğle yemeğinin bulunduğu servis arabasını iterek VIP odasına girdi."
,...The servants called this room the witch's VIP room. ,...The servants called this room the witch's VIP room.,[=UP],…この部屋を使用人たちは、魔女の貴賓室と呼んでいた。,[=JP],...Слуги называли эту комнату почётным гостевым номером для ведьмы.,"...Entre os serviçais, aquele quarto era chamado de quarto VIP da bruxa.",…這間房間在傭人們之間，被稱為了魔女的貴賓室。,…这间房间在佣人们之间，被称为了魔女的贵宾室。,... I domestici chiamavano questa stanza la stanza della strega.,I domestici chiamavano quella camera ‘la sala VIP della strega’.,...Hizmetkârlar bu odaya cadının VIP odası diyorlardı.
,"That was because Kinzo strictly ordered that it always be kept clean, so that it could be used at any time. ",That was because they had been strictly ordered by Kinzo to always keep it cleaned so that it could be used at any time., That was because Kinzo strictly ordered that it always be cleaned so that it could be used at any time.,なぜなら、普段からいつ使用があっても良いよう、常に清掃しておくよう金蔵から厳しく言いつけられていた。,[=JP],"Всё потому, что Кинзо строго‐настрого приказал всегда содержать её в чистоте, чтобы ею можно было воспользоваться в любое время.","Isso era porque eles haviam sido estritamente ordenados por Kinzo para sempre mantê‐lo limpo, para que pudesse ser usado a qualquer momento.",這是因為，儘管金藏平時就在嚴格要求他們勤加打掃這間房間，讓它無論何時都能使用。,这是因为，尽管金藏平时就在严格要求他们勤加打扫这间房间，让它无论何时都能使用。,Questo perché Kinzo ordinò rigorosamente che venisse sempre tenuta pulita in modo che potesse venire usata in ogni momento.,"Questo perché Kinzo aveva categoricamente ordinato che venisse sempre tenuta pulita, in modo che potesse venire usata in ogni momento...","Bunun nedeni, her an kullanılabilsin diye Kinzo tarafından her zaman temiz tutmaları için sıkı sıkıya tembihlenmiş olmalarıydı."
,"...Even so, guests would not be allowed into this room no matter who they were. ","...And yet, guests were never allowed into this room, no matter who they were.","...Even so, guests would not be allowed into this room no matter who they were.",…にもかかわらず、如何なる来客であってもこの部屋に通されることはなかった。,[=JP],"...Но несмотря на подобное распоряжение, гостей просто так не пустили бы в эту комнату, кем бы они ни были.","...E por isso, hóspedes nunca eram permitidos neste quarto, não importando quem fossem.",…但無論有什麼樣的客人來，都從未被招待進過這間房間。,…但无论有什么样的客人来，都从未被招待进过这间房间。,"... Nonostante questo, agli ospiti non era permesso di entrare in quella stanza, chiunque essi fossero.","Nonostante ciò, a nessun ospite fu concesso di entrare in quella stanza...","...Yine de, her kim olursa olsun misafirlerin bu odaya girmesine asla izin verilmezdi."
,"...That's why, at some point, the servants had started calling it the VIP room, which was supposed to be set aside only to welcome the special person Kinzo waited for, ...the witch from that portrait. ","...That's why, at some point, the servants had started calling it the witch's VIP room, supposed to be set aside only to welcome the special person Kinzo was waiting for—the witch from that portrait.","...That's why, at some point, the servants had started calling it the VIP room, which was supposed to be set aside only to greet the special person Kinzo waited for..., the witch from that portrait.",…だからいつの頃からか使用人たちはこの部屋を、金蔵の待ち人の…、あの肖像画の魔女を迎えるためだけの特別な、魔女の貴賓室であると呼び始めていたのだ。,[=JP],"...Именно поэтому у слуг повелось называть её почётным гостевым номером, который, как считалось, был предназначен для принятия особой персоны, ожидаемой Кинзо... Ведьмы с того портрета.","...Por isso que, em determinado momento, os serviçais começaram a chamá‐lo de quarto VIP da bruxa, supostamente para ser utilizado apenas para receber uma pessoa especial que Kinzo aguardava — a bruxa do retrato.",…所以從不知何時開始，傭人們就把這間房間，稱作了只為迎接金藏所等之人——那位肖像畫中的魔女而存在的，魔女的貴賓室。,…所以从不知何时开始，佣人们就把这间房间，称作了只为迎接金藏所等之人——那位肖像画中的魔女而存在的，魔女的贵宾室。,"... Questo è il motivo per cui, ad un certo punto, i domestici avevano cominciato a chiamarla la stanza per gli ospiti d'onore, che ritenevano fosse riservata solo per la persona speciale che Kinzo attendeva... la strega di quel ritratto.","Per cui ad un certo punto, i domestici avevano cominciato a definirla la sala VIP della strega, una stanza speciale riservata solo per la strega del ritratto... la persona attesa da Kinzo.","...Bu nedenle, bir noktadan sonra hizmetkârlar buraya cadının VIP odası demeye başlamıştı, sadece Kinzo'nun beklemekte olduğu o çok özel kişiyi—portredeki cadıyı—ağırlamak için ayrılmış olmalıydı."
,"And today, Kanon realized that this was absolutely true... ","And today, Kanon learned that this was entirely correct..."," And today, Kanon knew that this was exactly right...",そして、嘉音はこの日、それがまさにその通りであったことを知る…。,[=JP],И сегодня Канон убедился в правоте этих домыслов...,"E hoje, Kanon descobriu que isso estava inteiramente correto...",而在今天，嘉音知道了事實正是如此…。,而在今天，嘉音知道了事实正是如此…。,"E oggi, Kanon sapeva che era esatto...","E quel giorno, Kanon scoprì che le cose stavano esattamente così...","Ve bugün, Kanon bunun tamamen doğru olduğunu öğrendi..."
