Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"After dashing to her bedroom, Jessica answered the phone call that had been transferred there. ","After dashing to her bedroom, Jessica answered the phone call that had been transferred there.",[=UP],朱志香は自分の部屋に駆け戻ってくると、転送した電話を取る。,[=JP],"Влетев в свою спальню, Джессика ответила на телефонный звонок, переадресованный туда.","Após correr para o seu quarto, Jessica atendeu o telefonema que havia sido transferido para lá.",朱志香飛快地跑回自己的房間，接起了轉接進來的電話。,朱志香飞快地跑回自己的房间，接起了转接进来的电话。,"Dopo aver corso nella sua camera, Jessica rispose alla chiamata che era stata trasferita là."
Ushiromiya Jessica,"""Ah, hello?! Sorry to keep you waiting! Battler! What'd ya think you're doing, not contacting us for six years?! How's it goiiiiiiiing?! Oh, really? How the hell'd I know?! Heh, shut up! Ahhahahahahahaha! So, that means you'll be coming to this year's family conference, right? I mean, it's been six whole years!"" ","""Ah, hello?! Sorry to keep you waiting! Battle~r! What d'ya think you're doing, not contacting us for six years?! How's it goi{-}i{-}i{-}i{-}i{-}i{-}i{-}ing?! Oh, really? How the hell would I know?! Cram it, you jackass! Ahha{0}ha{0}ha{0}ha{0}ha{0}haha! So you'll be coming to this year's family conference? It's been six years!""","""Ah, hello?! Sorry to keep you waiting! Battle~r! What'd ya think you're doing, not contacting us for six years?! How's it goiiiiiiiing?! Oh, really? How the hell'd I know?! Heh, shut up! Ahhahahahahahaha! So you'll be coming to this year's family conference? It's been six years!""",「あーもしもし？！　お待たせー！戦人ぁ〜！　６年も音沙汰無しとはどういうつもりだ！　ひっさしぶりだなぁああ！ん、そうなのか？　知るかよそんなの！うぜーぜ！　あっははははははは！　じゃあ、今年の親族会議はちゃんと来るわけだろ？　６年ぶりだなぁ！」,「あーもしもし？！　お待たせー！　戦人ぁ〜！　６年も音沙汰無しとはどういうつもりだ！　ひっさしぶりだなぁああ！　ん、そうなのか？　知るかよそんなの！　うぜーぜ！　あっははははははは！　じゃあ、今年の親族会議はちゃんと来るわけだろ？　６年ぶりだなぁ！」,"""О, алло?! Извините, что так долго! Ба~ттлер! О чём ты думал, не связываясь с нами шесть лет?! Как дела‐а‐а?! О, правда? Откуда мне знать?! Хех, заткнись! Аха‐ха‐ха‐ха‐ха! Так ты приедешь на семейное собрание этого года? Шесть лет прошло!""","""Ah, oi?! Desculpa a demora! Battle~r! Que que tu acha que tá fazendo, ficando sem dar notícias por seis anos?! Já faz um tempão, né?! Ah, mesmo? Como eu ia saber?! Fica quietooo! Ahha{0}ha{0}ha{0}ha{0}ha{0}haha! Então, vai vir na conferência familiar desse ano? Já faz seis anos!""",「啊——喂喂？！久等久等——！戰人～！你怎麼回事呀，6 年來毫無音信！好久不見了啊——！嗯，是麼？誰理你啊！煩死嘞！啊、哈哈哈哈哈哈哈！那麼，今年的親族會議是會好好到場的嘍？相隔 6 年了啊！」,「啊——喂喂？！久等久等——！战人～！你怎么回事呀，6 年来毫无音信！好久不见了啊——！嗯，是么？谁理你啊！烦死嘞！啊、哈哈哈哈哈哈哈！那么，今年的亲族会议是会好好到场的喽？相隔 6 年了啊！」,"""Ah, pronto?! Scusa per averti fatto aspettare! Battle{p:0:～}r! Non ci hai contattato per sei anni, cosa pensavi di fare?! Come vaaaaaaa?! Oh, sul serio? Come diavolo facevo a saperlo?! Sta' zitto! Ahhahahahahahaha! Quindi verrai alla riunione di famiglia di quest'anno, giusto? Sono passati sei anni!"""
,"Five businessmen in expensive suits were visiting in the parlor, giving Krauss and Natsuhi a progress report on their business. ","Five businessmen in expensive suits were visiting in the parlor, giving Krauss and Natsuhi a progress report on their business.",[=UP],客間には、高級スーツ姿の実業家が５人も訪れていて、蔵臼と夏妃に事業の進捗報告をしていた。,[=JP],Пятеро бизнесменов в дорогих костюмах расположились в гостиной и докладывали Крауссу и Нацухи о прогрессе своей деятельности.,"Cinco homens de negócios, vestindo ternos caros, estavam sendo recebidos na sala de visitas, informando Krauss e Natsuhi sobre o andamento de seus negócios.",在客廳中，有五位身著高級西服的實業家到訪，在向藏臼與夏妃報告事業的進展狀況。,在客厅中，有五位身着高级西服的实业家到访，在向藏臼与夏妃报告事业的进展状况。,"Cinque uomini d'affari con degli abiti costosi erano in visita nel salotto, dando a Krauss e a Natsuhi un rapporto sui progressi dei loro affari."
,"Spread out on the table were the blueprints and designs for a building, as well as documents related to expenditures and the like, ...so packed that even a tea cup would have gotten in the way. ","Spread out on the table were the blueprints and designs for a building, as well as documents related to expenditures and the like...so packed that even a tea cup would have gotten in the way."," Spread out on the table were the blueprints and designs for a building, as well as documents related to expenditures and the like... so packed that even a tea cup would have gotten in the way.",テーブルの上には、ビルの図面や計画、収支などの資料が広げられ、紅茶のカップさえも邪魔だと言いたげだった。,[=JP],"Разложенные на столе чертежи и проекты зданий, а также документы, связанные с расходами и тому подобным, занимали столько места, что даже чашку чая было некуда поставить.","Espalhadas pela mesa estavam plantas de designs para um prédio, bem como documentos sobre as despesas e coisas similares...tão abarrotada de coisas que mesmo uma xícara de chá ali acabaria atrapalhando.",桌上鋪著大廈藍圖，與計劃、收支等等的資料，就連紅茶茶杯都可以說占地方礙事了。,桌上铺着大厦蓝图，与计划、收支等等的资料，就连红茶茶杯都可以说占地方碍事了。,"Sparsi sul tavolo, vi erano i progetti e i modelli per un palazzo, insieme a documenti legati alle spese e affini... talmente stipati che persino una tazza di tè sarebbe stata d'intralcio."
,"Officially, they were here to give Krauss a progress report, ...but in actuality, Krauss had called them all the way over to Rokkenjima so that Natsuhi could hear from them directly. ","Officially, they were here to give Krauss a progress report, ......but in actuality, Krauss had called them all the way over to Rokkenjima so that Natsuhi could hear from them directly."," Officially, they were here to give Krauss a progress report, ......but in actuality, Krauss had called them all the way over to Rokkenjima so that Natsuhi could hear from them directly.",表向きは蔵臼への進捗報告となっているが、……実際は、蔵臼が夏妃に聞かせるために、彼らをわざわざ六軒島へ招いたのだった。,[=JP],"По официальной версии они были здесь, чтобы отчитаться Крауссу о прогрессе...... но на самом деле приехали на Роккенджиму лично рассказать всё Нацухи.","Oficialmente, eles estavam aqui para informar Krauss sobre o relatório de progresso, ......mas, na verdade, havia sido Krauss quem chamou todos até Rokkenjima para que Natsuhi pudesse ouvir diretamente de suas bocas.",雖然表面上是向藏臼報告進展狀況，……但實際上，是藏臼為了令夏妃聽聽情況，而專程把他們請到六軒島來的。,虽然表面上是向藏臼报告进展状况，……但实际上，是藏臼为了令夏妃听听情况，而专程把他们请到六轩岛来的。,"Ufficialmente, erano là per dare a Krauss un rapporto sui progressi... ma in realtà, Krauss li aveva convocati addirittura su Rokkenjima affinché Natsuhi potesse sentirli direttamente."
,This was because Natsuhi needed to hear someone other than her husband explain what condition their business was in. ,This was because Natsuhi needed to hear someone other than her husband explain what condition their business was in., This was because Natsuhi needed to hear someone other than her husband explain what condition their business was in.,夏妃に、事業がどういう状況にあるのか、蔵臼以外の人間から説明する必要が生じたためである。,[=JP],"Ей нужно было, чтобы кто‐нибудь кроме мужа объяснил ей текущее положение дел.","Isso tudo porque Natsuhi precisava que outra pessoa, além de seu marido, explicasse as condições do negócio que ele estava metido.",而這是因為，產生了需要讓除藏臼外的人給夏妃說明，事業處於怎樣狀況的必要。,而这是因为，产生了需要让除藏臼外的人给夏妃说明，事业处于怎样状况的必要。,"Ciò perché Natsuhi aveva bisogno di sentire qualcun altro, oltre a suo marito, che spiegasse in che condizioni erano i loro affari."
,"...In other words, even though another family conference without Kinzo was approaching, their business had not yet earned them any money. ","......In short, even though another family conference without Kinzo was approaching, their business had not yet earned them any money.",[=UP],……つまり、金蔵不在の親族会議が、再び近付きつつあったにもかかわらず、未だに事業はカネを生み出せずにいたのだ。,[=JP],"......В общем, несмотря на приближение ещё одного семейного собрания без Кинзо, их дела так и не принесли им денег.","......Resumindo, mesmo que outra conferência familiar sem Kinzo estivesse se aproximando, os negócios dele ainda não haviam rendido nenhum tostão.",……這也就代表著，儘管沒有金藏的親族會議再次臨近，可事業卻還沒創造出金錢。,……这也就代表着，尽管没有金藏的亲族会议再次临近，可事业却还没创造出金钱。,"... In pratica, anche se si stava avvicinando un'altra riunione familiare senza Kinzo, i loro affari non avevano procurato loro alcun guadagno."
,"After telling the guests to wait for a short while, Krauss took Natsuhi out into the hall and once again summarized the situation... ","After telling the guests to wait for a short while and make themselves at home, Krauss took Natsuhi out into the hall and once again summarized the situation..."," After telling the guests to wait for a short while, Krauss took Natsuhi out into the hall and once again summarized the situation...",蔵臼は、来客たちにしばしくつろぐように伝えると、廊下に夏妃を連れ出し、状況を再び要約して説明した…。,[=JP],"Сказав гостям немного подождать, Краусс вывел Нацухи в коридор и ещё раз объяснил ситуацию...","Após dizer aos convidados para aguardarem e se sentirem em casa, Krauss levou Natsuhi para fora da sala e mais uma vez resumiu a situação...",藏臼對來客說了“請稍等片刻，不必拘束”，把夏妃帶到了走廊上，簡明扼要地重新說明了遍狀況…。,藏臼对来客说了“请稍等片刻，不必拘束”，把夏妃带到了走廊上，简明扼要地重新说明了遍状况…。,"Dopo aver detto agli ospiti di aspettare per un momento, Krauss portò Natsuhi fuori nell'atrio e riassunse un'altra volta la situazione..."
Ushiromiya Krauss,"""...In short, they say the work is proceeding even better than we imagined. This is where my personal connection to the governor really starts to pay off! By now, it's absolutely impossible for this catch to get away from us. To the contrary, it's growing so big that in one go, we'll be able to regain not just that power of attorney, but everything we've lost up to this point as well!"" ","""......In short, they are saying that the business is proceeding much better than we imagined it would. This is where that personal connection between me and the governor is really starting to pay off! There is no possible way for this catch to get away from us now. To the contrary, it's growing so big that in one go, we'll be able to regain not just that power of attorney, but everything we've lost up to this point as well!""","""......In short, they are saying that the business is proceeding much better than we imagined it would. This is where that personal connection between me and the governor is really starting to pay off! By now, it is certainly impossible for this catch to get away from us. To the contrary, it's growing so big that in one go, we'll be able to regain not just that power of attorney, but everything we've lost up to this point as well!""",「……つまり、我々の想像をはるかに超えて、事業は素晴らしくうまく行っていると彼らは言っているのだ。ここで私と知事との私的なコネクションが大きく利いてきた！　もはや絶対に釣り落とすことはない。それどころか、例の委任状だけでなく、これまでの損失さえも一気に取り戻すことが可能なくらいの大きな話になりつつあるのだ！」,[=JP],"""......Короче говоря, они сказали, что дела продвигаются гораздо лучше, чем мы предполагали. Личная связь между мной и губернатором действительно начинает окупаться! Теперь такой улов ни за что от нас не ускользнёт. Наоборот, он станет настолько крупным, что мы сразу же сможем вернуть не только доверенность, но и всё, что потеряли!""","""......De forma direta, eles estão dizendo que o empreendimento está prosseguindo muito melhor do que o esperado. É aqui que a minha conexão pessoal com o governador começa a mostrar sua eficácia! Não há mais nada que possa fazer isso dar errado agora. Pelo contrário, está crescendo cada vez mais e seremos capazes de, não apenas reavermos a procuração, mas também tudo que perdemos até agora!""",「……總而言之，他們在講的是，遠超我們的想像，事業進行得前景似錦十分順利。在這個階段，我與知事的私交已開始發揮巨大的作用！大魚已經絕對不會溜走。豈止如此，不僅僅是那份委托書，甜頭漸漸地將會大到，連之前的所有損失都有可能一口氣賺回來！」,「……总而言之，他们在讲的是，远超我们的想象，事业进行得前景似锦十分顺利。在这个阶段，我与知事的私交已开始发挥巨大的作用！大鱼已经绝对不会溜走。岂止如此，不仅仅是那份委托书，甜头渐渐地将会大到，连之前的所有损失都有可能一口气赚回来！」,"""... In parole povere, stanno dicendo che gli affari stanno procedendo molto meglio di quanto avevamo immaginato. Ora l'amicizia tra me e il governatore ci sta davvero ripagando! In questo momento, è davvero impossibile che questa possibilità ci sfugga. Al contrario, sta crescendo così tanto che in un sol colpo potremo riottenere non solo quei documenti di procura, ma anche tutto ciò che abbiamo perso sino a questo punto!"""
,Krauss spoke passionately. ,Krauss spoke passionately.,[=UP],蔵臼は熱っぽく語る。,[=JP],Звучно произнёс Краусс.,Krauss falou entusiasmado.,藏臼略顯激動地講著。,藏臼略显激动地讲着。,Krauss parlò ardentemente.
