Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"The Ushiromiya family conference was held once every year, on the first weekend of October. If a normal family were to hold a so-called ""family conference"", ",The Ushiromiya family conference was held once every year.{n}It took place on the first weekend of October.,The Ushiromiya family conference was held once every year. It took place on the first weekend of October.,右代宮家の親族会議は年に一度。１０月の最初の土日に行なわれる。,右代宮家の親族会議は年に一度。{n}１０月の最初の土日に行なわれる。,Собрание семьи Уширомия проводилось раз в год.{n}Обычно оно происходило в конце первой недели октября.,A conferência da família Ushiromiya acontece uma vez por ano.{n}Ela ocorre no primeiro fim de semana de outubro.,右代宮家親族會議每年一次。{n}在十月的第一個周六周日召開。,右代宫家亲族会议每年一次。{n}在十月的第一个周六周日召开。,Pertemuan keluarga Ushiromiya diadakan setahun sekali.{n}Berlangsung di akhir pekan pertama bulan Oktober.,La conferenza della famiglia Ushiromiya si teneva una volta l'anno. Aveva luogo il primo week-end di ottobre.,La riunione di famiglia degli Ushiromiya si svolgeva una volta all'anno. Essa si teneva nel primo fine settimana del mese di Ottobre.,Ushiromiya aile konferansı her yıl bir kez düzenlenir.{n}Ekim ayının ilk hafta sonunda yapılırdı.
,"you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other around buckets of sushi or something. However, part of the family's great fortune had been lent out to Grandfather's children, ","If a normal family were to use a pretentious name like ""family conference"", you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other surrounded by buckets of sushi."," If a normal family were to use a pretentious name like 'family conference', you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other surrounded by buckets of sushi.",世間一般的な家だったら、親族会議なんてもったいぶった名前で呼んだところで、久しぶりに親類が顔を合わせて寿司桶でも囲みながら挨拶する程度だろう。,[=JP],"Если бы обычная семья употребила такое претенциозное словосочетание, как ""собрание семьи"", вы наверняка представили бы себе не более чем встречу редко видевшихся друг с другом родственников, приветствующих друг друга в окружении вёдер с суши.","Se uma família normal usasse um nome pretensioso como ""conferência familiar"", você não esperaria menos de uma reunião com vários parentes, que raramente se encontram, se cumprimentando, rodeados de baldes de sushi.",如果是世間一般的家庭的話，即使是掛著親族會議的名銜，也最多就是和好久不見的親戚們圍著壽司桶寒暄聊個天吧。,如果是世间一般的家庭的话，即使是挂着亲族会议的名衔，也最多就是和好久不见的亲戚们围着寿司桶寒暄聊个天吧。,"Jika keluarga biasa menggunakan nama megah seperti ""konferensi keluarga"", mungkin yang terbayang hanyalah reuni kerabat yang jarang bertemu sambil menyantap sushi.","In una famiglia normale, anche se queste riunioni potrebbero essere chiamate conferenze di famiglia, ci si aspetterebbe che fossero niente più di un ritrovo di parenti che si vedevano raramente che si salutavano l'un l'altro circondati da un sacco di sushi.","In una famiglia qualsiasi, se si chiamasse una cosa del genere col nome altisonante di ‘riunione di famiglia’, ci si aspetterebbe un ritrovo tra parenti che non si vedono da tanto tempo, e che portano dei contenitori di sushi in segno di ospitalità.","Eğer normal bir aile ""aile konferansı"" gibi iddialı bir isim kullansaydı, bunun, nadiren bir araya gelen akrabaların birbirlerini kovalar dolusu suşi eşliğinde selamlamasından başka bir şey olmamasını beklersiniz."
,"and no one in this family was considered an adult until they had met with success in business, so this meeting literally was a conference. ","However, in the Ushiromiya family, where the sons and siblings are lent great fortunes, and only those that achieve success in business are considered adults, it literally was a conference."," However, because the sons and siblings had been lent a great fortune, in the Ushiromiya family, which considers only those that achieve success in business adults, it literally was a conference.",しかし、莫大な資産の一部を息子兄弟に貸し出し、事業的な成功を以って一人前と見なそうという右代宮家では、それは文字通り会議であったという。,[=JP],"Однако поскольку братьям и сёстрам было предоставлено огромное состояние, для семьи Уширомия, в которой взрослыми считали добившихся коммерческого успеха, это было собранием семьи в прямом смысле.","No entanto, na família Ushiromiya, onde os filhos e irmãos, que recebem grandes fortunas, e apenas aqueles que alcançaram o sucesso nos negócios são considerados adultos, é literalmente uma conferência.",可是，對於把巨額的資產借貸給兒女們，讓他們藉著事業成功來獲取榮耀的右代宮家來說，這就和字面意思一樣真的是會議。,可是，对于把巨额的资产借贷给儿女们，让他们藉着事业成功来获取荣耀的右代宫家来说，这就和字面意思一样真的是会议。,"Tapi bagi keluarga Ushiromiya, di mana putra-putranya diberi pinjaman modal besar, dan hanya yang sukses dalam bisnis dianggap dewasa, ini benar-benar sebuah konferensi serius.","Tuttavia, dal momento che a figli e fratelli era stata prestata una grande fortuna, per la famiglia Ushiromiya, che considera adulto soltanto chi raggiunge il successo negli affari, era letteralmente una conferenza.","Tuttavia, ai figli maschi era stata prestata una porzione di un grande patrimonio, e per la famiglia Ushiromiya, che considera adulto chi raggiunge il successo affaristico, questa era una riunione nel senso letterale del termine.","Ancak, oğullara ve kardeşlere büyük servetlerin ödünç verildiği, ve sadece iş hayatında başarıya ulaşanların yetişkin olarak kabul edildiği Ushiromiya ailesinde bu tam anlamıyla bir konferanstı."
,How much of the fortune was invested? What sort of business was conducted? How much profit was earned? ,How much of the fortune was invested? What kind of business was conducted? How much was earned?, How much of the fortune was invested? What kind of business was conducted? How much was earned? ,どれほどの資産を投じて、どのような事業を行い、どれほどの収益を上げたのか。,[=JP],Сколько состояния было вложено? В какой области бизнеса? Какие сделки были заключены? Сколько было заработано?,O quanto de dinheiro foi investido? Que tipos de negócios estão sendo realizados? Quanto foi ganho?,投入了多少資產，做了什麼事業，獲得了多少收益。,投入了多少资产，做了什么事业，获得了多少收益。,Berapa banyak modal yang diinvestasikan? Bisnis apa yang dijalankan? Berapa keuntungannya?,Che quantità di ricchezze era stata investita? Che tipo di business veniva condotto? Quanto era stato guadagnato?,"Quanti asset erano stati investiti, quali progetti erano stati intrapresi, e quanti ricavi erano stati incassati?",Servetin ne kadarı kullanıldı? Ne tür bir iş yapıldı? Ne kadar kazanıldı?
,"As a result, how much of the fortune borrowed from the main family could be repaid? Or, possibly, how much more would be borrowed for future business ventures? What lessons had they learned, and what could they learn from their mistakes? ","As a result, how much of the fortune borrowed from the main family could be repaid?{n}Or, alternatively, how much would be borrowed for future business ventures?{n}What lessons had they learned, and what could they learn from their mistakes?","As a result, how much of the fortune borrowed from the main family can be repaid? Or, possibly, how much will be borrowed for future business ventures? What lessons have they learned, and what could they learn from their mistakes? ",その結果、本家より借りた資産をどれだけ返済できるのか。あるいは、さらなる事業のためにどれだけを借りるのか。どのようなことが教訓となり、どのようなことから失敗が学べるのか。,その結果、本家より借りた資産をどれだけ返済できるのか。{n}あるいは、さらなる事業のためにどれだけを借りるのか。{n}どのようなことが教訓となり、どのようなことから失敗が学べるのか。,"И, как результат, сколько из взятого у главной семьи состояния можно было вернуть и возместить?{n}Или, как вариант, сколько из состояния можно было позаимствовать на будущие рискованные предприятия?{n}Чему они научились и какие уроки извлекли из своих ошибок?","Como resultado, quanto da fortuna emprestada pela família principal pode ser reembolsada?{n}Ou, ao invés disso, quanto pode ser emprestado para futuros negócios arriscados?{n}Que tipo de lições eles aprenderam e o que eles poderiam aprender como os seus erros?",結果又能返還多少本家借與的資產。{n}或者為了新的事業要再借多少。{n}從什麼樣的事情上吸取了教訓，從什麼樣的失敗中學到了什麼。,结果又能返还多少本家借与的资产。{n}或者为了新的事业要再借多少。{n}从什么样的事情上吸取了教训，从什么样的失败中学到了什么。,"Dan yang terpenting, berapa banyak pinjaman dari keluarga utama yang bisa dilunasi?{n}Atau sebaliknya, berapa tambahan modal yang akan dipinjam untuk bisnis selanjutnya?{n}Pelajaran apa yang didapat, dan bagaimana memperbaiki kesalahan?","Come risultato, quanto della fortuna prestata dalla famiglia poteva essere ripagata? O, possibilmente, quanto verrà preso in prestito per future imprese affaristiche? Che lezioni avevano imparato, e cos'avevano capito dai loro errori?","E in base a ciò, quante somme della fortuna prestata dal ramo principale potevano essere ripagate? O eventualmente, quanto andava prestato per ulteriori progetti? Che lezioni avevano imparato, e cos'avevano appreso dai loro errori?","Sonuç olarak, baş aileden ödünç alınan servetin ne kadarı geri ödenebilirdi?{n}Ya da alternatif olarak, gelecekteki iş girişimleri için ne kadar borç alınabilirdi?{n}Ne gibi dersler almışlardı ve hatalarından ne öğrenebilirlerdi?"
,It seems that topics like these were discussed very seriously in the past. ,It seems that topics like these had been discussed very seriously in the past.,[=UP],そういうことをかつては大真面目に会議をしていたらしい。,[=JP],"По‐видимому, подобные проблемы очень серьёзно обсуждались в прошлом.",Parece que esse tipo de assunto foi muito discutido no passado.,似乎從前，它就是這樣一個一本正經地討論以上內容的會議。,似乎从前，它就是这样一个一本正经地讨论以上内容的会议。,"Dulu, topik-topik seperti ini dibahas dengan sangat serius.",Sembrava che argomenti del genere erano stati discussi molto seriamente in passato.,Pare che un tempo si tenessero delle riunioni incredibilmente serie a riguardo.,Görünüşe göre bu gibi konular geçmişte çok ciddi bir şekilde tartışılmıştı.
,My dad said it was like lying on a bed of nails. ,My dad called it a bed of nails., My dad called it a bed of nails.,それを指して親父は、針のむしろと呼んでいた。,[=JP],Мой отец отзывался об этом как о хождении босиком по битому стеклу.,Meu pai chama isso de uma cama de pregos.,我爸曾把它比為如坐針氈。,我爸曾把它比为如坐针毡。,"Ayahku menyebutnya ""ranjang paku"".",Mio Papà l'aveva chiamato un letto di chiodi.,"Il mio vecchio, riferendosi ad esse, le aveva paragonate ad un letto di chiodi.",Babam buna çivi yatağı derdi.
,"Apparently, it used to be a very serious family meeting, where people were bathed in scornful and angry voices, and some people even got slapped despite their age. ","Apparently, it used to be a very serious family meeting, where one would commonly be showered with harsh and angry voices, and even get slapped in the face despite being well past the age for it."," Apparently, it used to be a very serious family meeting, bathed in harsh and angry voices. Even on a good year, it was common for someone to get slapped.",相当厳しい親族会議だったらしく、罵声や怒声が次々と浴びせられ、いい年にもなって平手打ちをもらうこともざらだったらしい。,[=JP],"Судя по всему, это собрание семьи было очень серьёзным, на котором голоса звучали резко и сердито. Даже в удавшиеся годы схлопотать для кого‐то пощёчину было обычным делом.","Aparentemente, costumava ser um encontro familiar muito sério, onde era comum ser afrontado com duras palavras e vozes ríspidas, e também levar tapas na cara, apesar de já terem passado da idade para isso.",那時的親族會議好像進行得很激烈，要接連忍受罵聲和喊聲的沖刷，即使是年紀不小的人也經常會挨巴掌。,那时的亲族会议好像进行得很激烈，要接连忍受骂声和喊声的冲刷，即使是年纪不小的人也经常会挨巴掌。,"Katanya dulu pertemuan keluarga ini sangat menegangkan, penuh teriakan marah, bahkan tamparan meski usianya sudah bukan anak kecil lagi.","Apparentemente, era solito essere una riunione di famiglia molto seria, immersa in voci dure e adirate. Anche in un buon anno, era cosa comune che qualcuno venisse schiaffeggiato.","Apparentemente erano delle riunioni di famiglia piuttosto accese, dove piovevano insulti e urli di rabbia uno dopo l'altro, e a prescindere dalla propria età, era comune ricevere degli schiaffi.","Görünüşe göre, eskiden çok ciddi bir aile konferansıymış ve bu konferansta genellikle sert ve öfkeli sesler duyulur, hatta tokat yiyecek yaşı geçmiş olmasına rağmen tokatlar bile atılırmış."
,"However, that had become a thing of the past. ","However, that was all a thing of the past."," However, that had become a thing of the past.",ただ、それも今では昔のこと。,[=JP],Однако всё это осталось в прошлом.,"No entanto, todas essas coisas ficaram no passado.",只是，對現在來說那都是過去的事了。,只是，对现在来说那都是过去的事了。,Tapi itu semua sudah jadi masa lalu.,"Tuttavia, era divenuta una cosa del passato.",Ma oramai faceva tutto parte del passato.,Ancak bunların hepsi geçmişte kaldı.
,"Now, with everyone pursuing their own business ventures and achieving success, it was becoming more of a normal yearly get-together. ","By now, everyone had achieved success in their own independent business ventures, and it was on the road to becoming a normal yearly get‐together."," Now, with everyone pursuing their own business ventures and achieving success, it was a normal yearly get-together.",皆がそれぞれに事業家として成功を収めた今では、世間一般的な、年に一度の挨拶的な会合になりつつあった。,[=JP],"Теперь же, когда все вели собственный бизнес и добились успеха, этому ежегодному слёту полагалось стать нормальным.","Atualmente, todos alcançaram o sucesso em seus próprios negócios, de forma independente, e esse foi um dos caminhos para transformar isto apenas em um encontro anual normal.",在大家都事業有成的今天，它漸漸變成了和普通家庭一樣，一年一度的大家聊聊天的聚會。,在大家都事业有成的今天，它渐渐变成了和普通家庭一样，一年一度的大家聊聊天的聚会。,"Sekarang, masing-masing sudah sukses dengan bisnisnya sendiri, dan acara ini mulai berubah menjadi sekadar kumpul-keluarga tahunan biasa.","Ora, dato che tutti stavano seguendo i loro affari e raggiungendo il successo, era una normale rimpatriata annuale.","Ora che tutti loro avevano raggiunto il successo in quanto uomini d'affari, stava diventando una normale rimpatriata annuale.","Şimdiye kadar herkes kendi bağımsız iş girişimlerinde başarıya ulaşmıştı, ve her yıl yapılan normal bir buluşma olma yolunda ilerliyordu."
,"Even so, telling Grandfather about recent events was extremely stressful, so while it was nothing more than a simple get-together for us grandchildren, it was still a real stomachache for our parents. ","Even so, being asked by Grandfather about the current state of play was an extremely stress‐inducing event, and while to us grandchildren it was nothing more than a simple meeting, to our parents it was still a real stomachache."," Even so, hearing about Grandfather's condition caused a significant amount of stress, so while to us grandchildren it was nothing more than a simple meeting, to our parents it was still a real stomachache.",それでも、祖父さまに近況を聞かれるのは非常にストレスになることで、俺たち孫にとっては単なる会合に過ぎなくても、親たち息子にとっては今でも胃が痛む会合らしい。,[=JP],"Однако весть о состоянии дедушки заставила изрядно поволноваться заинтересованных лиц. Поэтому если для нас, внуков, это было простым собранием, то для наших родителей это была настоящая головная боль.","Mesmo assim, perguntar ao nosso avô sobre o estado das coisas era um evento extremamente estressante, e para nós, os netos, não é nada mais do que um encontro normal, já para os nossos pais é como uma dor de estômago.",儘管如此，被爺爺問到近況時我爸他們還是會綳緊神經。雖然對我們孫輩來說是愉快的聚會，但對我爸那輩來說，它似乎仍是個讓人緊張到胃疼的會議。,尽管如此，被爷爷问到近况时我爸他们还是会绷紧神经。虽然对我们孙辈来说是愉快的聚会，但对我爸那辈来说，它似乎仍是个让人紧张到胃疼的会议。,"Meski begitu, dimintai pertanggungjawaban oleh Kakek tetap menjadi momen yang membuat deg-degan, jadi meski bagi kami cucu-cucunya ini hanya pertemuan biasa, bagi orang tua kami ini masih seperti sakit perut.","Eppure, venire a conoscenza delle condizioni del Nonno aveva causato una significativa quantità di stress, quindi mentre per noi nipoti non era altro che un semplice incontro, ai nostri genitori faceva ancora venire un vero mal di pancia.","Eppure, venire a conoscenza delle condizioni attuali del nonno era una notizia che per loro fu fonte di enorme stress, e anche se per noi nipoti non era altro che un semplice ritrovo, per i nostri genitori era ancora una riunione che faceva venire loro il mal di stomaco.","Yine de, Büyükbabamızın oyunun mevcut durumu hakkında soru sorması son derece stres yaratan bir olaydı, ve biz torunlar için basit bir konferanstan başka bir şey olmasa da, ebeveynlerimiz için hala gerçek bir karın ağrısıydı."
,"The absence of the man who was the source of all this trouble, regardless of the reason, probably made today's lunch taste much more delicious. ","The absence of the man responsible for all this, whatever the reason behind it, must surely have made today's lunch even more delicious."," I guess that since the ringleader was absent for various reasons, today's lunch was even more delicious.",その張本人が、理由はどうあれこうして欠席してくれているのだから、さぞかし今日のランチは美味だったことだろう。,[=JP],"Поэтому отсутствие по многим причинам ""высшего начальства"" делало еду лишь вкуснее.","A ausência do homem responsável por tudo isso, seja qual for a razão, deve fazer o almoço ficar ainda mais delicioso.",那位罪魁禍首是因何故而缺席也無所謂了，但想必這一點，肯定讓今天的午飯變美味了許多。,那位罪魁祸首是因何故而缺席也无所谓了，但想必这一点，肯定让今天的午饭变美味了许多。,"Ketidakhadiran sang biang keladi, apapun alasannya, pasti membuat makan siang hari ini terasa lebih nikmat.","Immagino che dato che il capofamiglia era assente per varie ragioni, il pranzo di oggi fosse ancora più delizioso.","Considerando che il diretto interessato per qualche ragione era assente, il pranzo di oggi era senz'altro risultato delizioso.","Tüm bunlardan sorumlu olan adamın yokluğu, sebebi her ne olursa olsun, bugünkü öğle yemeğini daha da lezzetli hale getirmiş olmalı."
,"The phrase ""While the demon is not around, everyone can relax"" comes to mind. ","The phrase ""when the cat is away, the mice will play"" comes to mind."," The phrase 'while the demon is not around, everyone can relax' comes to mind.",鬼の居ぬ間にとはよく言ったものだ。,[=JP],"Как тут не вспомнить поговорку ""Кот из дому, мыши — в пляс"".","A frase ""quando os gatos saem, os ratos fazem a festa"" veio à minha mente.",這就如同那句老話，閻王不在小鬼鬧翻天啊。,这就如同那句老话，阎王不在小鬼闹翻天啊。,"Seperti pepatah ""tiada harimau, monyet berkuasa"".","Viene in mente la frase ‘quando il gatto non c'è, i topi ballano’.",Spesso si dice che quando il gatto non c'è...,"Aklıma ""kedi uzaktayken fareler oynar"" deyimi geliyor."
,"Anyway, let's introduce Jessica's father, whose face I haven't seen for six years. ","Well then, let me introduce Jessica's father, whose face I haven't seen for six years."," Well then, let's introduce Jessica's father, whose face I hadn't seen for six years.",さて、６年ぶりに顔を見る、朱志香の父親についても紹介しておこう。,[=JP],"Что ж, давайте начнём с представления отца Джессики, лица которого я не видел шесть лет.","Bem, deixe‐me apresentar o pai da Jessica, o qual eu não vi durantes os últimos seis anos.",接下來就介紹下這位，六年不見的朱志香的父親吧。,接下来就介绍下这位，六年不见的朱志香的父亲吧。,"Nah, sekarang perkenalkan ayah Jessica yang sudah enam tahun tidak kulihat.","Bene allora, presentiamo il Padre di Jessica, il cui volto non vedo da sei anni.","Dunque, presentiamo anche il padre di Jessica che non vedo da sei anni.",O zaman sizi Jessica'nın altı yıldır yüzünü görmediğim babasıyla tanıştırayım.
,"The man sitting to my father's left is his older brother and Jessica's father, Uncle {p:0:蔵臼}. ","The man sitting to my dad's left is his older brother and the father of Jessica, Uncle {p:0:蔵臼}."," The man sitting to my father's left was his older brother and the father of Jessica, {p:0:蔵臼} oji-san.",うちの親父の左に座っているのが、親父の兄貴に当たり、朱志香の父親でもある蔵臼伯父さん。,[=JP],"Мужчина, сидящий слева от моего отца, был его старшим братом и отцом Джессики. Дядя {p:0:蔵臼}.","É o homem sentado ao lado esquerdo do meu pai, seu irmão mais velho e o pai da Jessica, tio {p:0:蔵臼}.",坐在我爸左邊的，是我爸的哥哥，朱志香的父親{ruby:Krauss:藏臼}伯父。,坐在我爸左边的，是我爸的哥哥，朱志香的父亲{ruby:Krauss:藏臼}伯父。,"Pria di sebelah kiri ayahku adalah kakaknya sekaligus ayah Jessica, Paman {p:0:蔵臼}.","L'uomo seduto alla sinistra di mio Padre è suo fratello maggiore e il Padre di Jessica, {p:0:蔵臼} oji-san.","L'uomo che è seduto alla sinistra del mio vecchio è suo fratello maggiore, nonché il padre di Jessica, lo zio Klaus ({ruby:Kurausu:{p:0:蔵臼}})...","Babamın solunda oturan adam onun ağabeyi ve Jessica'nın babası, {p:0:蔵臼} Amca."
,......This name sure is easy to read. Krauss ({p:0:蔵臼}). ,......This name sure is easy to read. Krauss ({p:0:蔵臼}).,[=UP],……これは読みやすいな。蔵臼で“クラウス”と読む。,[=JP],"......Вот уж имя, которое прочитать можно без труда. Краусс ({p:0:蔵臼}).",......Esse nome com certeza é fácil de se ler. Krauss ({p:0:蔵臼}).,……這個名字倒是好念啊。藏臼，念“Krauss”庫拉烏斯。,……这个名字倒是好念啊。藏臼，念“Krauss”库拉乌斯。,......Namanya mudah dibaca ya. Krauss ({p:0:蔵臼}).,... Questo nome di sicuro è facile da leggere. Krauss ({p:0:蔵臼}).,Questo è facile da leggere. Si pronuncia ‘Klaus’.,......Bu ismi okumak çok kolay. Krauss ({p:0:蔵臼}).
