Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"After putting Ange to sleep in the parlor, Genji and the others returned. ","After putting Ange to sleep in the parlor, Genji and the others returned.",[=UP],縁寿を客間に寝かせ、源次たちが戻ってくる。,[=JP],"Оставив Энджи спать в гостиной, вернулись Генджи и остальные.","Após colocar Ange para dormir na sala de visitas, Genji e os demais retornaram.",讓緣壽在客廳睡下，源次他們回到了派對上。,让缘寿在客厅睡下，源次他们回到了派对上。,"Dopo aver portato Ange a dormire in salotto, Genji e gli altri tornarono."
Ushiromiya Battler,"""Thanks. Was she sleeping well...?"" ","""Thanks. Was she sleeping well...?""",[=UP],「ありがとう。よく眠ってたか…？」,[=JP],"""Спасибо. Она хорошо спит?..""","""Obrigado. Ela está dormindo bem...?""",「謝謝。她睡得好麼…？」,「谢谢。她睡得好么…？」,"""Grazie. Stava dormendo bene...?"""
Ronoue Genji,"""Yes. She is sleeping peacefully."" ","""Yes. She is sleeping peacefully.""",[=UP],「はい。よくお休みになっております。」,「はい。よくお休みになっております」,"""Да. Она спит мирным сном.""","""Sim. Está dormindo tranquilamente.""",「是的。睡得十分香甜。」,[=CHT],"""Sì. Stava dormendo tranquillamente."""
{f:5:Beatrice},"""The noise from here won't reach the parlor, right...?"" ","""The noise from here won't reach the parlor, right...?""",[=UP],「ここでの騒ぎは、客間へは届かぬか…？」,[=JP],"""Шум отсюда ведь не дойдёт до гостиной?..""","""O barulho daqui não chega até a sala de visitas, né...?""",「這裡的喧鬧，不會傳到客廳去吧…？」,「这里的喧闹，不会传到客厅去吧…？」,"""Il rumore da qui non raggiungerà il salotto, giusto...?"""
Shannon,"""That's right. The door is closed, so I don't think it will reach."" ","""That's right. The door is closed, so I don't think it will reach.""",[=UP],「はい。扉も閉めておりますし、客間には届かないと思います。」,「はい。扉も閉めておりますし、客間には届かないと思います」,"""Нет. Дверь закрыта, так что вряд ли.""","""Não. A porta está fechada, por isso acredito que não chegará.""",「不會。門已經關好了，應該不會傳到客廳。」,「不会。门已经关好了，应该不会传到客厅。」,"""Sì. La porta è chiusa, quindi non penso che arrivi."""
Ushiromiya Battler,"""......Ange, sweet dreams."" ","""............Ange. Sweet dreams.""",""".........Ange. Sweet dreams.""",「…………縁寿。いい夢、見ろよ。」,「…………縁寿。いい夢、見ろよ」,""".........Энджи. Сладких снов.""","""............Ange. Tenha bons sonhos.""",「…………緣壽。做個好夢。」,「…………缘寿。做个好梦。」,"""... Ange. Sogni d'oro."""
{f:5:Beatrice},"""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after-partyyyy!!"" ","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after‐partyyyy!!""","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after-partyyyy!!""",「さぁって！！　しんみりしたお別れ会はこれまでであるぞ！　さぁここからは盛大に行こうぞ、二次会だぁあああーッ！！」,[=JP],"""Ну что же! Достаточно торжественных прощаний! Начнём великолепный праздник, который у нас идёт по плану после вечери‐и‐инки!""","""Muito bem!! Chega de despedidas solenes! Vamos dar início às magníficas festividades que planejamos para o pós‐festaaaaaa!!""",「接下來！！沉靜的告別會就到此為止！從現在開始就是盛大的二次聚會啦————！！」,「接下来！！沉静的告别会就到此为止！从现在开始就是盛大的二次聚会啦————！！」,"""Bene allora!! Basta con gli addii solenni! Iniziamo i grandi festeggiamenti progettati per il dopo festaaaaaa!!"""
,"When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant. ","When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant.",[=UP],ベアトが頭の上で、パーンと威勢良く手を叩くと、ホールが真っ白に瞬き、あっという間に様変わりする。,[=JP],"Когда Беато громко хлопнула в ладоши над головой, зал ярко вспыхнул, и весь его внешний вид тут же изменился.","Quando Beato bateu palmas acima de sua cabeça, para que todos a ouvissem, um flash branco tomou conta do hall e toda a sua aparência mudou em instantes.",貝阿朵在頭上威風地拍了下掌，大廳就隨著白色的閃光一起，瞬間變了模樣。,贝阿朵在头上威风地拍了下掌，大厅就随着白色的闪光一起，瞬间变了模样。,"Quando Beato batté le mani sulla sua testa, un lampo bianco riempì la sala, e questa cambiò subito aspetto."
,"The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere. ","The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere."," The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere.",ホールは黄金の蝶たちが飛び交い金箔を撒き散らす、黄金のパーティー会場に変わった。,[=JP],Зал превратился в помещение для золотой вечеринки с порхающими золотыми бабочками и кружащими повсюду золотыми лепестками.,"O hall foi transformado em um salão de festas de ouro, com borboletas douradas esvoaçando ao redor e pétalas de ouro dançando por todo lado.",大廳內，金色的蝴蝶們撒著金箔四處飛舞，大廳變成了黃金的宴會會場。,大厅内，金色的蝴蝶们撒着金箔四处飞舞，大厅变成了黄金的宴会会场。,"La sala si era trasformata in un salone per le feste dorato, con farfalle dorate che volavano e foglie dorate danzanti ovunque."
Ushiromiya Kinzo,"""Yes, the true party shall now begin!"" ","""Yes, the true party shall begin now!""",[=UP],「さぁ、ここからは賑やかに行こうではないか！」,[=JP],"""Да, настоящая вечеринка начнётся сейчас!""","""Sim, é agora que a festa começa pra valer!""",「來吧，從現在起就辦得熱鬧起來！」,「来吧，从现在起就办得热闹起来！」,"""Sì, la vera festa inizia ora!"""
Ushiromiya Battler,"""You said it! Okay, the anti-magic toxin is totally gone!! Everyone, come on in! The party after the show is about to start!!"" ","""You said it! Okay, the anti‐magic toxin is totally gone!! Everyone, come on in! The party after the show is about to start!!""","""You said it! Okay, the anti-magic toxin is totally gone!! Everyone, come on in! The party after the show is about to start!!""",「そういうことだな！　さぁ、もう反魔法の毒素は一切なしだぜ！！　みんな、入ってきてくれ！　俺たちのお疲れ様パーティーの始まりだぜィ！！」,[=JP],"""Именно! Что ж, отрицающий магию токсин исчез! Заходите! Вечеринка после шоу вот‐вот начнётся!""","""Isso aí! Beleza, toda toxina antimagia se foi!! Pessoal, apareçam!! O pós‐festa vai começar!!""",「就是這樣！現在反魔法毒素已經全都沒有了！！大家，都進來吧！屬於我們的慰勞會開始了！！」,「就是这样！现在反魔法毒素已经全都没有了！！大家，都进来吧！属于我们的慰劳会开始了！！」,"""L'hai detto! Ok, la tossina anti-magia è completamente svanita!! Entrate tutti! Sta per iniziare la festa dopo lo spettacolo!!"""
,"With a burst of applause and cheering, a tornado of gold butterflies rose up in the center of the room. ","With a burst of applause and cheering, a tornado of gold butterflies rose up in the center of the room.",[=UP],盛大な拍手と歓声とともに、ホール内に黄金の蝶の旋風が吹き抜ける。,[=JP],С громом аплодисментов и криков в центре зала поднялось торнадо золотых бабочек.,"Com uma explosão de aplausos e muita energia, um tornado de borboletas douradas surgiu no centro do saguão.",同盛大的拍手和歡呼聲一起，大廳內吹起了黃金之蝶的旋風。,同盛大的拍手和欢呼声一起，大厅内吹起了黄金之蝶的旋风。,"Tra grandi urla e applausi, un tornado di farfalle dorate si levò al centro della stanza."
,"By the time it passed, the number of faces had grown significantly. ","By the time it passed, the number of faces had grown significantly."," By the time it passed, the number of faces had grown significantly.",その後には、大勢の顔が増えていた。,[=JP],"К тому времени, как оно рассеялось, число лиц значительно возросло.","Com o passar do tempo, o número de rostos presentes foi aumentando significativamente.",在那之後，出現了許多的新面孔。,在那之后，出现了许多的新面孔。,"Quando svanì, il numero dei presenti era aumentato di parecchio."
{f:5:Virgilia},"""Let the witch of the future find happiness. And let us of the past be rewarded for our efforts, yes?"" ","""Let the witch of the future find happiness. And let us of the past be rewarded for our efforts, right?""",[=UP],「未来の魔女に幸あらんことを。そして過去の私たちには労いを、ですね。」,「未来の魔女に幸あらんことを。そして過去の私たちには労いを、ですね」,"""Пусть ведьма будущего обретёт счастье. И пусть мы из прошлого будем вознаграждены за свои усилия.""","""Deixe que a bruxa do futuro encontre a felicidade. E permita que nós do passado sejamos recompensados por nossos esforços, não é mesmo?""",「願未來的魔女得到幸福。以及過去的我們辛苦了，是吧？」,「愿未来的魔女得到幸福。以及过去的我们辛苦了，是吧？」,"""Lasciamo che la strega del futuro trovi la felicità. E che noi del passato veniamo ricompensati per i nostri sforzi, giusto?"""
Ronove,"""Indeed. Let us enjoy ourselves as well."" ","""Indeed. Let us enjoy ourselves as well.""",[=UP],「でございますな。今宵は我等も楽しませていただきましょう。」,「でございますな。今宵は我等も楽しませていただきましょう」,"""Именно. Давайте тоже насладимся.""","""Precisamente. Vamos nos divertir pra valer.""",「如您所說。今宵我等就盡情歡樂吧。」,「如您所说。今宵我等就尽情欢乐吧。」,"""Certamente. Divertiamoci anche noi."""
{f:5:Beatrice},"""Come on, haven't we been enjoying ourselves the whole time?!"" ","""Come on, haven't we been enjoying ourselves the whole time?!""",[=UP],「今宵に限らず、いつも楽しんでおったではないか！」,[=JP],"""Да ладно, разве мы всё это время не наслаждались?!""","""Poxa, nós já não estávamos nos divertindo o tempo todo?!""",「不限於今夜，是要永遠都這樣歡樂下去！！」,「不限于今夜，是要永远都这样欢乐下去！！」,"""Avanti, non ci siamo divertiti per tutto il tempo?!"""
Ronove,"""Pu ku ku ku. In this world, the one who enjoys the most is the true winner."" ","""Pu ku ku ku. In this world, the one who enjoys the most is the true winner.""",[=UP],「ぷっくっくっく。世の中、万事は楽しんだもの勝ちでございますよ。」,「ぷっくっくっく。世の中、万事は楽しんだもの勝ちでございますよ」,"""Пу‐ку‐ку‐ку. В этом мире истинный победитель — тот, кто наслаждается больше.""","""Pu ku ku ku. Neste mundo, aquele que mais se diverte é o verdadeiro vencedor.""",「噗呵呵呵。在世間，萬事都是樂觀者勝啊。」,「噗呵呵呵。在世间，万事都是乐观者胜啊。」,"""Pu ku ku ku. In questo mondo, colui che si diverte di più è il vero vincitore."""
{f:5:Virgilia},"""Come, let's have the Seven Sisters over here too."" ","""Come, let's have the Seven Sisters over here too.""",[=UP],「さぁ、七姉妹もいらっしゃい。」,「さぁ、七姉妹もいらっしゃい」,"""Ну же, пусть присоединятся и Семь сестёр.""","""Vamos, venham, Sete Irmãs.""",「來，七姐妹也出來。」,「来，七姐妹也出来。」,"""Avanti, facciamo venire anche le Sette Sorelle."""
Lucifer,"""The Seven Sisters of Purgatory, right here!!"" ","""The Seven Sisters of Purgatory, right here!!""",[=UP],「煉獄の七姉妹、ここにッ！！」,[=JP],"""Семь сестёр чистилища на месте!""","""Sete Irmãs do Purgatório, aqui estamos!!""",「煉獄七姐妹，在此！！」,「炼狱七姐妹，在此！！」,"""Sette Sorelle del Purgatorio, presenti!!"""
Leviathan,"""I can't believe the game's finally over! Waaah!"" ","""I can't believe the game is finally over! Waaah!""",[=UP],「もうこれでゲームが終わりなんてぇ！　うわあん！」,[=JP],"""Поверить не могу, что игра наконец закончилась! Ува‐а‐а!""","""Não consigo acreditar que o jogo acabou! Waaah!""",「這樣遊戲就都結束了嗎！嗚哇！」,「这样游戏就都结束了吗！呜哇！」,"""Non riesco a credere che questo gioco sia finalmente finito! Waaah!"""
Satan,"""What do you think you're doing, crying at the after-party?! You little crybaby!"" ","""What do you think you're doing, crying at the after‐party! You little crybaby!""","""What do you think you're doing, crying at the after-party! You little crybaby!""",「二次会で泣かないの、もうッ。この泣き虫！」,[=JP],"""Не рыдай на празднике после вечеринки! Плакса!""","""Poxa, não é pra chorar no pós‐festa! Sua chorona!""",「在二次聚會就別哭啦，真是的。你這愛哭鬼！」,「在二次聚会就别哭啦，真是的。你这爱哭鬼！」,"""Cosa pensi di fare, piangendo al dopo festa! Piccola piagnucolona!"""
Belphegor,"""Lord {f:5:Battler}, {f:5:Beatrice}-sama, thank you for the invitation!"" ","""Lord {f:5:Battler}, {f:5:Beatrice}‐sama, thank you for the invitation!""","""Lord BATTLER, Beatrice-sama, thank you for the invitation!""",「バトラ卿、ベアトリーチェさま、お招きを感謝します！」,[=JP],"""Лорд {f:5:Баттлер}, госпожа {f:5:Беатриче}, спасибо за приглашение!""","""Lorde {f:5:Battler}, {f:5:Beatrice}‐sama, muito obrigada pelo convite!""",「巴托拉卿，貝阿朵莉切夫人，感謝您們的招待！」,「巴托拉卿，贝阿朵莉切夫人，感谢您们的招待！」,"""Lord BATTLER, Beatrice-sama, grazie per l'invito!"""
Mammon,"""I wanna see six-year-old Ange-sama's sleeping face and have it all to myself!"" ","""I wanna see six‐year‐old Ange‐sama's sleeping face and have it all to myself!""","""I wanna see six-year-old Ange-sama's sleeping face and have it all to myself!""",「６歳の縁寿さまの寝顔、ひとり占めしたぁい！」,[=JP],"""Хочу увидеть спящее лицо шестилетней госпожи Энджи и забрать его себе!""","""Eu quero ver o rostinho da Ange‐sama de seis anos e tê‐la só pra mim!""",「6 歲的緣壽小姐的睡臉，真想獨佔啊！」,「6 岁的缘寿小姐的睡脸，真想独占啊！」,"""Voglio vedere la faccia di Ange-sama a sei anni che dorme e tenerla tutta per me!"""
Beelzebub,"""I wanna see the food and have it all to myself!!"" ","""I wanna see the food and have it all to myself!!""",[=UP],「私はお料理ぜぇんぶ、ひとり占めしたぁい！！」,[=JP],"""Хочу увидеть еду и забрать её себе!""","""Eu quero ver a comida e ficar com ela só pra mim!!""",「我要獨佔所有的料理！！」,「我要独占所有的料理！！」,"""Voglio vedere il cibo e tenerlo tutto per me!!"""
Asmodeus,"""Then I want a hot guy to have all to myself!!"" ","""Then I wanna see a good man and have him all to myself!!""",[=UP],「じゃあ私はいい男をぜぇんぶひとり占めぇ！！」,[=JP],"""Тогда я хочу встретить хорошего парня и забрать его себе!""","""E eu quero ver um bom homem e ter ele todinho só pra mim!!""",「那我就去獨佔所有的好男人！！」,「那我就去独占所有的好男人！！」,"""Allora io voglio vedere un bell'uomo e tenerlo tutto per me!!"""
{f:5:Beatrice},"""Why are you clinging to Battler when you say that?! Stop, thief!"" ","""Why are you clinging to Battler when you say that?! Stop, thief!""",[=UP],「そこでなぜ戦人にしがみつくッ！　離れんか、泥棒猫！」,[=JP],"""Почему ты цепляешься за Баттлера, говоря это?! Прекрати, воровка!""","""Por que está dizendo isso enquanto se enrosca no Battler?!{n}Solta ele, destruidora de lares!""",「那邊的為什麼粘上戰人！放手，你個小狐狸精！」,「那边的为什么粘上战人！放手，你个小狐狸精！」,"""Perché ti appendi a Battler quando lo dici?! Fermati, ladra!"""
