Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"The cousins walked along the beach, playing in all kinds of ways. ","The cousins walked along the water's edge, playing.","The cousins walked along the beach, playing.",いとこたちは、波打ち際を散歩しながら、色々と遊んだ。,[=JP],"Кузены шли вдоль пляжа, играя.","Os primos caminharam juntos pela costa, se divertindo.",堂兄妹們在沙灘散步的時候，玩了許多遊戲。,堂兄妹们在沙滩散步的时候，玩了许多游戏。,"I cugini camminavano lungo la spiaggia, giocando."
,"They searched for bits of glass, polished by the waves to become small and gem-like. They caught up on news of each other's lives and joked around. ","They searched for bits of glass, polished by the waves to become small and gem‐like.{n}They caught up on news of each other's lives and joked around."," They searched for bits of glass, polished by the waves to become small and gem-like. They caught up on news of each other's lives and joked around.",波で研磨された、宝石のようなガラス石を探したり。それぞれの近況を語り合ったり、茶化したり。,波で研磨された、宝石のようなガラス石を探したり。{n}それぞれの近況を語り合ったり、茶化したり。,"Они искали стекляшки, отшлифованные волнами и ставшие маленькими жемчужинами.{n}Делились новостями из жизни и шутили.","Eles procuravam por pequenos pedaços de vidro, polidos pelas ondas até diminuírem de tamanho e ficarem semelhantes a pequenas gemas.{n}Conversando sobre as vidas de cada um enquanto brincavam.",像尋找被海浪研磨過的，寶石一般的玻璃石。{n}聊著彼此的近況，互相開玩笑。,像寻找被海浪研磨过的，宝石一般的玻璃石。{n}聊着彼此的近况，互相开玩笑。,"Cercavano frammenti di vetro, levigati dalle onde e divenuti piccoli e simili a gemme. Si misero al corrente delle vite di ognuno e scherzavano."
,They wrote words in the sand. They chased the receding waves and ran away from the coming ones. ,They wrote words in the sand.{n}They chased the receding waves and ran away from the coming ones., They wrote words in the sand. They chased the receding waves and ran away from the coming ones.,砂に文字を書いてみたり。返す波を追ってみたり、寄せる波から逃げてみたり。,砂に文字を書いてみたり。{n}返す波を追ってみたり、寄せる波から逃げてみたり。,Писали слова на песке.{n}Гнались за отступающими волнами и убегали от наступающих.,Escreveram palavras na areia.{n}Corriam atrás das ondas que recuavam e fugiam das que voltavam.,還有在沙灘上寫字。{n}追著海浪玩耍。,还有在沙滩上写字。{n}追着海浪玩耍。,Scrivevano parole sulla sabbia. Inseguivano le onde che si ritiravano e scappavano da quelle che ritornavano.
,The cousins enjoyed the time they had to themselves. ,The cousins enjoyed this time they had to themselves., The cousins enjoyed this time they had to themselves.,いとこだけの、楽しい時間が過ぎていった。,[=JP],Кузены весело проводили время.,Os primos aproveitaram o tempo deles juntos.,度過了一段只屬於堂兄妹的，愉快的時間。,度过了一段只属于堂兄妹的，愉快的时间。,I cugini si godevano questo momento che avevano solo per loro.
Ushiromiya Battler,"""Get back here, Maria! You won't get off easy this time!! Wahahaha!"" ","""Get back here, Maria! You won't get off easy this time!! Wahahaha!""",[=UP],「待て待て、真里亞ー！！今度は許さねぇぞー！！　わっはっはっは！」,「待て待て、真里亞ー！！　今度は許さねぇぞー！！　わっはっはっは！」,"""Вернись, Мария! На этот раз ты так легко не отделаешься! Ва‐ха‐ха‐ха!""","""Volta aqui, Maria! Não vai se safar dessa vez!! Wahahaha!""",「等等等等，真里亞——！！下次我可不饒你——！！哇哈哈哈！」,「等等等等，真里亚——！！下次我可不饶你——！！哇哈哈哈！」,"""Torna qui, Maria! Stavolta non la passerai liscia!! Wahahaha!"""
Ushiromiya Maria,"""Kyahahahahahaha!! No way, no way, kyahahahaha!"" ","""Kyahahahahahaha!! No, no, no, no, kyahahahaha!""","""Kyahahahahahaha!! No way, no way, kyahahahaha!""",「きゃっははははは！！やだやだやだやだ、きゃっはっはっは！」,「きゃっははははは！！　やだやだやだやだ、きゃっはっはっは！」,"""Кья‐ха‐ха‐ха‐ха‐ха! Ни за что, нет, кья‐ха‐ха‐ха!""","""Kyahahahahahaha!! Não, não, não, não, kyahahahaha!""",「呀、哈哈哈哈哈！！才不才不才不才不，呀哈哈哈！」,[=CHT],"""Kyahahahahahaha!! Invece sì, invece sì, kyahahahaha!"""
Ushiromiya George,"""You'll get hurt if you fall. Be careful, you two."" ","""You'll get hurt if you fall. Be careful, you two.""",[=UP],「転ぶとケガをするよ。二人とも気を付けて。」,「転ぶとケガをするよ。二人とも気を付けて」,"""Вы поранитесь, если упадёте. Осторожнее.""","""Vão se machucar se caírem. Tomem cuidado, vocês dois.""",「摔跤是會受傷的。你們兩個都小心一點。」,「摔跤是会受伤的。你们两个都小心一点。」,"""State attenti, voi due. Vi farete male, se cadrete."""
Ushiromiya Jessica,"""Feels like the wind's gotten stronger. Maybe we should head back soon."" ","""Feels like the wind's gotten stronger. Maybe we should head back soon.""",[=UP],「風が強くなってきたかな。そろそろ引き上げた方がいいかもしれねぇぜ。」,「風が強くなってきたかな。そろそろ引き上げた方がいいかもしれねぇぜ」,"""Ветер вроде стал сильнее. Скоро надо будет возвращаться.""","""Parece que o vento está ficando mais forte. Talvez seja melhor voltarmos logo.""",「風開始變強了呢。差不多該回去嘞。」,「风开始变强了呢。差不多该回去嘞。」,"""Sembra che il vento si sia fatto più forte. Forse dovremmo tornare dentro tra poco."""
Ushiromiya George,"""You're right. I think the sky's getting cloudier too. ......Battler-kun, Maria-chan! I think we should call it a day soon and head back to the guesthouse for the time being."" ","""You're right. I think the sky's getting cloudier too. .........Battler‐kun, Maria‐chan! I think we should call it a day soon and head back to the guesthouse for the time being.""","""You're right. I think the sky's getting cloudier too. .........Battler-kun, Maria-chan! I think we should call it a day soon and head back to the guesthouse for the time being.""",「そうだね。空も曇ってきた気がするよ。………戦人くん、真里亞ちゃん！　そろそろおしまいにして、一度ゲストハウスに戻ろうか。」,「そうだね。空も曇ってきた気がするよ。………戦人くん、真里亞ちゃん！　そろそろおしまいにして、一度ゲストハウスに戻ろうか」,"""Ты права. И небо заволакивает облаками. .........Баттлер, Мария! Уже пора сворачиваться и возвращаться в домик для гостей.""","""Tem razão. Acho que o céu está ficando nublado. .........Battler‐kun, Maria‐chan! Vamos encerrar por hoje e voltarmos à casa de hóspedes agora?""",「是啊。天好像也變陰了。………戰人君，小真里亞！差不多該結束了，回賓館去吧。」,「是啊。天好像也变阴了。………战人君，小真里亚！差不多该结束了，回宾馆去吧。」,"""Hai ragione. Penso che anche il cielo si stia rannuvolando. {n}Battler-kun, Maria-chan! Penso che per oggi dovreste finirla e ritornare alla casa degli ospiti."""
Ushiromiya Maria,"""Uu-? No way! I wanna play more!!"" ","""Uu? No way! I wanna play more!!""","""Uu-? No way! I wanna play more!!""",「うー？　やだー！　もっと遊ぶー！！」,[=JP],"""У‐у? Ни за что! Я хочу ещё поиграть!""","""Uu? Sem chance! Quero brincar mais!!""",「嗚——？不要——！我還要玩——！！」,「呜——？不要——！我还要玩——！！」,"""Uu-? Non voglio! Voglio giocare di più!!"""
