Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
{f:5:Beatrice},"""Well then, ...did you find that game enjoyable?"" ","""Well then. ...Did you enjoy it? Our game just now.""","""Well then. ...Was the game just now enjoyable?""",「さて。…お楽しみいただけたか？　此度のゲームは。」,「さて。…お楽しみいただけたか？　此度のゲームは」,"""Ну что же. ...Сполна ли вы насладились последней игрой?""","""Pois bem. ...Você aproveitou? O nosso jogo de agora há pouco.""",「呀。…本次遊戲，您看得開心嗎？」,「呀。…本次游戏，您看得开心吗？」,"""Bene, allora. ... Il gioco di poco fa, è stato abbastanza piacevole?""","""Dunque... È stata di tuo gradimento? Parlo di questa partita, naturalmente.""","""Peki o zaman, ...hoşuna gitti mi? Az önceki oyunumuz."""
{f:5:Bernkastel},"""...A game that one-sided goes beyond being riveting. It's boring."" ","""......A game that one‐sided goes beyond captivating and becomes boring.""","""......A game that one-sided goes beyond something worth seeing. It's boring.""",「……ここまで一方的なワンサイドゲームだと、見応えを通り越して退屈よ。」,「……ここまで一方的なワンサイドゲームだと、見応えを通り越して退屈よ」,"""......Игра, в которой лишь одна сторона имеет все преимущества, не заслуживает того, чтобы на неё смотреть. Это просто скука смертная.""","""......Um jogo de um só lado vai além do chamativo e se torna chato.""",「……一邊倒到如此地步的單邊遊戲，超出了可看的範疇，很無聊。」,「……一边倒到如此地步的单边游戏，超出了可看的范畴，很无聊。」,"""... Un gioco che per metà va oltre qualcosa che vale la pena di vedere. È noioso.""","""...Una partita così squilibrata è di una noia che supera la voglia di stare a guardare.""","""......Tek taraflı bir oyun, sürükleyici olmaktan çıkar ve sıkıcı hale gelir."""
{f:5:Beatrice},"""*cackle*cackle* My, my, but you're as harsh as always. ...Considering how proud I was to have created a development so impactful that it might satisfy even the boredom-hating Lady {f:5:Bernkastel}, this response is quite harsh."" ","""*cackle*cackle*. My, my, a harsh critic as always. ......And I was so certain that even Lady {f:5:Bernkastel}, who has no love for boredom, would surely be satisfied by this compelling development... How remorseless.""","""*cackle*cackle*. My, my, your point is harsh as always. ......I was only bragging that this development was compelling enough to satisfy even the boredom-hating Lady Bernkastel. What a harsh response.""",「くっくっくっく、これはこれは、相変わらずお点が辛い。……退屈を愛さないベルンカステル卿に相応しい迫力ある展開だったと自負していただけにこれは手厳しい。」,「くっくっくっく、これはこれは、相変わらずお点が辛い。……退屈を愛さないベルンカステル卿に相応しい迫力ある展開だったと自負していただけにこれは手厳しい」,"""*хи‐хи*хи‐хи*. Ай‐яй, ваша точка зрения как всегда сурова. ......Я просто хвасталась, что даже ненавидящую скуку Леди {f:5:Бернкастель} эта постановка способна заинтересовать. А тут такой суровый ответ.""","""*gargalhada*gargalhada*. Ora, ora, uma dura crítica como sempre. ......E eu estava certa que até mesmo a Lady {f:5:Bernkastel}, que não possui amor pelo tédio, certamente iria se satisfazer com este desenvolvimento convincente... Você é mesmo dura.""",「呵呵呵呵，哎呀哎呀，您打分還是那麼嚴呢。……妾身還在自負著，這是配得上厭惡無聊的貝倫卡斯泰露卿的，頗有迫力的展開呢，這可真是難辦啊。」,「呵呵呵呵，哎呀哎呀，您打分还是那么严呢。……妾身还在自负着，这是配得上厌恶无聊的贝伦卡斯泰露卿的，颇有迫力的展开呢，这可真是难办啊。」,"""*cackle*cackle*. Oh, cielo, il tuo punto di vista è duro come sempre. ... Mi stavo solo vantando del fatto che questo sviluppo fosse abbastanza avvincente da soddisfare anche Lady Bernkastel, colei che odia la noia. Che risposta aspra.""","""Mhmhmhmh, ma tu guarda, il tuo giudizio è severo come sempre... Ero solamente fiera dell'andamento del gioco, che era abbastanza avvincente da poter compiacere Lady {f:5:Bernkastel}, nota disprezzatrice della noia, e tu rispondi in modo così duro.""","""*cackle*cackle*. Amanın, her zamanki gibi sert bir eleştiri. ......Can sıkıntısından hiç hoşlanmayan Leydi {f:5:Bernkastel}'in bile, bu zorlayıcı gelişmelerle tatmin olacağından o kadar emindim ki... Ne vicdansızlık."""
{f:5:Bernkastel},"""...Well, I'll admit it was impactful. ...However, it was horrible as a fair game. Unless you make the conditions a bit more even-"" ","""...Well, I'll accept that it was compelling. ...However, it was horrible as a fair game. You need the conditions to be a little more even, or—""","""...Well, I'll accept that it was compelling. ...However, it was horrible as a fair game. You need the conditions to be a little more even-""",「…迫力については、まぁ認めるわ。…ただ、フェアなゲームとしては酷いものね。もう少し対等な条件でないと、」,[=JP],"""...Что ж, признаю, она была немного интересной. ...Однако это была далеко не честная игра. Необходимы чуть более равные условия.""","""...Bem, eu vou aceitar que isso foi convincente. ...Entretanto, foi horrível como um jogo justo. Você precisa que as condições sejam mais uniformes ou—""",「…關於迫力，我也承認。…不過，作為一盤公平的遊戲就太過分了。不再稍微提供些對等的條件的話…」,「…关于迫力，我也承认。…不过，作为一盘公平的游戏就太过分了。不再稍微提供些对等的条件的话…」,"""... Bene, accetterò che sia stato avvincente. ... Tuttavia, era orribile come gioco pulito. Hai bisogno di condizioni per essere un po' più equilibrata""","""...Beh, ne riconosco l'impatto... Tuttavia, in termini di correttezza era una pessima partita. Servono condizioni leggermente più equilibrate per—""","""...Zorlayıcı olduğunu, ...kabul ediyorum. ...Ancak, adil bir oyun olma açısından korkunçtu. Koşulları biraz daha eşitlemen gerekiyor, ya da—"""
{f:5:Beatrice},"""...Are you saying there's no way to win? Not even for Lady {f:5:Bernkastel}? ...*cackle*cackle*."" ","""......Am I about to be told there's no way to win? By Lady {f:5:Bernkastel}? ......*cackle*cackle*.""","""......Are you saying that there's no way to win? Even for Lady Bernkastel? ......*cackle*cackle*.""",「……勝ち目がないと言われるか？　ベルンカステル卿に？　……くっくっくっくっく。」,「……勝ち目がないと言われるか？　ベルンカステル卿に？　……くっくっくっくっく」,"""......Вы хотите сказать, способа выиграть не существует? Даже для Леди {f:5:Бернкастель}? ......*хи‐хи*хи‐хи*.""","""......Estou prestes a ouvir de você que não tem como eu ganhar? Da Lady {f:5:Bernkastel}? ......*gargalhada*gargalhada*.""",「……就沒有勝算了嗎？貝倫卡斯泰露卿的？……呵呵呵呵呵。」,「……就没有胜算了吗？贝伦卡斯泰露卿的？……呵呵呵呵呵。」,"""... Stai dicendo che non c'è possibilità di vittoria? Persino per Lady Bernkastel? ... *cackle*cackle*.""","""...Non ci sarebbero possibilità di vittoria? E questo lo dice Lady {f:5:Bernkastel}...? Mhmhmhmhmh...""","""......Bana kazanmanın bir yolu olmadığı mı söylenecek? Leydi {f:5:Bernkastel} tarafından mı? ......*cackle*cackle*."""
{f:5:Bernkastel},""".........I wonder what you mean by that, Beato."" ","""..................I wonder what you mean by that, Beato.""","""...............I wonder what you mean by that, Beato.""",「………………どういう意味かしら。ベアト。」,「………………どういう意味かしら。ベアト」,"""...............Интересно, что же ты под этим подразумевала, Беато.""","""..................Me pergunto o que você quer dizer com isso, Beato.""",「………………這是什麼意思，貝阿朵？」,「………………这是什么意思，贝阿朵？」,"""... Mi chiedo cosa intendi con ciò, Beato.""","""...Mi domando cosa intendi con ciò. Beato.""","""..................Bununla ne demek istediğini merak ediyorum, Beato."""
{f:5:Beatrice},"""There's no need to try and fool me. I already know. ...That {i:you're no bystander}."" ","""There's no need to play ignorant. I already know. ...That you {i:aren't a bystander}.""","""There's no need to trick me. I already know. ...That you aren't a bystander.""",「誤魔化さなくても良い。すでに知っておるぞ。…そなたが{i:傍観者でないことは}。」,「誤魔化さなくても良い。すでに知っておるぞ。…そなたが{i:傍観者でないことは}」,"""Совсем не обязательно водить меня за нос. Мне уже всё известно. ...{i:Что ты не просто наблюдатель}.""","""Não precisa bancar a ignorante. Eu já sei. ...Que você {i:não é uma mera espectadora}.""",「不用裝模作樣了。妾身已經知道了。…汝{i:不是旁觀者}。」,「不用装模作样了。妾身已经知道了。…汝{i:不是旁观者}。」,"""Non c'è bisogno di ingannarmi. Lo so già. ... Che tu non sei di passaggio.""","""Non fare la finta tonta. Ne ero già al corrente... Tu {i:non sei un'osservatrice}.""","""Aptalı oynamaya gerek yok. Ben çoktan biliyorum. ...Senin {i:seyirci olmadığını}."""
{f:5:Bernkastel},"""............"" ",""".................................""",""".....................""",「……………………………。」,「……………………………」,[=OG],[=UP],[=JP],[=JP],"""...""",[=ITA],[=UP]
{f:5:Beatrice},"""Were you planning on hiding it? You're an outrageous person to come into someone else's territory from such a great distance to work against them. You came to watch from the sidelines, and probably to push strongly for my defeat. I've guessed right, haven't I...?"" ","""You thought you were hiding it? How insolent, to travel all that way, and come into territory that isn't yours, just to bet against me. You came here planning to watch my game from the sidelines, while having a large stake placed in my defeat. I've guessed right, haven't I...?""","""Were you planning on hiding it? You're an outrageous person to come into someone else's territory from such a great distance and work against me. You came to watch from the sidelines, and probably to push strongly for my defeat. I've guessed right, haven't I...?""",「隠し通せているつもりか。そなたは人の領地まで遥々やって来て、妾の逆目に張る不届き者よ。妾のゲームを傍観するつもりでいて、妾の敗北に厚く張っておるのだろうが。図星であろう…？」,「隠し通せているつもりか。そなたは人の領地まではるばるやって来て、妾の逆の目に張る不届き者よ。妾のゲームを傍観するつもりでいて、妾の敗北に厚く張っておるのだろうが。図星であろう…？」,"""Ты планировала скрыть это от меня? Ты имеешь достаточно наглости заявиться на чужую территорию откуда‐то издалека и работать на пользу моему врагу. Ты явилась сюда, чтобы, стоя в сторонке, подталкивать меня к поражению. Я же не ошиблась, так ведь?""","""Pensou que estava escondendo isso? Que insolente, viajar todo esse caminho e vir para um território que não é seu, só para apostar contra mim. Você veio aqui planejando assistir o meu jogo pelo lado de fora, enquanto tenta descaradamente provocar minha derrota. Eu adivinhei bem, não...?""",「還以為瞞過了妾身？汝是千里迢迢來到他人領地，給妾身對家下注的無禮之徒。一直擺出副旁觀妾身遊戲的樣子，其實卻是下了賭妾身輸的重注。說中了吧…？」,「还以为瞒过了妾身？汝是千里迢迢来到他人领地，给妾身对家下注的无礼之徒。一直摆出副旁观妾身游戏的样子，其实却是下了赌妾身输的重注。说中了吧…？」,"""Stavi pensando di nasconderlo? Sei una persona molto oltraggiosa per andare nel territorio di qualcun altro da una tale distanza e mettermi il bastone tra le ruote. Sei venuta per guardare da dietro le quinte, e probabilmente per premere fortemente verso la mia sconfitta. Ho indovinato, vero...?""","""Pensavi di poterlo nascondere? Hai fatto tutta questa strada verso un territorio altrui, e hai la sfacciataggine di puntare contro di me. Probabilmente intendi assistere alla partita dagli spalti, e piazzare una notevole puntata sulla mia sconfitta. Ho fatto centro, vero...?""","""Sakladığını mı sanıyordun? Sırf aleyhime bahse girmek için onca yolu kat edip senin olmayan bir bölgeye gelmek ne kadar küstahça. Buraya yenilgim için büyük bir bahse girmişken, oyunumu kenardan izlemeyi planlayarak geldin. Doğru tahmin ettim, değil mi...?"""
{f:5:Bernkastel},"""......... And if so?"" ","""........................... And if so?""",""".................. And if so?""",「………………………。だったら？」,[=JP],""".................. А что если и так?""","""........................... E se tiver?""",「………………………。是又如何？」,[=CHT],"""... E se anche fosse?""","""...E se anche fosse?""","""........................... Öyleyse nolmuş?"""
