Speaker,PC Japanese (JP)
,朝の訪れを知るには、カーテンを開けてわずかに明るくなった曇天を見上げるほかなかった。
,清々しい朝ではない。昨夜からずっと降り続く雨と、唸る風の音が聞こえるだけだった…。
Ushiromiya Kyrie,「……とても朝とは思えないわね。私たちの心をそのまま示した、ひどい天気よ。」
Ushiromiya Rudolf,「ならずいぶん穏やかじゃねぇか。雨は降れど、槍が降らねぇだけマシだぜ。」
Ushiromiya Hideyoshi,「わっはっは。雨が降ろうと、槍が降ろうと、どんと来いっちゅうとこやな。
Ushiromiya Hideyoshi,………もう６時かいな。ふぁぁあぁ…。これで充分とちゃうか。あとは、謎の１９人目、ベアトリーチェが動いて来んことには、手を打ちようもないわ。」
Ushiromiya Krauss,「そういうことだ。……だが、向こうが打って来るだろうほとんどの手は想定できたはずだ。」
Ushiromiya Eva,「そうね。兄弟の中に裏切り者さえ現れなければ、私たちは大抵の事態に対応できるはずよ。」
Ushiromiya Rosa,「……もうこの話は終わりにしましょ？　結局、徹夜しちゃったわね。…眠いわ。」
Ushiromiya Natsuhi,「そうですね。朝食を取ったら、一度お休みになられてはいかがですか？」
Ushiromiya Krauss,「…良い提案だ。この歳に徹夜は堪えるよ。」
,彼らはめいめいに伸びをすると、清々しくない朝を満喫するのだった。
Ushiromiya Rudolf,「顔でも洗ってこようぜ。きっとひでぇツラさ。」
Ushiromiya Kyrie,「………………？　何、このひどい臭い。」
,廊下へ出た途端、霧江が露骨に嫌な顔をした。
Ushiromiya Natsuhi,「…どうしましたか？」
Ushiromiya Kyrie,「ねぇ、何かひどい臭いがしない…？」
Ushiromiya Hideyoshi,「………ん。…何やこの臭いは。こら堪らんで…。」
,そう騒ぐので、何事かとみんなが廊下に顔を出した。…それは薄っすらとした臭いだったが、臭う臭うと騒がれれば、はっきりとわかるものだった。
,彼らはその奇怪な臭いがどこから漂ってくるのか、それぞれの嗅覚を頼りに廊下に出る…。
Ushiromiya Natsuhi,「一体、何事でしょう。源次に対応させましょう。きっと、もう使用人室に来ていて朝の準備をしているはずです。」
Ushiromiya Krauss,「うむ、頼む。まさかあの郷田に限って、こんな臭いをさせる朝食を作っているとは思い難いのだがね…。」
,留弗夫たちは臭いの元がどこかを探り、それが地下から、ボイラー室からすることを突き止めた。
,しかし鍵が掛かっていて、中を確かめることはできなかった。
,一方、夏妃たちは使用人室へ誰かを探しに行く途中、客間の異変に気付く。
Ushiromiya Natsuhi,「……何ですか、これは…！」
Ushiromiya Rosa,「ひ、ひどい悪戯だわ…。誰がこんなことを…。」
,客間の扉には、血を想起させる不気味な赤い塗料で、奇怪な…、魔法陣のようなものが描かれていた。
Ushiromiya Eva,「厨房にはまだ誰も来てないわ。……な、何よ、それ。」
,臭いの元が厨房だと思った絵羽たちは、誰もおらず、朝食の準備も始まっていないことを確認した上で、戻ってきた。
,……そして客間の異変に気付く。
Ushiromiya Rudolf,「駄目だな、ボイラー室は鍵が掛かってる。ボイラーの故障とかそういうのだとまずいんじゃないのか？　使用人は誰かいたかぁ？」
Ushiromiya Kyrie,「………！　その悪趣味な落書き、ここにもあるの？　ボイラー室の扉にもあったのよ。」
Ushiromiya Hideyoshi,「何やて？！　この薄気味悪い落書きが、ここだけじゃなく、他にもあるっちゅうんか？！はは、まさか、森の魔女ベアトリーチェの宣戦布告っちゅうわけやないやろな。」
,秀吉はそう茶化すが、風雨の音を聞きながら眺める不気味な魔法陣は、まさに魔女からのメッセージを思わせる。
,…滴る真っ赤な塗料は容易に血を連想させ、ますますにその不気味さを引き立たせた。
,秀吉が試しに扉を開けようとするが、施錠されていた。
,…客間は、原則、施錠することはない。わざわざ誰かが閉めたのだ。
Ushiromiya Rosa,「……これはどういうこと…？　私たちが食堂で話し合いをしている最中に、誰かがこっそりとこの落書きを残したというの？　客間とボイラー室の扉に？」
Ushiromiya Eva,「…どうせ使用人の仕業よ。私たちはずっと一緒だったのよ。全員にアリバイがある。……恐らく、お父様に何かおかしな指示を受けて、こんな悪戯をしたのよ。」
Ushiromiya Rudolf,「………昨日の真里亞ちゃんの手紙の件も含めて。使用人連中が親父の手先になって何かを企んでる可能性は充分、疑えるからな。……とにかく、みんなどこに居やがるんだ？　まさか隠れん坊ってわけでもねぇだろうに。探そうぜ。」
Ushiromiya Rosa,「そ、…それより私は子どもたちが気になるわ。無事よね？　私、確かめてくるついでに、ゲストハウスに使用人の人がいないか見てくるわ。」
Ushiromiya Rudolf,「なら手分けだな。ゲストハウスにガキどもの様子を見に行く間、俺たちは屋敷の中を調べてみよう。………考えたくはねぇが、こんな薄気味悪ぃ落書きが、ここだけってことはねぇかもしれねぇ。」
Ushiromiya Krauss,「……親父殿の、おかしなゲームに巻き込まれているのかもしれんな。…私は親父殿のところへ行って、事情を聞いてみよう。……まぁ、素直に話を聞いてくれるとは思えんがね。」
,大人たちは手分けする。
,その結果、ゲストハウスの２階の、通称、いとこ部屋に子どもたち４人が無事なのが確認された。
,どうも昨夜、かなり夜更かしして遊んでいたらしい。４人とも高いびきだったので、楼座は起こさないようにする。
,また、昨晩は早々に戻って休んでいた南條も無事だった。早寝早起きが信条らしく、爽やかな朝を迎えていたようだった。
,その間に、霧江と秀吉が使用人の姿を探す。だが見付からない。
,…ゲストハウスの使用人室も空っぽだった。
Ushiromiya Rosa,「……子どもたちは無事よ。みんな夜更かしのし過ぎね。」
Ushiromiya Hideyoshi,「使用人室は空っぽや。…勤務表を見ても、早番は６時からってことになっとる。もうお勤めをしてなきゃならん頃や…。」
Ushiromiya Kyrie,「仮眠室も空っぽよ。布団を抜け出した跡はあるけど、温かくはなかったわ。」
Ushiromiya Hideyoshi,「こらぁ、…蔵臼兄さんたちの想像が当たったんとちゃうか。……多分、お父さんの指示で仕組んだゲームなんや。あの不気味な落書きを残して、どこかに姿を隠して、わしらに何かをさせたいに違いないんや。」
Ushiromiya Kyrie,「……遺産や家督を誰が引き継ぐに相応しいか、確かめようって言うことですか？　…いくら何でも、それは…。」
Ushiromiya Rosa,「いいえ…。…お父様だったら、そういうことをしてもおかしくないかもしれない。」
Ushiromiya Hideyoshi,「何しろ、お父さんは大仕掛けが大好きや。……例の碑文を大広間に掲げた時から、練りに練った計画だったのかも知れへんで。」
Ushiromiya Kyrie,「…なら、ゲームの開始宣言、もしくはゲームの説明などがあったりはしないのかしら。……真里亞ちゃんに渡したような、紋章入りの封筒が出てきても良さそうだけど。」
Ushiromiya Rosa,「…………そうね。ひょっとすると、屋敷で兄さんたちがそれを見つけたかもしれないわね。」
Ushiromiya Hideyoshi,「南條先生。あんた、何か聞いてませんか。」
Nanjo Terumasa,「……も、申し訳ありませんが、私にも何が何だかさっぱりです。ただ、……なるほど、金蔵さんが何かを企んで大仕掛けを打つことは、私にも容易に想像できます。」
Ushiromiya Hideyoshi,「…一度、屋敷に戻らんか。何か向こうで見つけたかも知れんで。」
Nanjo Terumasa,「お邪魔でなければ私もご一緒いたしましょう。」
Ushiromiya Rosa,「わ、私はここに残るわ。…上に真里亞たちが寝てる。何が起こってるかわからないんだもの。子どもたちを放っては行けないわ。」
Ushiromiya Kyrie,「……そうね。私も楼座さんとここで留守番してるわ。うちの人に、そう伝えていただけませんか。」
,楼座と霧江はゲストハウスに残る。秀吉は南條を連れ、再び屋敷に戻るのだった。
,一方、屋敷では…。
,信じ難いことに、…あるいは嫌な想像は当たると言うべきなのか…。
,留弗夫の予感は的中していた。
,…客間の扉とボイラー室の扉に書かれていたのと同じ魔法陣の落書きが、屋敷内から他にも複数、見付かったからだ。
Ushiromiya Rudolf,「兄貴…！　親父の方はどうだ？」
Ushiromiya Krauss,「いや、駄目だ。何の反応もない。一応、扉に耳も当ててみたのだが、何の気配も感じなかった。」
Ushiromiya Natsuhi,「…使用人の姿はどこにもありません。…一体、どこへ姿を消したのやら…。」
Ushiromiya Eva,「冗談じゃないわ。お父様も使用人も姿を消し、屋敷中のあちこちにおかしな魔法陣だらけ。……一体、何が起こってるっていうのよ…！」
,魔法陣はボイラー室の扉と客間の扉だけではなかった。２階の扉に２つ。３階の扉に１つで合計５つ。
,何れも同じ魔法陣で、皆、施錠されていて中を確かめることができなかった。
Ushiromiya Rudolf,「…とにかく、まずはボイラー室を何とかしよう。何かの故障で、火事になったりとか爆発したりとかしたら大変だ。…となりゃ鍵だな。」
Ushiromiya Natsuhi,「使用人室にキーボックスがあったはずです。」
,彼らは使用人室でキーボックスを漁る。
,マスターキーは使用人たちが個々に持っているため、収められてはいない。
,しかし、個別の鍵なら全て収められているはず。
Ushiromiya Krauss,「…………よくもこれだけぎっしりと鍵があるものだよ。」
Ushiromiya Eva,「…ないわ。何度探してもボイラー室の鍵が見付からないわ。」
Ushiromiya Rudolf,「見ろよ、姉貴。……例の、魔法陣の書かれた部屋の鍵だけが、綺麗にぽっかりと抜けてるぜ。」
Ushiromiya Natsuhi,「……本当ですね。…これは困りました……。」
Ushiromiya Eva,「まるで、魔法陣の部屋に入ってほしくないかのようね。……いいえ、わざわざ魔法陣でアピールしてるんだから、入ってほしいのかしら…？」
Ushiromiya Rudolf,「俺は後者だと思うぜ。…扉をブチ破るのは、映画じゃあるまいし無理だろう。窓を破れば何とかなるかもな。」
,窓を破るほどの事態なのかどうか、蔵臼はしばらく判断に困った。
,そこへ秀吉と南條が戻ってくる。ゲストハウスに異常はなく、子どもたちは無事。楼座と霧江は留守番に残ったことを伝えた。
Nanjo Terumasa,「おはようございます。…何やらおかしなことになったそうですな。」
Ushiromiya Krauss,「おはようございます、南條先生。…早朝から起こしてしまったようで申し訳ありませんな。」
Ushiromiya Hideyoshi,「何や。手紙の類は見付からんのか？　わしはてっきり、そういうのが見付かったとばかり思っとったんや…。」
Ushiromiya Eva,「……そうね。私もこれは、お父様の壮大な冗談か、何かのゲームだと信じてる…。でもそうなら、必ずそれを伝える手紙があるはずよね。真里亞ちゃんに手紙を与えたように。」
Ushiromiya Rudolf,「ゲーム開始宣言は、まさにあの真里亞ちゃんの手紙だったのかもしれねぇぜ？　碑文の謎を解いてみろと、すでにゲームの内容は示されてるさ。」
Ushiromiya Krauss,「なら、屋敷から５つも見付かった魔法陣にはどんな意味があるというのかね。…姿の見えない使用人もだ。」
Ushiromiya Eva,「……夏妃姉さん。使用人って、今日は全部で何人いたかしら…？」
Ushiromiya Natsuhi,「え？………源次に郷田に、……５人ですが何か？」
Ushiromiya Rudolf,「……使用人が５人。魔法陣も５つか。……偶然だろうが、気になるな。」
Ushiromiya Eva,「…兄さん。窓を破りましょう。中を確認するべきだわ。」
Ushiromiya Krauss,「…………仕方ないな。綺麗に頼むよ。」
,蔵臼は決断し、窓を破る許可を与える。
,そして最初に破る部屋は、容易に窓に回れる１階の客間に決まった。
,窓から中が覗けるかと期待したが、カーテンが掛かっているため、うかがい知ることはできなかった。
,留弗夫は、庭をうろつき、ガラスを破れる適当な何かがないかを探した。
,やがて、握り拳よりも大きい石を見つけ、戻ってきた。
Ushiromiya Eva,「全部割ることはないわよ。鍵が回せる程度に開けてくれれば充分。」
Ushiromiya Rudolf,「あまり期待には添えないかもしれないぜ？」
,留弗夫は石を振り上げ、ガラスに何度も叩き付けた。
,やがて、外から鍵を開けることのできる程度に、上手に穴を開けるのに成功した。
,…留弗夫はハンカチで手を庇いながら、その穴に手を突っ込み、慎重に鍵を開ける。
Ushiromiya Rudolf,「あとでガムテープで塞いだ方がいいだろうな。雨が吹き込んじまうぜ。」
,窓をがらりと開けると、風雨にカーテンが乱暴に舞い踊った。カーテンを横へ薙ぐ。
,…そこには彼らのよく知る客間があった。
,少しだけほっとする。……ひょっとしたら、室内も怪しげな魔法陣や、もしくは不気味な儀式の痕跡でいっぱいではないかと思ったからだ。
,とりあえず、雨の中にいつまでもいたくないので、蔵臼、夏妃、絵羽、秀吉、留弗夫、南條の６人はぞろぞろと客間の中に入る。
Nanjo Terumasa,「……特に、…変わったところはないようですな…。」
Ushiromiya Krauss,「………むっ、」
Ushiromiya Natsuhi,「ど、どうしましたか、紗音…？！」
Ushiromiya Eva,「ちょっとちょっと、大丈夫なの？！　どうしたのよ、あんた？！」
Ushiromiya Hideyoshi,「血や、血や！！　なな、南條先生、見たってや！！」
Ushiromiya Rudolf,「おい、紗音ちゃん！　大丈夫か？！　返事をしろぃ！」
Nanjo Terumasa,「ゆ、揺さぶってはいけません…。今、容態を診ます…。」
,ソファーの影だったので、部屋に入るまで気付かなかったのだ。
,そこには、胸元を血で真っ赤に染めた紗音が横たわっていた……。
{f:5:Beatrice},「お〜〜いぃ。戦人ぁ、どーこだぁあぁ？ほらほら、紗音の死体が出てきたぞ〜〜〜？　もうイジメねぇから出て来いよぉ。
{f:5:Beatrice},……んん？　おぉ、いたいた。そんなところで頭抱えて、なぁにしてんだよォ。」
Ushiromiya Battler,「…………………………。」
,戦人は頭を抱えてテーブルに伏していた…。何も見たくない、何も聞きたくないという意思が露骨に伝わる痛々しい姿だった…。
,ベアトリーチェの嘲るような声は聞こえているのだろうか。
,…聞こえないのか、あるいは聞こえないフリをしているのかは、わからない。しかし、心を貝のように閉ざしてしまっているのは間違いなかった…。
Ronove,「ぷっくっくっく…。……少しお嬢様が苛めすぎたのではないでしょうか。あれだけのものを見せ付けて反論を迫っては、塞ぎこみたくなる気持ちもわかろうというものですよ。」
{f:5:Beatrice},「なぁ、戦人ぁ。反論がないんならリザインを頼むぜェ？お前の手番なんだ。何か指すとかパスするとか、さもなきゃ降参するとかしてくれねぇと話が前に進まねぇよォ。」
Ushiromiya Battler,「…………………………れ。」
{f:5:Beatrice},「……え？　何々ぃ？　聞こえないぞォ？」
Ushiromiya Battler,「黙れッっつってんだッ！！　あああぁうるせぇうるせえうるせぇええぇええ！！　何が魔女だ何が魔法だ！　好き勝手にやればいいじゃねぇかよ、俺は信じねぇ何も信じねぇ、くそくそくそくそッ！！
Ushiromiya Battler,俺に話し掛けるな、何も見せるな、消えろ消えろ消えちまえッ！！　俺にそのムカつく顔を近付けるなあああああぁああああぁッ！！！」
{f:5:Beatrice},「……………………ッッッ！」
,戦人の突然の激昂に、ベアトリーチェは思わずたじろぐ。
{f:5:Beatrice},「……そ、そうは言うがな？　お前の手番が終わらんと妾の手番も来ぬ。あまり妾を退屈させるなと言いたいのだが…、」
Ushiromiya Battler,「知るかよ黙れよッうるせええんだよッ！！　お前のゲームなんか知るかよ、付き合ってらんねぇえんだよぉおおぉ！！　俺の番が終わらねぇと手前ェの番が来ねぇってんなら、永遠に待ってやがりゃあいいだろうがッ！！
Ushiromiya Battler,　あぁ知らねぇ知らねぇわからねぇええ！！　魔女も魔法も認めねぇ、あんな滅茶苦茶も認めねぇ！！　うおおおおおおおおおお、俺に話し掛けるなっつってんだぁああああああああああぁああぁッ！！！」
,……もう、何が何だかわからねぇ。あんな滅茶苦茶を見せられて、なおどう抗えってんだ…。
,俺はぼんやりと薔薇庭園を歩く。
,……雨は降っていて風は苛むのだが、俺の体が濡れるわけじゃない。…でも、傘も指さず風雨の真っ只中にいるという、荒涼感だけはあった。
Ushiromiya Battler,「………………俺はひょっとすると、…あいつのゲームにとっくの昔に負けているのかもしれねぇな。」
,…実は前回のゲームで、もうはっきり決着はついてしまっていたのではないだろうか。
,何しろ俺は、一度は屈服したのだから。だから世界は魔女と魔法で染まったのだ。
,……今や六軒島では、魔女が堂々と闊歩し、おかしな魔法をバンバンぶっ放す異世界だ。
,…認めるとか否定するとかそういう域ですらない。
,俺はベアトと互角なゲームをしていると誤解していたのかもしれない。
,すでに前回敗北して、…これはその、降伏の調印式なだけなのかもしれない。
,さっき、この薔薇庭園で凄まじい戦いが繰り広げられた。俺はそれを目の当たりにした。
,地面を蹴る。……当然だが硬い。そして水溜りがばしゃりと跳ねる。
,この地面を割って、高層ビルのような塔が何本もにょきにょきと生えだしたのだ。
,……こうして地面を蹴れば蹴るほどに、………そんなことがありえるわけがないと実感できる。
,だが、だからこそ、もう魔法だとしか説明できないのだ……。
Ushiromiya Battler,「……密室に鍵が閉じ込められて、とかってヤツなら、よくある推理小説の延長だろってことはわかるさ。……でも、……あれはなぁ…。あのどっかんどっかんってのはなぁ……。くそぉおぉぉ………。」
,「……………私の弟子が、ずいぶんと迷惑をかけているようですね。」
Ushiromiya Battler,「…え？　………あんたは…。」
,不意に話しかけられたので、振り返ると、…薔薇庭園の東屋に、……ついさっき、ベアトリーチェに倒されたはずの、先代ベアトリーチェの姿があった。
Ushiromiya Battler,「………てっきり死んだと思ったぜ。生きてたのか。」
,「いいえ、死にましたよ。…今の私は、取られた駒がチェス盤の外でくつろいでいるだけに過ぎません。」
Ushiromiya Battler,「あんたはベアトの師匠なんだろ。ってことはつまり、あんたも魔女ってわけか。」
,「……えぇ、そうですよ。」
Ushiromiya Battler,「ちぇ。ってことはつまり。……やっぱり魔女はいるってことで決まりなわけだろ？　そしてあいつを倒せるのは俺じゃない。スゲエ魔法を使えるあんたの方じゃねぇか。…俺はもうお役御免さ。俺に出来ることなんてもう何もねぇ…。」
,「…………おやおや。すっかり屈服してしまいましたか？」
Ushiromiya Battler,「屈服も何も！　あれをどう説明すりゃいいんだよッ？！　塔が生えたり落ちてきたり！！　でっけえ巨人が楯を構えたり槍を投げたり！
Ushiromiya Battler,ああぁ思い出すだけでも気が変になりそうだぜッ、もう推理もヘチマもあったもんじゃねぇ！！　トリックとか人間犯人説とか、そんな領域をとっくに超えてるだろ！！　ああああぁあぁ、畜生畜生畜生畜生！！」
,「落ち着いて。……私はあの子のゲーム盤の駒に過ぎない。こうして盤外へ取り除かれてしまえば、もはや何もできない存在。
,しかしあなたはあの子の対戦相手。あなたが自ら投げ出さない限り、あなたには常にあの子に一矢報いる力があるのだから。」
Ushiromiya Battler,「うるせえ！　あんただっておかしな呪文を唱えて、塔だの槍だのを呼び出してたじゃねぇかよ！！
Ushiromiya Battler,何を一矢報いるってんだよ！　俺にも魔法を教えてくれて、あいつとあの大魔法バトルを繰り広げろって言うのかよッ！！」
,「……あなたが望むなら。あなたに魔法の一端を教えてあげてもいいですよ。」
Ushiromiya Battler,「そりゃあ願ったり叶ったりだぜ！　あいつの胸板にズドンと打ち込んでやれるような、すっげぇ魔法を一発頼むぜ…！！　はッ、舐めんなってんだ！」
,「日本の魔法に、雨乞いの儀式というものがあるそうですね。ご存知ですか？」
Ushiromiya Battler,「雨乞いぃ？　バンバン火をくべて、演舞を奉納して雨を祈るっていうあれか？　……あれは魔法じゃねぇだろ。火で上昇気流が出来て、その結果、雨雲が集まるって言う、れっきとした科学現象のはずだぜ。」
