Speaker,PC Japanese (JP)
Ushiromiya Battler,「…なるほどな…。魔女じゃなく、ベアトリーチェという名の愛人が島に存在していたわけか…。
Ushiromiya Battler,……つまり人間は１８人以上居得る！　ということは、１８人全員に不可能だから魔法犯罪である、という図式は崩せるわけだ。……これは大きい情報だぜ。」
Ronove,「失礼いたします。戦人さま、紅茶とクッキーはいかがですか？」
,どこからともなく、あのロノウェとか名乗ったベアトの執事が現れる。
,手に持つ銀のトレーには、美味しそうに湯気を立てる紅茶とクッキーを盛り付けた皿が置かれていた。
,…どうもこいつの笑みは好かないぜ。何というのか、客を歓待する笑みじゃない。どこか小馬鹿にしたような、そんな笑いなのだ。
,…それが文字通り馬鹿にしているのか、それとも冗談程度のレベルなのかわからないのが、何ともイラつくが。
Ushiromiya Battler,「……いらねぇよ。俺は今、取り込み中なんだ。放っておいてくれ。」
Ronove,「おやおや。それはそれは美味しく焼けたクッキーなのに、とても残念です。ニンゲン如きには勿体無いくらいに素敵に焼きあがった、それはそれは素敵なクッキーなのに。」
Ushiromiya Battler,「気が向いたら食ってやるぜ。その辺に置いて、とっとと失せな。」
Ronove,「左様でございますか。それではそのようにいたしますよ。冷めてからお召し上がりになって、焼きたてを召し上がらなかったことを存分に後悔なされると良いでしょう。」
Ushiromiya Battler,「………いちいち、うるさいヤツだな。…まぁ、耳元で気色悪くケラケラ笑うベアトのヤツよりゃ数段マシだがよ。」
Ronove,「いえいえまったく。お嬢様の笑い声は時折、実に品がありません。それを聞く度に、なぜ私ほどの高貴な悪魔が、あのような者を主にしなければならないのか、理解に苦しむのでございますよ。ぷっくっくっく…。」
Ushiromiya Battler,「……変なヤツだな。そんなに嫌なら仕えなきゃいいだろうが。」
Ronove,「それでも尚お仕えするのが、家具の喜びなのでございますよ。それでなくては家具は務まりません。
Ronove,……それはさておき。ゲームの方はいかがでございますか？　先ほど、良い情報を見つけたようなことを言われ、お喜びになられていたようですが。はてさて、どのような浅知恵が思いついたやら。」
,ロノウェはくすくすと小馬鹿にするように笑いながら、俺に言われた通りの文字通りに、適当なその辺に紅茶とクッキーを配膳する。
Ronove,「……大方、１９人目の存在に自信を深めたからでございましょう？　よろしければ、ぜひご高説をお聞かせ願えますか？」
Ushiromiya Battler,「………………。……あぁ、いいぜ。どうせベアトの前で改めて言うしな。隠す必要もないさ。
Ushiromiya Battler,……いいか。この島に隠し屋敷があって、愛人を住まわせていたらしいんだ。となりゃ、俺を苦しめてきた１８人なのか１９人なのかって疑問は簡単に決着する。」
Ronove,「戦人さまは魔女を否定するくせに、１８人の中にも犯人を求められないダブルスタンダードの袋小路に、自らを追い込まれました。」
Ushiromiya Battler,「…魔女を否定するもっとも簡単な方法は、１８人の誰かを疑うことだ。……１８人全員のアリバイは、そう簡単には揃わない。常にひとりくらいはアリバイの脆い人間が生まれる。……俺はそいつを生贄にすることで、常に魔女を否定し続けることもできるだろう。」
Ushiromiya Battler,「しかし、それは断固拒否するッ！！　あぁダメだぜ、全然ダメだ！　１８人はみんな俺にとって親たちや親戚たちやいとこたち！　そして真面目だったり面白かったりする頼もしい使用人の人たちだ。俺はその人たちの誰を生贄にすることも許せないッ！！
Ushiromiya Battler,かつて俺はその決意があやふやだった。だからその心の弱さをベアトに突かれたんだ。」
Ronove,「……自らの弱点を認め、理解する。なかなか出来ることではありません。戦人さまは１９人目が存在する説を槍にする。…槍というよりは楯、でしょうかな。
Ronove,何れにせよ、これまでのゲームでの無策と違い、戦い方に指針を持たれるのは、劇的飛躍と申せましょう。これで戦人さまは、敬愛する１８人を疑わずに、存分に１９人目を疑い、人間犯人説を追求できるわけでございます。」
Ushiromiya Battler,「そういうことさ。最初のゲームの、嘉音くんが殺されたボイラー室とか、…他にも他にも、１９人目が存在していたなら、迷う必要なんかないトリックはいくつもある。」
, 一番最初のゲームで、嘉音くんはボイラー室で殺された。
,普通に考えたなら、一緒にボイラー室に下りた熊沢さんが襲ったとか、あるいは死んだように見えた誰かが実は偽装で、ボイラー室で嘉音くんを待ち伏せたとか、何れにせよ、１８人の誰かを疑わなければならない指し手だった。
,しかし、１９人目が存在することをあっさりと仮定するだけで、このボイラー室の殺人について１８人の誰も疑う必要はない。
Ushiromiya Battler,「つまり！　１８人の誰にも無理だから＝犯人は魔女、という図式だけは否定することができるわけさ。」
,この論法なら例えば、今回のゲームでもすでに問題提起されている、“真里亞に手紙を渡したのは誰か？”という問いも簡単に説明できる。
,１８人全員にアリバイがあろうとも、ゆえに１９人目の人物が訪れて手紙を渡したと、実に簡単に説明できるのだ。
Ronove,「………ふむふむ。とても良い一手だと思いますよ。私だったらどう切り返しましょうか。
