Speaker,PC Japanese (JP)
,世界が真っ白に染まる……。
,それは白ではない。…極限まで眩い黄金の色。
,そこは、……右代宮家の美しき薔薇庭園だった。
,しかし、薔薇の花は全て黄金。
,……蜜も黄金色。それに集まる蝶たちも、また黄金。
,…………ここが、黄金郷…………。
,マリアージュ・ソルシエールの魔女たちが、やがて導かれる約束の地…。
,そこでは全ての願いが叶い、全ての魔法と夢が生まれ出す。
,…………その、黄金の薔薇の園に、……………二人の、そして二人だけの魔女がいた。
,私という招かれざる客人が現れ、その不穏に天気が揺らぐ。
,………ざぁっと、彼女らにとって不吉な風が、黄金の薔薇をうねらせた。
,その風が散らす黄金の花びらによる、あまりに美し過ぎる光景は、紛れもなくこの世ならざるものだった……。
,黄金の薔薇の小道を散策していた二人は私の姿に気付き、驚く。
Ushiromiya Maria,「……縁寿……？………ベアト、縁寿だ……！！」
{f:5:Beatrice},「……………どうやってここへ…？………引き取られよ。妾はもはや、ここへは誰も招かぬのだ。」
,ベアトは冷たく言い放つ。………かつて不敵に嘲笑って見せた彼女とはまるで別人のよう。
,心を閉ざし、真里亞お姉ちゃんと二人だけの世界に閉じ篭っているのだ。
,仲良しの真里亞お姉ちゃんといつまでも二人きりで、魔法談義をしながらお茶を飲んでいられる世界。
,……誰にも急かされず、何にも拒まれない。
,傷つけるかもしれないような誰一人すらも、彼女ら以外に存在しない世界。
,そう、それは二人にとって完成された、もはや小さな宇宙……。
Ushiromiya Ange,「………悪いわね。……あんたに、ここに引き篭もられちゃ困るのよ。………私たちは、あんたが戻ってこなきゃ、ゲームが進まないの。」
{f:5:Beatrice},「妾は飽きたから止めたと言った。もうゲームには戻らぬ。」
Ushiromiya Maria,「……………ベアトはね、ずっとここで真里亞と一緒にいるの。ここで一緒にお茶を飲んでね、色々な遊びを考えるの…！縁寿も一緒に遊んでいいんだよ。」
{f:5:Beatrice},「……マリア。それはならぬと言ったはず。妾にはそなただけがいれば良い。だからそなたも、妾だけがいれば良いと、言っておくれ。」
Ushiromiya Maria,「…………………。……うん。……ありがとう。真里亞を、そこまで必要としてくれる人は、ベアトだけだよ。なら、ベアトと一緒にいる。二人きりでいい。」
{f:5:Beatrice},「………マリア……、……すまぬ……。…………ありがとう………。」
,ベアトは真里亞を深く抱き、その組み合った腕の中に温かな宇宙さえ生み出していた…。
,………多分それは、世界でもっとも小さい宇宙の誕生。…互いを必要とし合う二人が生み出せる、世界でもっとも小さい宇宙…。
,それはどんなに小さくても、完成された世界。…………でも、私は切り裂かなくてはならない。…………………。
Ushiromiya Ange,「……悪いけど。………そういうわけにはいかないの。私はこの、マリアージュ・ソルシエールの黄金郷を、ぶっ壊しにやって来たわ。」
{f:5:Beatrice},「…………なぜ、……妾の世界を、……壊すのか………。こ、この世界が妾と真里亞以外の誰に迷惑を掛けたというのか……？！」
Ushiromiya Ange,「あんたが始めて、終わらせずに放ったらかしたゲームで、お兄ちゃんがずっと待たされてるッ！　あんたが席に戻らなくちゃ、勝負は永遠に終わらないのよ…！！」
{f:5:Beatrice},「………ははははは、は…！あのゲームに、もはやプレイヤーはひとりもおらぬわ。戦人は消え去り、妾もまた消え去りここにいる。あのゲームはもはや終わったのだ。」
Ushiromiya Ange,「終わってないッ！　あんたの始めたゲームでしょう！！　最後まできっちり責任を持って終わらせなさい！
Ushiromiya Ange,戦人を打ち負かし、あなたが本当に望んだ世界を生み出すか！　あなたが打ち負かされ、あなたの魔法に飲み込まれた全てを解放するか！！　しっかり最後まで責任を取りなさいッ！！」
Ushiromiya Maria,「……………駄目だよ、縁寿。ベアトはこの世界で、真里亞と永遠に二人きりで過ごすの。……真里亞も、ベアトさえいれば、他には何もいらないの。……ここでは全ての願いが叶う。全てがある。」
,…………この黄金郷は、真里亞お姉ちゃんとベアトリーチェの二人の想いの結晶だけで作られている。
