Speaker,PC Japanese (JP)
,チェス盤の上に置かれた白い駒が２つ。
,……それを取り囲む無数の黒い駒は、もはやマスの上にさえ収まらずに、ぎっしりと取り囲んでいる。
,そしてその白い駒２つを、ベルンカステルは指で突いてパタリと倒し、……盤の外へ取り除く。
{f:5:Bernkastel},「こんなところで、おしまいでいいかしら。」
{f:5:Featherine},「………うむ。やはりそなたの朗読は耳に馴染むぞ、我が巫女よ。」
{f:5:Bernkastel},「あんたのお望み通り、ハラワタの内側まで掻き出してやった。答え合わせには、これで充分でしょう？」
{f:5:Featherine},「うむ。……実に満足しているぞ。そなたが明かした答えを鍵に、これまでの物語を遡り、まるで宝石箱のような密室の数々を、一つずつ開いていこう。」
{f:5:Featherine},「………鍵を得ることは楽しい。そして、その鍵で個々を開いていくことは、もっと楽しい。ご苦労であった、我が巫女よ。これより先は、私ひとりでゆっくりと思考を楽しみたい。もう充分であるぞ……。」
,観劇の魔女は、余韻を楽しむかのような満足な笑みを浮かべ、揺り椅子に深々と身を預ける。
,もはや、ゲーム盤は必要ない。
,これまでの物語を、自分の頭の中で遡り、自分の推理が正しかったかどうか、検証するだけだ。
,それは上等な酒にも負けぬ、心地良き酩酊を与えてくれているようだった……。
{f:5:Bernkastel},「………私はこれで用済みかしら？」
{f:5:Featherine},「ご苦労であった、我が巫女よ。その任を解く。……私は再び眠りに就く。この心地良きまどろみを、数百年にわたって楽しみたい。」
{f:5:Featherine},「そして私が再び飽きる時。……そなたは私を楽しませるために、また新しい物語を見つけてくるのだ。……それまでの数百年のひと時。そなたの自由を許す。」
{f:5:Featherine},「ふっふふふふ………。天晴れであったぞ、ベルンカステル、可愛い可愛い、我が巫女よ……。」
{f:5:Bernkastel},「………知ったことじゃないわ。勝手に干からびて死になさいよ。じゃあね、未来永劫さようなら。」
{f:5:Featherine},「数百年如きを、そなたは未来永劫と呼ぶというのか？くっくくくくく……………。…………………………………。」
,フェザリーヌの意識は、ゆっくりと薄れていく。
,主がゆっくりと眠りを深めていくのに応えるように、……彼女の書斎の灯りたちも、ゆっくりと暗くなっていく。
{f:5:Bernkastel},「永遠にお休み、アウアウローラ。…………このゲーム盤はあんたにはもう不要よね。私がもらっていくわ。」
,ベルンカステルは、フェザリーヌの揺り椅子の前の、テーブルに置かれたベアトのゲーム盤を、こつこつと二度叩く。
,すると、ゲーム盤と駒は宙に浮き上がり、ぱたぱたと、一人で仕舞われて畳み、突き出したベルンカステルの右手に、そっと乗った。
{f:5:Bernkastel},「……私、まだ全然ゲームマスターをやっていないのよ？　……私はベアトの葬儀をやっただけ。そしてハラワタを引き摺り出しただけ。…………まだ、何にもやっちゃいない。」
,ベルンカステルの笑みが、一際邪悪に歪む。
,そしてゲーム盤は再びふわりと浮き上がり、………ベルンカステルの手の平の上に、世界を広げ出す……。
{f:5:Bernkastel},「さぁ、ベアトのゲーム盤の駒たち……？　私を最高に楽しませる、最高に残虐な物語を紡がせてあげるわ。慄きなさい、約束された絶対の運命を。……奇跡の魔女、ベルンカステルの名において。……そして、ベアトのゲームの、最後のゲームマスターとして宣言するわ。」
{f:5:Bernkastel},「……ただ宣言するだけじゃつまらないわね。……ベアトのゲームに則って、赤き真実で宣言してやった方がいいかしら？」
