Speaker,PC Japanese (JP)
,今年の薔薇庭園も実に見事だった。薔薇たちは競い合うかのように咲き乱れている。
,その薔薇庭園に、金蔵と嘉音、そして夏妃の姿があった…。
Ushiromiya Kinzo,「今年も良い花をつけたな。お前の手入れの賜物か。」
Kanon,「………ありがとうございます。今年は気候が良かったもので。」
Ushiromiya Natsuhi,「普段にも増して、庭園が美しく保たれていますね。見事です。」
Kanon,「ありがとうございます…。」
Ushiromiya Kinzo,「今日という日でさえなかったなら…。薔薇を愛でながら、紅茶を楽しむことも出来ただろうに。」
,金蔵は肩を竦める。今日は親族会議だからだ。
,……他の息子兄弟の事業がうまく行っているという話は聞こえてこない。
,それどころか、またしても金蔵の余命の話に及び、その遺産についての暗闘を繰り広げるつもりだろう。
Ushiromiya Kinzo,「……不愉快なヤツらだ。時に、蔵臼の方はどうなのか。例の、借金返済の計画は無事に進んでいるのか。」
Ushiromiya Natsuhi,「確かに、現実性のある計画のようです。………ただ、計画の規模がだいぶ大きいようで、なかなか思い通りに結実しないようです。」
Ushiromiya Kinzo,「可能ならば、今日の親族会議を迎える前に、何とかしたかったものだな。」
Ushiromiya Natsuhi,「……はい。申し訳ございません。」
{f:5:Beatrice},「良いのか、金蔵。そんなところをのんびり散歩しておって。」
,どうやって、そこに上がったやら。……いや、魔女にそれを悩んでも無意味だ。
,東屋の屋根の上に、ベアトリーチェはのんびり腰掛け、まるで日向ぼっこを楽しむかのようだった。
{f:5:Beatrice},「反魔法の毒素の塊である、親族どもが押し掛けてくるのだぞ。鉢合わせになったら、そなたの魂など、一瞬で蒸発してしまうぞ。」
Ushiromiya Kinzo,「ふっ。すでに死んだ身だ。蒸発もまた、小気味が良いというもの。」
Ushiromiya Natsuhi,「……そういうわけには参りません。どうか右代宮家のために、もうしばらくお力をお貸し下さい。」
{f:5:Beatrice},「夏妃。親族どもの乗った船がこちらへ向かったようだぞ。そろそろ散歩は終わりにした方が良かろうな。」
Ushiromiya Natsuhi,「……そうですか。ありがとう。…お父様は書斎へお戻り下さい。」
Ushiromiya Kinzo,「やれやれ…。この絶好の日和なのにな、残念だ。」
{f:5:Beatrice},「愚痴るな金蔵。今のそなたは、妾に生かされているだけの幽霊であろうが。そなたに毒素で消し飛ばれては、妾も夏妃も困るのでな。大人しく書斎へ閉じ篭り、布団でも被っておれ。くっくくくくく！」
Ushiromiya Kinzo,「ふっ。……死してなお薔薇を愛でる機会を与えられただけでも、幸運とする他ないな。わかった。書斎へ戻ろう。」
