Speaker,PC Japanese (JP)
,船が大きくガクンと揺れる。
,船着場に接岸したようだった。船の人が出てきて、舫い綱を持ちながら埠頭に飛び移る。
,そこにはタキシード姿の大柄な男がいて、俺たちをにこやかな笑顔で迎えていた。
,……面識はないが、服装から右代宮本家の使用人だろうと察する。
Gohda Toshiro, 「お嬢様、お帰りなさいませ。だいぶ遅かったので心配いたしておりました。」
Ushiromiya Jessica, 「うん、心配ありがと！　ウドの大木が怖がっちゃってよー。それで徐行運転だったってわけ。マジでうぜーぜ！」
Ushiromiya Battler,「う、うるせー…、いつか逆の立場になったら覚えてろー、…ぅぅ。」
,この調子じゃ、親族中に言いふらされて、今日の晩餐は俺の話題で持ちきりだな。
,ただでさえ６年ぶりってことで話題にされやすいってのに、さらに美味しい話題まで提供しちまうとは…！
,畜生、何で右代宮本家は離島なんかに住んでんだー！
,そうこうしている内に、船の接岸は終了した。下船用の小さな橋板が掛けられる。
,船内からぞろぞろと親たちも上がってきた。
Gohda Toshiro,「皆様、長旅お疲れさまでした。奥様、お手をどうぞ。」
Ushiromiya Eva,「ありがと。お久しぶりねぇ、郷田さんもお元気？」
Gohda Toshiro,「ありがとうございます。お陰様で毎日元気にお勤めをさせていただいております。」
Ushiromiya Kyrie,「戦人くんは郷田さんとは初対面じゃない？　確か６年前はお勤めじゃなかったですよね？」
Gohda Toshiro,「はい。ですので、戦人さまとは初めてご挨拶させていただきます。初めまして、戦人さま。」
Ushiromiya Battler,「……俺も立っ端にゃ多少の自信があったんだが、でっけぇ人だなぁ。…紛れもなく初対面だぜ。こんな大男、会ったら絶対忘れないさ…！
Ushiromiya Battler,どうも初めまして。戦人っす。」
Gohda Toshiro,「お待ち申し上げておりました。一昨年から右代宮本家にお仕えさせていただいております、使用人の郷田と申します。
Gohda Toshiro,どうぞよろしくお願いいたします。何かご用命がございましたら、いつでもお申し付けください。」
Ushiromiya George,「郷田さん、お久しぶりです。」
Gohda Toshiro,「譲治さま、ご無沙汰をいたしております。お手をどうぞ。」
Ushiromiya Hideyoshi,「あんた、相変わらず大した接客のプロや…。もし職に困ったらいつでもわしに声を掛けんやでぇ。いつでも雇ったる！」
Gohda Toshiro,「これは身に余る光栄です。どうぞお手を、秀吉さま。」
,郷田さんは、その後も全員の下船を補助して挨拶をしていた。
,挨拶や仕草が洗練されていて、何と言うか、プロの身のこなしだ。
,見かけのゴツさの割りにとても優雅だった。
,大男特有の威圧感があるので怖い人かと思っていたが、想像するよりずっと礼儀正しい人だ。
,勤めて２年と言ってるが、その前にもどこかで同じような職だったに違いない。
,全員が下船すると、舫い綱は解かれ、船は船着場を離れ始める。
,新島の母港へ引き上げるのだろう。
,船長がお別れの手を振ってくれる。真里亞も律儀に手を振り返していた。
Ushiromiya Battler,「…………ん〜、何だかさっきから違和感があると思ったら、あれだな。うみねこの声を聞いてないぜ。」
Ushiromiya Jessica,「うみねこぉ？　鳥のか？」
,この島に来るといつも、うみねこがにゃあにゃあと賑やかな声で迎えてくれたんだっけ。
,そのせいで、ここ以外でうみねこの声を聞いても、親族会議に来ているような気分になる。
,六軒島は、右代宮本家が住んでいる極めて一部分以外は、手付かずで放置されているため、野鳥の天国になっているらしい。
,どっかの岸壁がうみねこの巨大コロニーになってるらしく、この島はいつもはうみねこだらけなのだ。
,そのうみねこの歓迎がなかったので、どこか少しだけ寂しかった。
Ushiromiya Rosa,「どうしたの、戦人くん。」
Ushiromiya Battler,「あぁ、楼座叔母さん。…いやぁ別にぃ、うみねこの声が聞こえないんで、何か寂しいなぁ〜って。」
Ushiromiya Rosa,「あら、そう言えばそうね。いっつも賑やかなのに、今日はさっぱりいないわね。」
Ushiromiya Maria,「……うー？　どうしてうみねこいない？」
Ushiromiya Rosa,「うーん、うみねこたちも今日は他所で集まりがあるからかな？　真里亞もうみねこ見たかったの？」
Ushiromiya Maria,「うー、見たかった。」
Ushiromiya Battler,「何だってこうも丸っきりいねぇんだー？　朱志香がみぃんな焼き鳥にして食っちまったんかなぁ！」
Ushiromiya Maria,「……うー？！」
Ushiromiya Jessica,「ぶ、物騒なこと言うんじゃねぇー！　真里亞が勘違いするだろー！！」
Ushiromiya Maria,「うーうーうー！　朱志香お姉ちゃんが焼き鳥にした、焼き鳥にしたー！　うー！！」
Ushiromiya Jessica,「してないしていない！　そんなの私がするわけねえだろ？！」
Ushiromiya Battler,「そうだそうだぁ〜、朱志香が焼き鳥にしたんだー！　皮につくねにレバーにねぎまぁ〜ん！」
Ushiromiya Maria,「ワワに靴練り！　レバーにねぎまぁーん！！　うーうーうー！　あははあはは！　きゃっきゃ、きゃっきゃ！」
,朱志香を囃し立てると、真里亞も面白そうに俺に追従してくれる。
,おぉ、こんなにもノリのいいやつだったのか！よしよし、今日から俺の子分１号に加えてやるぜ！
,笑いかけてやると、ささやかな連帯感が嬉しいのか、とても嬉しそうに笑った。
Ushiromiya George,「違うよ、真里亞ちゃん。野鳥って天気や気圧の変化に敏感なんだそうだよ。今夜辺り、天気が崩れそうだしね。巣へ早めに引き上げてるのかもしれないね。」
Ushiromiya Maria,「…………うー。焼き鳥じゃない？　朱志香お姉ちゃんが焼き鳥にしたんじゃない？」
Ushiromiya Jessica,「違う違う！！　わ、私はそんなことしないって！　ほら戦人もウソだったって認めろよ！」
Ushiromiya George,「戦人くん。真里亞ちゃんは素直な子だから、そういう冗談でも真に受けちゃうんだよ。冗談も少し選んだ方がいいよ。」
,…譲治の兄貴にしっとりやんわりとお説教される。
,…図体のでかさだけは兄貴を上回っても、やっぱり兄貴は兄貴だ。素直に謝るしかねぇ。
Ushiromiya Battler,「お、おう、悪ぃ悪ぃ…。　真里亞、今のは冗談だ。うみねこたちは今日は巣で大人しくしてるってさ。」
Ushiromiya Maria,「……戦人はウソ？　譲治お兄ちゃんは本当？」
,せっかく楽しかったのに、実は騙されていた…？無垢な瞳が俺を責めるようだ。……ちょいとさすがに悪ノリし過ぎたかもなぁ。
Ushiromiya Battler,「あぁ、そうだそうだ。譲治兄貴が言ったのが本当だ。天気が悪いんで今日は引き上げたんだろうよ。いなくなったわけじゃないんだぜ？　ねぇ叔母さん！」
Ushiromiya Rosa,「そうよ。明日以降、天気が良くなったらきっと戻ってきて、みゃーみゃーと声を聞かせてくれるわ。」
Ushiromiya Maria,「うー。天気良くなって戻ってくるの待つ。明日まで待つ。天気良くなるまで待つ。うーうー！」
,真里亞は機嫌を直し、うみねこが空いっぱいに帰ってくる明日を楽しみにするのだった。
,それにしても譲治の兄貴は小さい子の面倒を見るのがうまいぜ。
,…６年前のガキンチョだった俺も、兄貴にいい感じで面倒を見られてた気がするし。
,……兄貴、ちょっとした才能なのかもしれないなぁ。
Ushiromiya Rosa,「譲治くんは小さい子の面倒を見るのがうまいわね。保育士さんでも勤められるんじゃない？」
Ushiromiya Jessica,「あー、譲治兄さんの天職っぽいぜ。私的には社長室でビジネスってより、そっちの方が兄さんのイメージだぜ？」
Ushiromiya George,「まさか。保育士さんは立派なお仕事だよ。単なる子供好き程度に務まる仕事じゃないね。」
Ushiromiya Rosa,「本当に譲治くんは謙虚ね。でも、戦人くんも子供のあやし方が上手よ？　さっきはほんの少しの間だけど、真里亞、とっても楽しそうだった。これからも今みたいに遊んであげてね。冗談は選んで、だけどね？　くす。」
,楼座叔母さんがくすりと笑いながら、ウィンクするような仕草をしてくれた。
,真里亞の楽しそうな仕草が嬉しかったという辺りは、なるほど母だなぁと思った。
Ushiromiya Rudolf,「おおい、楼座ぁ。それにガキ共も何やってんだ、行くぞー。」
