Speaker,PC Japanese (JP)
,聞こえるのは、雨の音と、真里亞が見続けているテレビの幼児番組の音声、そしてそれに夢中でけたけたと笑い続けている真里亞の声だけだった。
,だからつまり、……この世のものとは思えない惨状を目にして呆然としながら帰ってきた彼らを迎えたのは、テレビに笑い転げる真里亞の笑い声だったことになる…。
,戻ってきた彼らは、真里亞の母である楼座の死を何と伝えればいいかわからず、息苦しく沈黙するしかできない。
,真里亞は最初、自分の顔をジロジロと見る彼らに怪訝な顔を返したが、自分を咎めているわけではないらしいと結論付けると、それらを無視して再びテレビに没頭するのだった…。
,子どもたちは無言でソファーに深く腰をかける…。ショック状態で頭が真っ白になっているのだろう。
,みんなあれだけ泣き、悲しんだのに、…今は全ての感情を失ってしまったかのような表情で、ただぼんやりと座っている…。
,嘉音だけはいつものような落ち着いた表情に戻っていた。…しかし、だからといって、ショックが拭えたとは限らないだろう。
,…何もない虚空を睨み続けている彼の目には、今は何も映っていなかった…。
,秀吉はそわそわしながら、先ほどの惨状を思い出しては、信じられない、この世のものとは思えない、悪魔の仕業やと呟き続けている。
,それらを時々、問い掛けの形に変えて南條にぶつけていたが、南條は医者らしく冷静に、少し見ただけでは何もわからない、警察が調べなければわからないと繰り返すのだった。
,でも、南條が冷静に見えたのは、あくまでも興奮や恐怖が抑えられない秀吉に比べればというだけの話。
,南條も実際は強いショックを受けていて、顔面は蒼白だった。
,そんな中だからこそ、リーダーシップを発揮しようと奮い立つのだろうか。
,夏妃は普段と変わらぬ態度のように見えた。そしてきびきびと指示をする。
Ushiromiya Natsuhi,「……私はお父様のところへ行ってきます。…源次は急ぎ、警察へ連絡を。」
Ronoue Genji,「かしこまりました…。」
Ushiromiya Eva,「私も一緒させていただいていいかしら、夏妃姉さん？　……蔵臼兄さんがいなくなった以上、お父様の補佐は私の仕事だもの。その私が夏妃姉さんに任せっきりでここでくつろいでるわけにはいかないわ。」
,このような事態に何と逞しいことかと、夏妃は絶句する。
,蔵臼が死んだなら、次に指揮を執るのはその妻ではなく、次の序列である自分だと、そう主張したいらしい。
,…あるいは、この非常事態に夏妃が自分を差し置いて切り盛りしているのが気に入らないのか。
,もっとも、絵羽とて直前までショックで頭が真っ白だった。
,…夏妃が指示を始めて、初めて我に帰ったのだ。
Ushiromiya Natsuhi,「………………………。……お好きになさるといいでしょう。」
,夏妃はそれ以上、何も言わず、先に歩き出す。その後に絵羽も付いていくのだった。
,…それと入れ替わるように、客間に熊沢が駆け込んできた。
