Speaker,PC Japanese (JP)
,かつて、南條が開業し、その息子に引き継いだ診療所は、今も新島に存在している。
,高齢の医師は、南條の息子ではあったが、その雰囲気はあまり似つかなかった。
Nanjo Masayuki,「わざわざお越し下さり、誠に申し訳ないのですが、特にお話することはありません。」
,南條の息子は、とても淡白にそう言い放った。
Nanjo Masayuki,「……あの島の事故が、民放で非常に不謹慎に取り上げられて以来、右代宮氏の主治医であり、友人でもあった父にも、大変心外な関心が多数寄せられました。
Nanjo Masayuki,そのいずれもが何の根拠もなく、また、父のそれまでの業績を汚すものでした。私はそれら全てについて、未だに強く憤慨しています。」
Ushiromiya Ange,「…………無理もないことと思います。私も同じようなものですので。私など、６つの時から延々です。」
Nanjo Masayuki,「そうでしたね。これは失礼。」
,医師はようやく、縁寿もまたそういった好奇の目に晒されてきた犠牲者であることを思い出す。
Nanjo Masayuki,「そんなあなたなら、当時の件にもうかかわりたくないという私どもの気持ちもおわかりでしょう。……あれは不幸な事故でした。それを事件だと騒ぎ立てたがるのは、無責任なテレビと雑誌だけです。彼らの態度には心底、うんざりさせられますよ。」
,………右代宮金蔵の数少ない友人ということで、南條は注目を浴びた。
,その為、その遺族である息子にもウィッチハンターやマスコミの執拗な取材攻勢があったのだろう。
,……医師は、延々とマスコミ批判を口にし、ひとり憤慨するのだった。
Ushiromiya Ange,「お気持ち、よくわかります。私生活に至るまで監視を受け、プライバシーも肖像権も、果ては人権さえも認められてたかわからない私ですから、そのやり場のないお怒り、よーくお察しできます。
Ushiromiya Ange,………だからこそ、私の人生をここまで台無しにしたあの事件は一体何だったのか、どうしても知りたいのです。それでここへ来ました。
Ushiromiya Ange,………私も、あなたと同じ当事者です。雑誌記者でもインタビュアーでもありません。そこを誤解しないで下さい。
Ushiromiya Ange,私は道楽でこんなところまで来たんじゃない。……私を見下すのもいい加減にして下さい。あの事件で狂わされた人生の傷跡比べをするならば、私とあなたでは比べ物にもならない。」
Nanjo Masayuki,「…………ん、……。」
,縁寿はぴしゃりと言い切る。
,まさか、これほどの強い口調で言い返されるとは思わず、医師は閉口せざるを得なかった。
,……縁寿からすれば、医師の泣き言など実に下らないのだ。
,いい加減、自分を見下して欲しくない。どれだけの日々を経て、この島まで来たのか、そろそろ理解してもらってもいい。
,医師は失言を理解し、しばらくの間、気まずそうに閉口するのだった。
Ushiromiya Ange,「当時のことを思い出すのは苦痛でしょうが、ご存知のことがあったら、何でも教えて下さい。もちろん口外はしません。
Ushiromiya Ange,私は、私の人生に決着をつけるために、今日、ここへ訪れています。……私は１８です。あの事件は、私の人生の１２年を奪った。そしてこれからも奪い続けるでしょう。
Ushiromiya Ange,……私は６歳のあの日から、ずっと暗闇に放り込まれたままなんです。そんな私でも、知る権利がないと仰るんですか…？」
Nanjo Masayuki,「………いや、…失敬。性質の悪い連中ばかりが来ていたので、私もつい身構えてしまったようです。失敬したのをお詫びします。
Nanjo Masayuki,……わかりました。他言無用を誓っていただけるなら、何でもお話します。」
Ushiromiya Ange,「ありがとう、先生。……ではお願いします。何でも結構です、話して下さい。」
Nanjo Masayuki,「……知ってのとおり、父は右代宮氏の主治医であると同時に、チェスを通じた友人同士でもありました。その親交は、右代宮氏が六軒島に移り住んできた当時からの、とても長いものでした。」
Ushiromiya Ange,「どのくらい仲が良かったのですか？」
Nanjo Masayuki,「相当、だったようです。チェスの縁で、先方の屋敷に厄介になることも少なくなかったようです。
Nanjo Masayuki,……私の口から言うのも何だが、右代宮氏は非常に気難しい方でした。そして父はそんな人間と付き合うのに長けた、非常に大らかな人だった。孤独な右代宮氏にとって、稀な友人であったことは想像に難しくないでしょう。」
Ushiromiya Ange,「当日は親族会議でした。……右代宮家の親族会議は、資産やその運用などについて厳しく問われる、さながら経営会議のようなものだったとされています。そのような席にまで出席を求められるほどに、南條先生は信頼を得ていたわけですね…？」
Nanjo Masayuki,「父は純朴な医師であり、右代宮家のような富豪の財産運用について助言できるような立場にあったとは思えません。
Nanjo Masayuki,恐らく、当時の右代宮氏は健康状況が優れられなかったでしょうから、その介添えとして呼ばれていたのでしょう。……親友の父なら、おそらく口も硬く、親族会議上の秘密もきっと漏らさないと信頼されていたに違いない。」
Ushiromiya Ange,「……当時の右代宮金蔵はかなり健康状態が悪かったのでしょうか？　カルテが残っていたりはしますか？」
Nanjo Masayuki,「事故の当日はカルテを持参していたのでしょう。右代宮氏のカルテは、残念ながらフォルダごと失われています。父のクランケですし、私も詳しいことはわかりません。」
Ushiromiya Ange,「事件の前後。何か気になるようなことはありました？」
Nanjo Masayuki,「…………………。……あるにはあります。……ですが、非常に誤解を招きそうなので、あまり言いたくはありません。」
Ushiromiya Ange,「……何ですか？　それを教えて下さい。」
,医師はしばらくの間、もったいぶったが、そこまで口にしてしまった以上、縁寿はどんなはぐらかしにも誤魔化されない。
,やがて根負けし、他言無用をもう一度誓わせた後、それを教えてくれた……。
Nanjo Masayuki,「実は、あの事故の数日後に、私の自宅に郵便が届いたのです。」
Ushiromiya Ange,「………郵便？」
Nanjo Masayuki,「それはとても奇妙な郵便でした。差出人が私になっているのですが、それは身に覚えのないものでした。何者かが、私の名を騙って出したということです。
Nanjo Masayuki,宛て先は北海道の礼文島。……北方領土の話を抜きにすれば、日本の最北端の島です。その宛て先人が何と、礼文島の住所ではありますが………、父の名前だったのです。
Nanjo Masayuki,……しかし、送付先住所が間違っているらしく、住所不明の付箋が貼られて、差出人である“私”のところへ戻ってきたわけです。」
,それは、本当に奇妙な話だった。
,差出人は、南條の息子である彼の名が記されている。……しかしそれは彼が出した郵便物ではないというのだ。
,つまり、何者かが彼の名を騙って郵送したことになる。
,そして宛て先は、北海道礼文島の“南條輝正”。
,しかし存在しない地番が記されており、現地の郵便局は配達できず郵便物を“差出人である南條の息子”に返送してきたわけだ……。
Ushiromiya Ange,「……中身は何だったんですか？」
Nanjo Masayuki,「………………………。……本当に他言無用でお願いします。私も、非常に迷惑しているんです。かといって、捨てるわけにも行かず……。」
,医師は立ち上がると本棚に向かう。
,そこには何十巻もの、観賞用だとしか思えない辞典群がずらりと並び、自分はインテリであるとこれ以上なく主張していた。
,その内の中ほどから何冊かを抜き出すと、その奥に大判の茶封筒が隠されていた。
,それを取り出し、机の上に放る。
,セロテープで厳重に封印されており、その変色と乾き具合から、１２年間封印されてきたことをうかがわせた……。
Nanjo Masayuki,「くれぐれも、………他言無用でお願いします。」
,しつこいくらいに念を押しながら、医師は高級なペーパーナイフで封印を解く。
,……そして封筒を傾けると、なかから開封済みの郵便封筒が滑り出してきた。
,封筒には重みがあり、手紙以外のものが入っていることを想像させた。
,………宛て先人は、確かに南條輝正。これだけを見ると、……あまりに衝撃的だ。
,あの事件で、南條は死体が発見されず、危難失踪によって死亡の扱いになっている。
,……にもかかわらず存在する、北海道の南條に宛てた手紙。それはまるで彼が、自らを死んだと偽って、北海道に逃亡したという風にさえ読み取れる。
Ushiromiya Ange,「……南條先生は、本当に北海道に存在を？　あるいは、同姓同名の人物が北海道に？」
Nanjo Masayuki,「父が、何かの事情で事故を逃れ、北海道で存命していたのだとしたら、私たち家族にとっては、事情にかかわらず嬉しいことです。
Nanjo Masayuki,私も初めはその可能性を考えました。……しかし、この封筒の送付先住所は存在しないのです。つまりこの封筒は、届くはずのない郵便なのです。」
Ushiromiya Ange,「…………送付者が、正しい住所を書き損じた可能性は？」
Nanjo Masayuki,「もちろん否定はできません。ですが、住所の番地を見る限り、どうもそうは思えないのです。」
Ushiromiya Ange,「………北海道礼文島礼文郡礼文町、１−２−３４−５６７。…………………。」
,礼文町まではいい。
,…しかしその後の数字は、１２３４５６７と連番で、少々の不真面目感は拭えない。
,まるで、子どもがでたらめな住所をでっちあげたかのような、そんな印象を持った。
Nanjo Masayuki,「恐らく、明らかに存在しない住所をでたらめに書いたのでしょう。この封筒は初めから、存在せず{i:届くはずのない住所}に送付されたと考えるのが自然だと思います。」
,送付先住所が存在しなければ、郵便物は通常、差出人に返送される。
,ただ、不完全な住所ではあっても、現地の郵便局の好意的努力により、可能な限り、差出人が意図した送付先が存在しないか調査されることが多い。
,それでも見つからない場合、数日の調査を経て返送されるケースもある。
,この封筒もそうだったらしく、切手の消印は、１０月３日になっていた。
,消印は新島内だ。新島から礼文島は遠く離れている。
,その上、住所もでたらめ。……返送には１週間以上の期間を経ていた。
,……つまりこの封筒は、不定期間を経て差出人に返送されることを、初めから目論んでいた可能性が極めて高いということだろう。
,何のためにそんなことを………？
,何が送られてきたのかを問う以前の段階でさえ、この封筒は謎に包まれている……。
Ushiromiya Ange,「………………中身は？」
Nanjo Masayuki,「どうぞ。」
,医師に許可をもらい、すでに口の開いている封筒を傾ける。
,すると中から、畳まれた小さな手紙と、ナンバープレートの付いた小さな鍵。それと磁気カードが溢れ出てきた。
,鍵のナンバープレートにはＡ１１２と刻印されている。……何を指すのかはわからない。
,磁気カードは真っ黒で、金文字が刻印されている。
,英語で、メンバーズと記されていた。漆黒に金文字のカードデザインは、かなりの高級感を感じさせる。
,……しかしもちろん、それだけでは何のカードなのか見当もつかない。
,……折り畳まれた手紙を広げる。そこには非常に簡潔に、以下のことだけが記されていた。
,０７１５１１２９。
,そして、誰もが知る日本の某巨大銀行の名が記され、本店とも書かれていた。
,……それだけだ。
Ushiromiya Ange,「これは………？」
Nanjo Masayuki,「……………。………貸し金庫のカードと鍵、そして暗証番号でした。それも普通の貸し金庫ではない。特別な顧客のみに許されているらしい、不気味な貸し金庫でした。」
,医師は、父の葬式後の身辺整理を終えた後、銀行本店を訪れた。
,……暗証番号と鍵と磁気カード。何か重要なものが預けられていることは間違いなく、それが何であるか、関心を持ったのは当然のことだった。
,初めはどうすればいいかわからなかった。……本来、自分の所有するものではないカードだ。
,勇気を出して行員にカードを見せると、明らかに格のある行員に対応が変わり、地下４階の大金庫室に案内された。
,そこに至るまでのセキュリティは厳重。
,医師も、不動産の謄本などの重要なものを貸し金庫に預けた経験があるが、ここのそれはまったく格が違っていた……。
Nanjo Masayuki,「……私の使っている貸し金庫の手続きと違い、カードと暗証番号、そして鍵を持っているならば、本人確認は行なわれないというシステムでした。
Nanjo Masayuki,……ですが、とにかく厳重な金庫室で、その物々しさに怯えました。……こんなところに預けざるを得ない、どんな物騒なものが待ち受けているのか、と。」
Ushiromiya Ange,「…………それで？」
Nanjo Masayuki,「カードをリーダーに通すと、暗証番号の入力を求められました。そして、そこにある８桁の数字を入力すると認証され、金庫室への入室が認められました。
Nanjo Masayuki,……すごい光景でしたよ。まるでＳＦ映画のような世界だった。薄暗い銀色の広大な部屋に、びっしりと金庫の扉が埋め尽くされているのです。」
,その部屋に、行員を伴い入場した。
,カード認証の時点で、権利のある金庫は確定しているらしく、開けられる金庫には緑ランプ、開けられない金庫には赤ランプが点灯していた。
Nanjo Masayuki,「Ａ１１２は、それらの金庫のうちの１つを示すものでした。……ちなみに、それ以外の金庫にもずらりと緑ランプが点灯していました。２０個以上はあったと思います。
Nanjo Masayuki,あるいは他の一角にももっとあったのかも。……いずれにせよ、私の鍵はＡ１１２のみ。他の金庫の中身を確かめる術はありませんでしたが。」
,医師は行員が立ち会う中、開錠し扉を開く。
,すると大き目のキャビネットのような金庫の引き出しが開き、……中から高級感あるジュラルミンケースが姿を現した…。
,それは別室に運び込まれ、そこで初めて行員は退室し、その中身と対面することとなった……。
Ushiromiya Ange,「中身は………？」
Nanjo Masayuki,「……………………。…………現金でした。」
Ushiromiya Ange,「現金？　どれほど？」
Nanjo Masayuki,「新札の百万円の束はちょうど厚みが１ｃｍになると聞いたことがあります。それが、………これだけのジュラルミンケースの中に、びっしり詰められていたのですから…。
Nanjo Masayuki,……多分、１億はあったでしょう。数えたわけではないからわかりません。手すら触れませんでしたから。私はすぐに直感しました。これは危険な金だと。」
,１億ものかさばる現金を、そのままカバンごと金庫に預けることは普通しない。
,……口座に入金して、数字に変えてしまった方がはるかに取り扱いが楽だ。
,それが出来ない時点で、何か良からぬ事情のある現金であることは明白だった……。
Nanjo Masayuki,「……私は頭が真っ白になり、すぐに関わり合ってはならないと直感しました。」
Ushiromiya Ange,「それで一切、手を付けなかった？」
Nanjo Masayuki,「はい。そのまま施錠し直し、元の金庫に預けて立ち去りました。……この鍵やカードも捨てようと思いましたが、何が起こるかわからない。その為、誰にも内緒で１２年もの間、本棚の裏に隠し続けてきたのです。………あれが何の金だったのか、私にも未だにわかりません。」
Ushiromiya Ange,「……この封筒をお借りすることは出来ますか？」
Nanjo Masayuki,「いいえ。この場で見るだけにして下さい。」
Ushiromiya Ange,「…………………。……わかりました。ではちょっと失礼します。調べ物を。」
,私は下ろしていたナップザックからお姉ちゃんの魔導書を取り出す。
,……そしてベアトリーチェがお姉ちゃんに記した文章のページを開き、その筆跡と照らし合わせる……。
Ushiromiya Ange,「……………………………………………。」
,…………特長ある筆跡は、間違いない。この一億円の現金を送りつけたのは、…………ベアトリーチェ自身だ……。
,でも、………何だろう。何かが引っ掛かる……。何だろう………。何だろう………。
,「………え、……えぇ。そんな郵便物が確か、届いた気がしますわ。かーちゃん、あれはどこにしまったっけなぁ？！」
,同じ封筒と内容物は、かつて熊沢と同居していた息子にも届けられていた。
,ただ、日々が忙しく、ばたばたとしているうちに、そのまま忘れてしまっていたようだった。
,しかし、その奇妙な中身は記憶に留まっていたらしく、縁寿がそれを告げるとすぐに思い出してくれた……。
,しばらく待っていると、お前さんはすぐにしまった場所を忘れる、と愚痴を言いながらへの字口の奥さんが、例の封筒を探し出してきてくれた……。
,差出人と宛先人の手口は南條の息子のものとまったく同じ。差出人が熊沢の息子になっており、宛先人は熊沢チヨ。
,そして送付先住所は沖縄県。沖縄県八重山郡与那国町、１−２−３４−５６７。
,与那国島は日本の最西端。そして地番はまったく同じ、適当そうな連番。
