Speaker,PC Japanese (JP)
Furfur,「あぁ、ゼパル！！　何なの、大切なお知らせって？！」
Zepar,「聞いてくれ、フルフル！　僕たちのイメージソングがＣＤになって登場するんだ！」
,「ウッソだぁああああああああッ？！」
,「「ウッソぽ〜ん！　あっははははははははははは。」」
Zepar,「いつも同じような登場じゃ飽きたとお嘆きだったからね…！」
Furfur,「ちょっぴり趣向を変えてみたの！」
Zepar,「僕たちはエンターテイナー！　そして舞台はナマモノ！」
Furfur,「たまにはアドリブもなくっちゃだわ…！」
Ushiromiya Jessica,「よ、……余計なお世話だぜッ、うぜーぜ…。」
Ushiromiya George,「……二人とも和ませてくれてありがとう。申し訳ないけど、まだ第二の試練をどうするか、僕たちは相談中なんだ。もう少し時間が欲しい。出来れば、静かな時間をね。」
Zepar,「申し訳ないね、譲治くん。その第二の試練について、本当に大切なお知らせがあるんだ。」
Furfur,「ある人には朗報！　ある人には凶報かしら？」
Zepar,「凶報の人はもう、事情を察してるだろうからね！」
,「「何の話かわからない人たちは全て朗報さ！！」」
Shannon,「…………ベアトリーチェさま…？」
{f:5:Beatrice},「………何でもありません。」
Kanon,「……………………。」
,そこには５人がいた。戦人だけが欠けている。そしてベアトの表情は暗く、ずっと俯きがちだった。
,一同は、戦人に何かあったらしいことを悟る…。
Zepar,「第二の試練を前に、戦人くんがリタイアしたことをお知らせしたい。」
,一同はざわめく。……一体何が……？
Furfur,「魔女のゲームは彼を永遠に待ってくれるけど、愛し合う二人は永遠には待てないの。」
Zepar,「恋はまさにアイスクリーム！　甘くとろけるけれど、早く食べなければ、失われてしまう。彼の復帰を待てるほど、僕たちのゲームは気長じゃない。」
Kanon,「……朗報というのは、そういう意味か。」
Ushiromiya Jessica,「へっ。……そりゃライバルが減るのは嬉しいけどよ。他人の不幸に喝采して喜ぶと思ったら大間違いだぜ…。」
Ushiromiya George,「一番強敵だと思ってた戦人くんがね…。………理由は聞かないよ。司会の悪魔たちがそういうなら、そういうことなんだろう。」
Shannon,「………では、ベアトリーチェさまはどうなるのですか…？」
{f:5:Beatrice},「………………私は、もう試練の資格を失うそうです。」
Zepar,「これは愛し合う二人の絆を確かめ合う試練だからね！」
Furfur,「今の戦人くんはそれが出来る状態じゃない。だからこの二人のペアは失格なの！　本当にお気の毒…！」
Zepar,「しかし、彼女もこの三つ巴の愛の試練の参加者の一人さ。だからこのまま、見届人として立ち会ってもらおうと思うんだ！」
Furfur,「それは名案だわ！　彼女にも、試練を乗り越えた二人を祝福する資格はあるんだもの！」
Ushiromiya George,「……君は、それでいいのかい。」
{f:5:Beatrice},「はい……。最後まで、見届けようと思います。……そして、………それでも彼がすぐに戻ってきて、資格を取り戻し、私と一緒に再び、試練に戻ってくれることを信じています。」
Shannon,「………私は、彼女に見届人の資格があると思います。」
Ushiromiya Jessica,「異論はねーぜ。」
Kanon,「……邪険にする理由もありません。」
Ushiromiya George,「しかし申し訳ないけれど、……強力なライバルが減ったんだからね。……戦人くんたちには悪いけど、今の内に、僕たちの試練を決着させておきたいところだよ。」
Furfur,「あぁ、さすがは譲治くん！　私の中ではあなたが一番の本命なの！」
Zepar,「その冷酷さを備えた愛が、むしろ熱さを際立たせてくれるんだね…！」
Ushiromiya George,「とにかく。……これで３組は２組に減り、三竦みになっていた状態は解消されたわけだ。……僕たちは、１対２で負けることに怯えてきたから、積極的に戦えなかった。」
Kanon,「………１対１なら、……ただ潔く、決闘をするだけです。」
Shannon,「………………………。」
Ushiromiya Jessica,「結局、……最初っからそうするべきだったって、単純な結論になるわけだな…。」
,４人は、誘われるかのようにゆっくりと立ち上がると、睨み合うように対峙する…。
,ベアトだけはその輪を離れ、……恋を争う若者たちの行方を、はらはらとしながら見守っていた。
,……どちらの恋人たちも、決して譲れないほどの、強い絆がある。
,なら、……それで充分なのでは。
,彼らの愛はもはや、本物。試されるまでもない。
,なのに、……どうして争わなくちゃならないの…？
,勝利した恋人たちは魔法の奇跡を得て結ばれ、……破れた恋人たちは、破綻する。
,どうして私たちは、魔法の奇跡がないと破綻すると、悪魔に約束されているの…？
,………どうしてこんな悪魔のゲームが必要なのか、……わからない。
,うぅん、今は彼らのことなどどうでもいい…。
,あの密室から、戦人さんを助け出すために、……脱出のトリックを、一刻も早く考え出さなきゃ……。
{f:5:Beatrice},「…………戦人の話を聞いた。厄介なことになったらしいな。」
{f:5:Beatrice},「お姉様……。」
{f:5:Beatrice},「可愛い妹にして、一なる自分の片割れであるそなたを、妾も助けたい。……妾なりに戦人の密室の謎に挑んでいるが、………これは難解だ。まるで、ただの鎖を、知恵の輪だと偽られているかのようにさえ感ずる…。」
{f:5:Beatrice},「ラムダデルタさんに言われました。……かつてのベアトリーチェなら、絶対に解けるトリックだって。……お姉様にはわからないんですか？」
{f:5:Beatrice},「そのかつてのベアトリーチェという存在は、妾たちが一つの姿となった、完成された姿のことだ。……妾とて、その身の一部分に過ぎぬ。解ける道理はない…。」
,それはつまり、……未完成な自分たちには、いくら考えてもわかるはずがないという意味。
