Speaker,PC Japanese (JP)
Clair,「…………これで。……私の話は、おしまいです。」
{f:5:Bernkastel},「あら。……それでおしまい？　そこからの２年間が楽しいんじゃないの…？」
Willard H. Wright,「必要ねェ。……どれだけ苦しみ、葛藤したか。過去のゲームであれだけ語らせて、これ以上、語らせる必要はねェ。」
Ushiromiya Lion,「…………魂が満たない家具たちの葛藤、………ですか。」
Clair,「決闘はしたのです。決着も、つきかけていました。………しかし、１９８６年という年は、……余りに無慈悲が過ぎました。」
Willard H. Wright,「……運命を、呪ったろうな。」
Clair,「はい。………あと１年、早ければ。……あるいは、遅ければ。」
Willard H. Wright,「決闘の勝敗は、違う形ではあっても、ついただろうな。」
,クレルは沈黙し、俯く。
,……時間さえ、与えられれば。あるいはむしろ逆で、悩む時間さえ与えられなかったなら。
,全てが、恨めしい。なぜ、どうして、……１９８６年なのか。
Clair,「私は、……委ねる、決断をしました。」
Ushiromiya Lion,「………委ねる……。」
Clair,「先代当主より全てを受け継いだ儀式の時のように。……私もまた、奇跡という名の運命に身を委ねることを選びました。」
,ルーレットに、身を委ねたといった方が、正しいかもしれない。
,私は、私たちは、……自分たちの運命さえ決められなくて。全てを運命に託したのです。
,誰かが、報われるかもしれない。あるいは全員が結ばれて、解放されるかもしれない。さもなくば誰かがこの愚行を、止めてくれるかもしれない。
Clair,「……どの運命をルーレットが指し示そうとも。私はそれに従うことにしました。私は、運命に、抗わない。……抗ったって、……いつだって運命は私に、非情だったんですから………。」
,クレルは俯き、涙の雫を一滴、零す…。
,人の可能性は無限だと、ニンゲンたちは軽々しく口にする。しかし、無限の魔女は、……本当は有限であることを、知ってしまった。
,だから彼女は、その有限の運命の中に、無限を見出そうとした。
,自分の運命を、神に委ねることで、無限を見出そうとした。
,しかしそれは、自分の運命の放棄ではない。なぜなら、運命のルーレットに、絶対の意思で臨んだから。
,誰も碑文の謎を解けないなら、誰も絶対に逃れられない、絶対の、運命。
,それで島を閉ざした。自分ごと。
,１９８６年１０月４日から５日は、絶対の意志で封じられ、………その狭い時間と島の中で選ばれるいずれかの運命に、……彼女は身を任す。
Clair,「………これで。今度こそ、私の告白はおしまいです。……私の、事件への動機は、もう充分でしょう。………これでわからぬなら、もはや語りません。どうせ、私の心など誰も、わからぬでしょうから。」
Willard H. Wright,「そうだな。……もう、それ以上を語る必要はねェ。」
Clair,「……運命の袋小路に迷い込んだ私にとって。……理御。あなたが、どれほどの希望であるか、わかるでしょうか。」
Ushiromiya Lion,「……………………。…………私は、あなたの、別の可能性。」
