Speaker,Vietnamese (VI)
,Con thuyền rung lên dữ dội.
,Có vẻ như chúng tôi đã cập bến rồi.{n}Người lái thuyền bước ra và nhảy lên bến với sợi dây buộc thuyền.
,Một người đàn ông to lớn mặc tuxedo đang đợi chúng tôi với một khuôn mặt ấm áp và nở nụ cười thân thiện.
,"......Tôi không quen ông ta, nhưng dựa vào quần áo, tôi đoán ông ấy là gia nhân của nhà chính Ushiromiya."
Gohda Toshiro,"""Chào mừng tiểu thư trở về nhà. Cô về trễ quá, làm tôi lo lắng rồi đó."""
Ushiromiya Jessica,"""Ưm, cảm ơn vì đã lo cho tôi nhé! Chiếc thuyền làm Battler sợ vãi cả linh hồn ra. Cho nên tụi tôi phải đi chậm lại vì em ấy đó. Thật là phiền phức chết đi được!"""
Ushiromiya Battler,"""I‐im đi... Em sẽ nhớ chuyện này nếu lần sau chị gặp chuyện gì đó tương tự đấy... ugghh."""
,"Với cái đà này, cả gia đình sẽ đồn ầm lên mất. Tôi sẽ trở thành chủ đề nóng hổi để mọi người bàn khi ăn tối cho mà xem."
,"Chỉ riêng việc vắng mặt sáu năm đã đủ khiến họ xì xào rồi... mà nay tôi còn tự vẽ ra thêm cái chuyện ""hấp dẫn"" như vậy nữa...!"
,"Chết tiệt, tại sao nhánh chính của gia tộc Ushiromiya lại phải sống trên cái hòn đảo hẻo lánh này chứ!"
,"Trong lúc đó, con thuyền đã được buộc dây xong.{n}Một tấm ván nhỏ được hạ xuống để chúng tôi bước xuống."
,"Cha mẹ chúng tôi bước ra khỏi thuyền, từng người một."
Gohda Toshiro,"""Các vị hẳn đã rất mệt sau chuyến đi dài. Thưa phu nhân, xin hãy để tôi giúp bà."""
Ushiromiya Eva,"""Cảm ơn nhé. Lâu rồi không gặp, anh Gohda. Dạo này anh thế nào rồi?"""
Gohda Toshiro,"""Cảm ơn vì đã hỏi thăm. Tôi luôn rất vinh hạnh được phục vụ các vị."""
Ushiromiya Kyrie,"""Battler à, đây là lần đầu cháu gặp chú Gohda có phải không? Nếu cô nhớ không nhầm thì sáu năm trước chú ấy chưa làm ở đây, đúng chứ?"""
Gohda Toshiro,"""Quả thật vậy. Vậy nên, xin phép cho tôi được giới thiệu với cậu. Rất hân hạnh được gặp cậu, thưa cậu Battler."""
Ushiromiya Battler,"""......Tôi khá tự tin về chiều cao của mình, nhưng anh thật sự to lớn đấy. ...Chắc chắn đây là lần đầu ta gặp mặt. Nếu từng gặp người cao lớn thế này, thì tôi chắc chắn không thể quên được đâu...!"""
Ushiromiya Battler,"""Rất hân hạnh. Tôi là Battler."""
Gohda Toshiro,"""Mọi người đã rất mong ngài trở về, thưa ngài. Tôi đã phục vụ cho nhà chính của gia tộc Ushiromiya từ năm kia. Tôi tên là Gohda ({p:0:郷田}), gia nhân của cậu."""
Gohda Toshiro,"""Rất hân hạnh được làm quen. Nếu có bất kỳ điều gì cậu cần, xin hãy cứ nhờ tôi nhé."""
Ushiromiya George,"""Chú Gohda à, lâu rồi không gặp."""
Gohda Toshiro,"""Quả thật đã quá lâu, thưa cậu George. Xin để tôi được giúp cậu."""
Ushiromiya Hideyoshi,"""Anh đúng là chuyên gia đón tiếp như mọi khi... Nếu anh cần công việc gì thì cứ gọi cho tôi nhé? Tôi sẽ thuê anh ngay lập tức!"""
Gohda Toshiro,"""Ngài khen quá lời rồi ạ. Xin để tôi được giúp đỡ, thưa ngài Hideyoshi."""
,"Chú Gohda sau đó giúp từng người xuống thuyền, chào hỏi họ khi họ đi qua."
,Cách nói năng và thái độ của chú ấy có sự trau chuốt và tinh tế theo một cách rất chuyên nghiệp.
,"Chú Gohda rất thanh lịch, trái ngược hoàn toàn với vẻ ngoài có phần thô kệch ban đầu."
,"Vóc dáng to lớn khiến chú có vẻ hơi đáng sợ lúc đầu, nhưng chú ấy lại lịch sự hơn nhiều so với ấn tượng đầu tiên của tôi."
,"Chú Gohda nói đã phục vụ trên đảo được hai năm, nhưng chắc chắn đã từng làm công việc tương tự ở đâu đó trước đó."
