Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Eva,""".........This way? ......That means go this way, right............? They are......inviting me to go this way, after all.........""","""......This way? ...Go this way......? They're...inviting me to go this way......"" ",""".........This way? ......Go this way............? They are, ......inviting me to go this way.........""",「………こっち？　……こっちへ回れってことよね…………？　こいつらが、……私をこっちへ回れと、誘ってるもの………。」,「………こっち？　……こっちへ回れってことよね…………？　こいつらが、……私をこっちへ回れと、誘ってるもの………」,""".........Сюда? ......Идти этим путём? Они... приглашают меня идти этим путём...""",""".........Por aqui? ......Quer dizer que é para virar aqui, certo............? Eles estão... me convidando para seguir por aqui.........!""",「………这边？……是要向这边转弯…………？它们，……在引导我，向这边转弯呢………」,「………這邊？……是要向這邊轉彎…………？它們，……在引導我，向這邊轉彎呢………」,"""... Da questa parte? ... Andare da questa parte...? Mi sta... invitando a prendere questa strada...""",""".........This way? ......That means go this way, right............? They are......inviting me to go this way, after all.........""","""... ¿Por aquí?... Quieren que vaya por aquí, ¿no? Me están diciendo... que vaya por aquí después de todo...""",""".........ﻫﻞ ﺍﻟﻄﺮﻳﻖ ﻣﻦ ﻫﻨﺎ؟ ......ﺃﻋﺘﻘﺪ ﺃﻧﻪ ﻣﻦ ﻫﻨﺎ............؟ ﻫﺬﺍ ﺍﻟﻄﺮﻳﻖ ﺍﻟﺬﻱ ﺗُﺮﺷﺪ ﺇﻟﻴﻪ ﺍﻷﺣﺠﻴﺔ.........""",""".........This way? ......That means go this way, right............? They are......inviting me to go this way, after all.........""",""".........This way? ......That means go this way, right............? They are......inviting me to go this way, after all.........""",""".........This way? ......That means go this way, right............? They are......inviting me to go this way, after all........."""
,......!!!,...!!! ,......!!! ,……ッ！！！,……ッ！！！,......!!!,......!!!,……噌！！！,……噌！！！,...!!!,......!!!,¡¡¡...!!!,......!!!,......!!!,......!!!,......!!!
,"My heart leapt. ...Because there, ............gaping wide, ......was the opened mouth of eerie darkness.","My heart leapt. ...Because there, ......gaping wide, ...was an opened mouth in the eerie darkness. ","My heart leapt....Because there, ............gaping wide, ...was an opened mouth in the eerie darkness.",心臓が飛び上がる。…そこには、…………ぽっかりと、……不気味な暗黒が口を開けていたからだ。,心臓が飛び上がる。…そこには、…………ぽっかりと、……不気味な暗黒が口を開けていたからだ。,"Моё сердце подпрыгнуло. ...Потому что там... зиял... широко раскрытый рот прохода, ведущего в жуткую тьму.",Meu coração saltou. ...Porque bem ali... estava a escuridão... com sua boca completamente escancarada.,心脏猛地一跳。…因为眼前那片阴森森的黑暗，……忽然张开了口。,心臟猛地一跳。…因為眼前那片陰森森的黑暗，……忽然張開了口。,Il mio cuore balzò. ... Perché lì... spalancata... c'era una bocca aperta nella raccapricciante oscurità.,"My heart leapt. ...Because there, ............gaping wide, ......was the opened mouth of eerie darkness.","Mi corazón se exaltó... Porque en ese lugar, abierto de par en par... estaban las fauces de la estremecedora oscuridad.",ﻓﺰّ ﻗﻠﺒﻲ ﻭﺍﺯﺩﺍﺩﺕ ﺧﻔﻘﺎﺗﻪ. ...ﺇﺛﺮ ﺭﺅﻳﺘﻲ ﻟﺸﻲﺀٍ.........ﻳﺸﺒﻪ ﻓﻤًﺎ ﻣﻔﺘﻮﺣًﺎ ﺑﺎﺗﺴﺎﻉ...............ﻭﺳﻂ ﺍﻟﻈﻼﻡ ﺍﻟﻤﺨﻴﻒ.,"My heart leapt. ...Because there, ............gaping wide, ......was the opened mouth of eerie darkness.","My heart leapt. ...Because there, ............gaping wide, ......was the opened mouth of eerie darkness.","My heart leapt. ...Because there, ............gaping wide, ......was the opened mouth of eerie darkness."
Ushiromiya Eva,"""Wh‐.........what is this... What is this......?!""","""...Wh-What's this...? What is this...?!"" ","""Wh, .........what's this... What is this......?!""",「な、………何よこれ…。何なのよこれ……？！」,「な、………何よこれ…。何なのよこれ……？！」,"""Ч... что это... Что это?!""","""O‐O que é isso...? O que é isso...?!""",「这、………这是什么…。什么呀，这个……？！」,「這、………這是什麼…。什麼呀，這個……？！」,"""C... Cos'è... cos'è questa...?!""","""Wh‐.........what is this... What is this......?!""","""¿Q‐Qué es esto?... ¡¿Qué es esto?!...""","""...ﻣﺎ.........ﻣﺎ ﻫﺬﺍ ...؟ ﻣﺎ ﻫﺬﺍ...؟!""","""Wh‐.........what is this... What is this......?!""","""Wh‐.........what is this... What is this......?!""","""Wh‐.........what is this... What is this......?!"""
,"When I strained my eyes, peering into the darkness, I saw something that looked like a light switch. ......In addition, there was a switch with open and close written on it.","When I strained my eyes, peering into the darkness, I saw something that looked like a light switch. ...In addition, there was a switch with ""open"" and ""close"" written on it. ","When I strained my eyes, peering into the darkness, I saw something that looked like a light switch.......In addition, there was a switch with open and close written on it.",暗がりに目を凝らすと、灯りのスイッチを思わせるものがあった。……他にも、開閉と書かれたスイッチもある。,暗がりに目を凝らすと、灯りのスイッチを思わせるものがあった。……他にも、開閉と書かれたスイッチもある。,"Когда я напрягла зрение, вглядываясь в темноту, я увидела что‐то вроде выключателя. ......Кроме того, на выключателе было написано ""включить"" и ""выключить"".","Quando apertei meus olhos, tentando espiar na escuridão, vi algo semelhante a um interruptor de luz. ...Além disso, havia outro botão no qual estava escrito abrir e fechar.",我往暗处定睛一看，发现了像是电灯开关的东西。……此外，还有一个写着“开关”的开关。,我往暗處定睛一看，發現了像是電燈開關的東西。……此外，還有一個寫著“開關”的開關。,"Concentrando gli occhi nell'oscurità, vidi qualcosa di simile ad un interruttore per la luce. ... In più, c'era un interruttore con su scritto ‘aperto’ e ‘chiuso’.","When I strained my eyes, peering into the darkness, I saw something that looked like a light switch. ......In addition, there was a switch with open and close written on it.","Cuando forcé mis ojos para mirar con dificultad en la oscuridad, vi algo que parecía un interruptor de luz... De igual manera, había un interruptor con ‘abrir’ y ‘cerrar’ escrito en él.","ﻋﻨﺪﻣﺎ ﺣﺪﻗﺖُ ﻣﻠﻴًّﺎ ﻓﻲ ﺍﻟﻈﻼﻡ، ﺭﺃﻳﺖ ﺷﻴﺌًﺎ ﻳﺸﺒﻪ ﺯﺭ ﺍﻹﻧﺎﺭﺓ. ......ﻭﻳﻮﺟﺪ ﺯﺭٌّ ﺁﺧﺮ ﻛُﺘﺐ ﻋﻠﻴﻪ ""ﻓﺘﺢ"" ﻭ ""ﺇﻏﻼﻕ"".","When I strained my eyes, peering into the darkness, I saw something that looked like a light switch. ......In addition, there was a switch with open and close written on it.","When I strained my eyes, peering into the darkness, I saw something that looked like a light switch. ......In addition, there was a switch with open and close written on it.","When I strained my eyes, peering into the darkness, I saw something that looked like a light switch. ......In addition, there was a switch with open and close written on it."
,"I resolutely pushed the switch for the lights, and rough lights almost like you'd find in a coal mine or something flickered on sporadically, making a staircase that stretched underground come hazily into vision...","When I resolutely pushed the switch, rough lights, like you'd find in a coal mine, turned on sporadically, making a staircase that stretched underground come hazily into view... "," When I resolutely pushed the switch, rough lights, like you'd find in a coal mine, turned on sporadically, making a staircase that stretched underground come hazily into vision...",迷わず、灯りのスイッチを入れると、まるで炭鉱か何かを思わせるようなな灯りが点々とつき、地下へ伸びる階段をぼんやりと浮かび上がらせる…。,迷わず、灯りのスイッチを入れると、まるで炭鉱か何かを思わせるような無骨な灯りが点々とつき、地下へ伸びる階段をぼんやりと浮かび上がらせる…。,"Когда я решительно нажала на выключатель, замерцал неровный свет, как в угольной шахте, едва высвечивающий ведущую под землю лестницу...","Determinada a seguir, eu apertei o interruptor, e lâmpadas grosseiras, semelhantes às que você encontraria em uma mina de carvão, cintilaram esporadicamente, fazendo entrar vagamente no meu campo de visão uma escada que se estendia até o subsolo...",毫不迟疑地打开灯的开关后，能令人联想到煤矿之类场所的、简洁朴素的灯，一盏一盏地亮了起来，向地下延伸的台阶隐隐约约地浮现了出来…。,毫不遲疑地打開燈的開關後，能令人聯想到煤礦之類場所的、簡潔樸素的燈，一盞一盞地亮了起來，向地下延伸的台階隱隱約約地浮現了出來…。,"Quando spinsi l'interruttore con determinazione, delle luci, come quelle che si possono trovare in una miniera di carbone, si accesero sporadicamente, mostrandomi una scala che si estendeva sottoterra...","I resolutely pushed the switch for the lights, and rough lights almost like you'd find in a coal mine or something flickered on sporadically, making a staircase that stretched underground come hazily into vision...","Con firmeza presioné el interruptor de las luces. Y fuertes luces, casi como las de una mina de carbón o algo así, empezaron a parpadear esporádicamente, haciendo que una escalera estrecha que llevaba bajo tierra saltara a la vista... ",ﺿﻐﻄﺖُ ﺍﻟﺰﺭّ ﺑﺤﺰﻡ، ﻭﺃﻧﺎﺭ ﻧﻮﺭًﺍ ﻣﺰﻋﺠًﺎ ﻛﺎﻟﺬﻱ ﺗﺠﺪﻩ ﻓﻲ ﻣﻨﺠﻢ ﻓﺤﻢ ﺃﻭ ﻛﺸﻲﺀٌ ﻳﻮﻣﺾ ﺑﺸﻜﻞٍ ﻣﺘﻘﻄﻊ، ﻟﺘﻜﺸﻒ ﺗﺪﺭﻳﺠﻴًﺎ ﻋﻦ ﺩﺭﺝ ﺣﺠﺮﻱ ﻳﻨﺤﺪﺭ ﻧﺤﻮ ﺍﻷﺳﻔﻞ...,"I resolutely pushed the switch for the lights, and rough lights almost like you'd find in a coal mine or something flickered on sporadically, making a staircase that stretched underground come hazily into vision...","I resolutely pushed the switch for the lights, and rough lights almost like you'd find in a coal mine or something flickered on sporadically, making a staircase that stretched underground come hazily into vision...","I resolutely pushed the switch for the lights, and rough lights almost like you'd find in a coal mine or something flickered on sporadically, making a staircase that stretched underground come hazily into vision..."
,It was creepy how it now looked even more gloomy with the lights turned on.,"Eerily enough, it looked even more gloomy with the lights turned on. ", It was creepy how it now looked even more gloomy with the lights turned on.,灯りがついたはずなのに、むしろその薄暗さを引き立てているようで不気味だった。,灯りがついたはずなのに、むしろその薄暗さを引き立てているようで不気味だった。,"Сейчас, с включенным светом, она выглядела даже более мрачной, от чего становилось лишь жутче.",Foi assustador como o lugar ficou ainda mais sombrio com as luzes acesas.,虽说是开了灯，但这反而衬托出了那份阴暗，令人毛骨悚然。,雖說是開了燈，但這反而襯托出了那份陰暗，令人毛骨悚然。,"Era spaventoso il fatto che ora, con le luci accese, sembrasse ancora più deprimente.",It was creepy how it now looked even more gloomy with the lights turned on.,"Era escalofriante como se veía el lugar, incluso más lúgubre con las luces encendidas.",ﺍﺯﺩﺍﺩﺕ ﺭﻫﺒﺔ ﺍﻟﻤﻜﺎﻥ ﻋﻨﺪﻣﺎ ﺃُﻧﻴﺮ، ﻭﺃﻣﺴﻰ ﻣﻮﺣﺸًﺎ ﺃﻛﺜﺮ.,It was creepy how it now looked even more gloomy with the lights turned on.,It was creepy how it now looked even more gloomy with the lights turned on.,It was creepy how it now looked even more gloomy with the lights turned on.
,"Other than the light switch, there was also a switch with open and close written on it.","Near the light switch was that ""open and close"" switch. "," Other than the light switch, there was also a switch with open and close written on it.",灯りのスイッチ以外にも、開閉と書かれたスイッチもあった。,灯りのスイッチ以外にも、開閉と書かれたスイッチもあった。,"Кроме выключателя, там также был переключатель с надписями ""открыть"" и ""закрыть"".","Além do interruptor de luz, havia também um botão no qual estava escrito abrir e fechar.",除灯的开关外，还有个写着“开关”的开关。,除燈的開關外，還有個寫著“開關”的開關。,"Oltre all'interruttore della luce, ce n'era uno con su scritto aperto e chiuso.","Other than the light switch, there was also a switch with open and close written on it.","Aparte de las luces, había un interruptor con ‘abrir’ y ‘cerrar’ escrito en él.",ﺑﺎﻟﻘﺮﺏ ﻣﻦ ﺯﺭّ ﺍﻹﻧﺎﺭﺓ ﻛﺎﻥ ﻫﻨﺎﻙ ﺯﺭّ ﺁﺧﺮ. ﻣﻦ ﺍﻟﻤﺤﺘﻤﻞ ﺃﻧﻪ ﻟﻔﺘﺢ ﺃﻭ ﻏﻠﻖ ﺍﻟﻤﺨﺮﺝ،,"Other than the light switch, there was also a switch with open and close written on it.","Other than the light switch, there was also a switch with open and close written on it.","Other than the light switch, there was also a switch with open and close written on it."
,"...I could probably open and close it with this, but if I was unlucky enough to find that the open part was broken, I might be closed up in this creepy underground area for all eternity...","...It would probably open or close this, but if the open part happened to be broken, I might be shut away in this creepy underground area for all eternity... ","...It would probably open or close this, but on the slight chance that the open part might be broken, I might be closed up in this creepy underground area for all eternity...",…これで、多分、開け閉めができるのだろうが、もし万が一、開けるの方が壊れていたら、私はこの不気味な地下に、永遠に閉じ込められてしまうかもしれない…。,…これで、多分、開け閉めができるのだろうが、もし万が一、開けるの方が壊れていたら、私はこの不気味な地下に、永遠に閉じ込められてしまうかもしれない…。,"...Вероятно, он мог открыть или закрыть это, но имелась небольшая вероятность, что открывающая деталь сломана, и я могу оказаться запертой в этом жутком подземелье навечно...","...Eu provavelmente poderia abrir e fechar com isso, mas se tivesse o azar de descobrir que a parte de abrir estava quebrada, eu poderia acabar presa neste subterrâneo por toda a eternidade...",…虽然用这个大概就能打开、关闭此处的出入口，但万一要是已经坏了，只能关不能开的话，那我就有可能会被永远关进这个阴森森的地下空间…。,…雖然用這個大概就能打開、關閉此處的出入口，但萬一要是已經壞了，只能關不能開的話，那我就有可能會被永遠關進這個陰森森的地下空間…。,"... Probabilmente apre o chiude questa cosa, ma considerato il fatto che potrebbe essere rotto, potrei trovarmi chiusa in questa raccapricciante area sottoterra per tutta l'eternità...","...I could probably open and close it with this, but if I was unlucky enough to find that the open part was broken, I might be closed up in this creepy underground area for all eternity...","... Probablemente pueda cerrar y abrirlo con esto, pero si tuviera tan mala suerte y la parte de ‘abrir’ estuviera rota, podría quedar atrapada en esta espeluznante área subterránea por toda la eternidad...","...ﻟﻜﻦ ﻟﻮ ﻛﺎﻥ ﺍﻟﻤﻔﺘﺎﺡ ﻣﻌﻄﻼً ﻭﻻ ﻳﻌﻤﻞ ﺇﻻ ﻓﻲ ﺍﺗﺠﺎﻩ ""ﺇﻏﻼﻕ""، ﻓﻘﺪ ﺃُﺣﺘﺠﺰ ﺇﻟﻰ ﺍﻷﺑﺪ ﺩﺍﺧﻞ ﻫﺬﺍ ﺍﻟﻘﺒﻮ ﺍﻟﻤﺨﻴﻒ...","...I could probably open and close it with this, but if I was unlucky enough to find that the open part was broken, I might be closed up in this creepy underground area for all eternity...","...I could probably open and close it with this, but if I was unlucky enough to find that the open part was broken, I might be closed up in this creepy underground area for all eternity...","...I could probably open and close it with this, but if I was unlucky enough to find that the open part was broken, I might be closed up in this creepy underground area for all eternity..."
,"So for the time being, I didn't touch the open/close switch, ......and as I readied my gun again, I slowly went down the stairs.","So for the time being, I didn't touch that switch, ...and as I readied my gun again, I slowly went down the stairs. "," So for the time being, I didn't touch the open/close switch, ......and as I readied my gun again, I slowly went down the stairs.",だから私は、とりあえず、開閉のスイッチには触れず、……銃を構え直して、ゆっくりと階段を下りていく。,だから私は、とりあえず、開閉のスイッチには触れず、……銃を構え直して、ゆっくりと階段を下りていく。,"Поэтому я решила пока не трогать переключатель ""открыть/закрыть"" и, вновь взяв ружьё на изготовку, стала медленно спускаться по лестнице.","Levando isso em conta, por um momento, eu não toquei no botão abrir/fechar, ......e, quando eu preparei minha arma novamente, eu desci as escadas lentamente.",所以我姑且不去碰那个写着“开关”的开关，……重新举起枪，慢慢地沿着台阶往下走。,所以我姑且不去碰那個寫著“開關”的開關，……重新舉起槍，慢慢地沿著台階往下走。,"Quindi, da quel momento, non toccai l'interruttore aperto/chiuso... e tenendo nuovamente pronto il fucile, scesi lentamente le scale.","So for the time being, I didn't touch the open/close switch, ......and as I readied my gun again, I slowly went down the stairs.","Así que, por el momento, no toqué el interruptor de ‘abrir/cerrar’... Y mientras preparaba mi arma, lentamente bajé por las escaleras.", ﻟﺬﺍ ﺣﺎﻟﻴًﺎ، ﻟﻢ ﺃﻟﻤﺲ ﺫﻟﻚ ﺍﻟﺰﺭّ. ......ﺟﻬﺰﺕُ ﺳﻼﺣﻲ ﻣﺮﺓ ﺃﺧﺮﻯ، ﻭﻧﺰﻟﺖ ﺑﺒﻂﺀ ﺃﺳﻔﻞ ﺍﻟﺪﺭﺝ.,"So for the time being, I didn't touch the open/close switch, ......and as I readied my gun again, I slowly went down the stairs.","So for the time being, I didn't touch the open/close switch, ......and as I readied my gun again, I slowly went down the stairs.","So for the time being, I didn't touch the open/close switch, ......and as I readied my gun again, I slowly went down the stairs."
