Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,Rosa could be seen in the parlor. ,Rosa could be seen in the parlor.,Rosa could be seen in the parlor.,楼座の姿は客間にあった。,楼座の姿は客間にあった。,Роза была в гостиной.,Rosa podia ser vista na sala de visitas.,Rosa could be seen in the parlor.,樓座身在客廳。,楼座身在客厅。,Rosa could be seen in the parlor.,Nel salotto si poteva vedere Rosa.,Rosa could be seen in the parlor.,Rosa could be seen in the parlor.
,The relatives apparently all wanted to be alone after dispersing for a short break. ,It seemed that the relatives all wanted to be alone now that they had dispersed for a short break., It seemed that the relatives all wanted to be alone now that they had dispersed for a short break.,小休止で散会した親族たちは、みんな一人になりたかったらしい。,小休止で散会した親族たちは、みんな一人になりたかったらしい。,"Все родственники, разойдясь на короткий перерыв, захотели побыть одни.",Parece que todos os parentes queriam ficar sozinhos e se dispersaram para fazer um curto intervalo.,It seemed that the relatives all wanted to be alone now that they had dispersed for a short break.,在稍事休息暫且散會後，眾親戚似乎都想要一個人待會。,在稍事休息暂且散会后，众亲戚似乎都想要一个人待会。,It seemed that the relatives all wanted to be alone now that they had dispersed for a short break.,Sembrava che i parenti volessero tutti rimanere da soli ora che si erano allontanati per una breve pausa.,It seemed that the relatives all wanted to be alone now that they had dispersed for a short break.,It seemed that the relatives all wanted to be alone now that they had dispersed for a short break.
,"Since everyone avoided the parlor, the one place where people would normally gather, Rosa was able to have this relaxing and comforting room all to herself... ","Since everyone had avoided the parlor, the obvious place for people to gather, Rosa was able to have this relaxing and comforting room all to herself..."," Since everyone avoided the parlor, the one place where people would normally gather, Rosa was able to have this relaxing and comforting room all to herself...",誰もが集まりそうな客間を、みんなが避けたためか、このゆったりとした温かな部屋を、楼座は独り占めすることが出来ていた…。,誰もが集まりそうな客間を、みんなが避けたためか、このゆったりとした温かな部屋を、楼座は独り占めすることが出来ていた…。,"Поскольку все избегали гостиной — единственного места, где люди обычно собираются, — Роза смогла остаться одна в этой расслабляющей и успокаивающей комнате...","Visto que todos evitaram a sala de visitas, um local óbvio para pessoas se encontrarem, Rosa foi capaz de ter este relaxante e confortável cômodo só pra si...","Since everyone had avoided the parlor, the obvious place for people to gather, Rosa was able to have this relaxing and comforting room all to herself...",大概是因為，大家在刻意避開感覺人人都會去的客廳吧，樓座得以獨佔了，這間舒適溫暖的房間…。,大概是因为，大家在刻意避开感觉人人都会去的客厅吧，楼座得以独占了，这间舒适温暖的房间…。,"Since everyone had avoided the parlor, the obvious place for people to gather, Rosa was able to have this relaxing and comforting room all to herself...","Dato che tutti avevano evitato il salotto, il posto dove normalmente le persone si riuniscono, Rosa riuscì ad avere quella stanza confortevole e rilassante tutta per sé...","Since everyone had avoided the parlor, the obvious place for people to gather, Rosa was able to have this relaxing and comforting room all to herself...","Since everyone had avoided the parlor, the obvious place for people to gather, Rosa was able to have this relaxing and comforting room all to herself..."
,That didn't mean she looked relaxed. Her expression was heavy with gloom and weariness. ,That didn't mean she looked relaxed.{n}Her expression was heavy with gloom and weariness., That didn't mean she looked relaxed. Her expression was heavy with gloom and weariness.,だからといって、寛げているようには見えない。彼女の表情は憂いと疲れで、ぼんやりとしていた。,だからといって、寛げているようには見えない。{n}彼女の表情は憂いと疲れで、ぼんやりとしていた。,"Это не значит, что она выглядела расслабленной.{n}Её выражение было мрачным и измотанным.","O que não significava que ela estava relaxada.{n}Sua expressão estava pesada, com uma aparência abatida e estressada.",That didn't mean she looked relaxed.{n}Her expression was heavy with gloom and weariness.,不過雖說如此，她倒並未顯得放鬆愜意。{n}她的表情既憂郁又疲憊，沒什麼精神。,不过虽说如此，她倒并未显得放松惬意。{n}她的表情既忧郁又疲惫，没什么精神。,That didn't mean she looked relaxed.{n}Her expression was heavy with gloom and weariness.,Questo non vuol dire che lei sembrava essere rilassata. La sua espressione era appesantita da tristezza e stanchezza.,That didn't mean she looked relaxed.{n}Her expression was heavy with gloom and weariness.,That didn't mean she looked relaxed.{n}Her expression was heavy with gloom and weariness.
,The cup of black tea that she had brought from the dining hall had gone cold... ,The cup of black tea that she had brought from the dining hall had gone stone cold......, The cup of red tea that she had brought from the dining hall had gone cold......,食堂から持ってきた紅茶のカップは、すっかりぬるくなってしまっている……。,食堂から持ってきた紅茶のカップは、すっかりぬるくなってしまっている……。,Принесённая ею из столовой чашка красного чая остыла......,A xícara de chá preto que ela havia trazido consigo da sala de jantar agora já estava fria como um cubo de gelo......,The cup of black tea that she had brought from the dining hall had gone stone cold......,從餐廳拿來的紅茶茶杯，已完全變得不涼不熱……。,从餐厅拿来的红茶茶杯，已完全变得不凉不热……。,The cup of black tea that she had brought from the dining hall had gone stone cold......,La tazza di tè che aveva portato dalla sala da pranzo si era raffreddata...,The cup of black tea that she had brought from the dining hall had gone stone cold......,The cup of black tea that she had brought from the dining hall had gone stone cold......
Ushiromiya Rosa,"""........."" ",""".................................""","""..................""",「……………………………。」,「……………………………」,"""..................""",""".................................""",""".................................""",「……………………………」,「……………………………」,""".................................""","""...""",""".................................""","""................................."""
,...A pleasant silence. ,......Comforting silence.,......A pleasant silence.,……心地良い静寂。,……心地良い静寂。,......Приятная тишина.,......Um silêncio reconfortante.,......Comforting silence.,……令人舒心的靜寂。,……令人舒心的静寂。,......Comforting silence.,... Un piacevole silenzio.,......Comforting silence.,......Comforting silence.
,"Now that no one was in sight, Rosa's heart finally awoke. ","Now that no one else was in sight, Rosa's heart finally awoke."," Now that no one was in sight, Rosa's heart finally awoke.",楼座の心は、他の誰の姿もなくなって初めて、覚醒するのだ。,楼座の心は、他の誰の姿もなくなって初めて、覚醒するのだ。,"В поле зрения никого не было, и сердце Розы наконец пробудилось.","Agora que não havia ninguém por perto, o coração de Rosa finalmente podia despertar.","Now that no one else was in sight, Rosa's heart finally awoke.",樓座的心，是得在無任何人在場的情況下，方可懵然初醒。,楼座的心，是得在无任何人在场的情况下，方可懵然初醒。,"Now that no one else was in sight, Rosa's heart finally awoke.","Ora che non c'era nessuno in vista, il cuore di Rosa si era finalmente risvegliato.","Now that no one else was in sight, Rosa's heart finally awoke.","Now that no one else was in sight, Rosa's heart finally awoke."
,She was always treated like a kid in the conferences with her three siblings. She had no influence at all. ,She was always treated like a kid in the conferences with her three siblings.{n}She had no influence at all., She was always treated like a kid in the conferences with her three siblings. She had no influence at all.,四兄弟の会議では、いつも自分は年下扱い。何の発言力もない。,四兄弟の会議では、いつも自分は年下扱い。{n}何の発言力もない。,На собраниях с её тремя родственниками к ней всегда относились как к ребёнку.{n}У неё не было никакого влияния.,Ela sempre foi tratada como criança por seus três irmãos durante as conferências da família. Ela não tinha influência alguma.,She was always treated like a kid in the conferences with her three siblings.{n}She had no influence at all.,在四兄妹的會議中，自己總是被視為年幼晚輩。{n}沒有任何發言權。,在四兄妹的会议中，自己总是被视为年幼晚辈。{n}没有任何发言权。,She was always treated like a kid in the conferences with her three siblings.{n}She had no influence at all.,Lei veniva sempre trattata come una bambina nelle riunioni con i suoi fratelli. Non aveva affatto influenza.,She was always treated like a kid in the conferences with her three siblings.{n}She had no influence at all.,She was always treated like a kid in the conferences with her three siblings.{n}She had no influence at all.
,"But, possibly because of that, she was apparently considered to be a neutral party. The siblings would often ask for her agreement, sometimes even treating her like a referee or a judge. ","But, possibly because of that, she was apparently considered to be a neutral party.{n}The siblings would often ask for her agreement, sometimes even treating her like an adjudicator or a judge."," But, possibly because of that, she was apparently considered to be a neutral party. The siblings would often ask for her agreement, sometimes even treating her like a referee or a judge.",しかしそのせいか、中立に思われているらしい。兄たちに同意を求められることが多く、まるで審判か裁判官のような扱いを受けている時もある。,しかしそのせいか、中立に思われているらしい。{n}兄たちに同意を求められることが多く、まるで審判か裁判官のような扱いを受けている時もある。,"Но, возможно, из‐за этого её считали нейтральной стороной.{n}Родственники часто просили у неё согласия, а иногда даже обращались к ней как к рефери или судье.","Mas, possivelmente por causa disso, ela aparentava ser considerada um elemento neutro. Os irmãos eventualmente pediam pelo consentimento dela, algumas vezes a ameaçando como um adjudicador ou um juiz.","But, possibly because of that, she was apparently considered to be a neutral party.{n}The siblings would often ask for her agreement, sometimes even treating her like an adjudicator or a judge.",不過，大概就是因為這個吧，自己似乎是被認為處於中立。{n}哥哥他們曾多次尋求自己的同意，有時還受到過恰似裁判或法官般的待遇。,不过，大概就是因为这个吧，自己似乎是被认为处于中立。{n}哥哥他们曾多次寻求自己的同意，有时还受到过恰似裁判或法官般的待遇。,"But, possibly because of that, she was apparently considered to be a neutral party.{n}The siblings would often ask for her agreement, sometimes even treating her like an adjudicator or a judge.","Ma, probabilmente per via di ciò, aveva una parte neutrale. I fratelli le chiedevano spesso se fosse d'accordo, e la trattavano a volte persino come un giudice o un arbitro.","But, possibly because of that, she was apparently considered to be a neutral party.{n}The siblings would often ask for her agreement, sometimes even treating her like an adjudicator or a judge.","But, possibly because of that, she was apparently considered to be a neutral party.{n}The siblings would often ask for her agreement, sometimes even treating her like an adjudicator or a judge."
