Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,Genji tightened his bow tie and looked outside through a crack in the curtains. ,"Genji once again tightened his bow tie, and looked outside through a crack in the curtains.","Genji once again tightened his bow tie, and looked outside through a crack in the curtains.",源次は蝶ネクタイを固く締め直すと、カーテンの隙間から外を見た。,源次は蝶ネクタイを固く締め直すと、カーテンの隙間から外を見た。,"Генджи вновь затянул свой галстук‐бабочку и через щель в шторах посмотрел, что творится снаружи.",Genji mais uma vez apertou sua gravata borboleta e olhou para o lado de fora através de uma fresta entre as cortinas.,"Genji once again tightened his bow tie, and looked outside through a crack in the curtains.",源次繫緊蝶形領結，從窗簾的縫隙間向外望去。,源次系紧蝶形领结，从窗帘的缝隙间向外望去。,Genji tightened his bow tie and looked outside through a crack in the curtains. ,"Genji ancora una volta si strinse il papillon, e guardò all'esterno tramite uno squarcio nella tenda.","Genji si strinse nuovamente il papillon, e tramite uno spiraglio delle tende, guardò fuori la finestra.",Genji papyonunu bir kez daha sıktı ve perdelerdeki aralıktan dışarıya baktı.
,Maybe the rain had died down a tiny bit since the previous night. ...But the thick rainclouds didn't seem like they'd be letting any trace of the morning sun get by. ,Maybe the rain had died down a tiny bit since the previous night.{n}...But it didn't look like the thick rain‐clouds were planning to let any trace of the morning sun get by., Maybe the rain had died down a tiny bit since the previous night....But it didn't look like the thick rain-clouds were planning to let any trace of the morning sun get by.,昨夜に比べればほんの少しは雨脚も弱まっただろうか。…でも、分厚い雨雲はわずかほどの朝の太陽も、その気配さえも許すつもりはないらしい。,昨夜に比べればほんの少しは雨脚も弱まっただろうか。{n}…でも、分厚い雨雲はわずかほどの朝の太陽も、その気配さえも許すつもりはないらしい。,"Дождь, может, немного и поутих с прошлой ночи.{n}...Но было непохоже, чтобы густые дождевые облака намеревались пропустить хотя бы несколько лучиков утреннего солнца.",Talvez a chuva tivesse acalmado um pouco desde a noite anterior.{n}...Mas não parecia que as nuvens negras planejavam deixar passar qualquer traço do sol matinal.,Maybe the rain had died down a tiny bit since the previous night.{n}...But it didn't look like the thick rain‐clouds were planning to let any trace of the morning sun get by.,雨勢似乎比昨晚稍微弱了一點。{n}…但是，厚重的烏雲好像一點都不打算讓清晨的太陽露一下臉。,雨势似乎比昨晚稍微弱了一点。{n}…但是，厚重的乌云好像一点都不打算让清晨的太阳露一下脸。,Maybe the rain had died down a tiny bit since the previous night. ...But the thick rainclouds didn't seem like they'd be letting any trace of the morning sun get by. ,Forse la pioggia era leggermente cessata dalla notte precedente. ... Ma non sembrava che le nuvole scure e cariche di pioggia avessero intenzione di far uscire il sole mattutino.,"La pioggia sembrava leggermente meno scrosciante, se paragonata a quella di ieri sera... Ma i nuvoloni sembravano determinati a non far traspirare neanche un raggio di sole mattutino.",Belki de yağmur önceki geceden beri biraz dinmişti.{n}...Ama koyu yağmur bulutları sabah güneşinden geçişine izin verecek gibi görünmüyordu.
,The morning was dim and far from refreshing. ,"The morning was dim, and far from refreshing."," The morning was dim, and far from refreshing.",清々しさとは程遠い、薄暗い朝だった。,清々しさとは程遠い、薄暗い朝だった。,Утро было хмурым и далёким от освежающего.,A manhã estava escura e longe de ser agradável.,"The morning was dim, and far from refreshing.",這是個陰暗的早晨，陰暗得與清爽這詞差了十萬八千里。,这是个阴暗的早晨，阴暗得与清爽这词差了十万八千里。,The morning was dim and far from refreshing. ,"La mattina era pallida, e di certo non piacevole.","La mattina era uggiosa, e per nulla piacevole.",Sabah loştu ve ferahlatıcı olmaktan uzaktı.
Ronoue Genji,""".........It seems it will last all day after all."" ",""".........As expected, it doesn't seem that it will stop today...""",""".........As expected, it doesn't seem that it will stop today.""",「………やはり、今日いっぱいは止みそうにないか…。」,「………やはり、今日いっぱいは止みそうにないか…」,""".........Как и ожидалось, дождь вряд ли перестанет идти сегодня.""",""".........Como esperado, não parece que vai parar hoje...""",""".........As expected, it doesn't seem that it will stop today...""",「………果然今天一整天，這雨是不會停了啊…」,「………果然今天一整天，这雨是不会停了啊…」,""".........It seems it will last all day after all."" ","""... Come immaginavo, non sembra che si fermerà oggi.""","""...Come immaginavo, sembra che durerà per tutta la giornata.""",""".........Beklendiği gibi, bugün de duracak gibi görünmüyor..."""
Kanon,"""Sorry for keeping you waiting, Genji-sama."" ","""My apologies for keeping you waiting, Genji‐sama.""","""Sorry for keeping you waiting, Genji-sama.""",「お待たせしました、源次さま。」,「お待たせしました、源次さま」,"""Извините, что заставил вас ждать, Генджи‐сама.""","""Desculpe‐me por fazê‐lo esperar, Genji‐sama.""","""My apologies for keeping you waiting, Genji‐sama.""",「讓您久等了，源次先生。」,「让您久等了，源次先生。」,"""Sorry for keeping you waiting, Genji-sama."" ","""Scusi per averla fatta aspettare, Genji-sama.""","""Mi scusi per l'attesa, Genji-sama.""","""Sizi beklettiğim için özür dilerim, Genji-sama."""
,"Kanon finished checking his appearance and exited the washroom. On their normal schedule, it was rare for anyone to have to suffer going straight from a midnight shift to an early morning shift. ","Kanon finished checking his appearance, and exited the washroom.{n}In a normal schedule, it was rare for anyone to have to suffer going straight from a midnight shift to a morning shift.","Kanon finished checking his appearance, and exited the washroom. In a normal schedule, it was rare for anyone to have to suffer going straight from a midnight shift to a morning shift.",嘉音が身なりの確認を終え、洗面所から出てくる。普段のシフトなら、深夜勤から早朝勤につながるような辛いことはそうない。,嘉音が身なりの確認を終え、洗面所から出てくる。{n}普段のシフトなら、深夜勤から早朝勤につながるような辛いことはそうない。,Канон закончил приводить свой внешний вид в порядок и вышел из умывальной.{n}При нормальном расписании редко кому приходилось терпеть неудобства от перехода к утренней смене сразу же после полуночной.,"Kanon terminou de checar sua aparência e saiu do banheiro.{n}Em um cronograma normal, era difícil alguém ter de sofrer saindo direto de um turno da madrugada para um da manhã.","Kanon finished checking his appearance, and exited the washroom.{n}In a normal schedule, it was rare for anyone to have to suffer going straight from a midnight shift to a morning shift.",嘉音把衣服穿戴整齊後，從盥洗室走了出來。{n}要是按平常的排班，這種深夜班緊接早班的累人安排並不多。,嘉音把衣服穿戴整齐后，从盥洗室走了出来。{n}要是按平常的排班，这种深夜班紧接早班的累人安排并不多。,"Kanon finished checking his appearance and exited the washroom. On their normal schedule, it was rare for anyone to have to suffer going straight from a midnight shift to an early morning shift. ","Kanon terminò di prepararsi, e uscì dal bagno. In orari normali, era raro per chiunque dover eseguire il turno di mezzanotte e subito dopo quello mattutino.","Kanon terminò di prepararsi, e uscì dalla toilette. In circostanze normali, non era così faticoso passare al turno mattutino dopo aver svolto il turno di notte.","Kanon görünüşünü kontrol etmeyi bitirdi ve lavabodan çıktı.{n}Normal bir programda, gece yarısı vardiyasından sabah vardiyasına geçerken acı çekmek zorunda kalmak nadir görülen bir durumdu."
,They were on a special schedule for the two days of the family conference. ,"It was a special system, for just the two days of the family conference.", There was a special system for the two days of the family conference.,親族会議の２日間だけの特別体制だった。,親族会議の２日間だけの特別体制だった。,Однако для двух дней семейного собрания существовала специальная система.,"Era um sistema especial, exclusivo para os dois dias da reunião de família.","It was a special system, for just the two days of the family conference.",這是只在親族會議這兩天的特別安排。,这是只在亲族会议这两天的特别安排。,They were on a special schedule for the two days of the family conference. ,C'era un'organizzazione speciale durante i due giorni della conferenza di famiglia.,"Era un programma speciale, applicato solo nei due giorni della riunione di famiglia.",Bu sadece aile konferansının yapılacağı iki gün için özel bir sistemdi.
,"However, unless the typhoon passed today, the relatives' stay on this island would last until tomorrow. ","But then, as long as the typhoon didn't leave today, the relatives' stay on this island would last until tomorrow."," But then, as long as the typhoon didn't leave today, the relatives' stay on this island would last until tomorrow.",もっとも、この台風が今日も去らなければ、親族たちは明日まで島に滞在を続ける。,もっとも、この台風が今日も去らなければ、親族たちは明日まで島に滞在を続ける。,"Но если ураган не пройдёт сегодня, то родственники могут задержаться на острове до завтрашнего дня.","No entanto, contanto que o tufão não vá embora hoje, a estadia dos parentes vai durar até amanhã.","But then, as long as the typhoon didn't leave today, the relatives' stay on this island would last until tomorrow.",不過，要是台風今天還不離開，那親族們就會在這個島上逗留到明天。,不过，要是台风今天还不离开，那亲族们就会在这个岛上逗留到明天。,"However, unless the typhoon passed today, the relatives' stay on this island would last until tomorrow. ","Però, finché questo tifone non se ne va, la permanenza dei parenti su quest'isola durerà almeno fino a domani.","Tuttavia, se il tifone avesse persistito anche per oggi, i parenti avrebbero continuato a soggiornare sull'isola fino a domani.","Ama tayfun bugün gitmediği sürece, akrabaların bu adadaki ikameti yarına kadar sürecekti."
,Kanon thought it best to be prepared for the special schedule to last an extra day. ,Kanon thought that it was best to be prepared for the special schedule to be extended one more day., Kanon thought that it was best to be prepared for the special schedule to be extended one more day.,特別体制はもう１日続くと覚悟しておいた方がよいだろうと嘉音は思っていた。,特別体制はもう１日続くと覚悟しておいた方がよいだろうと嘉音は思っていた。,"Канон подумал, что лучше быть морально готовым к продлению специального расписания ещё на день.",Kanon pensou que era melhor se preparar para a extensão do cronograma por mais um dia.,Kanon thought that it was best to be prepared for the special schedule to be extended one more day.,嘉音覺得，是該做好特別安排還會再持續一天的思想準備了。,嘉音觉得，是该做好特别安排还会再持续一天的思想准备了。,Kanon thought it best to be prepared for the special schedule to last an extra day. ,Kanon pensò che sarebbe stato meglio essere preparati a prolungare i turni speciali per un altro giorno.,"Kanon pensò che avrebbe fatto meglio a prepararsi, in vista del prolungamento del programma speciale per un altro giorno.","Kanon, özel programın bir gün daha uzatılması için hazırlıklı olmanın en iyisi olduğunu düşündü."
,"The two of them left the guesthouse, opening their umbrellas. The rose garden had been devastated by the wind and rain on the previous night. ","The two of them left the guesthouse, opening their umbrellas.{n}The rose garden had been devastated by the wind and rain last night."," The two of them left the guesthouse, opening their umbrellas. The rose garden had been devastated by the wind and rain last night.",ゲストハウスを出て、二人は傘を開く。薔薇庭園は一晩の風雨で荒れてしまっていた。,ゲストハウスを出て、二人は傘を開く。{n}薔薇庭園は一晩の風雨で荒れてしまっていた。,"Двое вышли из домика для гостей, раскрыв зонтики.{n}Розарий был приведён в беспорядок ветром и дождём прошлой ночи.","Os dois saíram da casa de hóspedes, abrindo seus guarda‐chuvas.{n}O jardim de rosas havia sido devastado pelo vento e a chuva da noite anterior.","The two of them left the guesthouse, opening their umbrellas.{n}The rose garden had been devastated by the wind and rain last night.",出了賓館，兩人打開了傘。{n}玫瑰庭園因一夜風雨，已變得慘不忍睹。,出了宾馆，两人打开了伞。{n}玫瑰庭园因一夜风雨，已变得惨不忍睹。,"The two of them left the guesthouse, opening their umbrellas. The rose garden had been devastated by the wind and rain on the previous night. ","I due lasciarono la casa degli ospiti, aprendo i loro ombrelli. Il giardino di rose era stato distrutto dal vento e dalla pioggia la sera prima.","I due lasciarono la dépendance, e aprirono i loro ombrelli. Il vento e la pioggia del giorno precedente avevano devastato il roseto.",İkisi de şemsiyelerini açarak konukevinden ayrıldılar.{n}Gül bahçesi dün geceki rüzgar ve yağmur yüzünden harap olmuştu.
,"Even though they'd spent several days making it beautiful to welcome the guests, one stormy night was enough to ruin it. ","Even though they had spent several days making it beautiful to welcome the guests, it had only taken one stormy night to ruin it."," Even though they had spent several days making it beautiful to welcome the guests, it had only taken one stormy night to ruin it.",親族を迎えるために数日をかけて綺麗に手入れしたのに、それを台無しにする手間はたった一晩の風雨で充分とは。,親族を迎えるために数日をかけて綺麗に手入れしたのに、それを台無しにする手間はたった一晩の風雨で充分とは。,"И хотя у них ушло несколько дней, чтобы сделать его прекрасным для приёма гостей, понадобилась лишь одна ночь, чтобы свести их работу на нет.","Apesar de terem gasto vários dias para deixá‐lo bonito para dar as boas‐vindas aos convidados, levou apenas uma noite de tempestade para arruiná‐lo.","Even though they had spent several days making it beautiful to welcome the guests, it had only taken one stormy night to ruin it.",為了迎接親族們的到來，明明是花費了好幾天才修剪得那麼漂亮，而把這糟蹋掉，竟然只需一晚的風雨便足夠。,为了迎接亲族们的到来，明明是花费了好几天才修剪得那么漂亮，而把这糟蹋掉，竟然只需一晚的风雨便足够。,"Even though they'd spent several days making it beautiful to welcome the guests, one stormy night was enough to ruin it. ","Anche se avevano speso giorni e giorni per renderlo accogliente alla vista degli ospiti, era bastata una notte tempestosa per rovinarlo.","Nonostante avessero impiegato diversi giorni per abbellirlo in modo da poter accogliere i parenti, bastò una semplice notte di tempeste per rovinare tutto.","Konukları ağırlamak için günlerce uğraşıp güzelleştirmelerine rağmen, fırtınalı bir gece her şeyi mahvetmişti."
,Kanon sighed. ,Kanon sighed., Kanon sighed.,嘉音は溜め息をつく。,嘉音は溜め息をつく。,Канон вздохнул.,Kanon suspirou.,Kanon sighed.,嘉音不由得嘆了一口氣。,嘉音不由得叹了一口气。,Kanon sighed. ,Kanon sospirò.,Kanon esalò un profondo sospiro.,Kanon iç çekti.
