Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"......In the end, Kanon-kun did not regain consciousness. ","......In the end, Kanon‐kun did not regain consciousness.","......In the end, Kanon-kun did not regain consciousness.",……嘉音くんはついに、意識を取り戻すことはなかった。,……嘉音くんはついに、意識を取り戻すことはなかった。,......В итоге Канон‐кун так и не пришёл в сознание.,"......No final, o Kanon‐kun não recuperou a consciência.","......In the end, Kanon‐kun did not regain consciousness.",……最終，嘉音君沒能恢復意識。,……最终，嘉音君没能恢复意识。,"......In the end, Kanon-kun did not regain consciousness. ","... Alla fine, Kanon-kun non riprese conoscenza.","...Alla fine, Kanon-kun non riprese conoscenza.",......Kanon-kun bilincini geri kazanamadı.
,"Even though Doctor Nanjo and the rest did all they could to heal him... ...Of course, there was very little that could be done on an island like this without medicine or proper facilities... ",Even though Doctor Nanjo and the rest did all they could to heal him...{n}...There was very little that could be done on an island like this without medicine or proper facilities..., Even though Doctor Nanjo and the rest did all they could to heal him......There was very little that could be done on an island like this without medicine or proper facilities...,南條先生たちの懸命の治療にもかかわらず…。…いや、薬も施設もないこの島で可能な治療など元々何もない…。,南條先生たちの懸命の治療にもかかわらず…。{n}…いや、薬も施設もないこの島で可能な治療など元々何もない…。,"Несмотря на то, что доктор Нанджо и остальные сделали всё, что могли, чтобы помочь ему...{n}...Вот только мало что можно сделать на подобном острове, где нет лекарств или нужного оборудования...","Mesmo com o doutor Nanjo e o resto do pessoal fazendo tudo o que podiam para salvá‐lo...{n}...Havia muito pouco que poderia ser feito em uma ilha como essa, sem medicamentos ou instalações adequadas...",Even though Doctor Nanjo and the rest did all they could to heal him...{n}...There was very little that could be done on an island like this without medicine or proper facilities...,儘管南條大夫他們已經竭盡全力搶救…。{n}…不，在這既無設備也沒有藥品的島上，本來就談不上搶救…。,尽管南条大夫他们已经竭尽全力抢救…。{n}…不，在这既无设备也没有药品的岛上，本来就谈不上抢救…。,"Even though Doctor Nanjo and the rest did all they could to heal him... ...Of course, there was very little that could be done on an island like this without medicine or proper facilities... ","Nonostante il Dottor Nanjo e gli altri avessero fatto il possibile per curarlo... No, in primo luogo, c'era davvero poco che si poteva fare su quest'isola senza medicine o strutture adeguate...","Nonostante il Dottor Nanjo e gli altri avessero fatto tutto il possibile per farlo riprendere... Beh, in un'isola come questa, senza medicine o strutture adeguate, c'era ben poco che si potesse fare...",Doktor Nanjo ve diğerleri onu iyileştirmek için ellerinden geleni yapmış olsalar da...{n}...İlaçların ve uygun imkanların olmadığı böyle bir adada yapılabilecek çok fazla şey yoktu...
,"However, Kanon was the only human ever to confront the culprit. If only he could give us some kind of clue... ","However, Kanon‐kun was the only human ever to confront the culprit.{n}If only he could give us some kind of clue..."," However, Kanon was the only human ever to confront the culprit. If only he could give us some kind of clue...",しかし、犯人と唯一対峙した人間だった。その手掛かりをせめて聞ければ…。,しかし、犯人と唯一対峙した人間だった。{n}その手掛かりをせめて聞ければ…。,"Канон был единственным, кому удалось столкнуться с преступником лицом к лицу.{n}Если бы только он смог дать нам какую‐нибудь подсказку...","No entanto, o Kanon‐kun foi o único humano a enfrentar o culpado.{n}Se ele pudesse nos dar algum tipo de pista...","However, Kanon‐kun was the only human ever to confront the culprit.{n}If only he could give us some kind of clue...",但是，他是唯一一個和犯人對峙過的人。{n}要是至少從他口中問出一點線索來的話…。,但是，他是唯一一个和犯人对峙过的人。{n}要是至少从他口中问出一点线索来的话…。,"However, Kanon was the only human ever to confront the culprit. If only he could give us some kind of clue... ","Tuttavia, lui è stato l'unico umano ad essersi mai confrontato con il colpevole. {n}Se solo avesse potuto darci qualche indizio...","Tuttavia, Kanon era stata l'unica persona a confrontarsi col colpevole. Se solo avesse potuto darci qualche indizio...","Ancak, Kanon-kun suçluyla yüzleşen tek kişiydi.{n}Keşke bize bir ipucu verebilseydi..."
,"However, at the time they carried Kanon away, it was already... ...too late. ","But by the time he was carried here, it was already.........too late."," However, at the time we carried Kanon here, it was already.........too late.",しかし、嘉音くんは運ばれた時からもう、………手遅れだった。,しかし、嘉音くんは運ばれた時からもう、………手遅れだった。,"Но когда мы принесли Канона сюда, было уже......... слишком поздно.","Mas quando ele foi trazido para cá, já era.........tarde demais.","But by the time he was carried here, it was already.........too late.",但是，嘉音君被抬過來的時候，………已經太遲了。,但是，嘉音君被抬过来的时候，………已经太迟了。,"However, at the time they carried Kanon away, it was already... ...too late. ","Tuttavia, sin dal momento in cui abbiamo portato Kanon qui, era già ... troppo tardi.","Tuttavia, quando portarono via Kanon, era già... troppo tardi.",Ama buraya getirildiğinde çoktan.........çok geç olmuştu.
Nanjo Terumasa,"""......My sincere apologies. Without proper facilities, there was nothing I could do about such a serious wound..."" ",""".........My sincere apologies. Without proper facilities, there was nothing I could do about such a serious wound...""",""".........My sincere apologies. Without proper facilities, there was nothing I could do about such a serious wound...""",「………申し訳ありません。あのような重症を、設備のないところではどうしようも…。」,「………申し訳ありません。あのような重傷を、設備のないところではどうしようも…」,""".........Мои искренние извинения. Без надлежащего оборудования я ничего не мог сделать с такой серьёзной раной...""",""".........Minhas sinceras desculpas. Sem instalações adequadas, não havia nada que eu pudesse fazer com uma ferida tão grave...""",""".........My sincere apologies. Without proper facilities, there was nothing I could do about such a serious wound...""",「………實在對不起。傷勢太重了，沒有設備實在無能為力…」,「………实在对不起。伤势太重了，没有设备实在无能为力…」,"""......My sincere apologies. Without proper facilities, there was nothing I could do about such a serious wound..."" ","""... Le mie più sincere scuse. In quelle gravi condizioni, senza attrezzature, non c'era nulla che io potessi fare...""","""...Sono davvero affranto. Senza attrezzature di alcun tipo, non c'era nulla che potessi fare per una ferita così grave...""",""".........Gerçekten çok üzgünüm. Uygun imkanlar olmadan, böylesine ciddi bir yara için yapabileceğim hiçbir şey yoktu..."""
Ushiromiya Natsuhi,"""...No, that's perfectly understandable. Thank you so much for giving it your very best."" ","""...No, that's perfectly understandable. Thank you so much for giving it your very best.""","""...No, that's perfectly understandable. Thank you so much for giving it your very best.""",「…いえ、無理もないことです。最善を尽くして下さり、ありがとうございました。」,「…いえ、無理もないことです。最善を尽くして下さり、ありがとうございました」,"""...Нет, любой вас поймёт. Спасибо вам за то, что вы так старались.""","""...Não, isso é perfeitamente compreensível. Muito obrigada por ter feito tudo o que podia.""","""...No, that's perfectly understandable. Thank you so much for giving it your very best.""",「…別這麼說，這也是沒辦法的事。您已經盡力了，謝謝。」,「…别这么说，这也是没办法的事。您已经尽力了，谢谢。」,"""...No, that's perfectly understandable. Thank you so much for giving it your very best."" ","""... No, è perfettamente comprensibile. Grazie per aver fatto tutto il possibile.""","""...No, è perfettamente comprensibile. Grazie infinitamente, per aver dato il meglio che poteva.""","""...Hayır, bu tamamen anlaşılabilir bir durum. Elinizden geleni yaptığınız için çok teşekkür ederim."""
,"Doctor Nanjo's shirt had been sprayed by a violent spurt of blood, so it was easy to imagine the devotion with which he had tried to save Kanon's life...up until the last second. ","Doctor Nanjo's shirt had been sprayed by a violent spurt of blood, so it was easy to imagine the devotion with which he had tried to save Kanon‐kun's life, up until the very last second.","Doctor Nanjo's shirt had been sprayed by a violent spurt of blood, so it was easy to imagine the devotion with which he had tried to save Kanon's life...up until the last second.",南條先生のシャツは激しい返り血を浴び、最後の一秒まで献身的な治療に当たったことが想像できた。,南條先生のシャツは激しい返り血を浴び、最後の一秒まで献身的な治療に当たったことが想像できた。,"Вся рубашка Нанджо была забрызгана струями крови, так что было легко представить преданность долгу человека, который пытался спасти жизнь Канон‐куну до последнего мгновения.","A camisa do doutor Nanjo tinha sido pulverizada por um jato violento de sangue, então era fácil imaginar a devoção com a qual ele tentou salvar a vida do Kanon‐kun, até o último segundo.","Doctor Nanjo's shirt had been sprayed by a violent spurt of blood, so it was easy to imagine the devotion with which he had tried to save Kanon‐kun's life, up until the very last second.",南條大夫的襯衫上濺滿了噴涌而出的鮮血，可想而知，直到最後一秒他都在奮不顧身地進行搶救。,南条大夫的衬衫上溅满了喷涌而出的鲜血，可想而知，直到最后一秒他都在奋不顾身地进行抢救。,"Doctor Nanjo's shirt had been sprayed by a violent spurt of blood, so it was easy to imagine the devotion with which he had tried to save Kanon's life...up until the last second. ","La camicia del Dottor Nanjo era stata spruzzata da un violento schizzo di sangue, quindi era facile immaginare la devozione con cui aveva provato fino all'ultimo secondo a salvare Kanon.","Il camice del dottor Nanjo era irrorato da vividi schizzi di sangue, per cui si poteva immaginare lo zelo con cui aveva applicato fino all'ultimo secondo le sue cure.","Doktor Nanjo'nun gömleğine yoğun bir kan sıçramıştı, bu yüzden son saniyeye kadar Kanon-kun'un hayatını kurtarmak için nasıl bir çabayla gayret gösterdiğini tahmin etmek zor değildi."
,"Jessica was crouched in the corridor, crying softly. ...She had probably been taking care of Kanon-kun until the moment of his death. ","Jessica was crouched in the corridor, crying in anguish.{n}......She had probably been taking care of Kanon‐kun until the moment of his death."," Jessica was crouched in the corridor, crying in anguish. She had probably been taking care of Kanon until the moment of his death.",廊下では朱志香がしゃがみ込み、さめざめと泣いていた。……嘉音くんの死の瞬間を、看取ったのかもしれない。,廊下では朱志香がしゃがみ込み、さめざめと泣いていた。{n}……嘉音くんの死の瞬間を、看取ったのかもしれない。,"Джессика рыдала в коридоре, сидя на корточках.{n}......Она, должно быть, ухаживала за Канон‐куном до самой его смерти.","A Jessica estava agachada no corredor, chorando de angústia.{n}......Ela provavelmente estava cuidando do Kanon‐kun até o momento de sua morte.","Jessica was crouched in the corridor, crying in anguish.{n}......She had probably been taking care of Kanon‐kun until the moment of his death.",朱志香蹲在走廊上，不住地抽泣。{n}……或許嘉音君死去的瞬間，她看得清清楚楚吧。,朱志香蹲在走廊上，不住地抽泣。{n}……或许嘉音君死去的瞬间，她看得清清楚楚吧。,"Jessica was crouched in the corridor, crying softly. ...She had probably been taking care of Kanon-kun until the moment of his death. ","Jessica era accovacciata nel corridoio, piangendo nell'angoscia. {n}Lei probabilmente si era presa cura di Kanon fino al momento della sua morte.","Jessica era accovacciata nel corridoio, e piangeva sommessamente...Probabilmente, si era presa cura di Kanon-kun fino al momento della sua morte.","Jessica koridorda çömelmiş, acı içinde ağlıyordu.{n}......Jessica muhtemelen ölüm anına kadar Kanon-kun'la ilgilenmişti."
,"George-aniki tried to approach her with words of comfort, but when Jessica pushed him away, he stopped trying to force her to talk and left her alone. ","George‐aniki tried to approach her with words of comfort, but when Jessica pushed him away, he stopped trying to interfere and left her alone."," George-aniki tried to approach her with words of comfort, but when Jessica pushed him away, he stopped trying to force her to talk and left her alone.",譲治の兄貴が慰めの言葉を掛けているが、朱志香がそれを拒絶したため、それ以上は無理に関わろうとせず、そっとしておいていた。,譲治の兄貴が慰めの言葉を掛けているが、朱志香がそれを拒絶したため、それ以上は無理に関わろうとせず、そっとしておいていた。,"Когда Джордж‐аники подошёл к ней, стремясь высказать слова утешения, то Джессика лишь оттолкнула его, после чего он оставил её в покое.","O George‐aniki tentou se aproximar dela com palavras de consolo, mas quando Jessica o afastou, ele parou de tentar interferir e a deixou sozinha.","George‐aniki tried to approach her with words of comfort, but when Jessica pushed him away, he stopped trying to interfere and left her alone.",讓治大哥試圖用言語安慰，但也被朱志香拒絕了，所以讓治大哥不再強行搭話，而是讓她一個人安靜獨處。,让治大哥试图用言语安慰，但也被朱志香拒绝了，所以让治大哥不再强行搭话，而是让她一个人安静独处。,"George-aniki tried to approach her with words of comfort, but when Jessica pushed him away, he stopped trying to force her to talk and left her alone. ","George-aniki provò ad approcciarla con parole di conforto, ma quando Jessica lo spinse via, lui smise di provare a forzarla a parlare e la lasciò sola.","Il fratellone George le offrì parole di conforto, ma quando Jessica lo scacciò,{n}lui smise di costringerla ad interagire, e la lasciò in pace.","George-aniki ona teselli sözleriyle yaklaşmaya çalıştı, ancak Jessica onu itince, müdahale etmekten vazgeçti ve onu yalnız bıraktı."
Kumasawa Chiyo,"""......If only I hadn't let Kanon-san go alone, ......ooohhhh..."" ","""............If only I hadn't let Kanon‐san go alone...... ......ooohhhh...""","""............If only I hadn't let Kanon-san go alone......, ......ooohhhh...""",「…………私が、嘉音さんをひとりで行かせなければ……、……ううぅ…。」,「…………私が、嘉音さんをひとりで行かせなければ……、……ううぅ…」,"""............Если бы только я не отпустила Канон‐сана туда одного...... ......О‐ох‐х...""","""............Se ao menos eu não tivesse deixado o Kanon‐san ir sozinho...... ......ooohhhh...""","""............If only I hadn't let Kanon‐san go alone...... ......ooohhhh...""",「…………如果，我沒讓嘉音一個人去的話……，……嗚嗚嗚……」,「…………如果，我没让嘉音一个人去的话……，……呜呜呜……」,"""......If only I hadn't let Kanon-san go alone, ......ooohhhh..."" ","""... Se solo non avessi lasciato andare Kanon da solo... ooohhhh...""","""...Se solo non avessi lasciato andare Kanon-san da solo... ooohhhh...""","""............Eğer Kanon-san'ın yalnız gitmesine izin vermemiş olsaydım...... ......ooohhhh..."""
