Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,The Ushiromiya family conference was held once every year.{n}It took place on the first weekend of October.,"The Ushiromiya family conference was held once every year, on the first weekend of October. If a normal family were to hold a so-called ""family conference"", ",The Ushiromiya family conference was held once every year. It took place on the first weekend of October.,右代宮家の親族会議は年に一度。１０月の最初の土日に行なわれる。,右代宮家の親族会議は年に一度。{n}１０月の最初の土日に行なわれる。,Собрание семьи Уширомия проводилось раз в год.{n}Обычно оно происходило в конце первой недели октября.,A conferência da família Ushiromiya acontece uma vez por ano.{n}Ela ocorre no primeiro fim de semana de outubro.,右代宫家亲族会议每年一次。{n}在十月的第一个周六周日召开。,右代宮家親族會議每年一次。{n}在十月的第一個周六周日召開。,La conferenza della famiglia Ushiromiya si teneva una volta l'anno. Aveva luogo il primo week-end di ottobre.,La riunione di famiglia degli Ushiromiya si svolgeva una volta all'anno. Essa si teneva nel primo fine settimana del mese di Ottobre.,La conferencia familiar Ushiromiya era llevada a cabo una vez al año.{n}Tomaba lugar el primer fin de semana de octubre.,ﻳﻌﻘﺪ ﺍﺟﺘﻤﺎﻉ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﻣﺮﺓ ﻛﻞ ﻋﺎﻡ.{n}ﻭﺗﺤﺪﻳﺪﺍ ﻓﻲ ﻋﻄﻠﺔ ﺍﻷﺳﺒﻮﻉ ﺍﻷﻭﻝ ﻣﻦ ﺷﻬﺮ ﺃﻛﺘﻮﺑﺮ.,The Ushiromiya family conference was held once every year.{n}It took place on the first weekend of October.,Pertemuan keluarga Ushiromiya diadakan setahun sekali.{n}Berlangsung di akhir pekan pertama bulan Oktober.,Ushiromiya aile konferansı her yıl bir kez düzenlenir.{n}Ekim ayının ilk hafta sonunda yapılırdı.
,"If a normal family were to use a pretentious name like ""family conference"", you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other surrounded by buckets of sushi.","you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other around buckets of sushi or something. However, part of the family's great fortune had been lent out to Grandfather's children, "," If a normal family were to use a pretentious name like 'family conference', you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other surrounded by buckets of sushi.",世間一般的な家だったら、親族会議なんてもったいぶった名前で呼んだところで、久しぶりに親類が顔を合わせて寿司桶でも囲みながら挨拶する程度だろう。,世間一般的な家だったら、親族会議なんてもったいぶった名前で呼んだところで、久しぶりに親類が顔を合わせて寿司桶でも囲みながら挨拶する程度だろう。,"Если бы обычная семья употребила такое претенциозное словосочетание, как ""собрание семьи"", вы наверняка представили бы себе не более чем встречу редко видевшихся друг с другом родственников, приветствующих друг друга в окружении вёдер с суши.","Se uma família normal usasse um nome pretensioso como ""conferência familiar"", você não esperaria menos de uma reunião com vários parentes, que raramente se encontram, se cumprimentando, rodeados de baldes de sushi.",如果是世间一般的家庭的话，即使是挂着亲族会议的名衔，也最多就是和好久不见的亲戚们围着寿司桶寒暄聊个天吧。,如果是世間一般的家庭的話，即使是掛著親族會議的名銜，也最多就是和好久不見的親戚們圍著壽司桶寒暄聊個天吧。,"In una famiglia normale, anche se queste riunioni potrebbero essere chiamate conferenze di famiglia, ci si aspetterebbe che fossero niente più di un ritrovo di parenti che si vedevano raramente che si salutavano l'un l'altro circondati da un sacco di sushi.","In una famiglia qualsiasi, se si chiamasse una cosa del genere col nome altisonante di ‘riunione di famiglia’, ci si aspetterebbe un ritrovo tra parenti che non si vedono da tanto tempo, e che portano dei contenitori di sushi in segno di ospitalità.","Si una familia normal utilizara un nombre pretencioso como ""conferencia familiar"", uno esperaría que no fuese más que una reunión de familiares que se ven en contadas ocasiones rodeados de montones de sushi.",ﻟﻮ ﺃﻥ ﺃﺳﺮﺓ ﻋﺎﺩﻳﺔ ﺗﺴﺘﺨﺪﻡ ﺍﺳﻤﺎ ﺭﻧﺎﻧﺎ ﻣﺜﻞ “ﺍﺟﺘﻤﺎﻉ ﺍﻟﻌﺎﺋﻠﺔ”،ﺳﻴﺘﺒﺎﺩﺭ ﺇﻟﻰ ﺫﻫﻨﻚ ﺃﻧﻪ ﻟﻢ ﺷﻤﻞ ﺃﻗﺎﺭﺏ ﻳﺤﻴﻮﻥ ﺑﻌﻀﻬﻢ ﺍﻟﺒﻌﺾ ﻭﻳﺤﻴﻂ ﺑﻬﻢ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺍﻟﺴﻮﺷﻲ.,"If a normal family were to use a pretentious name like ""family conference"", you'd expect it to be nothing more than a reunion of rarely seen relatives who greet each other surrounded by buckets of sushi.","Jika keluarga biasa menggunakan nama megah seperti ""konferensi keluarga"", mungkin yang terbayang hanyalah reuni kerabat yang jarang bertemu sambil menyantap sushi.","Eğer normal bir aile ""aile konferansı"" gibi iddialı bir isim kullansaydı, bunun, nadiren bir araya gelen akrabaların birbirlerini kovalar dolusu suşi eşliğinde selamlamasından başka bir şey olmamasını beklersiniz."
,"However, in the Ushiromiya family, where the sons and siblings are lent great fortunes, and only those that achieve success in business are considered adults, it literally was a conference.","and no one in this family was considered an adult until they had met with success in business, so this meeting literally was a conference. "," However, because the sons and siblings had been lent a great fortune, in the Ushiromiya family, which considers only those that achieve success in business adults, it literally was a conference.",しかし、莫大な資産の一部を息子兄弟に貸し出し、事業的な成功を以って一人前と見なそうという右代宮家では、それは文字通り会議であったという。,しかし、莫大な資産の一部を息子兄弟に貸し出し、事業的な成功を以って一人前と見なそうという右代宮家では、それは文字通り会議であったという。,"Однако поскольку братьям и сёстрам было предоставлено огромное состояние, для семьи Уширомия, в которой взрослыми считали добившихся коммерческого успеха, это было собранием семьи в прямом смысле.","No entanto, na família Ushiromiya, onde os filhos e irmãos, que recebem grandes fortunas, e apenas aqueles que alcançaram o sucesso nos negócios são considerados adultos, é literalmente uma conferência.",可是，对于把巨额的资产借贷给儿女们，让他们藉着事业成功来获取荣耀的右代宫家来说，这就和字面意思一样真的是会议。,可是，對於把巨額的資產借貸給兒女們，讓他們藉著事業成功來獲取榮耀的右代宮家來說，這就和字面意思一樣真的是會議。,"Tuttavia, dal momento che a figli e fratelli era stata prestata una grande fortuna, per la famiglia Ushiromiya, che considera adulto soltanto chi raggiunge il successo negli affari, era letteralmente una conferenza.","Tuttavia, ai figli maschi era stata prestata una porzione di un grande patrimonio, e per la famiglia Ushiromiya, che considera adulto chi raggiunge il successo affaristico, questa era una riunione nel senso letterale del termine.","Sin embargo, ya que a los hijos y hermanos se les había prestado una gran fortuna, en la familia Ushiromiya, que solo consideraba adultos a los que triunfaban en los negocios, literalmente era una conferencia.",ﻭﻟﻜﻦ ﺑﺎﻟﻨﺴﺒﺔ ﻷﻓﺮﺍﺩ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ ﺍﻟﺬﻳﻦ ﺍﻛﺘﺴﺒﻮﺍ ﺛﺮﻭﺓ ﻛﺒﻴﺮﺓ، ﻭﻟﻢ ﻳﻌﺘﺒﺮﻭﺍ ﺑﺎﻟﻐﻴﻦ ﺇﻻ ﺑﻌﺪﻣﺎ ﻳﻨﺠﺤﻮﻥ ﻓﻲ ﺃﻋﻤﺎﻟﻬﻢ، ﻓﻜﺎﻥ ﻳﻌﺘﺒﺮ ﻫﺬﺍ ﺍﺟﺘﻤﺎﻋﺎ.,"However, in the Ushiromiya family, where the sons and siblings are lent great fortunes, and only those that achieve success in business are considered adults, it literally was a conference.","Tapi bagi keluarga Ushiromiya, di mana putra-putranya diberi pinjaman modal besar, dan hanya yang sukses dalam bisnis dianggap dewasa, ini benar-benar sebuah konferensi serius.","Ancak, oğullara ve kardeşlere büyük servetlerin ödünç verildiği, ve sadece iş hayatında başarıya ulaşanların yetişkin olarak kabul edildiği Ushiromiya ailesinde bu tam anlamıyla bir konferanstı."
,How much of the fortune was invested? What kind of business was conducted? How much was earned?,How much of the fortune was invested? What sort of business was conducted? How much profit was earned? , How much of the fortune was invested? What kind of business was conducted? How much was earned? ,どれほどの資産を投じて、どのような事業を行い、どれほどの収益を上げたのか。,どれほどの資産を投じて、どのような事業を行い、どれほどの収益を上げたのか。,Сколько состояния было вложено? В какой области бизнеса? Какие сделки были заключены? Сколько было заработано?,O quanto de dinheiro foi investido? Que tipos de negócios estão sendo realizados? Quanto foi ganho?,投入了多少资产，做了什么事业，获得了多少收益。,投入了多少資產，做了什麼事業，獲得了多少收益。,Che quantità di ricchezze era stata investita? Che tipo di business veniva condotto? Quanto era stato guadagnato?,"Quanti asset erano stati investiti, quali progetti erano stati intrapresi, e quanti ricavi erano stati incassati?",¿Qué porcentaje de la fortuna fue invertido? ¿Qué tipo de negocios se llevaron a cabo? ¿Cuánto se ganó?,ﻣﺎ ﻣﻘﺪﺍﺭ ﺍﻟﺜﺮﻭﺓ ﺍﻟﻤﺴﺘﺜﻤﺮﺓ؟ ﻣﺎ ﻧﻮﻉ ﺍﻟﻤﺸﺮﻭﻉ ﺍﻟﻤﺨﻄﻂ ﻟﻪ؟ ﻛﻢ ﺭﺑﺤﺖ ﻣﻦ ﺍﻷﻣﻮﺍﻝ؟,How much of the fortune was invested? What kind of business was conducted? How much was earned?,Berapa banyak modal yang diinvestasikan? Bisnis apa yang dijalankan? Berapa keuntungannya?,Servetin ne kadarı kullanıldı? Ne tür bir iş yapıldı? Ne kadar kazanıldı?
,"As a result, how much of the fortune borrowed from the main family could be repaid?{n}Or, alternatively, how much would be borrowed for future business ventures?{n}What lessons had they learned, and what could they learn from their mistakes?","As a result, how much of the fortune borrowed from the main family could be repaid? Or, possibly, how much more would be borrowed for future business ventures? What lessons had they learned, and what could they learn from their mistakes? ","As a result, how much of the fortune borrowed from the main family can be repaid? Or, possibly, how much will be borrowed for future business ventures? What lessons have they learned, and what could they learn from their mistakes? ",その結果、本家より借りた資産をどれだけ返済できるのか。あるいは、さらなる事業のためにどれだけを借りるのか。どのようなことが教訓となり、どのようなことから失敗が学べるのか。,その結果、本家より借りた資産をどれだけ返済できるのか。{n}あるいは、さらなる事業のためにどれだけを借りるのか。{n}どのようなことが教訓となり、どのようなことから失敗が学べるのか。,"И, как результат, сколько из взятого у главной семьи состояния можно было вернуть и возместить?{n}Или, как вариант, сколько из состояния можно было позаимствовать на будущие рискованные предприятия?{n}Чему они научились и какие уроки извлекли из своих ошибок?","Como resultado, quanto da fortuna emprestada pela família principal pode ser reembolsada?{n}Ou, ao invés disso, quanto pode ser emprestado para futuros negócios arriscados?{n}Que tipo de lições eles aprenderam e o que eles poderiam aprender como os seus erros?",结果又能返还多少本家借与的资产。{n}或者为了新的事业要再借多少。{n}从什么样的事情上吸取了教训，从什么样的失败中学到了什么。,結果又能返還多少本家借與的資產。{n}或者為了新的事業要再借多少。{n}從什麼樣的事情上吸取了教訓，從什麼樣的失敗中學到了什麼。,"Come risultato, quanto della fortuna prestata dalla famiglia poteva essere ripagata? O, possibilmente, quanto verrà preso in prestito per future imprese affaristiche? Che lezioni avevano imparato, e cos'avevano capito dai loro errori?","E in base a ciò, quante somme della fortuna prestata dal ramo principale potevano essere ripagate? O eventualmente, quanto andava prestato per ulteriori progetti? Che lezioni avevano imparato, e cos'avevano appreso dai loro errori?","¿Y como resultado, qué porcentaje puede ser reembolsado a la fortuna principal de la familia?{n}O, tal vez, ¿cuánto debe ser prestado para futuras empresas del negocio?{n}¿Qué lecciones se han aprendido, y qué se puede aprender de sus errores?",ﻛﻢ ﺣﺠﻢ ﺍﻟﺜﺮﻭﺓ ﺍﻟﺘﻲ ﺗﻢ ﺍﻗﺘﺮﺍﺿﻬﺎ ﻣﻦ ﺍﻟﻌﺎﺋﻠﺔ ﺍﻟﺮﺋﻴﺴﻴﺔ ﻭﺍﻟﺘﻲ ﻳﻨﺒﻐﻲ ﺳﺪﺍﺩﻫﺎ؟{n}ﺃﻭ ﺭﺑﻤﺎ، ﻛﻢ ﺍﻟﻤﺒﻠﻎ ﺍﻟﺬﻱ ﺳﻴﺘﻢ ﺍﻗﺘﺮﺍﺿﻪ ﻣﻦ ﺃﺟﻞ ﻣﺸﺎﺭﻳﻊ ﺍﻷﻋﻤﺎﻝ ﺍﻟﻤﺴﺘﻘﺒﻠﻴﺔ؟{n}ﻣﺎ ﻫﻲ ﺍﻟﺪﺭﻭﺱ ﺍﻟﺘﻲ ﺗﻌﻠﻤﻮﻫﺎ، ﻭﻣﺎﺫﺍ ﻳﻤﻜﻦ ﺃﻥ ﻳﺴﺘﻔﻴﺪﻭﺍ ﻣﻦ ﺃﺧﻄﺎﺋﻬﻢ؟,"As a result, how much of the fortune borrowed from the main family could be repaid?{n}Or, alternatively, how much would be borrowed for future business ventures?{n}What lessons had they learned, and what could they learn from their mistakes?","Dan yang terpenting, berapa banyak pinjaman dari keluarga utama yang bisa dilunasi?{n}Atau sebaliknya, berapa tambahan modal yang akan dipinjam untuk bisnis selanjutnya?{n}Pelajaran apa yang didapat, dan bagaimana memperbaiki kesalahan?","Sonuç olarak, baş aileden ödünç alınan servetin ne kadarı geri ödenebilirdi?{n}Ya da alternatif olarak, gelecekteki iş girişimleri için ne kadar borç alınabilirdi?{n}Ne gibi dersler almışlardı ve hatalarından ne öğrenebilirlerdi?"
,It seems that topics like these had been discussed very seriously in the past.,It seems that topics like these were discussed very seriously in the past. ,It seems that topics like these had been discussed very seriously in the past.,そういうことをかつては大真面目に会議をしていたらしい。,そういうことをかつては大真面目に会議をしていたらしい。,"По‐видимому, подобные проблемы очень серьёзно обсуждались в прошлом.",Parece que esse tipo de assunto foi muito discutido no passado.,似乎从前，它就是这样一个一本正经地讨论以上内容的会议。,似乎從前，它就是這樣一個一本正經地討論以上內容的會議。,Sembrava che argomenti del genere erano stati discussi molto seriamente in passato.,Pare che un tempo si tenessero delle riunioni incredibilmente serie a riguardo.,Parece que asuntos como estos habían sido hablados con gran seriedad en el pasado.,ﻣﺜﻞ ﻫﺬﻩ ﺍﻟﻤﻮﺍﺿﻴﻊ ﻛﺎﻧﺖ ﺗﻨﺎﻗﺶ ﺑﺠﺪﻳﺔ ﺑﺎﻟﻐﺔ ﻓﻲ ﺍﻟﻤﺎﺿﻲ.,It seems that topics like these had been discussed very seriously in the past.,"Dulu, topik-topik seperti ini dibahas dengan sangat serius.",Görünüşe göre bu gibi konular geçmişte çok ciddi bir şekilde tartışılmıştı.
,My dad called it a bed of nails.,My dad said it was like lying on a bed of nails. , My dad called it a bed of nails.,それを指して親父は、針のむしろと呼んでいた。,それを指して親父は、針のむしろと呼んでいた。,Мой отец отзывался об этом как о хождении босиком по битому стеклу.,Meu pai chama isso de uma cama de pregos.,我爸曾把它比为如坐针毡。,我爸曾把它比為如坐針氈。,Mio Papà l'aveva chiamato un letto di chiodi.,"Il mio vecchio, riferendosi ad esse, le aveva paragonate ad un letto di chiodi.",Mi padre lo comparó con una cama de clavos.,ﻳﺴﻤﻴﻬﺎ ﺃﺑﻲ ﺳﺮﻳﺮﺍ ﻣﻦ ﺍﻟﻤﺴﺎﻣﻴﺮ.,My dad called it a bed of nails.,"Ayahku menyebutnya ""ranjang paku"".",Babam buna çivi yatağı derdi.
,"Apparently, it used to be a very serious family meeting, where one would commonly be showered with harsh and angry voices, and even get slapped in the face despite being well past the age for it.","Apparently, it used to be a very serious family meeting, where people were bathed in scornful and angry voices, and some people even got slapped despite their age. "," Apparently, it used to be a very serious family meeting, bathed in harsh and angry voices. Even on a good year, it was common for someone to get slapped.",相当厳しい親族会議だったらしく、罵声や怒声が次々と浴びせられ、いい年にもなって平手打ちをもらうこともざらだったらしい。,相当厳しい親族会議だったらしく、罵声や怒声が次々と浴びせられ、いい年にもなって平手打ちをもらうこともざらだったらしい。,"Судя по всему, это собрание семьи было очень серьёзным, на котором голоса звучали резко и сердито. Даже в удавшиеся годы схлопотать для кого‐то пощёчину было обычным делом.","Aparentemente, costumava ser um encontro familiar muito sério, onde era comum ser afrontado com duras palavras e vozes ríspidas, e também levar tapas na cara, apesar de já terem passado da idade para isso.",那时的亲族会议好像进行得很激烈，要接连忍受骂声和喊声的冲刷，即使是年纪不小的人也经常会挨巴掌。,那時的親族會議好像進行得很激烈，要接連忍受罵聲和喊聲的沖刷，即使是年紀不小的人也經常會挨巴掌。,"Apparentemente, era solito essere una riunione di famiglia molto seria, immersa in voci dure e adirate. Anche in un buon anno, era cosa comune che qualcuno venisse schiaffeggiato.","Apparentemente erano delle riunioni di famiglia piuttosto accese, dove piovevano insulti e urli di rabbia uno dopo l'altro, e a prescindere dalla propria età, era comune ricevere degli schiaffi.","Al parecer, solía ser una reunión familiar muy seria y solemne, bañada por el sonido de las voces llenas de ira. Incluso en un buen año, no era extraño que alguien fuera abofeteado.",ﻟﻘﺪ ﻛﺎﻥ ﺍﺟﺘﻤﺎﻋﺎ ﻋﺎﺋﻠﻴﺎ ﻋﻠﻰ ﻧﺤﻮ ﺟﺪﻱ ﻟﻠﻐﺎﻳﺔ، ﻳﻤﺘﻠﺊ ﺑﺄﺻﻮﺍﺕ ﺻﺎﺭﺧﺔ ﻭﻏﺎﺿﺒﺔ، ﻭﻛﺎﻥ ﻣﻦ ﺍﻟﺸﺎﺋﻊ ﺃﻥ ﺗﺘﻄﻮﺭ ﺍﻟﻤﺤﺎﺩﺛﺔ ﺇﻟﻰ ﺷﺠﺎﺭ….,"Apparently, it used to be a very serious family meeting, where one would commonly be showered with harsh and angry voices, and even get slapped in the face despite being well past the age for it.","Katanya dulu pertemuan keluarga ini sangat menegangkan, penuh teriakan marah, bahkan tamparan meski usianya sudah bukan anak kecil lagi.","Görünüşe göre, eskiden çok ciddi bir aile konferansıymış ve bu konferansta genellikle sert ve öfkeli sesler duyulur, hatta tokat yiyecek yaşı geçmiş olmasına rağmen tokatlar bile atılırmış."
,"However, that was all a thing of the past.","However, that had become a thing of the past. "," However, that had become a thing of the past.",ただ、それも今では昔のこと。,ただ、それも今では昔のこと。,Однако всё это осталось в прошлом.,"No entanto, todas essas coisas ficaram no passado.",只是，对现在来说那都是过去的事了。,只是，對現在來說那都是過去的事了。,"Tuttavia, era divenuta una cosa del passato.",Ma oramai faceva tutto parte del passato.,"Sin embargo, eso es cosa del pasado.",ﻟﻜﻨﻪ ﺍﻵﻥ ﺃﺻﺒﺢ ﻣﻦ ﺍﻟﻤﺎﺿﻲ.,"However, that was all a thing of the past.",Tapi itu semua sudah jadi masa lalu.,Ancak bunların hepsi geçmişte kaldı.
,"By now, everyone had achieved success in their own independent business ventures, and it was on the road to becoming a normal yearly get‐together.","Now, with everyone pursuing their own business ventures and achieving success, it was becoming more of a normal yearly get-together. "," Now, with everyone pursuing their own business ventures and achieving success, it was a normal yearly get-together.",皆がそれぞれに事業家として成功を収めた今では、世間一般的な、年に一度の挨拶的な会合になりつつあった。,皆がそれぞれに事業家として成功を収めた今では、世間一般的な、年に一度の挨拶的な会合になりつつあった。,"Теперь же, когда все вели собственный бизнес и добились успеха, этому ежегодному слёту полагалось стать нормальным.","Atualmente, todos alcançaram o sucesso em seus próprios negócios, de forma independente, e esse foi um dos caminhos para transformar isto apenas em um encontro anual normal.",在大家都事业有成的今天，它渐渐变成了和普通家庭一样，一年一度的大家聊聊天的聚会。,在大家都事業有成的今天，它漸漸變成了和普通家庭一樣，一年一度的大家聊聊天的聚會。,"Ora, dato che tutti stavano seguendo i loro affari e raggiungendo il successo, era una normale rimpatriata annuale.","Ora che tutti loro avevano raggiunto il successo in quanto uomini d'affari, stava diventando una normale rimpatriata annuale.","Ahora que todos tienen sus propios negocios y persiguen el éxito por su cuenta, se ha convertido en un simple encuentro anual.",ﻓﻲ ﺍﻟﻮﻗﺖ ﺍﻟﺤﺎﻟﻲ ﻳﺪﻳﺮ ﺍﻟﺠﻤﻴﻊ ﻣﺸﺎﺭﻳﻌﻬﻢ ﺍﻟﺘﺠﺎﺭﻳﺔ ﺍﻟﺨﺎﺻﺔ ﻟﺘﺤﻘﻴﻖ ﺍﻟﻨﺠﺎﺡ ﺑﻤﻔﺮﺩﻫﻢ، ﻟﺬﺍ ﻳﺼﻨﻒ ﻋﻠﻰ ﺃﻧﻪ ﺍﺟﺘﻤﺎﻉ ﺳﻨﻮﻱ ﻃﺒﻴﻌﻲ.,"By now, everyone had achieved success in their own independent business ventures, and it was on the road to becoming a normal yearly get‐together.","Sekarang, masing-masing sudah sukses dengan bisnisnya sendiri, dan acara ini mulai berubah menjadi sekadar kumpul-keluarga tahunan biasa.","Şimdiye kadar herkes kendi bağımsız iş girişimlerinde başarıya ulaşmıştı, ve her yıl yapılan normal bir buluşma olma yolunda ilerliyordu."
