Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"The door was forcefully flung open, and Rosa flew in with Maria.","Forcefully opening the door with a clunk, Rosa flew in with Maria. ","Forcefully opening the door with a clunk, Rosa flew in with Maria.",バタンと勢いよく扉が開けられると、真里亞を連れた楼座が飛び込んでくる。,バタンと勢いよく扉が開けられると、真里亞を連れた楼座が飛び込んでくる。,"С силой распахнув дверь, издавшую при этом лязганье, Роза влетела с Марией.",A porta foi vigorosamente aberta e Rosa voou para dentro com Maria.,随着“啪嘡”一声，门被重重打开，楼座带着真里亚冲了进来。,隨著“啪嘡”一聲，門被重重打開，樓座帶著真里亞衝了進來。,"Aprendo con forza e rumorosamente la porta, Rosa corse dentro con Maria.","The door was forcefully flung open, and Rosa flew in with Maria.","Abriendo la puerta forzosamente con un azote, Rosa se apresuró a entrar con María.",ﺍﻧﻔﺘﺢ ﺑﺎﺏ ﻣﺪﺧﻞ ﺍﻟﻘﺼﺮ ﺑﻘﻮﺓ ﺷﺪﻳﺪﺓ، ﻟﺘﻘﺘﺤﻤﻪ ﺭﻭﺯﺍ ﻭﻫﻲ ﻣﻤﺴﻜﺔ ﺑﻴﺪ ﻣﺎﺭﻳﺎ.,"The door was forcefully flung open, and Rosa flew in with Maria.","The door was forcefully flung open, and Rosa flew in with Maria.","The door was forcefully flung open, and Rosa flew in with Maria."
Ushiromiya Rosa,"""Is Genji‐san or anyone here...?! It doesn't matter who, someone bring us a bath towel...!!""","""Is Genji-san or anyone there...?! It doesn't matter who, bring us a bath towel...!!"" ","""Is Genji-san or anyone there...?!  It doesn't matter who, bring us a bath towel...!!""",「源次さんか誰かいない…？！　誰でもいいの、バスタオルを持ってきて…！！」,「源次さんか誰かいない…？！　誰でもいいの、バスタオルを持ってきて…！！」,"""Есть тут Генджи‐сан или хоть кто‐нибудь?! Не важно кто, просто принесите полотенце!..""","""O Genji‐san ou qualquer outro está aqui...?! Não importa quem, alguém nos traga uma toalha de banho...!!""",「源次在不在…？！无论谁都行，请拿条浴巾来…！！」,「源次在不在…？！無論誰都行，請拿條浴巾來…！！」,"""C'è Genji-san o qualcun altro...?! Non importa chi, portateci un asciugamano...!!""","""Is Genji‐san or anyone here...?! It doesn't matter who, someone bring us a bath towel...!!""","""¡¿Está Genji-san o alguien más aquí?!... ¡¡No importa quién, que alguien traiga una toalla!!...""","""ﻫﻞ ﻗﻴﻨﺠﻲ-ﺳﺎﻥ ﺃﻭ ﻏﻴﺮﻩ ﻫﻨﺎ...?! ﻻ ﻳﻬﻢ ﻣﻦ. ﻓﻠﻴﺤﻀﺮ ﻟﻲ ﺃﺣﺪﻛﻢ ﻣﻨﺸﻔﺔ...!!""","""Is Genji‐san or anyone here...?! It doesn't matter who, someone bring us a bath towel...!!""","""Is Genji‐san or anyone here...?! It doesn't matter who, someone bring us a bath towel...!!""","""Is Genji‐san or anyone here...?! It doesn't matter who, someone bring us a bath towel...!!"""
,"It was already a full‐blown typhoon outside, and it was starting to pour down hard.{n}Though she had at least been using an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time.","There was already a full-blown typhoon outside, and it was starting to pour down hard. Even though she'd had an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time. ","It was already a full-blown typhoon outside, and it was starting to pour down hard.Even though she had had an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time.",外はもうすっかり台風で、大雨が降り始めている。そんな中、傘を差していたとはいえ、真里亞はずっと薔薇庭園で風雨の中にいた。,外はもうすっかり台風で、大雨が降り始めている。{n}そんな中、傘を差していたとはいえ、真里亞はずっと薔薇庭園で風雨の中にいた。,"На улице уже вовсю бушевал тайфун, и сильный ливень вступал в свои права.{n}Хоть у неё и был зонтик, Мария провела очень много времени в розарии под дождём и ветром.","O tufão já estava soprando com tudo lá fora, e já havia começado uma chuva torrencial. Mesmo que ela estivesse com um guarda‐chuva, Maria estava no jardim de rosa em meio à chuva e o vento o tempo todo.",外面已完全是台风天气，下起了大雨。{n}虽说是撑着伞，但真里亚之前可是在这大风大雨中，于玫瑰庭园待了好长一段时间。,外面已完全是台風天氣，下起了大雨。{n}雖說是撐著傘，但真里亞之前可是在這大風大雨中，於玫瑰庭園待了好長一段時間。,"Fuori c'era già il tifone, e stava iniziando a piovere forte. Anche se aveva un ombrello, Maria era rimasta per tutto il tempo nel roseto in mezzo a tutto quel vento e quella pioggia.","It was already a full‐blown typhoon outside, and it was starting to pour down hard.{n}Though she had at least been using an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time.","El tifón ya estaba fuerte afuera, y llovía a con mucha fuerza.{n}Aun cuando ella tenía un paraguas, María había estado en el jardín de rosas en medio de ese viento y lluvia todo ese tiempo.",ﺍﺷﺘﺪ ﺍﻹﻋﺼﺎﺭ ﻓﻲ ﺍﻟﺨﺎﺭﺝ ﻛﺜﻴﺮًﺍ، ﻭﺑﺪﺃ ﺍﻟﻤﻄﺮ ﻳﻨﻬﻤﺮ ﺑﻐﺰﺍﺭﺓ ﺷﺪﻳﺪﺓ.{n}ﻭﺭﻏﻢ ﺃﻥ ﻣﺎﺭﻳﺎ ﻛﺎﻧﺖ ﺗﺤﻤﻞ ﻣﻈﻠﺔ، ﺇﻻ ﺃﻧﻬﺎ ﺑﻘﻴﺖ ﻃﻮﺍﻝ ﺍﻟﻮﻗﺖ ﻓﻲ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ ﺗﺤﺖ ﺍﻟﻤﻄﺮ ﻭﺍﻟﺮﻳﺎﺡ.,"It was already a full‐blown typhoon outside, and it was starting to pour down hard.{n}Though she had at least been using an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time.","It was already a full‐blown typhoon outside, and it was starting to pour down hard.{n}Though she had at least been using an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time.","It was already a full‐blown typhoon outside, and it was starting to pour down hard.{n}Though she had at least been using an umbrella, Maria had been in the rose garden amid all that wind and rain the whole time."
,She had grown ice‐cold.,She had grown ice cold. ,"She had grown ice cold.",肩はすっかり冷えてしまっていた。,肩はすっかり冷えてしまっていた。,Она продрогла до костей.,Ela estava gelada.,肩膀都凉透了。,肩膀都涼透了。,Si era completamente infreddolita.,She had grown ice‐cold.,Ella se había puesto helada.,ﺗﺠﻤﺪ ﻛﺘﻔﺎﻫﺎ ﺑﺮﺩًﺍ.,She had grown ice‐cold.,She had grown ice‐cold.,She had grown ice‐cold.
,"Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there forever.",Maria had gotten into a minor fight with Rosa in the rose garden and had been told to stay there. ,"Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there.",真里亞は楼座と薔薇庭園で些細な喧嘩をし、ずっとそこにいなさいと言われたのだ。,真里亞は楼座と薔薇庭園で些細な喧嘩をし、ずっとそこにいなさいと言われたのだ。,Она слегка поссорилась с Розой и ей было сказано оставаться в розарии.,"Maria acabou tendo uma pequena briga com Rosa no jardim de rosas, e foi dito para ela ficar lá para sempre.",之前，在玫瑰庭园，真里亚与楼座为了些微不足道的事吵了一架，被妈妈说了“你给我永远待在这儿好了”。,之前，在玫瑰庭園，真里亞與樓座為了些微不足道的事吵了一架，被媽媽說了“你給我永遠待在這兒好了”。,"Maria aveva litigato con Rosa nel roseto, e le era stato detto di restare là.","Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there forever.","María había tenido una pequeña pelea con Rosa en el jardín de rosas, y se le había dicho que se quedara allí para siempre.",ﻗﺒﻴﻞ ﺫﻟﻚ، ﺩﺍﺭ ﺟﺪﺍﻝٌ ﺣﺎﺩٌّ ﺑﻴﻦ ﻣﺎﺭﻳﺎ ﻭﺭﻭﺯﺍ ﻓﻲ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ، ﻭﺑﺪﺍﻓﻊ ﺍﻟﻐﻀﺐ ﻃﻠﺒﺖ ﻣﻨﻬﺎ ﺍﻟﺒﻘﺎﺀ ﻫﻨﺎﻙ ﺇﻟﻰ ﺍﻷﺑﺪ.,"Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there forever.","Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there forever.","Maria had gotten into a minor fight with Rosa in the rose garden, and had been told to stay there forever."
,"......She had done as she was told, and had continued to remain in that spot even after the rain started.","...She had done as she was told and had continued to wait in that spot, even though rain was pouring down. ","......She had done as she was told, and had continued to wait in that spot even though rain was pouring down.",……真里亞はその言いつけ通り、雨が降り出してもずっとその場に留まり続けていたのである。,……真里亞はその言いつけ通り、雨が降り出してもずっとその場に留まり続けていたのである。,"......И она выполняла сей наказ, продолжая ждать на том самом месте, несмотря на проливной дождь.","......Ela fez o que fora dito e continuou naquele mesmo lugar, mesmo depois que a chuva começou a cair.",……真里亚遵照妈妈的话，即便开始下雨了，也一直待在原地。,……真里亞遵照媽媽的話，即便開始下雨了，也一直待在原地。,"... Aveva fatto ciò che le era stato ordinato, e aveva continuato ad aspettare in quel punto anche se stava piovendo.","......She had done as she was told, and had continued to remain in that spot even after the rain started.","... Había hecho lo que se le dijo, y se había mantenido esperando en ese lugar incluso cuando la lluvia empezó a caer.",......ﻭﻣﺎﺭﻳﺎ، ﻛﻤﺎ ﻃُﻠﺐ ﻣﻨﻬﺎ، ﻟﻢ ﺗﻐﺎﺩﺭ ﻣﻜﺎﻧﻬﺎ ﺣﺘﻰ ﺑﻌﺪﻣﺎ ﺑﺪﺃ ﺍﻟﻤﻄﺮ ﻳﻨﻬﻤﺮ.,"......She had done as she was told, and had continued to remain in that spot even after the rain started.","......She had done as she was told, and had continued to remain in that spot even after the rain started.","......She had done as she was told, and had continued to remain in that spot even after the rain started."
,"Rosa certainly had gotten a little emotional and angry, but Maria's stubborn demands were probably more at fault.","Rosa certainly had gotten a little emotional and angry, but Maria's stubborn whim was probably more to blame. ","Rosa certainly had gotten a little emotional and angry, but Maria's stubborn whim was probably more at fault.",確かに楼座も少し感情的に怒ってしまったが、真里亞の頑固なわがままの方が確かに悪いだろう。,確かに楼座も少し感情的に怒ってしまったが、真里亞の頑固なわがままの方が確かに悪いだろう。,"Роза, конечно, несколько вспылила, однако Мария со своим капризом, пожалуй, была виновата больше.","Rosa certamente ficou um pouco emocional e furiosa, mas a teimosia de Maria provavelmente era a maior culpada disso.",的确，楼座是稍微有点感情用事地发了火，但真里亚那顽固的任性也确实挺不对的吧。,的確，樓座是稍微有點感情用事地發了火，但真里亞那頑固的任性也確實挺不對的吧。,"Rosa di sicuro era stata un po' troppo emotiva e irritabile, ma i capricci testardi di Maria erano probabilmente difficili da sopportare.","Rosa certainly had gotten a little emotional and angry, but Maria's stubborn demands were probably more at fault.","Rosa ciertamente se había puesto algo emocional y enojada, pero el capricho obstinado de María era probablemente el más culpable.",ﺻﺤﻴﺢٌ ﺃﻥ ﺭﻭﺯﺍ ﺃﺧﻄﺄﺕ ﻓﻲ ﻗﻮﻟﻬﺎ ﺫﻟﻚ، ﻟﻜﻦ ﻃﺒﻊ ﻣﺎﺭﻳﺎ ﺍﻟﻌﻨﻴﺪ ﻛﺎﻥ ﻫﻮ ﺍﻵﺧﺮ ﻣﺸﻜﻠﺔ.,"Rosa certainly had gotten a little emotional and angry, but Maria's stubborn demands were probably more at fault.","Rosa certainly had gotten a little emotional and angry, but Maria's stubborn demands were probably more at fault.","Rosa certainly had gotten a little emotional and angry, but Maria's stubborn demands were probably more at fault."
,"......The cousins, who had unfortunately been witness to that exchange, were relieved to see the mother and child close to each other again.","...The cousins, who had seen that exchange, were relieved to see that mother and child were close to each other again. ","......The cousins, who had seen that exchange, were relieved to see the mother and child close to each other again.",……そのやり取りを見てしまったいとこたちは、親子が寄り添う姿を見て、ほっと胸を撫で下ろすのだった。,……そのやり取りを見てしまったいとこたちは、親子が寄り添う姿を見て、ほっと胸を撫で下ろすのだった。,"......Кузены, наблюдавшие сию размолвку, ощутили облегчение, увидев мать и дитя снова вместе.","......Os primos, que infelizmente foram testemunhas daquela discussão, estavam aliviados em ver mãe e filha próximas mais uma vez.",……目击了她们吵架的堂兄妹们，看到母女俩和好如初的样子，总算得以放下了心。,……目擊了她們吵架的堂兄妹們，看到母女倆和好如初的樣子，總算得以放下了心。,"... I cugini, che avevano visto la lite, erano sollevati nel vedere che Madre e figlia erano di nuovo vicine.","......The cousins, who had unfortunately been witness to that exchange, were relieved to see the mother and child close to each other again.","... Los primos, que habían escuchado su conversación, estaban aliviados de ver a madre e hija cercanas otra vez.",......ﺷﻌﺮ ﺃﺑﻨﺎﺀ ﺍﻟﻌﻤﻮﻣﺔ ﺍﻟﺬﻳﻦ ﺷﺎﻫﺪﻭﺍ ﺫﻟﻚ ﺍﻟﺸﺠﺎﺭ ﻟﺴﻮﺀ ﺍﻟﺤﻆ، ﺑﺎﻻﺭﺗﻴﺎﺡ ﻟﺮﺅﻳﺔ ﺃﻥ ﺍﻷﻡ ﻭﻃﻔﻠﺘﻬﺎ ﺃﻣﺴﻴﺎ ﻗﺮﻳﺒﺘﻴﻦ ﻣﻦ ﺑﻌﻀﻬﻤﺎ ﻣﺮﺓ ﺃﺧﺮﻯ.,"......The cousins, who had unfortunately been witness to that exchange, were relieved to see the mother and child close to each other again.","......The cousins, who had unfortunately been witness to that exchange, were relieved to see the mother and child close to each other again.","......The cousins, who had unfortunately been witness to that exchange, were relieved to see the mother and child close to each other again."
,"Rosa towelled Maria's head dry. She seemed overcome with worry that Maria might catch a cold, but Maria herself was nonchalant.","Rosa scrubbed Maria's head with a towel. She seemed overcome with worry that Maria had caught a cold, but Maria herself was nonchalant. ","Rosa scrubbed Maria's head with a towel.She seemed overcome with worry that Maria had caught a cold, but Maria herself was nonchalant.",楼座はタオルで真里亞の頭をごしごしと拭く。娘が風邪を引かないかと心配でならないようだが、当の真里亞はケロリとしていた。,楼座はタオルで真里亞の頭をごしごしと拭く。娘が風邪を引かないかと心配でならないようだが、当の真里亞はケロリとしていた。,"Роза принялась вытирать полотенцем голову Марии. Она, видимо, боялась, что Мария может простудиться, но самой Марии это было безразлично.","Rosa secou a cabeça de Maria com a toalha. Ela parecia estar preocupada que a Maria pegasse um resfriado, mas Maria estava indiferente quanto a isso.",楼座用毛巾卖力地擦着真里亚的头。虽然她在为“女儿会不会得感冒”一事担心得不得了，但真里亚本人却跟个没事人儿一样。,樓座用毛巾賣力地擦著真里亞的頭。雖然她在為“女兒會不會得感冒”一事擔心得不得了，但真里亞本人卻跟個沒事人兒一樣。,"Rosa strofinò la testa di Maria con un asciugamano. Sembrava preoccupata del fatto che Maria si fosse presa il raffreddore, ma Maria era indifferente.","Rosa towelled Maria's head dry. She seemed overcome with worry that Maria might catch a cold, but Maria herself was nonchalant.","Rosa limpió la cabeza de María con una toalla. Parecía sobresaltada con la preocupación de que María se podria haber resfriado, pero la misma María era indiferente.",ﺟﻔﻔﺖ ﺭﻭﺯﺍ ﺭﺃﺱ ﻣﺎﺭﻳﺎ ﺑﻤﻨﺸﻔﺔ. ﻭﺑﺪﺕ ﻗﻠﻘﺔً ﻣﻦ ﺇﺻﺎﺑﺔ ﻣﺎﺭﻳﺎ ﺑﻨﺰﻟﺔ ﺑﺮﺩ، ﻟﻜﻦ ﻣﺎﺭﻳﺎ ﺑﺬﺍﺗﻬﺎ ﻛﺎﻧﺖ ﻏﻴﺮ ﻣﻜﺘﺮﺛﺔ ﺑﻌﺎﺩﺗﻬﺎ.,"Rosa towelled Maria's head dry. She seemed overcome with worry that Maria might catch a cold, but Maria herself was nonchalant.","Rosa towelled Maria's head dry. She seemed overcome with worry that Maria might catch a cold, but Maria herself was nonchalant.","Rosa towelled Maria's head dry. She seemed overcome with worry that Maria might catch a cold, but Maria herself was nonchalant."
Ushiromiya Rosa,"""Are you alright? You didn't catch a chill, did you? Maybe we really should go back quickly and get a change of clothes...""","""Are you okay? You didn't catch a cold, did you? Maybe we really should go back for now and get a change of clothes..."" ","""Are you alright?  You didn't get a cold, did you?  Maybe we really should go back for now and get a change of clothes...""",「大丈夫？　寒気とかしない？　やっぱり一度戻って着替えさせた方がいいかしら…。」,「大丈夫？　寒気とかしない？　やっぱり一度戻って着替えさせた方がいいかしら…」,"""Ты как? Не простудилась, надеюсь? Может, нам всё‐таки стоит пока вернуться и переодеть тебя?..""","""Você está bem? Não está com frio, está? Talvez nós devêssemos voltar logo e pegar uma muda de roupas...""",「要不要紧？有没有着凉？果然，还是先回去一趟，换下衣服比较好吧…？」,「要不要緊？有沒有著涼？果然，還是先回去一趟，換下衣服比較好吧…？」,"""Stai bene? Non hai preso il raffreddore, vero? Forse dovremmo tornare indietro e cambiarci i vestiti...""","""Are you alright? You didn't catch a chill, did you? Maybe we really should go back quickly and get a change of clothes...""","""¿Estás bien? No agarraste un resfriado, ¿verdad? Tal vez debamos regresar por ahora y buscarte una muda de ropa...""","""ﺃﺃﻧﺖِ ﺑﺨﻴﺮ? ﺃﻻ ﺗﺸﻌﺮﻳﻦ ﺑﺎﻟﺒﺮﺩ؟ ﺭﺑﻤﺎ ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥّ ﻧﺒﺪّﻝ ﻟﻚ ﺛﻴﺎﺑﻚ...""","""Are you alright? You didn't catch a chill, did you? Maybe we really should go back quickly and get a change of clothes...""","""Are you alright? You didn't catch a chill, did you? Maybe we really should go back quickly and get a change of clothes...""","""Are you alright? You didn't catch a chill, did you? Maybe we really should go back quickly and get a change of clothes..."""
