Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,Gohda was doing the nighttime rounds.,Gohda was doing the nighttime rounds. ,"Gohda was doing the nighttime rounds.",郷田は、夜の見回りをしていた。,郷田は、夜の見回りをしていた。,Года совершал ночной обход по особняку.,Gohda estava fazendo a ronda noturna.,乡田正在巡夜。,鄉田正在巡夜。,Gohda si stava occupando della ronda notturna.,Gohda was doing the nighttime rounds.,Gohda estaba haciendo las rondas nocturnas.,ﻛﺎﻥ ﻗﻮﺩﺍ ﻳﻘﻮﻡ ﺑﺠﻮﻻﺕ ﺍﻟﻠﻴﻞ ﺍﻟﺘﻔﻘﺪﻳﺔ.,Gohda was doing the nighttime rounds.,Gohda was doing the nighttime rounds.,Gohda was doing the nighttime rounds.
,There had never been anything on Rokkenjima outside the Ushiromiya family.{n}So checking that the doors and windows were all closed had no real purpose.,"Rokkenjima had always been empty, except for the Ushiromiya Family household. So, checking that the doors and windows were all closed had no real purpose. "," There had never been anything on Rokkenjima outside the Ushiromiya family. So checking that the doors and windows were all closed had no real purpose.",そもそも、六軒島には右代宮家以外は存在しない。だから戸締りやその確認には、それほど意味があるわけではない。,そもそも、六軒島には右代宮家以外は存在しない。{n}だから戸締りやその確認には、それほど意味があるわけではない。,"На Роккенджиме, помимо семьи Уширомия, никто не проживал.{n}Поэтому в проверке того, заперты ли окна и двери, не было настоящего смысла.","Nunca teve mais ninguém em Rokkenjima além da família Ushiromiya.{n}Logo, não havia um propósito real em conferir se todas as portas e janelas estavam fechadas.",按理说，六轩岛上除去右代宫家就没有别人了。{n}所以，锁门和复查并没有多大意义。,按理說，六軒島上除去右代宮家就沒有別人了。{n}所以，鎖門和復查並沒有多大意義。,Non c'era mai stato nessun altro su Rokkenjima a parte la famiglia Ushiromiya. Perciò controllare che le porte e le finestre fossero tutte chiuse non aveva un vero scopo.,There had never been anything on Rokkenjima outside the Ushiromiya family.{n}So checking that the doors and windows were all closed had no real purpose.,Nunca había existido nada en Rokkenjima ajeno a la familia Ushiromiya.{n}Así que revisar que las puertas y ventanas estuviesen cerradas no tenía un propósito real.,ﻟﻢ ﻳﻌﺶ ﻋﻠﻰ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﺳﻮﻯ ﺁﻝ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ.{n}ﻟﺬﺍ، ﻻ ﻃﺎﺋﻞ ﻓﻲ ﺍﻟﺘﺤﻘﻖ ﻣﻦ ﺇﻏﻼﻕ ﺍﻟﻤﺪﺍﺧﻞ.,There had never been anything on Rokkenjima outside the Ushiromiya family.{n}So checking that the doors and windows were all closed had no real purpose.,There had never been anything on Rokkenjima outside the Ushiromiya family.{n}So checking that the doors and windows were all closed had no real purpose.,There had never been anything on Rokkenjima outside the Ushiromiya family.{n}So checking that the doors and windows were all closed had no real purpose.
,"However, ever since Natsuhi had scolded them saying that this was careless, the nighttime rounds had become part of the servants' daily routine.","However, ever since the time Natsuhi had condemned such an attitude as being careless, the nighttime rounds had become part of the servants' daily routine. "," However, since Natsuhi had scolded that this was careless, the nighttime rounds had become part of the servants' daily routine.",しかし、夏妃がそれを無用心だと咎めて以来、夜回りは使用人たちの日課に組み込まれた。,しかし、夏妃がそれを無用心だと咎めて以来、夜回りは使用人たちの日課に組み込まれた。,"Но поскольку Нацухи ругалась, что не придавать значения окнам и дверям слишком беспечно, ночные обходы стали частью распорядка прислуги.","Entretanto, como Natsuhi sempre os repreendia, dizendo que isso era muito descaso, as rondas noturnas se tornaram parte da rotina dos serviçais.",可是，自从夏妃斥责了“这样太不小心了”后，巡夜就被加进了佣人们的每日工作表。,可是，自從夏妃斥責了“這樣太不小心了”後，巡夜就被加進了傭人們的每日工作表。,"Tuttavia, da quando Natsuhi aveva ributtato che non farlo era imprudente, i controlli notturni erano diventati parte della routine giornaliera dei domestici.","However, ever since Natsuhi had scolded them saying that this was careless, the nighttime rounds had become part of the servants' daily routine.","Sin embargo, como Natsuhi había sermoneado que eso era descuidado, las rondas nocturnas se habían convertido en parte de la rutina diaria de los sirvientes.",ﻭﻟﻜﻦ، ﻣﻨﺬ ﺃﻥ ﻭﺑﺨﺘﻬﻢ ﻧﺎﺗﺴﻮﻫﻲ ﻋﻠﻰ ﺫﻟﻚ ﺑﺎﻋﺘﺒﺎﺭﻩ ﺇﻫﻤﺎﻻً، ﺃﺻﺒﺤﺖ ﺟﻮﻟﺔ ﺍﻟﺘّﻔﻘﺪ ﺍﻟﻠﻴﻠﻴﺔ ﻣﻦ ﺭﺗﺎﺋﺐ ﺍﻟﺨﺪﻡ ﺍﻟﻴﻮﻣﻴﺔ.,"However, ever since Natsuhi had scolded them saying that this was careless, the nighttime rounds had become part of the servants' daily routine.","However, ever since Natsuhi had scolded them saying that this was careless, the nighttime rounds had become part of the servants' daily routine.","However, ever since Natsuhi had scolded them saying that this was careless, the nighttime rounds had become part of the servants' daily routine."
,......The reason that Natsuhi had ordered this was the occasional disturbances of the witch.,"...In the first place, Natsuhi had ordered this because of the occasional witch disturbances. ","......The reason that Natsuhi had ordered this was the occasional disturbances of the witch.",……そもそも、夏妃が夜回りを命じたのは、時折起こった、魔女騒動のせいだった。,……そもそも、夏妃が夜回りを命じたのは、時折起こった、魔女騒動のせいだった。,"......Причина, по которой Нацухи приказала так делать, заключалась в случающихся время от времени проказах ведьмы.",......O motivo pelo qual Natsuhi ordenou isso é devido às ocasionais agitações sobre a bruxa.,……不过归根结底，夏妃之所以会命令他们去巡夜，都是因为那时发生的魔女骚动。,……不過歸根結底，夏妃之所以會命令他們去巡夜，都是因為那時發生的魔女騷動。,... Il motivo che aveva spinto Natsuhi a dare quest'ordine era da trovarsi nei disordini causati dalla strega di tanto in tanto.,......The reason that Natsuhi had ordered this was the occasional disturbances of the witch.,... La razón por la cual Natsuhi ordenó esto eran los ocasionales incidentes de la bruja.,...ﻓﻲ ﺍﻷﺻﻞ، ﺃﻣﺮﺕ ﻧﺎﺗﺴﻮﻫﻲ ﺑﻬﺬﺍ ﺗﺒﻌًﺎ ﻟﻠﺸﺎﺋﻌﺎﺕ ﺍﻟﻤﻘﻠﻘﺔ ﻣﻦ ﺣﻴﻦٍ ﻵﺧﺮ ﻋﻦ ﻭﺟﻮﺩ ﺳﺎﺣﺮﺓ.,......The reason that Natsuhi had ordered this was the occasional disturbances of the witch.,......The reason that Natsuhi had ordered this was the occasional disturbances of the witch.,......The reason that Natsuhi had ordered this was the occasional disturbances of the witch.
,"Everyone who visited this island knew about the legend of {f:5:Beatrice}, the witch of the forest. This had become established as this island's characteristic ghost story.","Everyone who came and left this island knew about the legend of {f:5:Beatrice}, the witch of the forest. It had become established as this island's characteristic ghost story. "," Everyone who came and left this island knew about the legend of Beatrice, the witch of the forest. This had become established as this island's characteristic ghost story.",この島に出入りする者なら誰もが知る、森の魔女ベアトリーチェの伝説。それはこの島独自の怪談として根付いていた。,この島に出入りする者なら誰もが知る、森の魔女ベアトリーチェの伝説。それはこの島独自の怪談として根付いていた。,"Прибывающие на остров и покидающие его люди знали легенду о {f:5:Беатриче} — ведьме из леса. Она стала историей про привидения, присущей этому острову.","Todos que visitam a ilha sabem sobre a lenda da bruxa da floresta, {f:5:Beatrice}. Isso se estabeleceu como uma história de fantasmas característica da ilha.",出入此岛之人人尽皆知的，森林魔女贝阿朵莉切的传说，是在这座岛上扎下了根的，此地独有的怪谈。,出入此島之人人盡皆知的，森林魔女貝阿朵莉切的傳說，是在這座島上扎下了根的，此地獨有的怪談。,"Tutti coloro che giungevano e lasciavano quest'isola sapevano della leggenda di Beatrice, la strega della foresta. Quest'ultima si era assicurata il ruolo di tipica storia di fantasmi per quest'isola.","Everyone who visited this island knew about the legend of {f:5:Beatrice}, the witch of the forest. This had become established as this island's characteristic ghost story.","Todos los que venían y dejaban esta isla sabían de la leyenda de la bruja del bosque, {f:5:Beatrice}. Esta se había convertido en la historia de fantasmas característica de la isla.",ﻛﻞ ﻣﻦ ﺯﺍﺭ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ ﻛﺎﻥ ﻳﻌﺮﻑ ﻋﻦ ﺃﺳﻄﻮﺭﺓ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﺳﺎﺣﺮﺓ ﺍﻟﻐﺎﺑﺔ. ﻓﻘﺪ ﺃﺻﺒﺢ ﻫﺬﺍ ﺭﺍﺳﺨًﺎ ﻛﻘﺼﺔ ﺃﺷﺒﺎﺡ ﻣﻤﻴﺰﺓ ﻟﻬﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ..,"Everyone who visited this island knew about the legend of {f:5:Beatrice}, the witch of the forest. This had become established as this island's characteristic ghost story.","Everyone who visited this island knew about the legend of {f:5:Beatrice}, the witch of the forest. This had become established as this island's characteristic ghost story.","Everyone who visited this island knew about the legend of {f:5:Beatrice}, the witch of the forest. This had become established as this island's characteristic ghost story."
,"Because of that, it was only natural that some people would occasionally say that, when they thought they were alone in the mansion, ...they had heard strange sounds, or seen the shadow of a person.","Because of that, it was only natural that some people would claim that, when they thought they were alone in the mansion, ...they would hear a strange sound or see the shadow of a person. "," Because of that, it was only natural that some people would say that, when they thought they were alone in the mansion..., they would hear a strange sound or see the shadow of a person.",だから時折、誰もいないはずの屋敷内に、不気味な音や人影が…、というような話は、自然と起こったものだった。,だから時折、誰もいないはずの屋敷内に、不気味な音や人影が…、というような話は、自然と起こったものだった。,"Поэтому не было ничего удивительного, что некоторые люди начинали рассказывать, как когда им казалось, что они были одни в особняке... Им слышался странный звук или они видели тень какого‐то человека.","Por causa disso, era natural que algumas pessoas ocasionalmente dissessem que, quando elas pensavam estar sozinhas na mansão, ...elas ouviam sons estranhos ou viam a sombra de uma pessoa.",所以，偶尔会自然地冒出些，在大屋内理应无人之处，有令人毛骨悚然的声音、人影之类的骚动的。,所以，偶爾會自然地冒出些，在大屋內理應無人之處，有令人毛骨悚然的聲音、人影之類的騷動的。,"In tali circostanze, era naturale che alcuni credessero, pensando di essere da soli nella villa... di sentire uno strano rumore o di vedere l'ombra di una persona.","Because of that, it was only natural that some people would occasionally say that, when they thought they were alone in the mansion, ...they had heard strange sounds, or seen the shadow of a person.","Por esa razón, era natural que algunas personas dijesen que, cuando pensaban que estaban a solas en la mansión... escuchaban un extraño sonido o veían la sombra de una persona.",ﻭﻟﻬﺬﺍ، ﻟﻢ ﻳﻜﻦ ﻏﺮﻳﺒًﺎ ﺃﻥ ﺗُﺮﻭﻯ ﻗﺼﺺ ﻋﻦ ﺃﺻﻮﺍﺕ ﺃﻭ ﻇﻼﻝ ﻏﺎﻣﻀﺔ ﻓﻲ ﻗﺼﺮ ﻳُﻔﺘﺮﺽ ﺃﻧﻪ ﺧﺎﻝٍ ﺗﻤﺎﻣًﺎ. ...ﻟﻜﻦ ﻓﻲ ﺑﻌﺾ ﺍﻷﺣﻴﺎﻥ،,"Because of that, it was only natural that some people would occasionally say that, when they thought they were alone in the mansion, ...they had heard strange sounds, or seen the shadow of a person.","Because of that, it was only natural that some people would occasionally say that, when they thought they were alone in the mansion, ...they had heard strange sounds, or seen the shadow of a person.","Because of that, it was only natural that some people would occasionally say that, when they thought they were alone in the mansion, ...they had heard strange sounds, or seen the shadow of a person."
,"However, when that had created a little too big of a disturbance and reached Natsuhi's ears, she had made a fuss, thinking that some suspicious person might have been coming in and out.","However, when that created a little too much of a disturbance and reached Natsuhi's ears, she made a fuss, thinking that some suspicious person might have been entering and leaving. "," However, when that had created a little too big of a disturbance and reached Natsuhi's ears, she had made a fuss, thinking that some suspicious person might have been entering and leaving.",しかし、それが少々騒ぎを大きくし過ぎて夏妃の耳にも届き、不審者が出入りしているのではないかと騒がれたのだ。,しかし、それが少々騒ぎを大きくし過ぎて夏妃の耳にも届き、不審者が出入りしているのではないかと騒がれたのだ。,"Однако когда эти проказы достигли определённого уровня и дошли до ушей Нацухи, та подняла шум, полагая, что некая подозрительная личность заходила в особняк, а затем покидала его.","Porém, quando isto criou uma pequena, mais ainda assim grande, agitação e chegou aos ouvidos de Natsuhi, ela fez um rebuliço, pensando que alguma pessoa suspeita poderia estar indo e vindo a todo momento.",不过，这稍微有点闹得太大了，传到了夏妃耳中，惊扰了她，使她疑心是不是有可疑之人在进出大屋。,不過，這稍微有點鬧得太大了，傳到了夏妃耳中，驚擾了她，使她疑心是不是有可疑之人在進出大屋。,"Ma quando tutto ciò si era trasformato in uno scompiglio un po' troppo esagerato e aveva raggiunto le orecchie di Natsuhi, lei aveva scatenato il finimondo, pensando che qualche persona sospetta si stesse introducendo nella villa a proprio piacimento.","However, when that had created a little too big of a disturbance and reached Natsuhi's ears, she had made a fuss, thinking that some suspicious person might have been coming in and out.","Sin embargo, cuando eso creó un alboroto lo suficientemente grande y llegó a oídos de Natsuhi, ella hizo un escándalo, pensando que alguna persona sospechosa podría haber estado entrando y saliendo de la mansión.",ﻛﺎﻧﺖ ﻫﺬﻩ ﺍﻟﻘﺼﺺ ﺗﺸﺎﻉُ ﻛﺜﻴﺮًﺍ ﻭﺗﺘﻀﺨﻢ، ﺣﺘﻰ ﺗﺼﻞ ﺇﻟﻰ ﺃﺫﻥ ﻧﺎﺗﺴﻮﻫﻲ، ﻓﺘﻈﻦ ﺃﻥ ﻫﻨﺎﻙ ﻏﺮﺑﺎﺀ ﺗﺴﻠﻠﻮﺍ ﺇﻟﻰ ﺍﻟﻘﺼﺮ.,"However, when that had created a little too big of a disturbance and reached Natsuhi's ears, she had made a fuss, thinking that some suspicious person might have been coming in and out.","However, when that had created a little too big of a disturbance and reached Natsuhi's ears, she had made a fuss, thinking that some suspicious person might have been coming in and out.","However, when that had created a little too big of a disturbance and reached Natsuhi's ears, she had made a fuss, thinking that some suspicious person might have been coming in and out."
,"Apparently, it was said that she had roused all of the servants and had them check throughout the mansion.","Apparently, she had roused all the servants and had them check throughout the mansion. "," Anyway, it was said that she had roused all of the servants and had them check throughout the mansion.",何でも、使用人全員を叩き起こして、屋敷中を確認させるという大騒ぎもあったという。,何でも、使用人全員を叩き起こして、屋敷中を確認させるという大騒ぎもあったという。,"В общем, поговаривали, что она собрала всю прислугу и велела им прочесать особняк.","Aparentemente, foi dito que ela acordou todos os serviçais e fez eles irem vasculhar a mansão.",据说，曾经甚至发生过她把所有佣人都叫醒，命令他们去搜查大屋的大乱子。,據說，曾經甚至發生過她把所有傭人都叫醒，命令他們去搜查大屋的大亂子。,"Ad ogni modo, si raccontava che avesse svegliato tutti i domestici e che li avesse costretti a controllare ogni angolo della villa.","Apparently, it was said that she had roused all of the servants and had them check throughout the mansion.","De cualquier manera, se decía que ella había ordenado a todos los sirvientes que revisaran la mansión.",ﻟﺪﺭﺟﺔ ﺃﻧﻬﺎ ﻓﻲ ﺇﺣﺪﻯ ﺍﻟﻤﺮﺍﺕ ﺃﻳﻘﻈﺖ ﺟﻤﻴﻊ ﺍﻟﺨﺪﻡ، ﻭﺃﻣﺮﺕ ﺑﺘﻔﺘﻴﺶ ﺍﻟﻘﺼﺮ ﺑﺄﻛﻤﻠﻪ!,"Apparently, it was said that she had roused all of the servants and had them check throughout the mansion.","Apparently, it was said that she had roused all of the servants and had them check throughout the mansion.","Apparently, it was said that she had roused all of the servants and had them check throughout the mansion."
,"Because all of this uproar over the witch had happened before Gohda had come, he had only heard about it from the more senior servants.","Because all of that panic over the witch had happened before Gohda's arrival, he had only heard about it from the more senior servants. "," Because all of this uproar over the witch had happened before Gohda had come, he had only heard about it from the more senior servants.",これらの魔女騒ぎについては、何れも郷田がやって来る前のことなので、郷田は古参の使用人たちから聞かされただけだ。,これらの魔女騒ぎについては、何れも郷田がやって来る前のことなので、郷田は古参の使用人たちから聞かされただけだ。,"Поскольку вся эта шумиха произошла до поступления Годы на службу, он слышал об этом лишь от слуг постарше.","Por causa de todo o tumulto sobre a bruxa ter ocorrido antes de Gohda chegar, ele apenas ouviu isso dos serviçais mais experientes.",这些关于魔女的骚动，全都发生在乡田来这里工作之前，所以乡田只是从老一辈佣人口中听说过而已。,這些關於魔女的騷動，全都發生在鄉田來這裡工作之前，所以鄉田只是從老一輩傭人口中聽說過而已。,"Siccome tutto questo tumulto per la strega era accaduto prima dell'arrivo di Gohda, lui ne aveva solo sentito parlare dai domestici che erano lì da molto più tempo.","Because all of this uproar over the witch had happened before Gohda had come, he had only heard about it from the more senior servants.","Ya que todo el escándalo respecto a la bruja había pasado antes de que Gohda llegase, él había escuchado de ello de los sirvientes más antiguos.",ﺑﻤﺎ ﺃﻥ ﻛﻞ ﻫﺬﻩ ﺍﻟﻀﺠﺔ ﺣﻮﻝ ﺍﻟﺴﺎﺣﺮﺓ ﺣﺪﺛﺖ ﻗﺒﻞ ﻗﺪﻭﻡ ﻗﻮﺩﺍ، ﻓﻘﺪ ﺳﻤﻊ ﻋﻨﻬﺎ ﻓﻘﻂ ﻣﻦ ﺍﻟﺨﺪﻡ ﺍﻷﻛﺜﺮ ﺃﻗﺪﻣﻴﺔ.,"Because all of this uproar over the witch had happened before Gohda had come, he had only heard about it from the more senior servants.","Because all of this uproar over the witch had happened before Gohda had come, he had only heard about it from the more senior servants.","Because all of this uproar over the witch had happened before Gohda had come, he had only heard about it from the more senior servants."
,"Ghost stories like that could be found in any workplace. Even at the hotel Gohda had once worked at, and at the restaurant, there was never a shortage of those types of story.","Ghost stories like that could be found in any workplace. Even at the hotels and restaurants Gohda had worked at, there had been plenty of them. "," Ghost stories like that could be found in any workplace. They hadn't even been lacking at the hotel or the restaurant Gohda had worked at.",この手の怪談はどこの職場にもある。かつて郷田が勤めていたホテルにだって、レストランにだって、その手の怪談は事欠かなかったものだ。,この手の怪談はどこの職場にもある。かつて郷田が勤めていたホテルにだって、レストランにだって、その手の怪談は事欠かなかったものだ。,"Такие истории о привидениях можно услышать на любом месте работы. Их даже с лихвой хватало в отеле, в ресторане которого Года работал.","Histórias de fantasmas como essas podem ser encontradas em qualquer lugar de trabalho. Mesmo no hotel que Gohda havia trabalhado, e também no restaurante, nunca faltou histórias desse tipo.",这类怪谈，是无论去哪里工作都会碰见的。乡田以前工作过的酒店、西餐厅，也都未曾少过此类怪谈。,這類怪談，是無論去哪裡工作都會碰見的。鄉田以前工作過的酒店、西餐廳，也都未曾少過此類怪談。,Storie di fantasmi come quella si ritrovavano in ogni posto di lavoro. Non erano mancate nemmeno all'hotel o al ristorante in cui Gohda aveva lavorato.,"Ghost stories like that could be found in any workplace. Even at the hotel Gohda had once worked at, and at the restaurant, there was never a shortage of those types of story.","Historias de fantasmas como esa podían ser encontradas en cualquier lugar de trabajo. Incluso en el hotel y en el restaurante en los que Gohda había trabajado una vez, nunca faltaron ese tipo de historias.",ﻗﺼﺺ ﺍﻷﺷﺒﺎﺡ ﻛﻬﺬﻩ ﻳﻤﻜﻦ ﺳﻤﺎﻋﻬﺎ ﻓﻲ ﺃﻱ ﻣﻜﺎﻥ ﻋﻤﻞ. ﺣﺘﻰ ﻓﻲ ﺍﻟﻤﻄﺎﻋﻢ ﻭﺍﻟﻔﻨﺎﺩﻕ ﺍﻟﺘﻲ ﺳﺒﻖ ﻟﻘﻮﺩﺍ ﺍﻟﻌﻤﻞ ﻓﻴﻬﺎ، ﻓﻘﺪ ﺷﺎﻉ ﻓﻴﻬﺎ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺗﻠﻚ ﺍﻟﻘﺼﺺ.,"Ghost stories like that could be found in any workplace. Even at the hotel Gohda had once worked at, and at the restaurant, there was never a shortage of those types of story.","Ghost stories like that could be found in any workplace. Even at the hotel Gohda had once worked at, and at the restaurant, there was never a shortage of those types of story.","Ghost stories like that could be found in any workplace. Even at the hotel Gohda had once worked at, and at the restaurant, there was never a shortage of those types of story."
