Speaker,Steam (ST)
,"Erika was dozing off on her bed, so when a knock sounded on the door, it took some time before she noticed. "
,She looked at the clock and saw that not much time had passed since she had lain down. 
Furudo Erika,"""......Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this..."" "
Furudo Erika,"""That's right. ...I have one thing to say before we begin this game."" "
Ushiromiya Battler,"""Oh, that detective proclamation thing. Do as you wish."" "
Furudo Erika,"""No, I mean the opposite. ...I say we raise the stakes."" "
{f:5:Beatrice},"""......Raise...the stakes...?"" "
{f:5:Lambdadelta},"""What's this? Now that sounds interesting. What do you mean?"" "
{f:5:Bernkastel},"""...It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even."" "
{f:5:Beatrice},"""Wasn't the last game a tie...?"" "
{f:5:Bernkastel},"""We failed to win a game that should've been a shoo-in, right? If that isn't a loss, I don't know what is. Right, Erika...?"" "
Furudo Erika,"""Y-Yes, my master. If I hadn't failed so miserably, we would have won that game easily..."" "
{f:5:Lambdadelta},"""...Ooooh, I get it. So this time, you'll intentionally fight at a disadvantage by not making a detective proclamation...and win despite that...! You're scheming to not only wipe out your loss from the previous game, but to totally flip the score upside down, right?"" "
{f:5:Beatrice},"""...Y-You intend to participate in the game Battler-san poured his heart and soul into with a foolish handicap like that...? That is not only presumptuous, it's quite rude...!"" "
Ushiromiya Battler,"""...You've got a point there. It sounds more like an excuse just in case they lose."" "
{f:5:Lambdadelta},"""True, you could also look at it that way. If they win, it's a great victory, but if they lose, Erika's side has a nice little excuse. Isn't that a bit unsporting?"" "
{f:5:Bernkastel},"""Don't worry, this bet is balanced on both sides. ...If this game is won by a Human without the detective proclamation, it'll be impossible for Battler and the others to pick up the pieces of the Illusion of the Witch. "
{f:5:Bernkastel},"...But on the other hand, if Erika loses, that detective trash will be sent into the depths of oblivion along with the worst possible Fragment."" "
Furudo Erika,"""............"" "
{f:5:Bernkastel},"""...See? That's balanced, isn't it? An ultimate victory with a mere Human, not a superman detective, destroying the Illusion of the Witch. ...She's putting her own destruction on the line to make that bet. "
