Speaker,Steam (ST)
,*knock*knock*knock*knock*!!! 
,The sudden sound of someone banging fiercely on the door brought Natsuhi to her senses. 
,She had probably nodded off in the study while planning how they would overcome the next day. 
,But...what could it be...? At a time like this... 
,"More importantly, the knock itself was strange. "
,"If someone wanted to contact her, they could've just used the internal phone line. "
,She'd told them that she'd be here. 
,"Realizing that something strange was going on, Natsuhi shook her head one more time, completely throwing off her drowsiness. "
Ushiromiya Eva,"""Father, Father...!! It's Eva. I have an urgent, vital matter to discuss with you!"" "
,It was Eva's voice. 
,...What is this? 
,I thought I told them to lock the doors and windows of the mansion tightly after everyone left for the guesthouse. 
,So why is Eva here...?! 
,"Natsuhi ran up to the door, responded with a small knock, and spoke through the door in a quiet voice. "
Ushiromiya Natsuhi,"""......What is it? You're too noisy!"" "
Ushiromiya Eva,"""Natsuhi nee-san...?! Why are you in Father's study at this hour?!"" "
Ushiromiya Natsuhi,"""...I told you to be quiet! Have you forgotten that the Head values peace and silence more than anything else...?!"" "
Ushiromiya Eva,"""Now's not the time to be saying that!! Stop harping on that, and open up quickly!! Bring Father out!!"" "
Ushiromiya Natsuhi,"""The Head just went to sleep! I don't know what business you have, but I will deal with it tomorrow!"" "
Ushiromiya Eva,"""I don't have any business with you!! Just open up right now!!"" "
,"Sometimes, multiple schemes and assumptions can fall apart due to the most direct, simple, and emotional of strategies. "
,This is bad... 
,"If I open the door, Eva will probably throw herself forwards and rush into the study. "
,"Now, I can't even open this door...! "
,"At that moment, the phone suddenly rang. "
,I-It's okay. Both of the keys to the study are here. 
,No one can open this door...! 
,Natsuhi inched away from the door and grabbed the receiver... 
Ushiromiya Natsuhi,"""H-Hello!! It's Natsuhi!"" "
Ushiromiya Krauss,"""It's me... Things are bad. I want you to come down to the parlor, quickly."" "
,It was from Krauss. His tone was strained. 
,...What in the world happened...?! 
Ushiromiya Krauss,"""It would seem that Battler-kun and this guest called Erika... ...solved the witch's epitaph and found the gold."" "
Ushiromiya Natsuhi,"""Huh? ............ ...I-Is that true?!"" "
Ushiromiya Krauss,"""Rudolf and the rest have forced their way in. They're saying Battler-kun will show everyone the way to the hidden gold..."" "
Ushiromiya Natsuhi,"""Right now, Eva-san is just outside the study door, yelling at me to open it...! But if I do that now, she might push her way inside...!!"" "
Ushiromiya Krauss,"""...I-I understand. I will go there too. Don't worry about Eva. Just stay there and don't do anything...! I'll give you a signal once I've gotten Eva away from the door, so leave as soon as you hear that. Ready...?!"" "
,"Right after that, Krauss came up the staircase, accompanied by Genji. "
,"A heated debate started between him and Eva. ""Open up!"" ""No, calm down."" "
,"In the middle of that, there was a small knock as a signal. "
,...Krauss had cleverly pushed Eva away from the door and distracted her. 
,"During that gap, Natsuhi slipped out of the study and quickly shut the door... "
,"Eva noticed this, and her face twisted in disappointment, but the heavy sound of the auto-lock had already rung out, and the door had been sealed. "
Ushiromiya Eva,"""The gold of the epitaph has been found! It's only natural that we should inform Father about this...!! Or else what? Is there some reason you can't tell Father about this?!"" "
Ushiromiya Krauss,"""Father gave strict orders that he not be awakened—no matter what—after he went to bed. Following those orders is the duty of the Head's representative. Isn't that right, Genji-san?"" "
Ronoue Genji,"""......Yes. The Master's sleep must not be disturbed, no matter what happens."" "
Ushiromiya Eva,"""Even a rule like that depends on time and circumstances, doesn't it...?!! I mean, the epitaph was solved!! Father has a right to know straight away!"" "
Ushiromiya Natsuhi,"""Of course, the two of us will report on everything to the Head tomorrow. That's our duty as the Head's representatives."" "
Ushiromiya Eva,"""I don't care about that!! Come on, just open this door!! Let me see Father!! Father, Father, can you hear me? It's Eva!! Please open up!!"" "
Ushiromiya Eva,"""Owowow, let go of me...!! Th-That hurts...!!"" "
Ushiromiya Krauss,"""We're telling you to listen to us...! Don't knock on the door so loudly...!!"" "
Ushiromiya Eva,"""Ouch, owowowowow...!! Let go, let go of me!!"" "
Ronoue Genji,"""Krauss-sama, Eva-sama, the Master is sleeping. Please refrain from disturbing him any further...!"" "
,"When Genji spoke firmly, the two finally ceased their scuffle. "
,"It seemed that Genji, the one who had spoken for Kinzo since they were very young, still possessed an air of dignity strong enough to handle both Krauss and Eva... "
,Eva put her argument aside for the time being. 
,"She could hold off worrying about that until after she saw the gold with her own eyes. After all, not even Eva had seen it for herself yet. "
,Natsuhi and the others had managed to somehow deal with the momentary crisis. 
,"...However, the move of the demons that would sneer upon their efforts...had already begun... "
{f:5:Beatrice},"""Battler......solved the riddle of the epitaph, you say...?!"" "
Ushiromiya Kinzo,"""Yes. ...Though he had a lot of help from that Erika girl, Battler was the one who reached the answer. Erika has proclaimed that she will abandon her rights to the Golden Land. ...Therefore, the one who reached the Golden Land...is Battler."" "
Ronove,"""......Fate can be truly amusing. To think that Battler-sama...would make it there."" "
{f:5:Virgilia},"""What will you do, Beato? ...You promised to stop the ceremony if anyone solved the epitaph's riddle."" "
Ushiromiya Kinzo,"""Yes. ...That was the deal."" "
{f:5:Beatrice},"""............That was the deal. Indeed..."" "
Ronove,"""Apparently, Battler-sama does not intend to become the master of the Golden Land. ...It now seems that no one will become our master."" "
{f:5:Virgilia},"""That is also fate. It has been several decades since we first manifested in the Human world through our bond with Lord {f:5:Goldsmith}. ...The time since then has been so very fun."" "
Gaap,"""......Come on, Lia, you sound like an old lady. ...So, what're we going to do? If we go by Riiche and {f:5:Goldsmith}'s rules, now that Battler's solved the epitaph and decided not to become our master, we've been relieved from duty, right?"" "
Ushiromiya Kinzo,"""That's true. ...I have no regrets at all. I've been prepared to be kicked down into Cocytus all this time."" "
{f:5:Beatrice},"""Wait. We can't let that happen. ...You might not have any regrets, but I will keep on serving Natsuhi. It would be quite irresponsible to let ourselves be relieved from duty just because Battler solved the epitaph. ...Witches are forbidden from breaking contracts, but they also must not fail to show gratitude."" "
Ronove,"""...True. We should serve her until the family conference ends."" "
{f:5:Virgilia},"""In that case, you won't be relieved from duty for a while either, Lord {f:5:Goldsmith}. ...Perhaps you should wait until you've overcome this family conference safely, said goodbye to Natsuhi-sama at the very least, ...and if possible, rewarded her for all her efforts."" "
Ushiromiya Kinzo,""".........Indeed. ...She has done well supporting my foolish son."" "
{f:5:Beatrice},"""You're a fallen angel with one of its wings plucked off, aren't you? Just leave the other wing as a parting gift and go."" "
Ushiromiya Kinzo,"""...Indeed. ...Perhaps that would be fitting. Natsuhi may be worthy of bearing my wing. ...However, ......we are approaching the critical moment. ...Your reward is waiting for you. Try to make it through this test unscathed, ...Natsuhi..."" "
,The mountain of gold left everyone speechless. 
,"Regardless of how strongly they had believed in its existence, ...no one could look at this much real gold and not be shocked... "
Ushiromiya Natsuhi,"""......To think a place like this existed......"" "
Ushiromiya Krauss,"""I can't believe it... ...That Dad......"" "
,Everyone was stunned by the gold. 
,The first one to break the silence and jump around in ecstasy was Hideyoshi. 
,"Letting out an excited laugh, he clung to the wall of gold. Then he felt the cold, hard touch of it all over his cheek. "
Ushiromiya Hideyoshi,"""W-Wahahahahahahahahahahahaha...!! Th-This is incredible! It's the real thing!!"" "
Ushiromiya Rudolf,"""......H-Hahahahahahaha!! That damn Dad of ours, sticking this much gold in such a ridiculous place!!"" "
Ushiromiya Eva,"""Now that we have this much, ...we no longer... have anything to fear... With this, ...we could overcome any kind of trial...! Rosaaa...!!"" "
Ushiromiya Rosa,"""Nee-san, ...Nee-san... We'll be able to find happiness with this, right...?"" "
,Eva and Rosa moved towards each other at the same time and hugged as they broke down crying... 
,"Ecstasy and shock, ...wonder and sighs. "
