Speaker,Steam (ST)
Ushiromiya Eva,"""Who should we get a puzzle from next?"" "
Ushiromiya Ange,"""What about those two?"" "
Ushiromiya Eva,"""Shannon-chan and Kanon-kun? Sure, it looks like they'll put up a good fight."" "
Shannon,"""Do you need something, Eva-sama and Ange-sama?"" "
Kanon,"""...Don't be stupid, Nee-san. They're asking us for puzzles."" "
Shannon,"""Ah, m-my apologies!"" "
,Shannon was as absentminded as ever. 
,"However, Kanon looked extremely calm, and would probably have a well-polished puzzle ready. "
Shannon,"""Ummm, uhhhhh......"" "
Kanon,"""...*sigh*. Okay, I'll go first. Use that time to think up a puzzle, Nee-san."" "
Shannon,"""O-Okay. Sorry..."" "
Kanon,"""So, if I'm buying time for Nee-san to think up a puzzle, I'll have to make one tricky enough to keep you stumped for a while."" "
Ushiromiya Eva,"""Heheheheh, you've got guts, kid. Let's have it, shall we? Show us the hardest one you've got!"" "
Ushiromiya Ange,"""Don't provoke him! I want a easy one!"" "
Kanon,"""Now that I have Eva-sama's permission, allow me to present an insanely difficult puzzle."" "
Ushiromiya Eva,"""Leave this to me. I'll solve it!"" "
Ushiromiya Ange,"""The number of coins are really different, and kind of weird."" "
Ushiromiya Eva,"""Wait a second, Kanon-kun! What are you thinking?! There's no way she'll be able to get this one, right?!"" "
Kanon,"""This is just to buy time until Nee-san can think up a question, so forgive me."" "
Shannon,"""Th-Thank you...! I've thought of a question...!"" "
Kanon,"""...Understood. Now then, Eva-sama and Ange-sama, I'll give you a hint. ......Copper is 29, silver is 47, and gold is 79. That's the hint."" "
Ushiromiya Ange,"""That's just what you said in the question...! That's not a hint!"" "
Ushiromiya Eva,"""...Copper is 29? Silver is 47?? ......Oh, so that's it!"" "
Ushiromiya Ange,"""Huh? You got it?! I get it too! Platinum is better than gold, so the prize must be more than 79 gold coins!"" "
Ushiromiya Eva,"""That's wrong. With these rules, the platinum prize is probably worth less than the gold prize. Isn't that right?"" "
Kanon,"""...It is as you say. It seems you've already found the answer."" "
Ushiromiya Eva,"""This puzzle is impossible for Ange-chan. You'd need to have gone to middle school at the very least. I'll answer! Is that all right, Ange-chan?"" "
Ushiromiya Ange,"""S-Sure. I'll leave it to you...!"" "
Kanon,"""Incorrect."" "
Ushiromiya Eva,"""Aaaaaaaahhh, sorry, I messed up!! If only I'd taken science class more seriously!"" "
Ushiromiya Ange,"""What do you mean? I don't get it."" "
Ushiromiya Eva,"""The number of gold coins is the atomic number for each element. Copper is 29, silver is 47, and gold is 79. I can't remember what number platinum was...!!"" "
Ushiromiya Ange,"""I don't have a clue what you're talking about."" "
Ushiromiya Eva,"""You! What kind of problem do you think you're giving Ange-chan?! Can't you put a little more thought into your puzzles?!"" "
Kanon,"""You did give me permission to show her the hardest one I've got."" "
Ushiromiya Ange,"""...That's right. You said it yourself. That's why we got a puzzle that was too hard for me."" "
Ushiromiya Eva,"""Nnggggggggggghhhh...!! ...S-Sorry, Ange-chan..."" "
,"Aunt Eva clenched her hands together, grimacing. "
,"It was just too hard, and I didn't have a clue... "
Kanon,"""......Correct."" "
Ushiromiya Ange,"""Awesome, Aunt Eva! Why?! Why is it 78 coins?! If platinum is better than gold, then why does gold get more coins?!"" "
Ushiromiya Eva,"""The number of coins you get is always the same as the atomic number of the prize. Copper is 29, silver is 47, and gold is 79. And, by the way, platinum is 78. So, the platinum prize gets you 78 gold coins."" "
Ushiromiya Ange,"""...A-Aunt Eva, you're incredible!!"" "
,"Dad once told me that Aunt Eva was an enthusiastic studier, and really, really smart even back when she was in school. "
,"Even George onii-chan, her son, is smart, so Aunt Eva must really be incredible. "
Ushiromiya Eva,"""Still, that was a pretty nasty riddle to choose. You should have at least given one that Ange could understand."" "
Kanon,"""You did give me permission to show her the hardest one I've got."" "
Ushiromiya Ange,"""...That's right. You said it yourself. That's why we got a puzzle that was too hard for me."" "
