Speaker,Steam (ST)
,"There would've been no way to tell that morning had come without opening a window and looking up at the cloudy sky, which had become a tiny bit lighter. "
,"It wasn't a refreshing morning. All that could be heard was the sound of the rain, which hadn't stopped falling since last night, and the howl of the wind... "
Ushiromiya Kyrie,"""...It's hard to imagine that it's morning. This horrible weather speaks for our hearts."" "
Ushiromiya Rudolf,"""Hey, it could be worse. At least it's just rain and not spears falling from the sky."" "
Ushiromiya Hideyoshi,"""Wahhaha. Whether it's rain or spears, it's comin' down with a bang. "
Ushiromiya Hideyoshi,"......Is it already 6:00? Fuaaaaaa... Isn't this enough? After this, we've got no measures we can take 'til the mystery 19th person, {f:5:Beatrice}, makes her move."" "
Ushiromiya Krauss,"""True. ...However, I believe we have anticipated every trick they might use against us."" "
Ushiromiya Eva,"""That's right. As long as a traitor doesn't appear among the siblings, we should be able to deal with most situations."" "
Ushiromiya Rosa,"""...Haven't we talked about this enough? We've stayed up all night. ...I'm tired."" "
Ushiromiya Natsuhi,"""You're right. How about taking a little rest after eating breakfast?"" "
Ushiromiya Krauss,"""...A good plan. Staying up all night is trying at our age."" "
,"As they all stretched, they enjoyed this unrefreshing morning as best they could. "
Ushiromiya Rudolf,"""I'll go wash my face or something. I probably look horrible."" "
Ushiromiya Kyrie,""".........? What is that awful stench?"" "
,"As soon as they exited into the corridor, Kyrie openly made a disgusted expression. "
Ushiromiya Natsuhi,"""...What is it?"" "
Ushiromiya Kyrie,"""Hey, don't you smell something awful...?"" "
Ushiromiya Hideyoshi,"""......Nnn. ...What is this stench? I can't stand it..."" "
,"After hearing those complaints, everyone stuck their heads out into the corridor. ...The stench was faint, but once people started commenting on it, it was clearly noticeable. "
,"Each of them went into the corridor, relying on their own sense of smell to tell them where this strange odor was coming from... "
Ushiromiya Natsuhi,"""What in the world could it be? Let us have Genji deal with it. I believe he should already have arrived in the servant room to begin the morning preparations."" "
Ushiromiya Krauss,"""Indeed, please do. At the very least, it's difficult to imagine Gohda making a breakfast that would cause such an odor..."" "
,"Rudolf and the others searched for the source of the smell...and determined that it was coming from underground, from the boiler room. "
,"But the door was locked, and they couldn't check inside. "
,"At the same time, when Natsuhi's group was on its way to search for someone in the servant room, they noticed something strange near the parlor. "
Ushiromiya Natsuhi,"""...What is this...?!"" "
