Speaker,Steam (ST)
,"After putting Ange to sleep in the parlor, Genji and the others returned. "
Ushiromiya Battler,"""Thanks. Was she sleeping well...?"" "
Ronoue Genji,"""Yes. She is sleeping peacefully."" "
{f:5:Beatrice},"""The noise from here won't reach the parlor, right...?"" "
Shannon,"""That's right. The door is closed, so I don't think it will reach."" "
Ushiromiya Battler,"""......Ange, sweet dreams."" "
{f:5:Beatrice},"""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after-partyyyy!!"" "
,"When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant. "
,"The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere. "
Ushiromiya Kinzo,"""Yes, the true party shall now begin!"" "
Ushiromiya Battler,"""You said it! Okay, the anti-magic toxin is totally gone!! Everyone, come on in! The party after the show is about to start!!"" "
,"With a burst of applause and cheering, a tornado of gold butterflies rose up in the center of the room. "
,"By the time it passed, the number of faces had grown significantly. "
{f:5:Virgilia},"""Let the witch of the future find happiness. And let us of the past be rewarded for our efforts, yes?"" "
Ronove,"""Indeed. Let us enjoy ourselves as well."" "
{f:5:Beatrice},"""Come on, haven't we been enjoying ourselves the whole time?!"" "
Ronove,"""Pu ku ku ku. In this world, the one who enjoys the most is the true winner."" "
{f:5:Virgilia},"""Come, let's have the Seven Sisters over here too."" "
Lucifer,"""The Seven Sisters of Purgatory, right here!!"" "
Leviathan,"""I can't believe the game's finally over! Waaah!"" "
Satan,"""What do you think you're doing, crying at the after-party?! You little crybaby!"" "
Belphegor,"""Lord {f:5:Battler}, {f:5:Beatrice}-sama, thank you for the invitation!"" "
Mammon,"""I wanna see six-year-old Ange-sama's sleeping face and have it all to myself!"" "
Beelzebub,"""I wanna see the food and have it all to myself!!"" "
Asmodeus,"""Then I want a hot guy to have all to myself!!"" "
{f:5:Beatrice},"""Why are you clinging to Battler when you say that?! Stop, thief!"" "
Ushiromiya Battler,"""Glad to see you, Seven Sisters of Purgatory! Enjoy yourselves!"" "
Ronove,"""Ah yes, things do get much noisier the moment they enter a room."" "
Ushiromiya Kinzo,"""And what's so terrible about that?! In fact, it still isn't nearly noisy enough!"" "
,"Another gold cyclone rose up. In its wake, three people with bunny ears came into view. "
Chiester00,"""Chiester Sisters Imperial Guards, right here!!"" "
Chiester45,"""It's s-such an honor to be summoned to a gathering such as this!"" "
