Speaker,Steam (ST)
,"The biggest fall event for the Ushiromiya family was the family conference in October, but to Jessica, there was another major event that came before that: the school cultural festival. "
,"Jessica liked school. To her, it was a place where she could let out the stress she'd built up from the rigid lifestyle she was forced to lead at home. "
,"For today's cultural festival, she'd formed a group with her friends... and had announced that they'd perform some light music on a temporary stage. "
,"She had prepared and practiced for this over and over until today, always anxiously awaiting this day's arrival, ......but there was one thing that worried her. "
,"She looked at the clock. ...There was still a little time, ...but she felt uneasy. "
,Would that person really come? 
,"After taking a single deep breath, her heart jumped when all her friends suddenly started speaking in shrill voices. "
,"""No wa-y, Hina's boyfriend's so a-wesome!!"" "
,"""Isn't he?! Isn't he?!"" "
,"""Rin's boyfriend looks re-ally smart! Is it true that guy's a glasses beast?!"" "
,"""No way, no way, my husband'll be a pretty bo-y!"" "
,"""""""*giggle*{p:0:♪} *giggle*{p:0:♪}"""""" "
,"...It may not be like this for all girls, ...but at least at Jessica's school, the cultural festival was basically a boyfriend exhibition. "
,"Jessica didn't have a boyfriend. She had many friends of the opposite sex, but no special ""only one"". "
,"...But Jessica was a little famous around the school, and everyone thought it'd be natural for her to have a fitting partner. "
,"Furthermore, her pride had led her to pretend that this was true. "
,She'd somehow managed to keep them fooled until this year. 
,"...But for various reasons, she hadn't been able to escape this year's cultural festival... "
,"""Jessie-, is your boyfriend he-re?"" "
Ushiromiya Jessica,"""Wha?! Ah, uh, no, looks like he's not here yet. Maybe he's busy with work. Ahahahahahahahahahaha..."" "
,"""So what kind of person is he, Jessie? At least give us a hint. What kind of relationship? What kind of relationship?!"" "
,"""Awesome, so he's a working man?! Will he come in a suit?! Of course he'll be wearing glasses, right?! Kyaa-!!"" "
,"""Heeeeeey, he actually doesn't exist, right? If you come clean now, we'll let you join us! Let's cry together through this year's cultural festivaaaal!"" "
Ushiromiya Jessica,"""No no no, he exists he exists he exists, I told you, he really exists... ahahahahahahahahahaha...!!"" "
,Jessica's bitter smile was covered with cold sweat. ...It was starting to seem doubtful whether she really had deceived her sharp-witted friends... 
Shannon,"""Okay. Then, how about making a fake boyfriend and taking him with you?"" "
Ushiromiya Jessica,"""A-A-A fake?! Wh-Who...?! I can't think of...anyone who'd do that!"" "
,Shannon's ridiculous plan surprised Jessica into hysterics. 
,"Even so, it was probably more realistic than the crazy methods running through her head about getting a boyfriend in the big rush before the cultural festival. "
Shannon,"""For example, ...what about Kanon-kun?"" "
Ushiromiya Jessica,"""K-K-Kanon-kuuuuuun?! N-N-No way, no way!! Anyway, I'm sure Kanon-kun has work on the day of the festival, ...and I don't wanna bother him..."" "
