Speaker,Steam (ST)
{f:5:Beatrice},"""You idiot!! Isn't it obvious?!! It'll be fun to kill her and see your face twist in pain, why else?!! Gahyahahahahahahaha!!"" "
{f:5:Beatrice},"""Look, look, don't turn your eyes away, look at it. Look, look, look! It's magic, it's furniture, no matter how much you try to deny me and magic, look, look, look, look, look! Gyahhahhahahaha!!"" "
{f:5:Beatrice},"""Sorry, Battleer. It was pretty fun. Sure, I just did what Teacher told me, but look how great it turned out! Apparently, if you start out all hostile and needlessly brutal, then turn incompetent and soft at just the right moment, you can spark a huge bump on your affection meter, ri-ght? Kyahahahahahaah!!"" "
,That lonely tone...was the desolate sound of the wind blowing by. The glittering rose petals on these bushes...were all golden. 
,The cloud of gold butterflies that had once danced through this golden rose garden like fluttering rose petals... was no longer anywhere to be seen... 
,"The master of the Golden Land is the Golden Witch, {f:5:Beatrice}. She might be called inhumane and cruel. Arrogant and outrageous. Or perhaps...naive and simple. "
,"That laugh of hers, which lost its grace more and more the longer it continued, ......could no longer be heard. "
,"The Golden Witch {f:5:Beatrice}... sat like a doll, resting in a deck chair adorned as beautifully as the golden rose garden itself. "
,...She wasn't relaxing there. 
,"Her eyes were empty. She didn't respond to any questions. Even so, she was not permitted to sleep. {f:5:Beatrice} sat like a doll... "
,"Her hair was down, and {f:5:Virgilia} was carefully tending to it with a comb. "
,The usual Beato would surely have spent this time complaining about this and that regarding her hairstyle. 
,"...However, she made no response, showed no reaction. So it really only looked like {f:5:Virgilia} was combing the golden hair of a large doll... "
,There was a table alongside them. 
,"On it sat a chessboard, ...along with a jumble of black and white pieces locked in a closely-fought battle. "
,"However, this setup looked somehow different from normal chess. ...Maybe the game was similar, though not identical. "
,"And on the other side, ...sitting back in his chair as he contemplated his next move, was a young man. "
,"...No, perhaps it wasn't his next move he contemplated. "
,"Every once in a while, he would change the positions of the pieces, reconsidering the situation after every change. "
,"Maybe he was reconstructing previous games, trying to discover the thought process behind the moves that had been made. "
,"In the past, Kinzo, the Ushiromiya Family Head, once said that learning chessboard arrangements was like taking a journey through the thoughts of the old masters. "
,Ushiromiya Battler...was on a journey. 
,A search for the thought process...that had led the Golden Witch to create this arrangement and make these moves. 
,"Battler took a black piece that should have been moved forward...and returned it to its original place, sighing deeply. "
,"Battler's pieces were white. However, on this chessboard, the black encampment was on Battler's side. He was reconstructing that arrangement, trying to play Beato's role... "
Ushiromiya Battler,"""...The more I do this, the less I understand your moves."" "
,Even Battler...didn't expect that Beato would respond to that statement. 
,"Or rather...he was pretending to talk to himself, ...thinking there might still be some chance of her responding. "
,Beato's eyes...reflected nothing. And her mouth told nothing. 
{f:5:Beatrice},"""....................."" "
,"After begging him to kill her, ...the Golden Witch had become a corpse that had given up on life. "
,She wasn't sleeping. ...She couldn't step down from this game and was therefore forbidden sleep. 
,"So, those words must have reached her ears. However, ...they probably hadn't reached her heart. "
,"The Golden Witch would not sneer at Battler's moves, nor would she praise them or belittle them. "
,"By now, ...{f:5:Beatrice} was nothing more than a living doll. "
,"Even so, she would glance at him every once in a while. It would be an empty glance, but a glance nonetheless. "
,"Sometimes, she would seem to make some sort of gesture... or even move her lips. "
,"However, her movements never managed to communicate anything to Battler... "
Ushiromiya Battler,"""How did you decide on this move in this situation? ...I don't get it at all. I don't understand your moves."" "
{f:5:Beatrice},""".................."" "
{f:5:Virgilia},"""...Beato, Battler-kun is talking to you..."" "
{f:5:Beatrice},""".................."" "
Ushiromiya Battler,"""...Say something. Giggle, or guffaw, or something. ...Even use that shrill laugh of yours, if you want."" "
,...Can you believe it...? That shrill laugh of Beato's...will never be heard again. 
,"However, even if she couldn't answer, his voice surely reached her. ...That was what Battler believed as he said these words. So he said it again... "
Ushiromiya Battler,"""How did you decide on this move in this situation? I don't get it at all. I don't understand your moves."" "
{f:5:Virgilia},"""............ ...So, you don't understand what this child is thinking?"" "
,{f:5:Virgilia} answered in her disciple's stead. 
,"Up to this point, she had done her best to avoid speaking for Beato. After all, there was a chance that Beato would respond in some way, and {f:5:Virgilia} didn't want to be the one to steal that chance. "
,"...So, Battler was going to have to bear with this silence... ...until Beato herself answered. "
,{f:5:Virgilia} could no longer bear to watch Battler like this... 
,"Besides, Battler also wanted to hear what {f:5:Virgilia} had to say. He believed that conversation would reach Beato's heart... "
Ushiromiya Battler,"""Yep. I don't have a clue. ...The more I try standing in Beato's shoes and moving the pieces like this, the less I understand."" "
,"A serial murder following an epitaph. With that as a victory condition, I tried reconstructing the games from the witch's side, ...but I never ended up making the moves Beato did. "
,"In those games, I could find several incomprehensible moves that clearly worked against that victory condition... "
Ushiromiya Battler,"""...I don't get it at all. This journey through her thoughts is just too rugged."" "
{f:5:Virgilia},"""Even so, you won't give up, will you?"" "
Ushiromiya Battler,"""I won't. ......I promised."" "
,{a:c: Kill...me. ......Let me die......} 
Ushiromiya Battler,"""I promised to let her die peacefully. ......And I'm the only one who can do it."" "
,"...Beato's right ankle was bound with a heavy, cold, steel shackle. "
,"It wasn't tied to anything, so it didn't restrict her movement. "
,"However, it symbolized restriction. It was a visualization of the bonds...that prevented her from leaving the game until she either won or lost... "
,"And, ...the shackle was probably hurting her. The mercilessly cold shackle... tormented her over and over inside her waking dream. "
{f:5:Beatrice},""".........Ghh.........ah..."" "
,"So, there was never any sign of relief in her empty expression. Her eyelids would sometimes tremble like she was having a nightmare, ...and every once in a while, she would let out a pained gasp. "
,"Unless I win, ...Beato will never be released from the curse that prevents her from sleeping peacefully... "
{f:5:Virgilia},"""...Are you sure you want to be doing this? It seems the 5th game has already started."" "
Ushiromiya Battler,"""............ ...Not interested."" "
,"Why should I take part in any game unless Beato is my opponent...? If that's the only alternative, then it's a much better use of my time to reconstruct previous games while taking a journey in search of Beato's thought process... "
{f:5:Lambdadelta},"""I'll be the next Game Master. Any objections? You've got none, right?"" "
{f:5:Bernkastel},"""...I've got nothing but objections. Beato conceded the fight and is unconscious. Isn't this a loss by default and ""game over"" for her...?"" "
{f:5:Lambdadelta},"""I'll admit a lot's happened to Beato, and she's basically been KO'ed for now. But that doesn't mean she's lost the will to fight. That's why I'm acting as her assistant. Get it?"" "
,"Beato was lying down on a deck chair, almost as though she was sleeping. "
,"However, she wasn't sleeping, ...and she wasn't awake either. "
,"She was nothing more than a living doll that had given up on victory, who had asked Battler to perform her last rites, and who had surrendered everything... "
,"Of course, if everyone just sat around, the next game...the 5th game would never be made ready. "
,"So, {f:5:Lambdadelta} had succeeded Beato as the next Game Master and announced that she'd prepare the next game. "
Ushiromiya Battler,"""Quit messing around. This is a game between me and Beato. I don't know who you two are, but I'm not gonna let you carry on without us."" "
