Speaker,Steam (ST)
,"Of course, since the time of her birth, ...Jessica had been raised in this mansion. "
,"The atrophied, Western-style house that the cousins called a mansion was her home. "
,"And yet, she had never understood her cousins' feelings as much as she did today. "
,"...At the same time, she had never felt her own home, which she knew well, to be as alien as it seemed now... "
,Her own......room. 
,"This had once been her hideaway, the only place in this vast mansion where she could feel at peace. "
,"However, ...she had never felt as much pressure coming from that door as she did now. "
Ushiromiya Jessica,"""......A test, you say...? Tch, what the hell could be waiting in there... I'm not gonna find my desk and stuff dragged around all over the place, right...?"" "
,"She acted tough, trying to deceive herself. ...Trying make herself believe that she wasn't scared of anything. "
,"Readying herself, she opened the door to her room. "
Ushiromiya Jessica,"""............"" "
,"...When she saw that, fortunately, the room didn't appear to be messed up, she relaxed. "
,No one...was there. ...Of course. There was nowhere for anyone to hide here. 
,"Right away, Jessica locked the door behind her. ...This way, the room was safe. "
,"She peeked under the bed and in the closet, but of course, no one was hiding. "
Ushiromiya Jessica,"""...Wh-What the hell. ...Haha, ...haha...!"" "
,She looked at the clock. ...It was just past 23:10. 
,"As her tension lessened and fatigue came back to her entire body, she realized how messed up this whole day had been. "
,It was still about 23:00. 
,"...The plan had been for all the cousins to gather, have fun playing around, and talk animatedly about various things together into the night. "
,"Normally, we would've been doing that kind of thing right now. Why...has that turned into this...? "
Ushiromiya Jessica,"""......It's all that damn geezer's fault... ...How could he do that...to Mom... to everyone......"" "
,She shook her head back and forth with anger and sadness... But there was no one here to direct those emotions at. 
,"...Because of the lock, this room's security was guaranteed. Remembering that one more time, Jessica somehow regained her calm... "
,If it keeps up like this and nothing happens... ...I want to go to the dining hall and see Mom's dead face. 
,"...Even though Gohda emphasized so strongly that it was gruesome and that I definitely shouldn't go to look at it, even so, I wanted to see her face at the end... "
,But we were warned repeatedly that stepping out of line even a little would put the hostages in danger. 
,...Could it be that locking the door was also against the rules...? 
,"If I close myself up in here, I alone might be saved. "
,"...But if I don't open it, it'll surely be against the rules, and Dad, Kanon-kun, Shannon, Aunt Kyrie and Doctor Nanjo... will be killed. "
,......There's no way the scales will balance out between five lives and my own one life. 
,"Jessica tightly shut her eyes, resisting the other part of herself that said ""Isn't it okay as long as I stay alive?"", ...faced the door, and made to unlock it. "
,...At that time. 
,*clap* *clap* *clap*... 
,"A crisp applause rang out, making Jessica's heart leap... "
Ronove,"""If the door had remained locked, it might have been in violation of the rules, and harm could have come to the hostages. ...But despite that, your own life might be saved."" "
Ronove,"""However, you resisted that temptation and were about to unlock the door yourself. That bravery of yours is worthy of admiration."" "
Ushiromiya Jessica,"""Wh-Who......"" "
,"I, the owner of this room, ...searched everywhere a human could've been hiding, ......where did this man...come from...? "
,"......There was nowhere for a Human to hide, ...but could something non-Human have managed it......? "
,"This was supposedly my first meeting with this largely-built, middle-aged man. ...I didn't recognize this guy, who looked like a butler and bore the crest of the One-Winged Eagle. "
Ronove,"""A pleasure to meet you, Jessica-sama. ......I serve as head furniture for the Master, the 27th of the 72. I am called Ronove."" "
Ushiromiya Jessica,"""...Rono...ue...? ......Genji...san......?"" "
Ronove,"""...Ah yes, ...Genji is like my little brother. Or perhaps he was my true form while in this world. ...You might even say he was my vessel."" "
Ushiromiya Jessica,"""......What's...this guy...saying......?"" "
Ronove,"""Oh, my apologies. This is not something a Human would be able to understand. ......Well then, let us move on to the main event."" "
Ushiromiya Jessica,"""So this is... ...that test or whatever the damn geezer talked about......?"" "
Ronove,"""Correct. This is the test that the Master has granted you, Jessica-sama."" "
,"At Ronove's elegant gesture, like that of a butler ordering for a meal to be set out, many gold butterflies flew up out of nowhere... "
Ushiromiya Jessica,"""Gwah?! What the...hell...?!"" "
,"As the cloud of gold butterflies spun around in a small swirl, they gathered in one place. "
,"...Then, that golden mound disappeared like a pile of leaves blown away by a cold wintry wind, ...and there lay a Western envelope with the One-Winged Eagle crest done on it in gold leaf... "
,"With a gesture, Ronove urged her to pick it up. Jessica timidly did so...and opened the letter inside... "
Ushiromiya Jessica,""".........What's...this...?"" "
Ronove,"""It is an exceedingly simple test to determine whether one is qualified to become the Successor. ...Please attend to the question written there with a fitting attitude for the Successor who is to support the Ushiromiya family... and tell me your answer, as well as the thoughts that led you to it."" "
Ushiromiya Jessica,""".........D-Dumbass......"" "
,"Shaking, Jessica looked between the paper and Ronove's face several times... "
,"...At that time, George, who had been called out after Jessica, could be seen in the arbor of the rose garden. "
,"If things had gone normally, ...he had planned to give Shannon the ring that would be proof of their engagement...here, at this time, on this day. "
,...But the woman in front of George now was not Shannon. 
Gaap,"""...Read it. That is {f:5:Goldsmith}'s test for you."" "
Ushiromiya George,"""............"" "
,"George picked up the Western envelope, which was on the table where he'd once had tea with Shannon, and read its contents... "
,"Perhaps its message was short. After glancing at it, George's eyes grew sharp. "
Ushiromiya George,"""......What's this supposed to be?"" "
Gaap,"""Ehheheheheh. ...It is as you see. This is the test given to you, to see if you're qualified to be the Successor. ...As you ask yourself whether you truly are so qualified, answer that question."" "
Ushiromiya George,"""......What a...stupid question."" "
Gaap,"""That's right. It really is a stupid question. ......Doesn't that mean the Ushiromiya family inheritance is also something on that level in {f:5:Goldsmith}'s eyes? ...Heheheh."" "
,"George lowered his eyes to the surface of the letter once again, examining its contents... "
,"George and Jessica. ...While the tests given to them were slightly different, they were almost exactly the same. "
Ushiromiya George,"""...'Among the three mentioned below, in order to gain two, sacrifice one'."" "
Gaap,"""It's a simple three choices. ......Decide for yourself which one you will choose to abandon."" "
Gaap,"""If you refuse to choose, the test will be suspended. I've been given permission to kill you right here by my own hands. ......If you want to include even that as a choice, then there are four options. "
Gaap,"It's been an awful long time since I've gotten to play with a kid like you, so I can't say I'd be disappointed."" "
Ushiromiya George,"""......Are these three choices only a test? Or will the consequence of my choice be carried out?"" "
Gaap,"""Don't be so naive. ...The one you choose will definitely lose their life."" "
Ushiromiya George,"""............"" "
,"{a:c:{e:070:Among the three mentioned below. {n}In order to gain two, sacrifice one. {n}{n}1. Your life {n}2. Shannon's life {n}3. Everyone else's lives {n}{n}If you do not choose one, all of the above will be lost.}} "
Ushiromiya George,"""......Why is Shannon's name here?"" "
Gaap,"""The second choice has the name of the one most needed and most loved by the test-taker. ...I believe Kanon's name is written second on Jessica's test."" "
Ushiromiya George,"""......You gave this stupid question to Jessica too...?"" "
Gaap,"""*giggle*giggle* ...You shouldn't be worrying about Jessica, right? Right now, you are the one being tested. "
Gaap,"It really is a simple three-choice test. Which can you throw away for the sake of the other two? ...Isn't that simple? If you still can't decide, would you like me to lend you a coin...?"" "
Ushiromiya George,"""...A coin? How would you choose between three options with something that only has two sides?"" "
Gaap,"""No one would throw away their own life. ...So, there remain two choices that will leave you standing. Will you give up on everyone for the sake of the one you love? Or will you give up on the one person you love so that you can save as many people as possible?"" "
Gaap,"""Either way, you should be able to find a fitting just cause. After all, this Rokkenjima is now a demon island."" ""...The sentimental relationships of the Human world aren't necessary here. No one will blame you. Do as your heart desires. "
Gaap,"...And ask yourself whether you're qualified to succeed the Ushiromiya family Headship..."" ""Or rather, make your decision as if you truly were the Ushiromiya Family Head, okay? Hehheheheheh..."" "
Ushiromiya George,"""............"" "
Ushiromiya Jessica,"""......Fuck you guys, ...mocking me like this......!"" "
,Jessica crumpled the letter up and threw it on the floor. 
Ronove,"""I believe your anger is quite appropriate. ...I also find it an exceedingly pitiful...and yet truly humorous question. ...Pu ku ku ku."" "
Ushiromiya Jessica,"""How could anyone wish to die themselves? And how could anyone want to remain alive after abandoning the life of the one they...l-love. ...And...how could anyone massacre everyone else, ...as long as it's good for the two of them...?!"" "
Ronove,"""No, Jessica-sama. Such a person could exist. "
Ronove,"This is Rokkenjima, the demon island! It is now completely cut off from the Human world and fully immersed in the spirit world like cheese fondue. Values of the human world get taken out with the trash."" "
Ronove,"""Pu ku ku! So please. Rank the things you desire from the bottom of your heart. Whatever remains will become a fitting answer for you in this insane evening."" "
Ushiromiya Jessica,"""Screw you!! How could I......choose any of these?!!"" "
Ronove,"""""If you do not choose one, all of the above will be lost""... also makes for a fine fourth option. Even choosing that should give us an amusing show."" "
Ronove,"""But since that choice will result in the loss of your own life in the end, I believe it would be more wise to be pure and choose the first one, ""your life"", so that the other two will be saved. ...Everything has been entrusted to your decision, Jessica-sama."" "
Ronove,"""Please, let me hear an answer and conviction fitting for the Successor to the Ushiromiya Family Headship...!! I, Ronove, am sincerely hoping for a wonderful answer, fitting for the Master's descendant who shares his blood!!"" "
Ushiromiya Jessica,"""...D-Damn iiiiiiiiiiiiiiiiittt..."" "
,That scene was observed through the magic crystal ball Kinzo held. 
,"Kinzo finally couldn't hold it back and, spreading his arms and facing the heavens, began laughing in an explosive voice... "
Ushiromiya Kinzo,"""Fuhahahahahahaha, waahhahhahahahahahahahahaha!! What are you wavering for, foolish grandchildren, my descendants?!!"" "
Ushiromiya Kinzo,"""Isn't this problem so easy that you could answer right away? Isn't this a question that should cause you to waver less than whether to put butter or jam on your morning toast?!! ...Do you people know the correct answer?"" "
,"He turned to face the Chiester Sisters, who had been waiting on him. "
Chiester45,"""N-N-No, my apologies, I don't know, Lord {f:5:Goldsmith}!"" "
Ushiromiya Kinzo,"""Fool, not choosing at all means game oveeeeeeeeeeeer!!! You foolish rabbit, who cannot even choose a reason or a goal for your own life...!!"" "
Ushiromiya Kinzo,"""You aren't worth a single ant that anyone might step upon without even noticing!! Die! Be crushed!! Disappear faster than I can blink!! ...And what of you?"" "
Chiester00,"""...I would sacrifice the first one, ""your own life"", sir. Weapons fight and die in battle. And weapons exist to destroy enemies and protect allies. Being able to protect those we love and then die is our satisfaction, sir."" "
Ushiromiya Kinzo,"""Hoh. A truly splendid model answer for a weapon. The immediate reply is very nice. ...So, have you been raised to think you'll be given an extra carrot for answering that way? Heheheheh, that's wrong, seeeeeeeee? Even that is wrong, seeeeeeeeeeeeeeee...?"" "
Ushiromiya Kinzo,"""Answering that way when you are asked is nothing more than giving the answer you have been indoctrinated with!! You are the same as that other rabbit a second ago. You still live without having chosen a purpose or goal to strive for...!! You filth that doesn't deserve to live...! It would suit you well to be crushed and used as fodder for the other livestock!!"" "
Chiester00,""".........! ...Yes sir! Animal fodder...would be an honor...!"" "
Ushiromiya Kinzo,"""That's wrong, riiiiiiight? You don't want to see anyone else die anymore, riiiiiiight? Why can't you accept that? Accept that the depths of the depths of your old wound are still festering and rotting...! "
Ushiromiya Kinzo,"Yes, the rotting stench would make the nose wrinkle, you foolish rotten rabbit!! These are words of praise for you!!"" "
Chiester00,"""......Th-Thank you very much, ...sir..."" "
Ushiromiya Kinzo,"""Well then, what about you, the last one? Which of the three choices would you choose...?"" "
Chiester410,"""Nihi. Without wavering, I'd chose the second one."" "
Ushiromiya Kinzo,"""Hoh... The second. There are not many who could stick their chest out and choose to offer ""the one they love"" as a sacrifice. Tell me your reason."" "
Chiester410,"""Because the one you love will be lost eventually. If you don't love anyone, you won't get hurt, and if you lose someone, you still might be able to love again. So, the person you love right now isn't worth that much at all nyeh. ...Nihi!"" "
Ushiromiya Kinzo,"""*cackle*cackle*cackle* I see, so that is why you reach such an answer, you rabbit who has become cowardly from pain caused by love... I have heard that rabbits can die from loneliness, but just when was it that your heart was killed...?"" "
Ushiromiya Kinzo,"""Then, rabbit, I shall alter the question. Why don't I change the second option to, not ""the one you love"", but ""the memories of the one you loved""?"" "
Ushiromiya Kinzo,"""...How is that? Can you still select that one? What's this about the one you love not being worth much at all, foolish rabbit...?! "
Ushiromiya Kinzo,"Filth who cannot even face up to the depths of her own love!! Try and choose it, try and choose to have the one you loved forgotten!!"" "
Ushiromiya Kinzo,"""You can do it, right? I'll bet you can, riiiiiiiight? Cooooome on, try saying that you can, okaaaaaaaaaaaayy?!?!"" "
Chiester410,"""Y-Yes, I can choose it... I can choose it...!! Nihi, ......nihihihihihihihihihiiihii..."" "
Chiester00,"""L-Lord {f:5:Goldsmith}...! Please, stop this...!!"" "
Chiester410,"""Hihiiihiii... ...Hiiiiiiiiiiiiiiiinnggg...!!"" "
Ushiromiya Kinzo,"""Enough, rabbit filth!! Go to {f:5:Virgilia} and help keep watch on the dungeon. Disappear!!"" "
,"The Chiester Sisters, with their respective old wounds of the heart gouged out, escaped by disappearing. "
,"After that, even though there was no one to hear, Kinzo continued talking by himself as though in a play... "
Ushiromiya Kinzo,"""...Indeed, that is the nature of this charming test. In truth, no choice can be said to be correct. "
Ushiromiya Kinzo,"Whichever answer they choose, it is about whether they can choose... without hesitation, quickly, and with a resolute conviction and their own strong, unshakable will!!"" "
Ushiromiya Kinzo,"""It's their reason and their willpower that are most essential. That is what I want to learn. Yes, my descendants, I am truly looking forward to what kind of answer you will show me!!"" "
Ushiromiya Kinzo,"""......Hmmmm? Me? *cackle*cackle*cackle*cackle*! Yes, of course I once had the same question thrust upon me. Because I splendidly answered that devil's question, I was able to obtain gold and honor, and that witch as my possession. "
Ushiromiya Kinzo,"Which answer did I chooooooooooose? ......Do you really need me to say it out loud? Wahhahhahahahahahahahahahahahahahaha...!!!"" "
Ronove,"""Well then, have you nearly decided on your answer...?"" "
Ushiromiya Jessica,"""............"" "
,"As Jessica stared at the letter that had been crushed and lay on the floor, ...she hung her head in constant silence. "
,"All that filled the room was the stir from wind and rain shaking the treetops. Regardless of how noisy that was, it actually made the stillness more apparent. "
,"Ronove waited for Jessica's answer. ...However, Jessica didn't answer. "
,"Whether she was lost in deep thought or had stopped thinking, Ronove couldn't tell. "
,"...No, ...he might actually have known. "
,"But cruelly, like a demon, ...Ronove urged Jessica to voice it. "
Ronove,"""......If you cannot choose any, ...I can at least bring you peace without pain, ...but..."" "
Ushiromiya Jessica,"""............ ......me."" "
Ronove,"""...Yes? I had trouble hearing. Could you say it again please...?"" "
,Jessica lifted her face...and looked straight into Ronove's eyes. 
,...It seemed that she had decided on her answer. 
Ushiromiya Jessica,"""......Kill me."" "
,"Jessica said it one more time, ...clearly. "
,Perhaps Ronove had imagined that this would be her answer from the very beginning. 
,"...Without any surprise, he smiled lightly and nodded. "
Ronove,"""...I thought you would choose that answer, Jessica-sama. ...Well then, there is no right or wrong answer to this test. The essential part is what thoughts led you to that answer."" "
Ronove,"""Come now. Please answer with a fitting attitude for the Successor."" "
Ushiromiya Jessica,"""......It's not like I chose the first one 'cause I wanna die. ...The second one was letting Kanon-kun die. Of course, that was out of the question. So I excluded it. ...The third one was everyone else's lives. Of course, that was also out of the question. So I excluded it. ...After that, only the first choice remained."" "
Ronove,"""Process of elimination, ...is it? So, it was not something you chose proactively..."" "
,"After chuckling slightly, Ronove dropped his gaze. "
,...A Human couldn't even imagine what answer a demon would have been expecting. 
,...All she could understand was that this was apparently slightly below Ronove's expectations. 
Ronove,"""...That answer is neither bad nor good. ...60 percent, I believe you could call it. ...I'm a little disappointed."" "
Ushiromiya Jessica,"""You're a pretty selfish bastard, telling me to answer with self-confidence and then being disappointed when I do."" "
Ronove,"""......Apparently there was more to it than process of elimination. ...It's a failing grade either way, ...but there seems to be a little more to your thoughts. Allow me to ask."" "
Ushiromiya Jessica,"""People don't want to die. ...So no one would want to choose the first option. ...People want to live in happiness...and struggle as much as life will let them. So normally, the first choice should be impossible from the beginning."" "
Ronove,"""......However, you took that first choice. You chose to throw away your own life. Only that choice remained for you."" "
Ushiromiya Jessica,"""I tried...thinking of the future that would come after choosing each one."" "
Ronove,"""...Hoh. And what did you see...?"" "
Ushiromiya Jessica,"""First, ......I tried letting Kanon-kun die. ......I tried to imagine the rest of my life after having abandoned the one I love."" "
Ronove,"""What kind of life was it...?"" "
Ushiromiya Jessica,"""It was a horrible woman, who didn't deserve to live. A shabby woman who always lamented her own decision and lived only to regret. ...I could never forgive a horrible woman who'd choose to live and abandon the person she loved. ...I put an end to her myself."" "
Ronove,"""Heheh, how brave. ......So, did you also consider the third option?"" "
Ushiromiya Jessica,"""...Yeah. I tried letting everyone but me and Kanon-kun die. ...There's no way Kanon-kun would like me if I did that."" "
Ushiromiya Jessica,"""So again, even with Kanon-kun, I was forced to bear the cross of abandoning so many people. ...And even Kanon-kun was forced to bear it."" "
Ushiromiya Jessica,"""......I'm not gonna make a foolish choice that leaves Kanon-kun bearing that cross. I wouldn't be able to forgive a future me who did something like that. ...I put an end to that woman myself too."" "
,Jessica had pictured it in her mind. The future her beyond each of the three choices. 
,"There were three Jessicas. ...Of the three, two had regrets. Only one could hold her head high and smile at Kanon. "
Ushiromiya Jessica,"""...You know, I once had the nerve to preach something to Kanon-kun. ...Something about trying to live life to the fullest."" "
Ronove,"""Live your life to the fullest. ...Meaningful words. And a surprisingly difficult thing to do."" "
Ushiromiya Jessica,"""So yeah. I've gotta stand proud and show Kanon-kun. ......Show him how to live by holding your head high and looking straight at the sun, with a full smile."" "
Ronove,"""...Will Kanon be able to accept your self-sacrifice? Haven't you thought that your selfish decision might hurt him more than is necessary...?"" "
Ushiromiya Jessica,"""That's why...I want to leave a message..."" "
Ronove,"""Hoh. ...I will listen, but I am after all a demon. ...I may not keep my promises, you see?"" "
Ushiromiya Jessica,"""......Keep it! Your promise!"" "
,Jessica spoke that looking quite unconcerned. 
,"She had asked the demon who was about to take her life to pass on a message, and she didn't think at all that she would be betrayed. "
,"...At that extremely innocent smile, Ronove closed his eyes lightly and shrugged his shoulders. "
Ronove,"""Hmph... ...I see nothing wrong with that. So? What shall I tell him...?"" "
Ushiromiya Jessica,"‘...Tell Kanon-kun...to live his life to the fullest. ...No, that's not quite it. Not...Kanon-kun. ...He still hasn't told me his real name yet. Tell the real Kanon-kun to live his life to the fullest. ...Tell him that.’ "
Kanon,"""......Mi...lady..."" "
Ushiromiya Krauss,"""...Jessica, ...you really are......"" "
{f:5:Virgilia},"""Ronove is fickle, so he might not have passed the message on. ...You certainly are fortunate to have me here showing you this scene."" "
,"A musty three-sided mirror was set beyond the bars, ...and the scene with Jessica was reflected on it. "
,"On the next mirror, ...the scene with George was reflected in the same way. "
,"None of them questioned how a three-sided mirror had appeared from a group of butterflies, nor did they wonder why these scenes with Jessica and George were reflected on it. "
,...Because the reflected scenes themselves were more important. 
Ushiromiya Krauss,"""......Are you so prepared... ...to throw your life away...... ...for his sake......?"" "
Kanon,"""......... ...My...apologies..."" "
,Krauss looked at Kanon with a complicated expression mixed in with a bitter smile. ...Kanon wouldn't meet his eyes. 
Kanon,"""...{f:5:Virgilia}-sama, ...there is no reason for Milady to throw away her life. ...Please kill me. Please change it to the second choice. ...That way, everything should resolve itself."" "
