Speaker,Steam (ST)
,"...What is that sound that always fills my ears? Is it the sound of the rain, the sound of a waterfall, or could it be radio static? "
,"If not, I want it to be the sound of blood flowing through my body. ...I want it to be the sound of the blood circulating throughout me, telling me that I am still alive... "
Ushiromiya Kinzo,""".........Nnn... ...Is it...morning...?"" "
,"The light entering through a crack in the curtain was faint, but it at least told him that dawn had broken. "
,"Kinzo, still in the position he'd been when he woke up, ...still sitting in a chair and looking up at the ceiling, ...felt the blood slowly travel throughout his body... "
,"...Judging by the clock, it was early morning, 6:00 on the dot. ...No matter how tired he was, no matter how deeply he slept, he always woke up at exactly this time, as though he had measured it with an hourglass. "
,"He didn't think of this as something to boast about, but he told himself that, as long as he could still manage this, his health couldn't be that bad. "
Ushiromiya Kinzo,"""......Morning has come, which means... ......hmmm. ...It would appear I've avoided becoming one of the first sacrifices. ...Was I merely lucky when the roulette was spun, ...or is this the fruit of my efforts? How irritating that I cannot tell the difference, but I mustn't be bothered by such trivialities."" "
,Kinzo was struck by a faint desire to see beyond the study door. 
,"After all, he might find the traces of someone's vain struggle to break through the door, a sign that someone had tried to select him as one of the first six sacrifices. "
Ushiromiya Kinzo,"""...Hmph. ......Humans are cheap creatures. ...Even though everything is ultimately decided by God, when humans are given good fortune, they arrogantly feel it was due to their own ability."" "
,That was why he wanted to check whether there was a wretched mark on the door. ...The very desire was human. 
,"And that was why Kinzo did not check. He often rejected desires that came to him because he was human. By doing that, he could be immersed in a feeling of sufficiency, as though he himself had become a being that surpassed humans... "
,"He recognized human desires for what they were...and guarded against them. Things that a human would want to do, he resisted. "
,"...This eccentricity and rebellious nature had surely given him a rare genius, making it possible for him to succeed in his exploits as he revived the Ushiromiya family in a single generation... "
Ushiromiya Kinzo,"""Well then, {f:5:Beatrice}. What were the six pieces you took? ...And, what will your next move be? ...Entertain me. ......My defense is perfect. I will not shame myself like last time. ...Heh, ...heheheh."" "
,"The servants woke early. They had to open the curtains, prepare breakfast, and complete various other tasks to welcome the guests to a new day. "
,Gohda was the most enthusiastic. 
,"During the family conference, he had been told to concentrate his efforts especially on cooking, and he'd been specially exempted from several tasks that servants normally must do. "
,"...Gohda, who was a show off, seemed to be feeling particularly superior because of that. He let Genji and the rest prepare the rest of the mansion...and worked on making breakfast in the kitchen. "
,"Genji split the work with Shannon and Kanon, and they carried out various tasks. "
,Shannon headed to the dining hall and knocked. 
,"...Last year, the family conference had continued into the early hours of the morning. It wouldn't have been odd if this year's conference had done the same. "
,"Considering the possibility that they were still having a discussion inside, she knocked. "
,"But there was no response, so she opened the door and said good morning. "
Shannon,"""...Good morning. ......Is anyone there?"" "
,"The room was cold, and the conference seemed to have ended a long time before. "
,"There was a tea set on the table from which they'd probably been drinking, arranged in a way that would make it easy to clean up. "
,"Cleaning up the tea was a servant's job. If the family members were extra generous and cleaned it up themselves, the servants would lose face. "
,"So, it was a truly pleasant act of kindness for the family to do only this much. "
,"As she approached the table to clean it, she noticed something like a memo that had been left near the utensils and cups. "
,"Since it was right next to the tea set, Shannon picked it up, naturally thinking it was a memo for the servant doing the cleaning. "
,"Written there was not a request, nor was it thanks for preparing the tea. There was just a single word. "
,Shannon looked at it blankly and read it out loud... 
Shannon,"""......Chapel. ......?"" "
,"A small sound kept repeating over and over. Normally, that sound would've been too trivial to be worth caring about. "
,"If only I could stop hearing it soon, I could go back to sleep right away, ...she thought vaguely. "
,"...But no matter how much time passed, the sound did not end. It repeated over and over. "
,"Aaah, shut up. Who is it? Banging on the door this whole time... "
,"As soon as she realized that, she woke up. ...Someone was knocking. "
,"Then, she noticed that it wasn't just a knock, but a voice as well. "
Ronoue Genji,"""......Rosa-sama, ...Rosa-sama. ...Good morning."" "
Ushiromiya Rosa,"""...W-Wait. I'm coming now."" "
,"It had been Genji's voice. Looking at the clock, it wasn't even 7:00 yet. "
,...It was clearly too early to wake the guests. ...Did something happen that was bad enough to cause this? 
,She felt her sleepiness increasingly fade thanks to this premonition of misfortune. 
,"Though Genji was a servant, Rosa had known him since her childhood days, so even though she was slightly defenseless in her pajamas, she opened the door a crack and answered. "
Ronoue Genji,"""Good morning. I apologize for waking you this early."" "
Ushiromiya Rosa,"""...Did something happen?"" "
Ronoue Genji,"""Yes... ......Actually, at the chapel...... "
,Genji...whispered something into Rosa's ear. 
,"For a second, it seemed Rosa couldn't understand what she'd been told. After having it repeated several times, she realized that apparently, something strange had happened. "
,"Rosa closed her door for a second, changed her clothes quickly, and followed Genji towards the mansion... "
,"The chapel requires some explanation. It wasn't in the mansion, but in a grove behind it, a short walk's distance away. "
,"It had been built at the same time as the mansion, so though its walls had been repaired many times, making it look new from the outside, it was a very old building. "
,"Rosa dashed through the rain along with Genji. Just like the previous night, the rain was falling in earnest. "
,"Eventually, the chapel came into sight from beyond a thin grove... "
,"Just looking at it from the outside, it seemed a place of dazzling beauty, where a pair of young lovers might want to get married. "
,"However, Kinzo apparently viewed it as a very sacred place, so Rosa and her siblings had been given strict instructions not to approach it unnecessarily. "
,"Even though they were all grown up now, approaching the chapel for any reason would still make them feel guilty... and also afraid, as if their Father might get angry and hit them in the face... "
,"The servants' silhouettes could be seen in front of the chapel's entrance. Gohda, Shannon and Kanon. "
,...Which meant that all of the servants on the morning shift had gathered. 
,"A short while ago, Genji had spoken to Rosa, telling her what the situation was. However, ...without laying eyes on it directly, she definitely hadn't been able to understand... "
,It was probably the same for all the servants gathered here as well. 
