Speaker,Steam (ST)
,The tragedy of the first twilight was discovered at 6:00 in the morning on the following day. 
,"Gohda, who had woken up to get breakfast ready, went to check on the adult siblings, who had remained in the dining hall since the previous night because of the family conference. "
Ushiromiya Battler,"""Tell us about when you discovered the crime."" "
Gohda Toshiro,"""{p:42:The dining hall was locked up}. Of course, there is a lock on the doors to the dining hall, but they usually remained unlocked. I knocked, but there was no answer..."" "
Kumasawa Chiyo,"""{p:42:That's when I arrived}. I recommended that he try unlocking the door, just in case."" "
Gohda Toshiro,"""When {p:42:I unlocked the door with a master key}, a terrifying sight awaited me inside......"" "
Kumasawa Chiyo,"""{p:42:Eva‐sama, Hideyoshi‐sama, Rudolf‐sama, Kyrie‐sama, Rosa‐sama, and Genji‐san, six people in all, were lying there, covered in blood......}"" "
Ushiromiya Krauss,"""A great tumult followed. {p:42:Everyone gathered in the dining hall}."" "
Ushiromiya Natsuhi,"""I don't want to remember it... The sight of all the sobbing children crouched over the corpses of their own parents..."" "
Ushiromiya Jessica,"""There was a chance they might've been alive still. ...Everyone was shaking them desperately."" "
Shannon,"""But it was no use... {p:42:The death of each parent was confirmed by their own child}..."" "
Kanon,"""{p:42:Doctor Nanjo and I confirmed that Genji‐sama was dead}."" "
Nanjo Terumasa,"""Such a gruesome way to be killed... {p:42:Doctor or not, no one examining a body will reach the wrong conclusion}."" "
Ushiromiya Maria,"""Looks like {p:42:all of the victims died instantly}. ...Kihihihihi."" "
Ushiromiya Krauss,"""{p:42:After inspecting the interior of the dining hall, we determined that all of the doors and windows had been locked, making it a locked room}."" "
Ushiromiya Battler,"""And {p:42:nothing suspicious was found inside the dining hall}."" "
Ushiromiya George,"""Of course, {p:42:there was no one hiding in the dining hall either}."" "
Ushiromiya Krauss,"""Naturally. All of us are here right now. {p:42:It's clear that no one is hiding}."" "
Ushiromiya Jessica,"""But Dad, if that's true, it doesn't make sense... Six people were killed, and the dining hall is a closed room! How could someone have killed them and escaped?!"" "
Ushiromiya Natsuhi,"""...I'd rather not think of it, but perhaps the servants with their master keys are the most suspicious."" "
Ushiromiya Krauss,"""They killed the six, then left and locked the door with their master keys. ...It is a logical theory."" "
Gohda Toshiro,"""E-Eeek! Th-That's absurd!"" "
,"Since there was no chance of the culprit hiding inside the dining hall, it made sense to assume that the culprit locked the door after committing the murder and exiting the room. "
,"It was only natural that the servants, with their master keys, would fall under suspicion. "
,"And, sadly enough, none of the servants had an alibi. "
,"Then again, it wasn't only the servants. Everyone else lacked an alibi as well. "
Ushiromiya Battler,"""Is there any way to lock up from the outside without a master key?"" "
{f:5:Bernkastel},"""No, there isn't. ......Hmm, that's not enough. I'll say it with the red truth."" "
{f:5:Bernkastel},"{p:1:All doors can only be locked or unlocked with a master key}. {p:1:Of course, it is possible to lock or unlock the doors from inside the room even without a master key}. "
{f:5:Lambdadelta},"""There you have it. Any other questions?"" "
{f:5:Beatrice},"""Shouldn't there be keys to each individual room, in addition to the master keys?"" "
{f:5:Bernkastel},"""...Normally, those would exist. However, they make the game more complicated, so I've eliminated them. Red truth. {p:1:In this game, we'll consider master keys to be the only keys that exist}."" "
Ushiromiya Battler,"""In other words, all of the locks that appear in this game can only be locked or unlocked by master keys."" "
{f:5:Lambdadelta},"""That's what it means. It really is a simple game."" "
{f:5:Beatrice},"""In that case, we should now check the number of master keys and who holds them."" "
{f:5:Bernkastel},"""{p:1:There are five master keys total. One is held by each of the five servants}. The keys will be managed in a special way. {p:1:The servants keep the master keys on their person at all times, so it is impossible for them to be stolen, handed over, or used by any human other than themselves}."" "
Ushiromiya Battler,"""What the heck. Now they're sounding less like keys and more like a fingerprinting system."" "
{f:5:Beatrice},"""That's an interesting metaphor. ...In other words, in the world of this game, it isn't the master keys, but the five servants themselves that can lock or unlock doors."" "
Ushiromiya Krauss,"""We tried to retrieve Genji-san's master key, but had no luck."" "
Ushiromiya Natsuhi,"""To prevent trouble later on, {p:42:we destroyed Genji's master key}."" "
,This was the crime of the first twilight. The scene was the locked closed room of the dining hall. 
,"None of the servants holding master keys have alibis. Then again, no one else has an alibi either... "
,Everyone returned to the parlor to discuss what should be done next. 
,"The phones were out, so they couldn't contact the police. "
,"Was the mysterious culprit hiding away somewhere, planning to attack their next victim at this very moment? "
,"Or was the culprit in here with them, mentally sticking out their tongue and tasting their next prey? "
,"None of them had alibis, and any one of them could have been a culprit... "
,"However, that tense feeling didn't last long. "
,"By midday, everyone got tired of arguing, and they decided to take a break. "
,Krauss and Natsuhi announced that they wanted to talk with each other alone and went up to the second floor. 
,"That was the beginning, and after that, everyone went their separate ways now and then, such as to head to the bathroom or gaze at the endless rain. "
,"However, no matter how much time passed, Krauss and Natsuhi were the only ones who didn't return. "
,"Calls were sent to both Krauss and Natsuhi's rooms using the extension phone line, but there was no answer. "
,Something might have happened. 
,"Everyone headed to Krauss's and Natsuhi's rooms together, ...and in Natsuhi's room, they found Krauss and Natsuhi lying sprawled on the floor. "
