Speaker,Steam (ST)
,"I had planned on taking a nap, ...but the boat really was shaking bad. "
,"I gave up on sleeping and went up onto the deck. There, I was welcomed by the shining sun and a strong sea breeze... "
,Amakusa had been doing some stretches on the deck. 
,"...He must have a lot of time on his hands too. After all, it'll be several more hours before we reach Niijima. "
,"It would only have taken a couple dozen minutes by airplane, but there was the chance that the Niijima airport was under the Sumadera family's web. "
,"The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, no questions asked. "
,"I'd bumped into a cheery boat captain, treated him generously, and he had decided to help me out, amused... "
Ushiromiya Ange,"""Still gonna be a while?"" "
Amakusa Juuza,"""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers."" "
Ushiromiya Ange,"""......The weather sure is nice. Feels like I'll burn."" "
Amakusa Juuza,"""Going to read on the deck? You'll damage your book."" "
,Amakusa apparently thought this because I was clutching Maria onee-chan's diary under my arm. 
,"I'd been reading it half asleep, which was why I'd come back up still clutching it. "
Amakusa Juuza,"""How's it going? Think you'll be able to find the truth of Rokkenjima from Maria-san's diary?"" "
Ushiromiya Ange,"""......Who knows. No matter how much I investigate what happened on that island, it won't make for anything more than a theory. There's no truth written in the message bottle or Onee-chan's diary, just a fairy tale with a witch walking around. ...I'm stuck."" "
Amakusa Juuza,"""Looks like you've got nothing to look forward to except questioning those involved on Niijima."" "
Ushiromiya Ange,"""I imagine the Witch Hunters have showered them with questions over and over, so I'm pretty sure I won't find any new facts."" "
Amakusa Juuza,"""Hehhaha...! So even though your hopes are that low, you're willing to spend a half-day trip on a boat to go to Niijima anyway! Talk about fickle."" "
Ushiromiya Ange,"""......It's like a journey of self-satisfaction, so that I can say ""I investigated"". I'm not so naive as to seriously think that the truth of 12 years ago will be revealed."" "
Amakusa Juuza,"""And when you're done with your self-satisfaction trip, what'll you do next?"" "
Ushiromiya Ange,"""Who knows. I haven't thought about it. ......I'll go to Niijima, ask some people who were involved. ...Then, after going to Rokkenjima in the end and leaving some flowers, my journey will be over."" "
,......Several days have already passed since this journey began. 
,"After being told by {f:5:Bernkastel} on the roof of that building to search for the truth of 12 years ago, I'd left on a journey like trying to grasp a cloud. "
,"At the time, I felt as though I'd experienced something mystical...and had the feeling that I might be able to grasp some kind of miracle at the end of this journey. "
,"...But after several days passed, my excitement died down. "
,"On that day, when I stood on the roof of that skyscraper, my heart was completely cornered and dead. "
,...So I'd wanted from the bottom of my heart to be released from the cage of my body and rise into the sky... and had crossed the fence in order to die. 
,"Maybe experiencing the desire to die and actually stepping forwards, throwing my body down... caused some kind of mystical experience inside my head, making me think I had received a message from a witch. "
,"......The excitement from my jump lessened over time, and the more I came back to my senses, the more this journey lost its meaning. "
,But I didn't even consider suspending this journey just because of that. 
,"If I stop this journey, it'll mean acknowledging that the message from that witch was an illusion. "
,And I felt as though that meant throwing away the promise the witch made... and any chance that someone from my family might come back. 
,"So, because it was hard to believe that those events were an illusion, I've continued on my journey. "
,I don't seriously believe that this journey will change anything. ...It's even up to me when to end this journey. It's up to me to choose where the final destination is. 
,"In the end, this journey is only for my self-satisfaction... "
Amakusa Juuza,"""......Self-satisfaction, huh? It sounds bad when you say it, but I think that's actually what life is all about."" "
Ushiromiya Ange,"""...Oh? If that's the answer you've reached after hovering over the line between life and death in the mercenary business, that's probably pretty deep."" "
Amakusa Juuza,"""Don't take it so lightly. What I'm trying to say...is that the only one who can acknowledge you in this world is you yourself."" "
,Amakusa continued stretching as he spoke. In an irritatingly fresh way. 
,"Hearing it told to me as though from a teacher made me instinctively want to resist, but what he was saying was extremely sensible. "
Ushiromiya Ange,"""......... ...That may be true. "
Ushiromiya Ange,"People work hard when they want to be acknowledged by someone. ...In most cases, that someone is their parents. Children learn how to work hard because they want to be praised by their parents. ......Although that's why I never learned."" "
Amakusa Juuza,"""Sorry, that's not how I meant it. "
Amakusa Juuza,"...What I'm trying to say is that there's nothing wrong with self-satisfaction. No matter who praises you, it's meaningless unless you can accept it. ...Turning it around, even if no one praises you, that doesn't matter as long as you can accept it."" "
Ushiromiya Ange,"""......Self-satisfaction tends to contradict a desire to improve oneself, so we're usually taught that it's bad. Somehow, your argument seems like a pretty fresh take on it, Amakusa."" "
Amakusa Juuza,"""The anguish of the human world comes when you want someone to acknowledge you, but you don't know what it is you should be striving for. I had a time like that too. "
Amakusa Juuza,"I wanted to be acknowledged by someone, but I didn't know what I wanted them to acknowledge about me. And since I didn't know what to strive for or how far I should go to be acknowledged, I did a lot of crazy things."" "
Ushiromiya Ange,"""And the answer you reached...was self-satisfaction?"" "
Amakusa Juuza,"""It sounds bad, but that's how it is. Rich is the one who is content with what they are, they say."" "
Amakusa Juuza,"""......If I'm satisfied with my life, it doesn't matter what other people say. It's the same for your life, and for this journey. No one has any right to criticize you other than you yourself, Ange-san."" "
Amakusa Juuza,"""You're the only one who determines the meaning and results of your journey. If it's been a meaningful journey for you, then that's more than enough."" "
Ushiromiya Ange,"""......... ......I always did take you for a flippant ladies man, but you really do say weird things every once in a while. I'll bet you think saying stuff like that will make you popular."" "
Amakusa Juuza,"""Of course not, of course not. That's not how I meant it at all. ......Looks like you want to be alone. I'll head over to see the boat captain. Please, take it easy."" "
,Amakusa apparently decided I was in a bad mood. ...Although I didn't feel that way myself. 
,"Or, he might have finished a set of stretches and wanted to cool off in the shade. "
,"The sea winds were strong, but not enough to cool the rays of the sun. "
,Amakusa disappeared. Only I remained. 
Ushiromiya Ange,"""......Self-satisfaction is life itself, huh?"" "
Mammon,"""That's just boring. Life is nothing without greed."" "
,"I noticed that Mammon had suddenly appeared, her abundant hair fluttering over by the prow of the ship. "
Ushiromiya Ange,"""It's true that a life of greed would be fun. But unlike you, Humans have a limited life-span. "
Ushiromiya Ange,"If greed is eternal, that means a person will have desires even in the last moment before they die. Having desires means there's something that you want. Something you don't have, some way you aren't complete."" "
Ushiromiya Ange,"""...I'm sure it's tough to die when you can't think of your life as being a full one. So I'm sure self-satisfaction is necessary."" "
Mammon,"""......I see. Because of the existence of a life span, you have to compromise like that? All of my masters had very long life spans, so I've never thought of it."" "
Ushiromiya Ange,"""I wonder if Humans live for the purpose of becoming satisfied. ...If so, it's probably easiest to live without desires. ...I see, so that's why greed is one of the seven deadly sins."" "
Mammon,"""*giggle* Your praise honors me."" "
,Apparently that counted as a compliment in Mammon's eyes. She turned and gave a graceful bow. 
Mammon,"""Ange-sama, do Humans live so that they can find satisfaction at the moment of their deaths?"" "
Ushiromiya Ange,"""...Wouldn't it be pretty tough if you felt you were lacking something when you died?"" "
Mammon,"""If so, then Humans live only so that they can meet a satisfying death. They live so that they can have a better death. They live so that they can die."" "
,"......This kid's saying something pretty incredible. ...I see, as I'd expect from a demon stake. "
,"However, it might be the truth. Humans suffer because they aren't satisfied...and live only to find satisfaction. "
,"In other words, that might be the same as a desire to die satisfied. "
Ushiromiya Ange,"""I can't counter that. ...People live in order to be satisfied. And they hope to die that way. So, it's really painful when you don't know how to find that satisfaction."" "
Mammon,"""Just how can you find something like that? In a Human's life."" "
Ushiromiya Ange,"""......By being acknowledged. By hearing someone say ""You are happy""."" "
Mammon,"""If it doesn't matter who acknowledges them, then I'll do it."" "
Ushiromiya Ange,"""Yeah, that's the problem. ......People don't know who needs to acknowledge them."" "
Mammon,"""So, searching for this person who can acknowledge them is the journey of their life? Hmmmm."" "
