Speaker,Steam (ST)
Leviathan,"""Hey!! That's miiine! Giiive iiit baaack!!"" "
Beelzebub,"""No, no, I'll eat iiit! Asmo, Asmo, pass!"" "
Asmodeus,"""Kya-hahahaha! Over here, Levia onee-samaaa!"" "
,"I wonder where they swiped it from. They were fighting over a donut or something, playing around really loudly. "
Satan,"""HEY!!!!! Ange‐sama is reading, can't you be the slightest bit quiet?!"" "
Lucifer,"""Yelling stuff like that makes you the loudest one, Satan! Be silent!! You foolish little sister!"" "
Satan,"""Y-You're the loud one, Lucifer onee-sama!! I-Is there something you'd like to say to me?!"" "
,"I was already used to the oldest and the third oldest sister arguing with each other. Even though they're both so quick to anger, it's a bit funny how they're both having to hold back a little. "
,They might be surprisingly like each other. 
Belphegor,"""*cackle*cackle* You were told to be noisy, but this is a bit too much. Should I make them lower the volume a little?"" "
Ushiromiya Ange,"""......They can mess around all they want. It's a hundred times more pleasant than that shrill laughter in the classroom."" "
Mammon,"""Ange-samaa, go to the next page quickly! You read really sloow!"" "
Ushiromiya Ange,"""You like to read, Mammon? You looked like you'd be the worst at doing boring things."" "
Belphegor,"""Mammon controls greed. ...That also includes a thirst for knowledge. Still, she wants to keep that knowledge all for herself, so be warned that she refuses to let people read any book you give her, and sometimes burns them after reading them."" "
Mammon,"""I like knowing things that no one else knows. I like being able to do things that no one else can do. So I like studying and practicing. Because I want to keep wisdom that no one else knows about all to myself."" "
,"As Mammon said that, her eyes sparkling, she peered down at the page that was open and read through it again. "
,You could see the greed that made her covet that page even more thoroughly than I did. 
,"As you can see, my magical power has grown much stronger than it was on the first day I summoned them. "
,"By now, I've gotten so that I can summon all of the Seven Sisters of Purgatory at once and still calmly read a book like this. "
,"This place, although I can't recall exactly where it is, is a quiet and calm street-side bench. "
,"I'd been young back then, so I don't remember the details of its location. "
,"...Still, I remember that my days walking here were a lot of fun. "
,"Together with Dad, Mom, ...and even Onii-chan, it was a memory of a very rare and very happy day when everyone had been together... "
,The people who walked by every once in a while didn't notice me. They just pleasantly ignored me and passed by as though everything was normal. 
,"Even the Seven Sisters' incredible outfits weren't embarrassing or anything, because it wasn't like anyone was actually watching. "
,"Come to think of it, I'm getting pretty used to it. As long as they don't make me wear those. "
,"I was sitting on a stylish bench, memorizing a timeline for world history. "
,"...In an academy system where everything is based on collective responsibility, there's no tolerance for dunces. "
,It seemed that I was considerably below the average grade for the class. 
,"According to those extremely intellectual girls, if I alone improved my grade, the average would rise drastically. "
,...They had been kind enough to show me with a graph drawn by colorful pens on a B4 sheet of drawing paper. 
,...Just thinking of the effort it had taken to draw that was repulsive. 
,But I've already spat out all those complaints. ...I've already voiced my constant and furious anger and sadness to these girls here. 
,"The Sisters were sometimes indignant, sometimes sympathetic, and sometimes mourned along with me. "
,...I was truly happy to be able to share emotions like that with friends. 
,It's said that they were originally furniture that existed to carry out {f:5:Beatrice}'s cruel sacrifice ceremony. 
,"...According to the occult message bottle I hated, ...it seems that several of them even attacked my family. "
,"But I don't believe that, and it's pointless to question them about it. "
,"They are furniture, so they only respond to their master's requests. "
,"Even if they really did attack my family, I can't hate them. "
,"......The one I really hated... was the Golden Witch, {f:5:Beatrice}. ......Or else that ringleader of the Ushiromiya Suspicion, Aunt Eva. "
Mammon,"""...Ange-sama, quickly, the next page."" "
Ushiromiya Ange,"""Oh, sorry. ......I'm tired. Mind if I take a break?"" "
Asmodeus,"""Kyahaha! Ange-sama said break!"" "
Beelzebub,"""Let's play, let's play! Ange-sama, let's plaaay!!"" "
,"When they noticed that I had interrupted my studying, the most energetic youngest sisters gathered around me. "
,And that wasn't all. 
,Even Maria onee-chan and Sakutaro showed themselves. 
,"They had probably been very close by, but they must've hid themselves so that they wouldn't interrupt my studying. "
Sakutarou,‘Uryu-! Ange! How's studying? How's studying?’ 
Mammon,"""Kyaaah!! Sakutaro-!! How are yooooouu?!"" "
Leviathan,"""Wait a second! Let me squeeze him tooooooooooo!!"" "
Lucifer,"""You snooze you lose, aren't we always telling you?! Kyaa, cute, cute!"" "
Sakutarou,"‘Ukyuu--, you're crushing meee! Uryuu--!’ "
Belphegor,"""Your luck ran out when you showed up while all the Seven Sisters were gathered. Give up and let us hug you."" "
Satan,"""Come on! It always turns out this way!! I apologize for my stupid older and younger sisters...!"" "
Ushiromiya Maria,"""Ahahahahaha. Sakutaro's happy to meet everyone, too. ...How's it going, Ange? How's the studying going?"" "
Ushiromiya Ange,"""Thanks. Well, not bad. "
Ushiromiya Ange,"They were nice enough to pass around printouts from a quiz that another class took earlier. Their beautiful sense of solidarity is enough to bring tears to my eyes. ...Well, at least it's probably better to put a timeline into my head."" "
Sakutarou,"‘Uryu. You sure are good at studying, Ange. You'll be able to get a lot of points, uryu-.’ "
Ushiromiya Maria,"""Good work. I was terrible at studying, so I'm jealous of you for being able to get a good score when you study hard."" "
Ushiromiya Ange,"""You're joking. When it comes to English, Latin, and knowledge of the occult, you're much more amazing for being able to remember so much."" "
Ushiromiya Maria,"""I can remember anything when studying magic, but I can't remember anything boring. So that didn't help at all for tests."" "
Ushiromiya Ange,"""Well, it's true that occult knowledge would be like that, but your grades must've been pretty good in English, right?"" "
Ushiromiya Maria,"""In the first year of elementary school, on a Japanese language test, there was a problem when I was given a picture of a gun and was told to write its name in four squares. It got marked wrong because I wrote the English word ""rifle"" in katakana ({ruby:ra‐i‐fu‐ru:{p:0:ライフル}})."" "
Ushiromiya Ange,"""Why? Doesn't that fit?"" "
Ushiromiya Maria,"""It was supposed to be the Japanese word for gun in hiragana, {ruby:te‐p‐po‐u:{p:0:てっぽう}}. I was told that's wrong, because you don't learn katakana in first grade. "
Ushiromiya Maria,"...I didn't really get it, so from that day on, on tests, I wrote everything in hiragana. But I got in trouble with Mama for some reason. Got in trouble with the teachers too."" "
Ushiromiya Ange,"""......... ...You were probably born in the wrong country, Onee-chan."" "
Ushiromiya Maria,"""Then I'd rather have been born in a country of witches, so I could enter a witch school. Uu-."" "
Sakutarou,"‘If that happened, you might've had much, much more wonderful magical friends! Uryu-!’ "
Ushiromiya Maria,"""Uu-{p:0:♪} But it's not like I mind it now. After all, I can use lots of magic, and I've got a lot of magic friends. Sakutaro is all I need."" "
Sakutarou,"‘I'm not the only one! There's also Sakusuke and Sakukichi, the animal band, Shimoda-kun the seal, Sanae-san the rabbit, Mr Pig-kun, and plenty more!’ "
,...Incredible. The number of Onee-chan's friends keeps increasing. 
,"Every time I ask, the number of names for her friends grows. But there's no doubt that Sakutaro is her best friend. "
,...I'm a little jealous of all those close friends. 
Ushiromiya Maria,"""...What do you think? How are the Seven Sisters? Do you get along with them?"" "
Ushiromiya Ange,"""Those sisters are really energetic. They sometimes say shady stuff, but they aren't bad. ...I'd wanted to get a cute kid like Sakutaro, but I think being with them now is more than enough."" "
Ushiromiya Maria,"""*giggle* If you learn more of my Magic of Origins, I'm sure you'll be able to give birth to friends you'll like, Ange. Creation is still a bit too hard for you now."" "
Ushiromiya Ange,"""There's a difference between creation and summoning. ...And, resurrection is also different."" "
Ushiromiya Maria,"""...... So, your greatest wish really is to revive your family...?"" "
Ushiromiya Ange,"""Yeah. ......I have a vessel for it. This."" "
Ushiromiya Maria,"""That's right. ...I'm sure that hair accessory will eventually become the key to summoning Battler. ...The rest is up to your training, Ange."" "
Ushiromiya Ange,"""Although not knowing how long it'll take is enough to make me cry."" "
Sakutarou,"‘Uryu... Stay strong, even if it's tough... If you don't give up, Ange, it will definitely, definitely come true someday...’ "
Ushiromiya Ange,"""If someone gave me some proof that it'd definitely be granted, at least that would calm my heart."" "
Sakutarou,"‘Uryu! Then I guarantee it! Without a doubt, Ange will surely have her wish granted someday!’ "
Ushiromiya Ange,"""...Thanks. I'm glad to hear it, even if you're just saying it to console me."" "
Sakutarou,"‘It's not like that, uryu-.’ "
Ushiromiya Maria,"""Stop it, Ange. That kind of emotion will turn into the magic-resisting toxin. The feeling that your dreams will definitely come true is the best seed that buds into magic power."" "
Ushiromiya Ange,"""...... ...That's right, sorry, Teacher."" "
Mammon,"""You need to be a bit greedier, Ange-sama. Go however far it takes to get the thing you desire! You're lacking the willpower to never give up until you get it!"" "
Sakutarou,"‘Uryu-! That isn't true, Ange's doing her best...!’ "
Ushiromiya Ange,"""Thanks, Sakutaro, Mammon. Crying about it won't help anything. There's nothing I can do except hang in there. I'll try hard. I'll grit my teeth. I'll definitely make my dreams come true. With certainty."" "
Sakutarou,"‘Uryu! You're awesome, Ange, do your best! Mammon and I will support you!’ "
Mammon,"""Yes, we'll support you. The greedier our master is, the more our worth will increase."" "
Beelzebub,"""More importantly, Ange-samaa! We've finally got 10 people gathered heeere!"" "
Asmodeus,"""We planned to have everyone play shiritori or something!"" "
Beelzebub,"""If you lose, there's a punishment game! Let me nibble your eeears!"" "
Satan,"""Come on, is hunger the only thing inside that head of yours?!"" "
Lucifer,"""Please forgive my foolish sisters' stupid proposals... Are you sure it isn't about time you returned to your studying?"" "
Leviathan,"""No, no, nooooooo!! I waited so long for you to finish studying, so I can't stand it if you don't play with us!"" "
Belphegor,"""I don't think it's a bad idea. Perhaps playing every once in a while is good for softening the mind."" "
Ushiromiya Ange,"""......You govern Sloth, right, Belpha? What you're saying sounds reasonable, but you're actually being sneaky, aren't you?"" "
Belphegor,"""Hmph. My apologies. ...You are diligent, Ange-sama."" "
Ushiromiya Maria,"""If it's okay with Ange, I'd also like to play with everyone. Let's make some noise. It'll definitely be fun."" "
Sakutarou,"‘Uryu-! Ange, Ange, let's play, let's play! Let's all do shiritori!’ "
Lucifer,"""In that case, let's start from Sakutaro's ""uryu-"". ......In that case, which sound should we start the next word from? ""Ryu""? Or ""yu""?"" "
Ushiromiya Maria,"""From ""uryu-""? ......I wonder. Maybe it really should be ""ryu""?"" "
Ushiromiya Ange,"""...It's rare for a word that ends like that to come up."" "
Mammon,"""Then I'm first!! I'll do a word starting with ""ryu""! Ryuuzu (watch crown)!"" "
Leviathan,"""I wanted to go first! ""Ryuuto"" (lute) would've been wonderful!"" "
Ushiromiya Ange,"""""Zu""? Feels like we keep getting tough ones. ...Wait a sec, what order are we going in? Who's next?"" "
Sakutarou,‘Uryu. I don't think it matters who. Whoever thinks of a matching word first.’ 
Ushiromiya Maria,"""What's that? Sounds interesting. How about the person who can say the most wins? It's fast-talking shiritori!"" "
Beelzebub,"""Then I'll go! ""Zucchini""! ""Ninniku itame"" (garlic stir-fry)! ""Mekabu with pasta""! All of them delicious! Kyaha, I said three of them!"" "
Belphegor,"""Belz takes three points. ...Can you use conjunctions?"" "
Satan,"""If you could use ""with"", then anything would work!! That last one doesn't count! Minus one point!! Let's start from ""me""."" "
Ushiromiya Maria,"""Then I'll go. ""Meringue""-!"" "
Sakutarou,"‘""Ge""?? ...U-U- Uryu-!’ "
Lucifer,"""""Gesuidou"" (Drainage system), ""umetatechi"" (reclaimed land), ""chikashitsu"" (basement). How'd you like them apples?"" "
Leviathan,"""Onee-sama, those are all pretty crummy words, *giggle*!"" "
Lucifer,"""S-So what? Then why don't you try following up with something refined!! Anyway, that's three points for me. The next one's ""tsu"", okay, ""tsu""!"" "
Ushiromiya Maria,"""I've never played such a weird shiritori before. Uu-uu-! It's fun!"" "
Sakutarou,"‘Uryu-! I don't get it at all, but it's fun. Uryu-!’ "
,"I've played normal shiritori before, but I've never experienced a shiritori this weird. "
,"There's only the lively Seven Sisters, Maria onee-chan, Sakutaro, and me. "
,I'm now surrounded by friends that are so fun to be with. 
,"...The courage to accept a world of magic, a world of witches... "
,"...That alone didn't change the fact that I was still locked up in an academy, without a single friend in my class. "
,"But despite that, I'm able to have such a fun and lively time. "
,"......I'll also become a witch, like Maria onee-chan. "
,"And someday, I'll add my family to this fun circle. "
,"Dad, Mom. And Onii-chan. "
,"...And if possible, George onii-chan and Jessica onee-chan. And the other relatives. "
,"I'll call everyone, everyone here without a single person missing, ...and we'll all gather together. "
Ushiromiya Ange,"""...This is my...dream. ...That's right. Until I make that come true, I definitely won't lose heart."" "
Mammon,"""I'm sure you'll become a Great Witch, Ange-sama. As long as you believe in that. We Seven Stakes of Purgatory will always serve by your side until that day comes."" "
Ushiromiya Ange,"""You'll be there for me...? No matter how long, ...you'll lend me your strength?"" "
Mammon,"""Of course. After all, I'm your friend. Right, Ange-sama?"" "
Ushiromiya Ange,"""......... ...Yes, that's right. Let's all stick together and play together. Today, and in the future, always, ...always."" "
Mammon,"""Until the day your dream comes true, Ange-sama."" "
,"The lively, ten-person game of shiritori, alongside a street cut off from time, under the constantly bright rays of the sun, could have continued forever... "
,"""......Wait, seriously? What's going on, Ushiromiya-saan?"" "
Ushiromiya Ange,"""............"" "
,"...In the end, I wasn't able to get a very good grade on my test. "
,"I tried memorizing things in my own way, but if you could manage anything by cramming the night before a test, no one would ever worry about tests. "
,"""Normally, when you know the problems beforehand, you should be able to pass easily, right? Easily!"" "
,"""It's true that we didn't go so far as to write the answers into the blanks for you. We thought you'd studied at least that much."" "
,"""What the hell? Come on, are you serious? I can't believe it! They're almost all wrong, aren't they? Did you really study properly?!"" "
Ushiromiya Ange,""".........More or less..."" "
,"""This isn't what you call more or less, Ushiromiya-san. ...It's so horrible that it makes me dizzy, okay?"" "
,"""Oh, God. Please forgive her for getting a miserable grade on such an easy test... and for making the average score for the entire class plummet...!"" "
,"""*giggle*giggle*giggle*, *cackle*cackle*cackle*, ahahahahahahaha."" "
,"...The same test had been given in another class first. That test paper had been obtained, so the average score for our class had been unusually high. "
,Enough to obscure my slight improvement. 
,"However, ...there were some things I had no excuse for. "
,"If I'd spent that entire day studying like mad, I might've been able to get a slightly higher score. "
,...But I hadn't gone that far. 
,"After that on that day, ...I spent the whole time having fun playing shiritori with the Seven Sisters, Sakutaro and Onee-chan. "
,"As expected, the winner had been Maria onee-chan. She was a strong player thanks to her wide knowledge of trivia. "
